unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6273_3799,3535,0,3535,895,2639,1,849,2500,2639,186,1,184,1,70.72135785007072,74.65346534653466,24.016973125884018,5.261669024045261,0.028288543140028287,5.205091937765205,0.028288543140028287
gRNA_CDK19_targ_6274_3800,3525,0,3525,1776,1510,239,7,0,1510,3518,378,2720,420,0.0,42.836879432624116,0.19858156028368795,99.80141843971631,10.72340425531915,77.16312056737588,11.914893617021278
gRNA_CDK19_targ_6275_3801,5377,2,5375,1766,3429,180,140,2,3429,5233,1,5047,185,0.037209302325581395,63.795348837209296,2.604651162790698,97.35813953488372,0.018604651162790697,93.89767441860465,3.441860465116279
gRNA_CDK19_targ_6275_3802,5377,2,5375,146,5082,147,140,1458,5082,3777,0,3625,152,27.125581395348835,94.54883720930233,2.604651162790698,70.26976744186047,0.0,67.44186046511628,2.827906976744186
gRNA_CDK19_targ_6275_3803,5377,2,5375,274,3605,1496,140,3301,3605,1934,4,434,1496,61.413953488372094,67.06976744186046,2.604651162790698,35.98139534883721,0.07441860465116279,8.074418604651163,27.832558139534886
gRNA_CDK19_targ_6276_3804,3334,0,3334,507,2564,263,489,460,2564,2385,0,2120,265,13.797240551889622,76.90461907618477,14.667066586682665,71.53569286142772,0.0,63.5872825434913,7.948410317936412
gRNA_CDK19_targ_6279_3805,1492,1,1491,8,1405,78,0,23,1405,1468,5,1214,249,1.5425888665325285,94.23205902079141,0.0,98.45741113346747,0.335345405767941,81.42186452045607,16.700201207243463
gRNA_CDK19_targ_6279_3806,1492,2,1490,23,985,482,0,0,985,1490,3,1005,482,0.0,66.10738255033557,0.0,100.0,0.20134228187919465,67.4496644295302,32.348993288590606
gRNA_CDK19_targ_6279_3807,1492,1,1491,7,1389,95,0,832,1389,659,4,389,266,55.801475519785384,93.158953722334,0.0,44.19852448021462,0.2682763246143528,26.089872568745808,17.84037558685446
gRNA_CDK19_targ_6280_3808,2267,302,1965,24,1935,6,0,1,1935,1964,323,1619,22,0.05089058524173028,98.47328244274809,0.0,99.94910941475827,16.43765903307888,82.39185750636132,1.1195928753180662
gRNA_CDK19_targ_6280_3809,2267,302,1965,337,1624,4,0,0,1624,1965,23,1622,320,0.0,82.64631043256998,0.0,100.0,1.1704834605597965,82.54452926208651,16.28498727735369
gRNA_CDK19_targ_6280_3810,2267,302,1965,24,1627,314,0,1541,1627,424,26,79,319,78.42239185750635,82.79898218829517,0.0,21.57760814249364,1.3231552162849873,4.020356234096692,16.23409669211196
gRNA_CDK19_targ_6284_3811,11966,0,11966,332,10442,1192,227,3655,10442,8084,2,6887,1195,30.54487715193047,87.2639144242019,1.8970416179174328,67.5580812301521,0.016714023065351833,57.55473842553903,9.986628781547719
gRNA_CDK19_targ_6286_3812,1506,0,1506,241,1084,181,3,344,1084,1159,0,978,181,22.84196547144754,71.97875166002656,0.199203187250996,76.95883134130146,0.0,64.9402390438247,12.01859229747676
gRNA_CDK19_targ_6287_3813,1966,0,1966,502,1444,20,269,0,1444,1697,190,1470,37,0.0,73.44862665310275,13.68260427263479,86.31739572736521,9.664292980671414,74.77110885045778,1.8819938962360123
gRNA_CDK19_targ_6288_3814,2577,1,2576,830,1669,77,62,18,1669,2496,0,2417,79,0.6987577639751553,64.79037267080744,2.406832298136646,96.8944099378882,0.0,93.8276397515528,3.0667701863354035
gRNA_CDK19_targ_6289_3815,6710,0,6710,1696,4638,376,20,258,4638,6432,293,5753,386,3.845007451564829,69.12071535022355,0.29806259314456035,95.85692995529061,4.3666169895678095,85.73770491803279,5.752608047690015
gRNA_CDK19_targ_6291_3816,5167,43,5124,459,4655,10,444,0,4655,4680,171,4494,15,0.0,90.84699453551912,8.665105386416862,91.33489461358315,3.337236533957846,87.70491803278688,0.29274004683840754
gRNA_CDK19_targ_6291_3817,5167,45,5122,460,3715,947,444,0,3715,4678,0,3729,949,0.0,72.53026161655603,8.668488871534556,91.33151112846545,0.0,72.80359234673955,18.527918781725887
gRNA_CDK19_targ_6291_3818,5167,45,5122,2629,2319,174,444,0,2319,4678,0,4502,176,0.0,45.275283092541976,8.668488871534556,91.33151112846545,0.0,87.89535337758689,3.436157750878563
gRNA_CDK19_targ_6291_3819,5167,43,5124,459,4660,5,444,1372,4660,3308,172,3127,9,26.775956284153008,90.94457455113194,8.665105386416862,64.55893832943013,3.356752537080406,61.02654176424668,0.1756440281030445
gRNA_CDK19_targ_6291_3820,5167,43,5124,463,2495,2166,444,1,2495,4679,171,2338,2170,0.0195160031225605,48.69242779078844,8.665105386416862,91.31537861046057,3.337236533957846,45.62841530054645,42.349726775956285
gRNA_CDK19_targ_6291_3821,5167,45,5122,1223,2319,1580,444,0,2319,4678,0,3097,1581,0.0,45.275283092541976,8.668488871534556,91.33151112846545,0.0,60.464662241311984,30.866848887153452
gRNA_CDK19_targ_6291_3822,5167,43,5124,462,3900,762,444,2231,3900,2449,172,1511,766,43.540202966432474,76.11241217798595,8.665105386416862,47.794691647150664,3.356752537080406,29.488680718188913,14.949258391881342
gRNA_CDK19_targ_6292_3823,4499,4,4495,37,3683,775,32,0,3683,4463,0,3610,853,0.0,81.93548387096774,0.7119021134593994,99.28809788654061,0.0,80.31145717463849,18.976640711902114
gRNA_CDK19_targ_6292_3824,4499,4,4495,406,3742,347,32,0,3742,4463,0,4038,425,0.0,83.2480533926585,0.7119021134593994,99.28809788654061,0.0,89.83314794215795,9.454949944382648
gRNA_CDK19_targ_6292_3825,4499,4,4495,348,3417,730,32,0,3417,4463,0,3656,807,0.0,76.01779755283648,0.7119021134593994,99.28809788654061,0.0,81.33481646273637,17.953281423804228
gRNA_CDK19_targ_6292_3826,4499,4,4495,405,4037,53,32,14,4037,4449,15,4317,117,0.3114571746384872,89.81090100111234,0.7119021134593994,98.9766407119021,0.33370411568409347,96.04004449388209,2.602892102335929
gRNA_CDK19_targ_6292_3827,4499,4,4495,37,3418,1040,32,1,3418,4462,15,3345,1102,0.02224694104560623,76.04004449388209,0.7119021134593994,99.26585094549499,0.33370411568409347,74.41601779755284,24.516129032258064
gRNA_CDK19_targ_6292_3828,4499,4,4495,695,3726,74,32,0,3726,4463,15,4310,138,0.0,82.89210233592881,0.7119021134593994,99.28809788654061,0.33370411568409347,95.88431590656285,3.0700778642936597
gRNA_CDK19_targ_6292_3829,4499,4,4495,403,3746,346,32,3209,3746,1254,74,830,350,71.39043381535039,83.33704115684093,0.7119021134593994,27.89766407119021,1.646273637374861,18.46496106785317,7.786429365962181
gRNA_CDK19_targ_6293_3830,4050,0,4050,2691,785,574,708,0,785,3342,438,2322,582,0.0,19.38271604938272,17.48148148148148,82.51851851851852,10.814814814814815,57.333333333333336,14.37037037037037
gRNA_CDK19_targ_6293_3831,4050,0,4050,1217,2503,330,708,1173,2503,2169,262,1572,335,28.962962962962962,61.802469135802475,17.48148148148148,53.55555555555556,6.469135802469136,38.81481481481481,8.271604938271606
gRNA_CDK19_targ_6293_3832,4050,0,4050,1546,1132,1372,708,774,1132,2568,438,750,1380,19.11111111111111,27.950617283950617,17.48148148148148,63.40740740740741,10.814814814814815,18.51851851851852,34.074074074074076
gRNA_CDK19_targ_6294_3833,3995,0,3995,183,3565,247,179,515,3565,3301,2,3050,249,12.891113892365457,89.23654568210263,4.480600750938674,82.62828535669587,0.05006257822277847,76.34543178973718,6.23279098873592
gRNA_CDK19_targ_6294_3834,3995,0,3995,960,2769,266,179,0,2769,3816,0,3546,270,0.0,69.3116395494368,4.480600750938674,95.51939924906134,0.0,88.76095118898624,6.758448060075094
gRNA_CDK19_targ_6294_3835,3995,0,3995,427,3034,534,179,2444,3034,1372,2,836,534,61.1764705882353,75.94493116395495,4.480600750938674,34.34292866082603,0.05006257822277847,20.926157697121404,13.366708385481852
gRNA_CDK19_targ_6295_3836,2363,0,2363,56,2303,4,55,2258,2303,50,0,46,4,95.55649597968684,97.46085484553534,2.3275497249259414,2.1159542953872195,0.0,1.946677951756242,0.16927634363097757
gRNA_CDK19_targ_6296_3837,4389,0,4389,1927,1307,1155,1638,1270,1307,1481,9,315,1157,28.93597630439736,29.778992936887672,37.32057416267943,33.74344953292322,0.2050580997949419,7.177033492822966,26.361357940305307
gRNA_CDK19_targ_6299_3838,3346,0,3346,2,2826,518,2,1483,2826,1861,2,1107,752,44.32157800358637,84.4590555887627,0.059772863120143446,55.61864913329349,0.059772863120143446,33.0842797369994,22.474596533173937
gRNA_CDK19_targ_6300_3839,5242,1,5241,804,3206,1231,788,1135,3206,3318,3,2076,1239,21.65617248616676,61.17153215035298,15.035298607136044,63.30852890669719,0.05724098454493417,39.61076130509445,23.640526617057812
gRNA_CDK19_targ_6301_3840,2228,0,2228,3,2222,3,1,1617,2222,610,4,462,144,72.57630161579893,99.73070017953322,0.04488330341113106,27.37881508078995,0.17953321364452424,20.73608617594255,6.463195691202872
gRNA_CDK19_targ_6302_3841,2934,99,2835,1182,1629,24,373,631,1629,1831,760,1007,64,22.257495590828924,57.460317460317455,13.156966490299823,64.58553791887125,26.807760141093475,35.520282186948855,2.2574955908289245
gRNA_CDK19_targ_6303_3842,3837,0,3837,2830,405,602,2758,393,405,686,0,84,602,10.242376856919469,10.55512118842846,71.87907219181653,17.878550951264007,0.0,2.18921032056294,15.689340630701068
gRNA_CDK19_targ_6304_3843,5272,0,5272,1144,3580,548,1057,3325,3580,890,52,282,556,63.06904400606981,67.90591805766313,20.049317147192717,16.88163884673748,0.9863429438543246,5.349013657056146,10.54628224582701
