unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK9_targ_1431_2983,3261,24,3237,2200,945,92,1892,2,945,1343,59,1148,136,0.06178560395427865,29.19369786839666,58.4491813407476,41.489033055298115,1.8226753166512202,35.46493666975595,4.201421068890948
gRNA_CDK9_targ_1431_2984,3261,24,3237,2556,506,175,1892,2,506,1343,59,1065,219,0.06178560395427865,15.6317578004325,58.4491813407476,41.489033055298115,1.8226753166512202,32.90083410565338,6.765523632993513
gRNA_CDK9_targ_1431_2985,3261,24,3237,2093,888,256,1892,436,888,909,38,605,266,13.469261662032746,27.43280815569972,58.4491813407476,28.081556997219646,1.1739264751312943,18.69014519616929,8.21748532591906
gRNA_CDK9_targ_1431_2986,3261,24,3237,2094,508,635,1892,8,508,1337,93,599,645,0.2471424158171146,15.693543404386778,58.4491813407476,41.30367624343528,2.873030583873957,18.504788384306455,19.925857275254867
gRNA_CDK9_targ_1431_2987,3261,24,3237,2191,497,549,1892,0,497,1345,93,693,559,0.0,15.353722582638246,58.4491813407476,41.55081865925239,2.873030583873957,21.408711770157556,17.269076305220885
gRNA_CDK9_targ_1431_2988,3261,24,3237,2190,894,153,1892,264,894,1081,40,880,161,8.155699721964782,27.61816496756256,58.4491813407476,33.39511893728761,1.2357120790855731,27.18566573988261,4.973741118319432
gRNA_CDK9_targ_1432_2989,659,0,659,353,16,290,208,16,16,435,0,145,290,2.4279210925644916,2.4279210925644916,31.56297420333839,66.00910470409713,0.0,22.003034901365705,44.00606980273141
gRNA_CDK9_targ_1433_2990,183,0,183,106,1,76,105,1,1,77,0,1,76,0.546448087431694,0.546448087431694,57.377049180327866,42.07650273224044,0.0,0.546448087431694,41.53005464480874
gRNA_CDK9_targ_1434_2991,808,0,808,377,427,4,201,412,427,195,0,185,10,50.99009900990099,52.84653465346535,24.876237623762375,24.133663366336634,0.0,22.896039603960396,1.2376237623762376
gRNA_CDK9_targ_1438_2992,990,0,990,305,609,76,297,543,609,150,3,71,76,54.848484848484844,61.51515151515151,30.0,15.151515151515152,0.30303030303030304,7.171717171717172,7.6767676767676765
gRNA_CDK9_targ_1439_2993,1062,160,902,156,506,240,155,471,506,276,5,31,240,52.21729490022173,56.09756097560976,17.184035476718403,30.598669623059866,0.5543237250554324,3.436807095343681,26.607538802660752
gRNA_CDK9_targ_1440_2994,705,0,705,9,548,148,7,540,548,158,0,10,148,76.59574468085107,77.73049645390071,0.9929078014184398,22.411347517730494,0.0,1.4184397163120568,20.99290780141844
gRNA_CDK9_targ_1441_2995,483,1,482,380,101,1,253,0,101,229,0,228,1,0.0,20.95435684647303,52.4896265560166,47.5103734439834,0.0,47.30290456431535,0.2074688796680498
gRNA_CDK9_targ_1441_2996,483,1,482,416,64,2,253,2,64,227,0,225,2,0.4149377593360996,13.278008298755188,52.4896265560166,47.0954356846473,0.0,46.6804979253112,0.4149377593360996
gRNA_CDK9_targ_1441_2997,483,1,482,263,218,1,253,113,218,116,0,115,1,23.443983402489625,45.22821576763486,52.4896265560166,24.066390041493776,0.0,23.858921161825727,0.2074688796680498
gRNA_CDK9_targ_1441_2998,483,1,482,375,59,48,253,0,59,229,0,181,48,0.0,12.240663900414937,52.4896265560166,47.5103734439834,0.0,37.551867219917014,9.95850622406639
gRNA_CDK9_targ_1441_2999,483,1,482,263,101,118,253,1,101,228,0,110,118,0.2074688796680498,20.95435684647303,52.4896265560166,47.30290456431535,0.0,22.821576763485478,24.481327800829874
gRNA_CDK9_targ_1441_3000,483,1,482,260,61,161,253,1,61,228,0,67,161,0.2074688796680498,12.655601659751037,52.4896265560166,47.30290456431535,0.0,13.900414937759336,33.40248962655601
gRNA_CDK9_targ_1441_3001,483,1,482,378,104,0,253,0,104,229,0,229,0,0.0,21.57676348547718,52.4896265560166,47.5103734439834,0.0,47.5103734439834,0.0
gRNA_CDK9_targ_1442_3002,425,33,392,347,44,1,187,0,44,205,0,204,1,0.0,11.224489795918368,47.704081632653065,52.295918367346935,0.0,52.04081632653062,0.25510204081632654
gRNA_CDK9_targ_1442_3003,425,33,392,236,138,18,187,1,138,204,0,186,18,0.25510204081632654,35.204081632653065,47.704081632653065,52.04081632653062,0.0,47.44897959183674,4.591836734693878
gRNA_CDK9_targ_1442_3004,425,33,392,194,198,0,187,0,198,205,0,205,0,0.0,50.51020408163265,47.704081632653065,52.295918367346935,0.0,52.295918367346935,0.0
gRNA_CDK9_targ_1442_3005,425,33,392,392,0,0,187,0,0,205,0,205,0,0.0,0.0,47.704081632653065,52.295918367346935,0.0,52.295918367346935,0.0
gRNA_CDK9_targ_1442_3006,425,33,392,211,2,179,187,0,2,205,0,26,179,0.0,0.5102040816326531,47.704081632653065,52.295918367346935,0.0,6.63265306122449,45.66326530612245
