unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6347_3994,9753,325,9428,631,7215,1582,1,306,7215,9121,12,7521,1588,3.245651251591006,76.52736529486636,0.010606703436571913,96.74374204497242,0.12728044123886295,79.77301654645737,16.8434450572762
gRNA_CDK19_targ_6347_3995,9753,325,9428,940,8440,48,1,269,8440,9158,2,9039,117,2.853203224437845,89.52057700466695,0.010606703436571913,97.13619007212559,0.021213406873143825,95.87399236317353,1.2409843020789137
gRNA_CDK19_targ_6347_3996,9753,325,9428,2159,7220,49,1,0,7220,9427,2,9318,107,0.0,76.58039881204921,0.010606703436571913,99.98939329656343,0.021213406873143825,98.8332626219771,1.1349172677131947
gRNA_CDK19_targ_6347_3997,9753,325,9428,1860,7474,94,1,0,7474,9427,2,9325,100,0.0,79.27450148493848,0.010606703436571913,99.98939329656343,0.021213406873143825,98.90750954603308,1.0606703436571912
gRNA_CDK19_targ_6347_3998,9753,325,9428,621,8721,86,1,4394,8721,5033,16,4929,88,46.60585490029699,92.50106067034366,0.010606703436571913,53.38353839626644,0.1697072549851506,52.28044123886296,0.9333899024183283
gRNA_CDK19_targ_6347_3999,9753,325,9428,625,7175,1628,1,1606,7175,7821,2,6185,1634,17.03436571913449,76.10309715740348,0.010606703436571913,82.95502757742894,0.021213406873143825,65.60246075519728,17.331353415358507
gRNA_CDK19_targ_6348_4000,7609,6,7603,2873,4359,371,214,0,4359,7389,8,6903,478,0.0,57.33263185584637,2.8146784164145733,97.18532158358542,0.10522162304353545,90.79310798369065,6.286991976851243
gRNA_CDK19_targ_6348_4001,7609,6,7603,247,6517,839,214,5,6517,7384,111,6427,846,0.06576351440220965,85.71616467184006,2.8146784164145733,97.11955806918323,1.4599500197290542,84.53242141260029,11.127186636853875
gRNA_CDK19_targ_6348_4002,7609,6,7603,1903,5502,198,214,1,5502,7388,6,7077,305,0.013152702880441932,72.3661712481915,2.8146784164145733,97.17216888070499,0.07891621728265158,93.08167828488754,4.011574378534789
gRNA_CDK19_targ_6348_4003,7609,6,7603,422,4719,2462,214,315,4719,7074,9,4600,2465,4.143101407339208,62.06760489280547,2.8146784164145733,93.04222017624622,0.11837432592397738,60.50243325003288,32.421412600289365
gRNA_CDK19_targ_6348_4004,7609,6,7603,932,3728,2943,214,0,3728,7389,9,4333,3047,0.0,49.03327633828752,2.8146784164145733,97.18532158358542,0.11837432592397738,56.990661580954885,40.07628567670656
gRNA_CDK19_targ_6348_4005,7609,6,7603,1074,5688,841,214,772,5688,6617,10,5761,846,10.15388662370117,74.8125739839537,2.8146784164145733,87.03143495988425,0.1315270288044193,75.77272129422596,11.127186636853875
gRNA_CDK19_targ_6348_4006,7609,6,7603,916,6000,687,214,1254,6000,6135,8,5335,792,16.49348941207418,78.91621728265157,2.8146784164145733,80.69183217151125,0.10522162304353545,70.16966986715771,10.41694068131001
gRNA_CDK19_targ_6349_4007,3119,9,3110,732,2349,29,31,0,2349,3079,0,2449,630,0.0,75.53054662379421,0.9967845659163986,99.0032154340836,0.0,78.7459807073955,20.257234726688104
gRNA_CDK19_targ_6349_4008,3119,9,3110,34,2826,250,31,0,2826,3079,0,2226,853,0.0,90.86816720257235,0.9967845659163986,99.0032154340836,0.0,71.57556270096464,27.427652733118972
