Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.0,100.0,1640,1639,1519,0,1519,0,0,7,1519,0,0,1512,0,0,7,0,gRNA_CDK7_targ_18_20
Reference,15.87301587,84.12698413,1640,1639,63,10,53,0,0,0,53,0,0,53,0,0,0,0,gRNA_CDK7_targ_18_21
HDR,0.0,100.0,1640,1639,1350,0,1350,0,0,6,1348,0,2,1344,0,0,4,0,gRNA_CDK7_targ_18_21
Reference,13.69863014,86.30136986,1640,1639,73,10,63,0,0,0,63,0,0,63,0,0,0,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,1640,1639,1304,0,1304,0,0,6,1302,0,2,1298,0,0,4,0,gRNA_CDK7_targ_18_22
Reference,16.39344262,83.60655738,1640,1639,61,10,51,0,0,0,51,0,0,51,0,0,0,0,gRNA_CDK7_targ_18_23
HDR,11.74968072,88.25031928,1640,1639,1566,184,1382,0,0,7,1380,0,2,1375,0,0,5,0,gRNA_CDK7_targ_18_23
Reference,13.69863014,86.30136986,1640,1639,73,10,63,0,0,0,63,0,0,63,0,0,0,0,gRNA_CDK7_targ_18_24
HDR,66.8370607,33.1629393,1640,1639,1565,1046,519,0,0,7,513,0,6,512,0,0,1,0,gRNA_CDK7_targ_18_24
Reference,72.0,28.0,1889,1889,25,18,7,0,2,0,6,1,0,5,0,1,0,0,gRNA_CDK7_targ_19_25
HDR,0.0,100.0,1889,1889,1863,0,1863,0,0,169,1710,0,153,1694,0,0,16,0,gRNA_CDK7_targ_19_25
Reference,78.26086957,21.73913043,1889,1889,23,18,5,0,1,0,5,0,0,4,0,1,0,0,gRNA_CDK7_targ_19_26
HDR,0.0,100.0,1889,1889,1732,0,1732,0,0,169,1579,0,153,1563,0,0,16,0,gRNA_CDK7_targ_19_26
Reference,72.0,28.0,1889,1889,25,18,7,0,2,0,6,1,0,5,0,1,0,0,gRNA_CDK7_targ_19_27
HDR,63.25107296,36.74892704,1889,1889,1864,1179,685,0,0,169,529,0,156,516,0,0,13,0,gRNA_CDK7_targ_19_27
Reference,14.06844106,85.93155894,1205,1204,526,74,452,0,0,0,452,0,0,452,0,0,0,0,gRNA_CDK7_targ_20_28
HDR,0.4552352,99.5447648,1205,1204,659,3,656,0,0,0,656,0,0,656,0,0,0,0,gRNA_CDK7_targ_20_28
Reference,52.11267606,47.88732394,1205,1204,142,74,68,0,0,0,68,0,0,68,0,0,0,0,gRNA_CDK7_targ_20_29
HDR,31.07344633,68.92655367,1205,1204,1062,330,732,0,0,0,732,0,0,732,0,0,0,0,gRNA_CDK7_targ_20_29
Reference,54.01459854,45.98540146,1205,1204,137,74,63,0,0,0,63,0,0,63,0,0,0,0,gRNA_CDK7_targ_20_30
HDR,80.80357143,19.19642857,1205,1204,672,543,129,0,0,0,129,0,0,129,0,0,0,0,gRNA_CDK7_targ_20_30
Reference,38.44936709,61.55063291,2736,2734,632,243,389,0,8,57,380,6,1,326,2,0,54,0,gRNA_CDK7_targ_23_31
HDR,70.93425606,29.06574394,2736,2734,1445,1025,420,0,113,15,305,102,12,293,1,10,2,0,gRNA_CDK7_targ_23_31
Reference,65.0887574,34.9112426,3472,3472,338,220,118,0,0,0,118,0,0,118,0,0,0,0,gRNA_CDK7_targ_24_32
HDR,45.52420759,54.47579241,3472,3472,2871,1307,1564,0,3,2,1561,3,0,1559,0,0,2,0,gRNA_CDK7_targ_24_32
Reference,34.92063492,65.07936508,1024,1024,819,286,533,0,0,0,533,0,0,533,0,0,0,0,gRNA_CDK7_targ_28_33
HDR,67.15686275,32.84313725,1024,1024,204,137,67,0,0,0,67,0,0,67,0,0,0,0,gRNA_CDK7_targ_28_33
Reference,2.06378987,97.93621013,1977,1976,1066,22,1044,0,0,11,1034,0,10,1033,0,0,1,0,gRNA_CDK7_targ_29_34
HDR,0.0,100.0,1977,1976,908,0,908,0,0,1,908,0,0,907,0,0,1,0,gRNA_CDK7_targ_29_34
Reference,9.73451327,90.26548673,1977,1976,226,22,204,0,0,12,194,0,10,192,0,0,2,0,gRNA_CDK7_targ_29_35
HDR,2.23112128,97.76887872,1977,1976,1748,39,1709,0,0,0,1709,0,0,1709,0,0,0,0,gRNA_CDK7_targ_29_35
Reference,1.3986014,98.6013986,1977,1976,1573,22,1551,0,0,12,1541,0,10,1539,0,0,2,0,gRNA_CDK7_targ_29_36
HDR,0.0,100.0,1977,1976,397,0,397,0,0,0,397,0,0,397,0,0,0,0,gRNA_CDK7_targ_29_36
Reference,4.67091295,95.32908705,1977,1976,471,22,449,0,0,11,439,0,10,438,0,0,1,0,gRNA_CDK7_targ_29_37
HDR,0.0,100.0,1977,1976,1502,0,1502,0,0,1,1502,0,0,1501,0,0,1,0,gRNA_CDK7_targ_29_37
Reference,33.33333333,66.66666667,1977,1976,66,22,44,0,0,11,34,0,10,33,0,0,1,0,gRNA_CDK7_targ_29_38
HDR,25.10013351,74.89986649,1977,1976,749,188,561,0,0,0,561,0,0,561,0,0,0,0,gRNA_CDK7_targ_29_38
Reference,2.50284414,97.49715586,1977,1976,879,22,857,0,0,11,847,0,10,846,0,0,1,0,gRNA_CDK7_targ_29_39
HDR,0.0,100.0,1977,1976,216,0,216,0,0,0,216,0,0,216,0,0,0,0,gRNA_CDK7_targ_29_39
