gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_33,2575.0,1640.0,5610.0,6336.0,2586.0,985.0,275.0,1915.0,3807.0,3121.0,5374.0,1992.0,10627.0
gRNA_CDK7_targ_34,3589.0,3585.0,4301.0,3247.0,2975.0,696.0,270.0,1025.0,961.0,346.0,424.0,16592.0,8011.0
gRNA_CDK7_targ_35,19945.0,14488.0,29297.0,27386.0,9329.0,6417.0,1202.0,8262.0,14663.0,18302.0,18334.0,15908.0,24169.0
gRNA_CDK7_targ_36,5563.0,3501.0,7498.0,4428.0,5277.0,2336.0,171.0,2583.0,2844.0,2429.0,1883.0,327.0,8901.0
gRNA_CDK7_targ_37,1212.0,1044.0,1279.0,904.0,1616.0,780.0,56.0,259.0,1272.0,698.0,907.0,5159.0,6263.0
gRNA_CDK7_targ_38,776.0,127.0,548.0,1160.0,462.0,190.0,34.0,67.0,714.0,77.0,108.0,2127.0,7052.0
gRNA_CDK7_targ_39,3144.0,2009.0,4669.0,3196.0,3638.0,1109.0,200.0,1688.0,2066.0,2248.0,2218.0,3192.0,13144.0
gRNA_CDK7_targ_40,1902.0,2555.0,2175.0,4046.0,2730.0,1073.0,236.0,932.0,1263.0,1701.0,1433.0,1487.0,10623.0
gRNA_CDK7_targ_41,3800.0,5683.0,7504.0,11322.0,4174.0,2709.0,470.0,5588.0,5680.0,3592.0,4622.0,2833.0,17948.0
gRNA_CDK7_targ_42,1560.0,966.0,2802.0,2110.0,784.0,1052.0,63.0,179.0,784.0,383.0,3661.0,1621.0,11246.0
gRNA_CDK7_targ_43,1149.0,1752.0,1009.0,2305.0,558.0,791.0,39.0,196.0,552.0,923.0,4010.0,2983.0,11230.0
