gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK6_targ_8065,2834.0,4519.0,2281.0,2374.0,951.0,5610.0,2735.0,1544.0,19824.0,2797.0,9682.0,8900.0,8342.0,5462.0,3967.0,2798.0,11007.0,207.0,1330.0,23667.0,3994.0,457.0,60.0,5675.0,5057.0
gRNA_CDK6_targ_8066,2519.0,2096.0,1839.0,1586.0,654.0,2913.0,1199.0,1192.0,11421.0,2864.0,1721.0,1835.0,1903.0,2210.0,3468.0,3765.0,1803.0,124.0,431.0,2044.0,2397.0,274.0,69.0,2130.0,5303.0
gRNA_CDK6_targ_8067,1457.0,3051.0,1203.0,1334.0,348.0,2325.0,1911.0,3799.0,10426.0,7241.0,14058.0,4610.0,4436.0,3138.0,3848.0,7961.0,9981.0,158.0,1491.0,3312.0,3006.0,493.0,119.0,5173.0,4330.0
gRNA_CDK6_targ_8068,1538.0,1911.0,3186.0,2793.0,718.0,4624.0,2662.0,2688.0,10500.0,5935.0,9784.0,2742.0,7691.0,3948.0,5956.0,7525.0,5607.0,99.0,863.0,966.0,2955.0,308.0,241.0,1292.0,4425.0
gRNA_CDK6_targ_8069,1152.0,2741.0,1177.0,5207.0,518.0,2306.0,2192.0,2918.0,27377.0,6906.0,7220.0,4960.0,5178.0,8050.0,5269.0,6018.0,3783.0,135.0,3761.0,11161.0,1219.0,187.0,707.0,2868.0,3742.0
gRNA_CDK6_targ_8070,1732.0,1242.0,887.0,1661.0,538.0,1443.0,976.0,4325.0,7951.0,2929.0,3813.0,2177.0,5365.0,3050.0,3315.0,2569.0,4270.0,85.0,1705.0,380.0,1771.0,274.0,13.0,3778.0,4567.0
gRNA_CDK6_targ_8071,802.0,1032.0,1058.0,933.0,377.0,3283.0,1238.0,1431.0,6311.0,2099.0,2251.0,6970.0,2563.0,1560.0,4190.0,6652.0,2944.0,131.0,2199.0,8927.0,4467.0,432.0,58.0,1755.0,2720.0
gRNA_CDK6_targ_8072,789.0,1452.0,373.0,819.0,30.0,56.0,664.0,257.0,3465.0,803.0,625.0,1050.0,604.0,689.0,1981.0,210.0,884.0,17.0,477.0,8.0,897.0,110.0,31.0,18.0,1778.0
gRNA_CDK6_targ_8073,1484.0,2280.0,1808.0,1917.0,801.0,3933.0,1903.0,4281.0,11094.0,6991.0,8938.0,4785.0,7083.0,4401.0,3882.0,4378.0,7780.0,127.0,4897.0,7970.0,3417.0,346.0,41.0,2741.0,3352.0
gRNA_CDK6_targ_8074,1168.0,2044.0,1108.0,1428.0,441.0,2374.0,1429.0,1537.0,13212.0,3353.0,3327.0,3554.0,4751.0,3519.0,4801.0,1799.0,4712.0,74.0,1902.0,2996.0,3895.0,327.0,157.0,1278.0,2895.0
gRNA_CDK6_targ_8075,2637.0,1417.0,1227.0,1514.0,212.0,3661.0,1216.0,822.0,2957.0,3032.0,3246.0,2531.0,6022.0,2159.0,2670.0,4719.0,2793.0,77.0,924.0,3711.0,1380.0,157.0,35.0,1685.0,2810.0
gRNA_CDK6_targ_8076,1682.0,882.0,1194.0,882.0,443.0,655.0,1077.0,357.0,4279.0,2085.0,1609.0,811.0,1668.0,276.0,1669.0,256.0,1987.0,36.0,320.0,573.0,5267.0,458.0,29.0,522.0,2370.0
gRNA_CDK6_targ_8077,2130.0,2358.0,1588.0,1402.0,743.0,3935.0,1081.0,1060.0,6404.0,2078.0,4699.0,2354.0,3712.0,275.0,2853.0,1891.0,1488.0,77.0,1087.0,2749.0,1004.0,129.0,49.0,1944.0,3793.0
gRNA_CDK6_targ_8078,2573.0,2304.0,1582.0,1001.0,605.0,431.0,1221.0,312.0,6696.0,2138.0,940.0,4031.0,4967.0,2131.0,3561.0,1316.0,5525.0,75.0,2944.0,736.0,609.0,129.0,19.0,824.0,4075.0
gRNA_CDK6_targ_8079,3303.0,3306.0,3596.0,3641.0,691.0,315.0,2079.0,2643.0,18990.0,4766.0,13322.0,5658.0,10065.0,7151.0,8732.0,9194.0,10669.0,176.0,926.0,1323.0,11317.0,972.0,223.0,5313.0,6502.0
gRNA_CDK6_targ_8080,1158.0,1376.0,1157.0,1118.0,868.0,3050.0,5702.0,4855.0,24732.0,8120.0,8600.0,7718.0,11623.0,6488.0,4404.0,5747.0,7255.0,138.0,2944.0,5007.0,7406.0,800.0,318.0,2180.0,5469.0
gRNA_CDK6_targ_8081,1956.0,3423.0,1745.0,1983.0,512.0,2342.0,4224.0,5878.0,20768.0,12928.0,13200.0,14003.0,25412.0,10172.0,4536.0,7892.0,4983.0,213.0,3890.0,14575.0,8114.0,2728.0,410.0,4050.0,5580.0
gRNA_CDK6_targ_8082,1262.0,943.0,1017.0,811.0,92.0,1221.0,1085.0,1688.0,6310.0,2354.0,2053.0,2550.0,1638.0,1427.0,1892.0,1475.0,3213.0,47.0,306.0,1257.0,615.0,82.0,80.0,300.0,3195.0
gRNA_CDK6_targ_8083,2637.0,1565.0,1420.0,731.0,211.0,65.0,1637.0,1435.0,13122.0,3474.0,3541.0,3149.0,3019.0,2961.0,3662.0,6135.0,2619.0,67.0,525.0,1424.0,5484.0,592.0,140.0,2938.0,6015.0
gRNA_CDK6_targ_8084,3361.0,2333.0,1901.0,2502.0,820.0,8569.0,2849.0,3879.0,17938.0,9831.0,8881.0,5432.0,10262.0,6043.0,5043.0,9032.0,11749.0,216.0,2046.0,6254.0,5324.0,667.0,227.0,9485.0,3501.0
gRNA_CDK6_targ_8085,2420.0,2499.0,1029.0,3539.0,1106.0,6019.0,7430.0,2694.0,32817.0,8749.0,13890.0,8604.0,26933.0,4466.0,5540.0,3159.0,10164.0,196.0,7254.0,4469.0,1900.0,713.0,382.0,6669.0,3693.0
