gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK6_targ_8318,2819.0,3646.0,5489.0,2551.0,2733.0,5174.0,3501.0,2170.0,2298.0,802.0,2205.0,4101.0,6105.0,3540.0,3891.0,3967.0,3507.0,4704.0,2791.0,3794.0,4094.0,5936.0,1955.0,2899.0,1303.0
gRNA_CDK6_targ_8319,9263.0,13763.0,11058.0,10693.0,11755.0,12768.0,11086.0,17096.0,8550.0,6721.0,5346.0,9355.0,7506.0,5419.0,8914.0,3185.0,6257.0,12532.0,4400.0,7458.0,13598.0,10253.0,9159.0,15733.0,3598.0
gRNA_CDK6_targ_8320,2976.0,3871.0,3055.0,3242.0,4389.0,4580.0,4736.0,4098.0,3872.0,681.0,1991.0,2860.0,4086.0,2262.0,5034.0,3116.0,2911.0,3715.0,2265.0,2219.0,3299.0,5336.0,2067.0,5095.0,1862.0
gRNA_CDK6_targ_8321,3245.0,6351.0,2537.0,2715.0,1428.0,1638.0,4174.0,4441.0,2988.0,1309.0,2755.0,5512.0,6294.0,2988.0,4198.0,4926.0,3171.0,6250.0,1763.0,3382.0,5251.0,4666.0,3117.0,4881.0,1533.0
gRNA_CDK6_targ_8322,2264.0,4889.0,1746.0,3034.0,5196.0,4595.0,2498.0,4408.0,2542.0,3729.0,1796.0,1855.0,4571.0,3741.0,5152.0,4547.0,4166.0,8266.0,2179.0,3155.0,5697.0,4603.0,2251.0,6080.0,1258.0
gRNA_CDK6_targ_8323,2327.0,5138.0,2421.0,5965.0,2614.0,2922.0,5110.0,3090.0,3373.0,1564.0,3314.0,5371.0,5693.0,3868.0,4078.0,6393.0,3721.0,5569.0,2064.0,5043.0,5442.0,5931.0,2058.0,4034.0,1877.0
gRNA_CDK6_targ_8324,4483.0,6144.0,5685.0,7307.0,5343.0,4573.0,3897.0,3315.0,4568.0,1020.0,2841.0,2999.0,6764.0,3786.0,8618.0,6116.0,4574.0,4180.0,3080.0,6549.0,7698.0,6854.0,6266.0,6737.0,3193.0
gRNA_CDK6_targ_8325,1259.0,2170.0,2435.0,575.0,706.0,789.0,820.0,1060.0,1160.0,547.0,1366.0,1771.0,3127.0,387.0,1156.0,3037.0,1969.0,2228.0,1309.0,2556.0,2085.0,3318.0,1482.0,1283.0,1187.0
gRNA_CDK6_targ_8326,895.0,1813.0,1636.0,195.0,1158.0,537.0,1316.0,1619.0,2143.0,1291.0,2401.0,1118.0,4684.0,1885.0,3141.0,3269.0,1786.0,781.0,1618.0,2949.0,2054.0,2730.0,1053.0,1809.0,1273.0
gRNA_CDK6_targ_8327,1367.0,2465.0,2230.0,2001.0,2020.0,897.0,1668.0,547.0,1829.0,1648.0,1644.0,847.0,4070.0,2080.0,4401.0,4358.0,2158.0,899.0,1503.0,3288.0,2619.0,3144.0,1099.0,1568.0,1488.0
gRNA_CDK6_targ_8328,1501.0,2148.0,3057.0,1502.0,1333.0,694.0,1826.0,311.0,1524.0,695.0,2552.0,4139.0,3263.0,3749.0,1604.0,7723.0,2577.0,3419.0,1898.0,4246.0,3247.0,3868.0,1703.0,2579.0,1714.0
gRNA_CDK6_targ_8329,2792.0,1816.0,1985.0,1413.0,1846.0,741.0,1810.0,372.0,1875.0,645.0,1486.0,583.0,2898.0,1189.0,4644.0,3795.0,2015.0,1618.0,1097.0,3388.0,2169.0,4053.0,2027.0,2457.0,1076.0
gRNA_CDK6_targ_8330,850.0,1814.0,818.0,389.0,582.0,657.0,3413.0,394.0,1088.0,366.0,2079.0,3118.0,4556.0,1800.0,1159.0,4235.0,2087.0,1157.0,851.0,2542.0,1830.0,2783.0,1275.0,1987.0,836.0
gRNA_CDK6_targ_8331,787.0,960.0,827.0,477.0,508.0,147.0,259.0,488.0,393.0,483.0,1312.0,987.0,2398.0,1158.0,1570.0,3239.0,1429.0,794.0,977.0,2048.0,1496.0,2317.0,462.0,849.0,729.0
gRNA_CDK6_targ_8332,905.0,1322.0,1415.0,1055.0,634.0,643.0,726.0,217.0,1522.0,561.0,2373.0,2357.0,7369.0,2756.0,1513.0,4328.0,2639.0,2078.0,1593.0,3023.0,2016.0,3280.0,1276.0,1009.0,1030.0
gRNA_CDK6_targ_8333,2820.0,4541.0,3394.0,3568.0,2577.0,2657.0,2149.0,3966.0,2188.0,862.0,2807.0,4903.0,6025.0,4363.0,7888.0,3659.0,4136.0,4271.0,3187.0,3294.0,4376.0,6508.0,2909.0,4256.0,2105.0
gRNA_CDK6_targ_8334,121.0,240.0,337.0,198.0,90.0,71.0,196.0,27.0,99.0,55.0,586.0,973.0,2191.0,602.0,100.0,2980.0,505.0,329.0,328.0,1383.0,344.0,598.0,497.0,496.0,276.0
gRNA_CDK6_targ_8335,265.0,250.0,90.0,73.0,136.0,8.0,82.0,49.0,214.0,56.0,243.0,83.0,968.0,973.0,862.0,2271.0,505.0,425.0,413.0,882.0,282.0,974.0,204.0,204.0,356.0
gRNA_CDK6_targ_8336,1644.0,4559.0,2872.0,1993.0,2402.0,991.0,1954.0,747.0,1482.0,1697.0,1770.0,1966.0,4125.0,5324.0,3368.0,7275.0,3523.0,2979.0,2208.0,4215.0,4827.0,4330.0,1931.0,2307.0,1156.0
