gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK9_targ_1250,16147.0,14636.0,14435.0,13920.0,17457.0,20482.0,21949.0,21363.0,12114.0,7031.0,13067.0,3151.0,17556.0,15820.0,3071.0,42446.0,8609.0,26718.0,4261.0,2676.0,13551.0,23962.0,1029.0,11469.0,8379.0,14211.0,534.0,5170.0,15248.0,20145.0,14926.0
gRNA_CDK9_targ_1251,8270.0,7626.0,5078.0,20596.0,6767.0,17662.0,6754.0,13053.0,6539.0,3371.0,28374.0,4184.0,7190.0,7004.0,1572.0,9977.0,5608.0,5715.0,1349.0,1103.0,4920.0,9001.0,456.0,6276.0,8376.0,5424.0,2427.0,1934.0,5670.0,8820.0,5870.0
gRNA_CDK9_targ_1252,5707.0,5616.0,4206.0,7583.0,4766.0,4728.0,8324.0,9103.0,4622.0,41125.0,5442.0,1136.0,4986.0,4874.0,1347.0,21817.0,4319.0,15464.0,3406.0,1608.0,3356.0,7006.0,543.0,3176.0,3029.0,4674.0,308.0,4210.0,4355.0,6760.0,4478.0
gRNA_CDK9_targ_1253,12409.0,16076.0,12982.0,6903.0,14433.0,26544.0,15424.0,15544.0,6837.0,5139.0,14533.0,3056.0,14609.0,13141.0,2771.0,49975.0,2764.0,29448.0,4265.0,1984.0,9549.0,17553.0,596.0,10822.0,6342.0,14042.0,1432.0,4133.0,11152.0,13889.0,17003.0
gRNA_CDK9_targ_1254,12798.0,21696.0,14418.0,24588.0,15098.0,46721.0,12072.0,13408.0,7403.0,11147.0,13221.0,2823.0,13621.0,11526.0,3744.0,33815.0,9988.0,27276.0,4265.0,2993.0,9564.0,15405.0,523.0,46222.0,20282.0,12305.0,673.0,16773.0,14772.0,22023.0,11219.0
gRNA_CDK9_targ_1255,25474.0,21643.0,16386.0,28494.0,9155.0,14539.0,7441.0,12638.0,2932.0,6193.0,6089.0,1661.0,8442.0,7202.0,2987.0,849.0,2502.0,29415.0,3936.0,5854.0,6317.0,12149.0,490.0,24739.0,17185.0,12916.0,436.0,13254.0,7855.0,11959.0,17811.0
gRNA_CDK9_targ_1256,11403.0,12283.0,10071.0,11548.0,5274.0,28062.0,3909.0,5371.0,2005.0,3138.0,9690.0,1412.0,4266.0,3706.0,1420.0,2418.0,2053.0,11928.0,1537.0,2121.0,5124.0,9184.0,1195.0,2587.0,2739.0,4963.0,257.0,3038.0,6603.0,9722.0,11204.0
gRNA_CDK9_targ_1257,19625.0,18479.0,15049.0,17955.0,12879.0,10727.0,9503.0,9631.0,5951.0,4129.0,9290.0,1500.0,5614.0,4735.0,2561.0,40335.0,7000.0,24331.0,3318.0,2082.0,10036.0,16030.0,1135.0,13017.0,3584.0,12888.0,420.0,6140.0,13624.0,17116.0,16678.0
gRNA_CDK9_targ_1258,13720.0,11439.0,9742.0,16666.0,13726.0,17166.0,13330.0,17833.0,7706.0,6050.0,14293.0,2933.0,15121.0,12803.0,2534.0,29979.0,10929.0,35117.0,4457.0,6018.0,9910.0,16475.0,711.0,4349.0,16359.0,10120.0,532.0,10772.0,7996.0,10643.0,12392.0
gRNA_CDK9_targ_1259,14205.0,9375.0,6570.0,6094.0,6402.0,6690.0,9185.0,11825.0,4725.0,5430.0,5014.0,1438.0,8357.0,7521.0,2342.0,26536.0,1931.0,17399.0,2499.0,3133.0,7747.0,13234.0,709.0,15606.0,3995.0,8235.0,293.0,3513.0,6811.0,10472.0,8507.0
gRNA_CDK9_targ_1260,8164.0,8821.0,6380.0,7783.0,8192.0,20461.0,8884.0,10355.0,5513.0,4633.0,8538.0,2225.0,12866.0,10715.0,1821.0,11608.0,14416.0,19105.0,2452.0,2124.0,5839.0,9850.0,1272.0,5437.0,14823.0,8668.0,452.0,6762.0,5298.0,6799.0,7394.0
gRNA_CDK9_targ_1261,9314.0,9814.0,9208.0,23699.0,10435.0,16195.0,8383.0,8556.0,6086.0,9797.0,29273.0,4263.0,12556.0,10937.0,2534.0,1831.0,10309.0,21359.0,2785.0,4081.0,8230.0,13299.0,516.0,10080.0,9094.0,9249.0,805.0,5018.0,6476.0,8689.0,9917.0
