gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK13_targ_4640,1546.0,587.0,4516.0,564.0,399.0,1625.0,1428.0,938.0,1376.0,1002.0,109.0,891.0,216.0,417.0,1238.0,4463.0
gRNA_CDK13_targ_4641,974.0,230.0,1903.0,253.0,1454.0,11472.0,450.0,1461.0,435.0,834.0,867.0,1081.0,1392.0,1172.0,1149.0,5919.0
gRNA_CDK13_targ_4642,2570.0,1218.0,1480.0,1103.0,571.0,798.0,1386.0,953.0,1898.0,1404.0,119.0,74.0,1506.0,82.0,5592.0,4697.0
gRNA_CDK13_targ_4643,1567.0,2007.0,1112.0,2075.0,1457.0,1392.0,1422.0,2432.0,6300.0,5170.0,1392.0,3489.0,3826.0,1965.0,4571.0,7451.0
gRNA_CDK13_targ_4644,5590.0,1269.0,4127.0,6076.0,3625.0,1935.0,4096.0,1531.0,1001.0,1580.0,4167.0,3399.0,1594.0,2832.0,11147.0,7411.0
gRNA_CDK13_targ_4645,2096.0,966.0,2859.0,1461.0,5107.0,501.0,2573.0,2508.0,616.0,4711.0,1698.0,1279.0,1458.0,3844.0,2498.0,6994.0
gRNA_CDK13_targ_4646,1393.0,857.0,504.0,544.0,994.0,540.0,1152.0,544.0,1288.0,568.0,317.0,1568.0,583.0,186.0,2300.0,7781.0
gRNA_CDK13_targ_4647,795.0,270.0,719.0,2744.0,1622.0,168.0,279.0,3597.0,94.0,190.0,271.0,880.0,489.0,194.0,361.0,4464.0
gRNA_CDK13_targ_4648,7986.0,5468.0,4906.0,4519.0,3678.0,5701.0,6129.0,5925.0,9979.0,4692.0,2190.0,5238.0,3885.0,1685.0,6962.0,10430.0
gRNA_CDK13_targ_4649,4880.0,1532.0,3608.0,1311.0,1889.0,3615.0,2626.0,6277.0,3673.0,4090.0,811.0,3033.0,1656.0,506.0,6704.0,10632.0
