gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,7486.0,2860.0,5070.0,2137.0,6851.0,1732.0,2650.0,2453.0,1479.0,1577.0,1556.0,2305.0,1071.0,1198.0,1408.0,12919.0
gRNA_CDK12_targ_1741,9233.0,2891.0,2863.0,3596.0,19958.0,2592.0,3820.0,4760.0,6087.0,4023.0,6324.0,2056.0,3427.0,5305.0,4901.0,12437.0
gRNA_CDK12_targ_1742,12607.0,1685.0,4875.0,1416.0,5738.0,2047.0,1765.0,5091.0,7704.0,2662.0,6296.0,1098.0,2479.0,1906.0,7521.0,7693.0
gRNA_CDK12_targ_1743,9113.0,1802.0,2231.0,2984.0,6129.0,1880.0,14121.0,5115.0,3879.0,2422.0,2536.0,2697.0,3231.0,1024.0,1315.0,5488.0
gRNA_CDK12_targ_1744,22362.0,2244.0,3335.0,2572.0,8530.0,1647.0,6994.0,3625.0,9775.0,1702.0,3749.0,3627.0,1498.0,5142.0,1359.0,12356.0
gRNA_CDK12_targ_1745,18787.0,928.0,7756.0,3129.0,5526.0,2693.0,2579.0,1620.0,2395.0,843.0,577.0,923.0,701.0,315.0,1860.0,9073.0
gRNA_CDK12_targ_1746,19338.0,3005.0,4691.0,5166.0,12556.0,2169.0,3368.0,5298.0,3273.0,5287.0,6486.0,2131.0,8479.0,2333.0,1697.0,9632.0
gRNA_CDK12_targ_1747,27008.0,9558.0,6817.0,3293.0,7629.0,6784.0,3995.0,8481.0,10494.0,3360.0,2739.0,800.0,2051.0,3309.0,1862.0,10056.0
gRNA_CDK12_targ_1748,4105.0,8498.0,6438.0,5092.0,17636.0,3271.0,9206.0,13638.0,10498.0,1000.0,3661.0,12903.0,4312.0,3390.0,12932.0,8242.0
gRNA_CDK12_targ_1749,13896.0,2331.0,4227.0,2456.0,13416.0,2009.0,6562.0,8714.0,5198.0,9328.0,3840.0,797.0,3351.0,7392.0,2707.0,11193.0
