gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK4_targ_7779,630.0,1768.0,1711.0,1587.0,483.0,232.0,329.0,214.0,5517.0,743.0,2246.0,1626.0,818.0,1401.0,1933.0,1936.0,1468.0,29.0,42.0,763.0,1202.0,227.0,8.0,39.0,3716.0
gRNA_CDK4_targ_7780,1503.0,1567.0,1541.0,2065.0,920.0,1771.0,1102.0,890.0,4852.0,3871.0,2934.0,2349.0,1660.0,3117.0,3878.0,1278.0,2212.0,44.0,173.0,1252.0,4360.0,340.0,38.0,354.0,5376.0
gRNA_CDK4_targ_7781,1900.0,1592.0,1778.0,5097.0,716.0,4611.0,1557.0,926.0,7221.0,2582.0,1773.0,1915.0,4873.0,5679.0,5671.0,2776.0,3685.0,68.0,212.0,2136.0,12081.0,1018.0,77.0,1512.0,9039.0
gRNA_CDK4_targ_7782,1007.0,1043.0,898.0,1153.0,348.0,691.0,328.0,1483.0,4366.0,2441.0,2701.0,2648.0,1650.0,3181.0,3580.0,2287.0,4705.0,59.0,365.0,901.0,2185.0,205.0,46.0,1417.0,4053.0
gRNA_CDK4_targ_7783,828.0,769.0,1002.0,902.0,513.0,543.0,639.0,856.0,4442.0,2526.0,2088.0,1047.0,2164.0,1857.0,1783.0,280.0,2425.0,53.0,613.0,76.0,1881.0,221.0,16.0,1076.0,5497.0
gRNA_CDK4_targ_7784,518.0,705.0,597.0,754.0,289.0,971.0,820.0,335.0,2097.0,879.0,940.0,1230.0,256.0,966.0,1015.0,993.0,487.0,11.0,425.0,341.0,35.0,37.0,17.0,306.0,4044.0
gRNA_CDK4_targ_7785,724.0,653.0,722.0,283.0,361.0,1919.0,366.0,561.0,2568.0,677.0,748.0,896.0,3247.0,1383.0,1631.0,2854.0,656.0,22.0,125.0,56.0,1071.0,129.0,22.0,1501.0,5300.0
gRNA_CDK4_targ_7786,812.0,617.0,891.0,976.0,306.0,36.0,406.0,544.0,5301.0,959.0,2734.0,3439.0,2120.0,1237.0,2153.0,1633.0,3196.0,67.0,298.0,2461.0,4366.0,346.0,38.0,202.0,3276.0
gRNA_CDK4_targ_7787,509.0,627.0,785.0,1133.0,360.0,589.0,839.0,491.0,7685.0,522.0,2399.0,1346.0,7866.0,1628.0,1416.0,669.0,2299.0,30.0,537.0,590.0,3729.0,331.0,76.0,1463.0,3395.0
gRNA_CDK4_targ_7788,272.0,310.0,282.0,524.0,130.0,9.0,285.0,72.0,1175.0,403.0,790.0,341.0,85.0,1093.0,976.0,143.0,466.0,8.0,32.0,103.0,146.0,22.0,7.0,1362.0,3037.0
gRNA_CDK4_targ_7789,1432.0,1535.0,1041.0,1437.0,247.0,2395.0,319.0,363.0,5861.0,1297.0,614.0,1009.0,803.0,1069.0,2511.0,1162.0,296.0,24.0,340.0,731.0,1165.0,117.0,10.0,406.0,4463.0
gRNA_CDK4_targ_7790,1510.0,303.0,478.0,841.0,259.0,296.0,866.0,367.0,1638.0,880.0,1688.0,584.0,249.0,1525.0,991.0,1794.0,1190.0,24.0,529.0,97.0,469.0,48.0,3.0,528.0,3119.0
gRNA_CDK4_targ_7791,688.0,1188.0,853.0,1346.0,450.0,868.0,1068.0,2515.0,5287.0,1868.0,2504.0,2153.0,3061.0,2714.0,3179.0,2099.0,3553.0,124.0,451.0,778.0,276.0,63.0,68.0,533.0,3837.0
gRNA_CDK4_targ_7792,3505.0,2541.0,1393.0,2044.0,1010.0,4122.0,1817.0,1028.0,10733.0,1414.0,3148.0,2237.0,2853.0,2636.0,4527.0,2723.0,5958.0,96.0,410.0,2759.0,4225.0,312.0,17.0,204.0,6542.0
gRNA_CDK4_targ_7793,1041.0,2097.0,2050.0,804.0,344.0,1853.0,3060.0,2976.0,17507.0,6518.0,10914.0,6721.0,6491.0,4889.0,7161.0,1944.0,5050.0,91.0,583.0,406.0,1496.0,307.0,46.0,3966.0,3439.0
gRNA_CDK4_targ_7794,1679.0,585.0,858.0,927.0,403.0,2093.0,1210.0,1954.0,2910.0,6928.0,4453.0,3153.0,1561.0,3905.0,4073.0,2335.0,3465.0,59.0,127.0,4399.0,2258.0,240.0,7.0,1016.0,2965.0
gRNA_CDK4_targ_7795,669.0,741.0,1416.0,1543.0,494.0,4589.0,3061.0,2124.0,18471.0,2373.0,7693.0,4555.0,4435.0,4643.0,3449.0,9493.0,8801.0,145.0,83.0,2860.0,831.0,138.0,238.0,2217.0,3765.0
gRNA_CDK4_targ_7796,2089.0,3548.0,1808.0,2912.0,827.0,7246.0,2682.0,5842.0,52934.0,9245.0,9672.0,12291.0,16398.0,6370.0,8231.0,6742.0,17675.0,282.0,2406.0,3406.0,8898.0,966.0,197.0,4487.0,5311.0
gRNA_CDK4_targ_7797,971.0,2430.0,1051.0,3354.0,461.0,4467.0,1094.0,2672.0,21349.0,8776.0,8075.0,3739.0,10239.0,3901.0,5122.0,3869.0,8839.0,198.0,2081.0,4187.0,4813.0,670.0,124.0,1817.0,5197.0
gRNA_CDK4_targ_7798,975.0,3227.0,1370.0,3579.0,338.0,1505.0,2890.0,485.0,6730.0,2858.0,5448.0,3171.0,3795.0,1632.0,1005.0,2146.0,3300.0,43.0,327.0,77.0,64.0,227.0,11.0,2034.0,3324.0
gRNA_CDK4_targ_7799,2576.0,2665.0,1375.0,4096.0,379.0,8998.0,7641.0,10166.0,31742.0,10259.0,12851.0,9974.0,16074.0,11620.0,8458.0,7103.0,14579.0,358.0,3637.0,15364.0,18736.0,1967.0,384.0,6162.0,5122.0
gRNA_CDK4_targ_7800,445.0,2317.0,832.0,595.0,205.0,143.0,1276.0,1742.0,13021.0,1293.0,4802.0,2856.0,17627.0,2192.0,2393.0,6087.0,1341.0,58.0,1045.0,8802.0,843.0,89.0,26.0,2182.0,3435.0
gRNA_CDK4_targ_7801,796.0,902.0,1009.0,1926.0,635.0,1704.0,1076.0,2246.0,6035.0,4586.0,5657.0,4420.0,2545.0,1745.0,2751.0,2512.0,5755.0,88.0,171.0,778.0,614.0,109.0,163.0,1578.0,1980.0
gRNA_CDK4_targ_7802,690.0,1132.0,1425.0,1492.0,733.0,4308.0,1818.0,1829.0,13784.0,1779.0,3840.0,9435.0,4229.0,5155.0,2595.0,2568.0,7600.0,140.0,2413.0,3354.0,4073.0,418.0,108.0,3298.0,6812.0
gRNA_CDK4_targ_7803,2100.0,2814.0,3153.0,1813.0,725.0,4029.0,1311.0,4830.0,23745.0,10084.0,6017.0,12356.0,9952.0,6441.0,7827.0,8641.0,11174.0,270.0,2389.0,25673.0,3383.0,489.0,141.0,5944.0,6084.0
gRNA_CDK4_targ_7804,1336.0,902.0,1036.0,1697.0,495.0,273.0,340.0,1192.0,9750.0,2815.0,3030.0,1759.0,2627.0,2672.0,4683.0,2855.0,3518.0,76.0,2140.0,941.0,585.0,239.0,113.0,1424.0,4315.0
gRNA_CDK4_targ_7805,888.0,950.0,356.0,1322.0,362.0,1975.0,809.0,311.0,2216.0,1857.0,1850.0,1927.0,4464.0,3104.0,1487.0,455.0,1134.0,29.0,339.0,700.0,180.0,37.0,9.0,640.0,2476.0
gRNA_CDK4_targ_7806,1024.0,1591.0,1749.0,3026.0,628.0,1567.0,1340.0,1243.0,3282.0,3628.0,1420.0,1329.0,1786.0,2603.0,4772.0,3871.0,6360.0,94.0,418.0,748.0,2452.0,185.0,22.0,2389.0,4461.0
gRNA_CDK4_targ_7807,1486.0,1292.0,1031.0,917.0,566.0,1244.0,1191.0,1434.0,14038.0,3893.0,8223.0,6164.0,1442.0,1842.0,3239.0,1139.0,4123.0,45.0,37.0,258.0,1874.0,204.0,11.0,1857.0,3029.0
gRNA_CDK4_targ_7808,1362.0,978.0,617.0,855.0,514.0,1515.0,2417.0,815.0,8905.0,2929.0,2326.0,10099.0,1948.0,1553.0,1200.0,1465.0,1305.0,35.0,900.0,2029.0,2010.0,255.0,22.0,733.0,3239.0
gRNA_CDK4_targ_7809,1731.0,2623.0,789.0,1299.0,442.0,3327.0,382.0,655.0,4429.0,1647.0,2794.0,1080.0,2049.0,4147.0,3136.0,195.0,1381.0,17.0,12.0,639.0,369.0,48.0,16.0,108.0,5285.0
gRNA_CDK4_targ_7810,863.0,1490.0,588.0,422.0,361.0,244.0,741.0,537.0,1022.0,916.0,750.0,232.0,1138.0,1370.0,976.0,1647.0,915.0,24.0,819.0,76.0,948.0,158.0,15.0,54.0,5117.0
gRNA_CDK4_targ_7811,1763.0,3548.0,1430.0,1268.0,573.0,4527.0,1663.0,1457.0,15617.0,4249.0,16232.0,6541.0,3136.0,6864.0,1826.0,4807.0,2365.0,54.0,492.0,589.0,1727.0,246.0,43.0,1393.0,5934.0
