gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,17825.0,12755.0,24800.0,23226.0,20987.0,17513.0,5807.0,879.0,1494.0,509.0,2793.0,2078.0,17151.0
gRNA_CDK7_targ_2,18221.0,11202.0,9478.0,11924.0,7746.0,10247.0,865.0,1461.0,67.0,449.0,1207.0,328.0,15586.0
gRNA_CDK7_targ_3,5757.0,11674.0,4993.0,20847.0,6157.0,4490.0,2062.0,1202.0,21.0,1518.0,7203.0,3277.0,8156.0
gRNA_CDK7_targ_4,13601.0,6305.0,15051.0,21477.0,23750.0,9929.0,16304.0,15173.0,692.0,39.0,2958.0,878.0,13025.0
gRNA_CDK7_targ_5,3723.0,3324.0,15307.0,10814.0,6295.0,7802.0,2335.0,8001.0,285.0,235.0,529.0,667.0,5499.0
gRNA_CDK7_targ_6,19192.0,15258.0,56522.0,30556.0,13297.0,20517.0,21944.0,710.0,437.0,1427.0,4424.0,4192.0,10716.0
gRNA_CDK7_targ_7,7612.0,19373.0,11208.0,9923.0,11515.0,15670.0,1549.0,1735.0,30.0,340.0,432.0,1630.0,15054.0
gRNA_CDK7_targ_8,7367.0,14071.0,18540.0,18411.0,7663.0,11570.0,964.0,2617.0,42.0,243.0,522.0,2202.0,18669.0
gRNA_CDK7_targ_9,5708.0,10462.0,7740.0,6723.0,13261.0,9240.0,426.0,614.0,146.0,27.0,1018.0,206.0,10844.0
gRNA_CDK7_targ_10,3363.0,2413.0,2215.0,8130.0,8550.0,5270.0,55.0,44.0,565.0,239.0,1834.0,3274.0,8678.0
gRNA_CDK7_targ_11,9821.0,6507.0,31278.0,13589.0,11275.0,13734.0,3012.0,4006.0,1725.0,557.0,2514.0,2659.0,13407.0
gRNA_CDK7_targ_12,15088.0,15138.0,21846.0,10343.0,10975.0,16009.0,3525.0,77.0,10992.0,151.0,189.0,5120.0,15505.0
gRNA_CDK7_targ_13,13235.0,19703.0,20174.0,15807.0,13564.0,15829.0,2354.0,695.0,37.0,712.0,3383.0,3130.0,21925.0
gRNA_CDK7_targ_14,8603.0,4728.0,4468.0,2536.0,6295.0,3673.0,3819.0,335.0,14.0,33.0,708.0,311.0,9681.0
gRNA_CDK7_targ_15,11780.0,6262.0,16506.0,13427.0,8044.0,11025.0,2989.0,37.0,272.0,586.0,218.0,2913.0,13494.0
gRNA_CDK7_targ_16,9340.0,3614.0,12780.0,13332.0,6891.0,9153.0,1076.0,474.0,8512.0,205.0,1414.0,4238.0,10128.0
gRNA_CDK7_targ_17,3841.0,7997.0,7715.0,12921.0,7646.0,7354.0,892.0,482.0,19.0,310.0,373.0,2604.0,10182.0
gRNA_CDK7_targ_18,7607.0,12894.0,32837.0,22913.0,13251.0,21116.0,3736796.0,2484219.0,995246.0,340141.0,1667682.0,1052105.0,14302.0
gRNA_CDK7_targ_19,13252.0,16999.0,31273.0,15040.0,16671.0,16936.0,1648786.0,1012363.0,667186.0,5084478.0,1498126.0,493374.0,13683.0
gRNA_CDK7_targ_20,10093.0,8049.0,17391.0,11329.0,13163.0,12117.0,3243219.0,720895.0,314335.0,120205.0,339517.0,368865.0,13679.0
gRNA_CDK7_targ_21,12019.0,9617.0,27503.0,11570.0,11243.0,9628.0,14259.0,51612.0,2962.0,1170.0,2547.0,3537.0,12693.0
gRNA_CDK7_targ_22,6899.0,2773.0,2881.0,5936.0,8779.0,4329.0,941.0,325.0,376.0,79.0,597.0,1070.0,8125.0
gRNA_CDK7_targ_23,19250.0,15453.0,31432.0,21161.0,14348.0,18270.0,7324.0,804.0,3075.0,979.0,3496.0,3506.0,20351.0
gRNA_CDK7_targ_24,10175.0,16358.0,29005.0,10403.0,10910.0,17703.0,7901.0,1797.0,384.0,567.0,3298.0,2507.0,15520.0
gRNA_CDK7_targ_25,4956.0,7581.0,12597.0,14333.0,12791.0,19028.0,778.0,185.0,267.0,876.0,789.0,1470.0,13127.0
gRNA_CDK7_targ_26,16202.0,17345.0,9204.0,16872.0,10881.0,14214.0,17142.0,1464.0,322.0,268.0,4670.0,1966.0,17746.0
gRNA_CDK7_targ_27,1992.0,4288.0,2594.0,5510.0,9192.0,7376.0,6488.0,238.0,1368.0,183.0,702.0,709.0,11466.0
gRNA_CDK7_targ_28,5958.0,8739.0,5731.0,5186.0,2958.0,3052.0,78.0,1519.0,487.0,148.0,1074.0,845.0,9579.0
gRNA_CDK7_targ_29,8605.0,11015.0,15851.0,28109.0,14298.0,20789.0,3569.0,1297.0,428.0,1199.0,1050.0,3177.0,13034.0
gRNA_CDK7_targ_30,5995.0,6613.0,9845.0,12406.0,12363.0,10107.0,1018.0,109.0,273.0,130.0,115.0,642.0,7491.0
gRNA_CDK7_targ_31,4550.0,7304.0,12341.0,9021.0,9606.0,4371.0,1151.0,262.0,76.0,568.0,646.0,1222.0,10137.0
gRNA_CDK7_targ_32,5643.0,8131.0,4529.0,7697.0,10741.0,7600.0,522.0,610.0,112.0,399.0,605.0,2790.0,20167.0
gRNA_CDK7_targ_33,3804.0,7750.0,14588.0,7307.0,13521.0,16286.0,1102.0,75.0,63.0,108.0,235.0,406.0,13624.0
gRNA_CDK7_targ_34,3203.0,2523.0,5762.0,10340.0,8899.0,4672.0,1935.0,326.0,47.0,496.0,41.0,1140.0,10302.0
gRNA_CDK7_targ_35,12678.0,17360.0,26881.0,32758.0,19407.0,20817.0,2426.0,2230.0,527.0,745.0,1694.0,3617.0,26107.0
gRNA_CDK7_targ_36,4332.0,1741.0,6977.0,4948.0,12858.0,11392.0,611.0,294.0,1031.0,292.0,194.0,987.0,10656.0
gRNA_CDK7_targ_37,8855.0,4250.0,4669.0,4338.0,3614.0,5298.0,1093.0,24.0,43.0,23.0,414.0,1795.0,7894.0
gRNA_CDK7_targ_38,1174.0,3365.0,6634.0,3097.0,7119.0,1126.0,2705.0,20588.0,11.0,93.0,237.0,28.0,8107.0
gRNA_CDK7_targ_39,7507.0,4543.0,7773.0,9755.0,6923.0,8972.0,883.0,257.0,146.0,541.0,5251.0,154.0,14983.0
gRNA_CDK7_targ_40,7629.0,7052.0,15280.0,7918.0,9213.0,11339.0,237.0,145.0,74.0,627.0,193.0,218.0,13173.0
gRNA_CDK7_targ_41,3087.0,8343.0,8629.0,8057.0,14474.0,14836.0,1791.0,933.0,156.0,612.0,928.0,4288.0,19760.0
gRNA_CDK7_targ_42,3889.0,4728.0,10248.0,5892.0,7495.0,7627.0,161.0,1162.0,26.0,35.0,202.0,439.0,14075.0
gRNA_CDK7_targ_43,5329.0,5436.0,9349.0,9172.0,9779.0,4300.0,870.0,96.0,12.0,105.0,44.0,1288.0,14899.0
gRNA_CDK7_targ_44,2543.0,3178.0,11575.0,5749.0,5813.0,4509.0,434.0,25.0,8934.0,330.0,151.0,5837.0,11164.0
gRNA_CDK7_targ_45,1034.0,3928.0,8153.0,8208.0,4795.0,5226.0,632.0,25.0,7.0,293.0,649.0,938.0,9607.0
gRNA_CDK7_targ_46,7699.0,11197.0,2336.0,21451.0,7928.0,7545.0,1206.0,943.0,68.0,188.0,1426.0,1661.0,11145.0
gRNA_CDK7_targ_47,839.0,1215.0,3641.0,1049.0,647.0,2712.0,36.0,2.0,3.0,7.0,33.0,38.0,9564.0
gRNA_CDK7_targ_48,1938.0,1294.0,627.0,264.0,3279.0,2216.0,66.0,15.0,32.0,459.0,62.0,400.0,6262.0
gRNA_CDK7_targ_49,3310.0,1408.0,3568.0,4918.0,5112.0,1755.0,336.0,4.0,49.0,5.0,29.0,1211.0,6445.0
gRNA_CDK7_targ_50,489.0,186.0,597.0,2895.0,2621.0,4595.0,90.0,18.0,5.0,113.0,6.0,549.0,6880.0
gRNA_CDK7_targ_51,3448.0,274.0,2279.0,1414.0,1013.0,2945.0,20.0,16.0,5.0,371.0,75.0,492.0,10939.0
gRNA_CDK7_targ_52,1543.0,1666.0,275.0,2646.0,3636.0,1539.0,37.0,3.0,2.0,16.0,224.0,159.0,8589.0
gRNA_CDK7_targ_53,525.0,396.0,2795.0,105.0,278.0,511.0,45.0,1.0,1.0,2.0,3.0,2.0,2552.0
gRNA_CDK7_targ_54,2838.0,1038.0,300.0,1305.0,779.0,1815.0,19.0,4.0,51.0,0.0,8.0,205.0,3897.0
gRNA_CDK7_targ_55,2249.0,1585.0,2158.0,2018.0,3905.0,2259.0,24.0,489.0,4.0,165.0,36.0,454.0,8966.0
gRNA_CDK7_targ_56,1308.0,3663.0,5156.0,421.0,3918.0,1575.0,125.0,111.0,1.0,68.0,19.0,1268.0,10842.0
gRNA_CDK7_targ_57,1138.0,3386.0,2503.0,2590.0,2641.0,3826.0,272.0,9.0,7.0,133.0,67.0,1196.0,8324.0
gRNA_CDK7_targ_58,3108.0,1150.0,3130.0,6298.0,3974.0,4709.0,87.0,9.0,15.0,5.0,248.0,275.0,5931.0
gRNA_CDK7_targ_59,1943.0,699.0,10266.0,2565.0,3301.0,2318.0,651.0,11179.0,22.0,16.0,223.0,1465.0,8678.0
gRNA_CDK7_targ_60,1712.0,419.0,2211.0,4769.0,306.0,3841.0,811.0,42.0,119.0,139.0,356.0,1623.0,5820.0
gRNA_CDK7_targ_61,1745.0,5836.0,2899.0,689.0,3817.0,5381.0,240.0,119.0,13.0,12.0,182.0,124.0,5723.0
gRNA_CDK7_targ_62,1476.0,37.0,104.0,354.0,378.0,590.0,3.0,54.0,1.0,155.0,4.0,9.0,4255.0
gRNA_CDK7_targ_63,50.0,10.0,312.0,1305.0,1398.0,2340.0,138.0,9.0,3.0,165.0,7.0,203.0,4700.0
