gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK9_targ_1380,19746.0,11275.0,18110.0,22613.0,11184.0,8540.0,618.0,6042.0,7864.0,5754.0,11563.0,12273.0,21880.0
gRNA_CDK9_targ_1381,7280.0,8393.0,6080.0,9044.0,10829.0,3202.0,1086.0,9723.0,2417.0,3890.0,6010.0,5427.0,11908.0
gRNA_CDK9_targ_1382,8656.0,6896.0,3712.0,9359.0,4088.0,2872.0,307.0,2649.0,6510.0,5279.0,3973.0,28247.0,14291.0
gRNA_CDK9_targ_1383,11566.0,8797.0,5743.0,13329.0,13233.0,4607.0,1619.0,7192.0,7926.0,16157.0,2954.0,19698.0,8799.0
gRNA_CDK9_targ_1384,10922.0,8300.0,9761.0,15836.0,7545.0,6284.0,1041.0,8822.0,7663.0,4277.0,8853.0,3231.0,6232.0
gRNA_CDK9_targ_1385,3618.0,6195.0,13914.0,5930.0,5528.0,5661.0,645.0,2512.0,9365.0,2557.0,1952.0,6045.0,5814.0
gRNA_CDK9_targ_1386,9092.0,5454.0,5058.0,12927.0,8971.0,4793.0,353.0,3541.0,9925.0,6495.0,8700.0,10734.0,8680.0
gRNA_CDK9_targ_1387,2990.0,5815.0,10248.0,5989.0,8628.0,1342.0,683.0,3592.0,5044.0,1267.0,11463.0,4226.0,5404.0
gRNA_CDK9_targ_1388,37998.0,13365.0,2089.0,27526.0,18360.0,16252.0,3258.0,22669.0,21863.0,23681.0,5732.0,40944.0,17741.0
gRNA_CDK9_targ_1389,13815.0,12437.0,20755.0,13788.0,6339.0,6090.0,1022.0,20125.0,9763.0,7213.0,9476.0,7202.0,15963.0
gRNA_CDK9_targ_1390,22558.0,19592.0,14877.0,27049.0,19548.0,10187.0,2041.0,13055.0,21166.0,9760.0,10028.0,6542.0,11156.0
gRNA_CDK9_targ_1391,6442.0,5400.0,2546.0,7733.0,7912.0,3391.0,585.0,4496.0,3212.0,2138.0,11273.0,790.0,7761.0
gRNA_CDK9_targ_1392,19542.0,14944.0,7607.0,23488.0,22284.0,11217.0,819.0,18076.0,16595.0,22827.0,25701.0,10604.0,20194.0
gRNA_CDK9_targ_1393,31413.0,27631.0,15980.0,40950.0,21458.0,13514.0,2979.0,41464.0,18711.0,28074.0,33216.0,33764.0,16651.0
gRNA_CDK9_targ_1394,17432.0,11902.0,4548.0,17178.0,6730.0,10595.0,1170.0,12556.0,16493.0,15414.0,6102.0,3194.0,10759.0
gRNA_CDK9_targ_1395,12142.0,9436.0,14842.0,20526.0,10362.0,11626.0,1291.0,5850.0,14366.0,12125.0,12674.0,3363.0,14842.0
gRNA_CDK9_targ_1396,14798.0,9682.0,5703.0,21824.0,13592.0,6545.0,856.0,6081.0,2661.0,7840.0,12755.0,14549.0,12524.0
gRNA_CDK9_targ_1397,26678.0,15882.0,20113.0,20841.0,13132.0,15461.0,1087.0,16912.0,17571.0,18633.0,13704.0,40988.0,22147.0
gRNA_CDK9_targ_1398,5975.0,3227.0,7618.0,10771.0,1406.0,1196.0,231.0,1896.0,1430.0,2026.0,3512.0,7916.0,13689.0
gRNA_CDK9_targ_1399,2227.0,1804.0,4542.0,7280.0,802.0,2201.0,159.0,1604.0,1105.0,4288.0,3757.0,775.0,12919.0
gRNA_CDK9_targ_1400,1126.0,888.0,3896.0,2110.0,1839.0,425.0,73.0,509.0,966.0,411.0,2188.0,2174.0,9992.0
gRNA_CDK9_targ_1401,2828.0,3675.0,3632.0,6854.0,4395.0,2575.0,238.0,1189.0,1321.0,1359.0,1551.0,3702.0,9881.0
gRNA_CDK9_targ_1402,12191.0,10801.0,20266.0,24310.0,9979.0,6412.0,656.0,5028.0,9866.0,6640.0,13009.0,2984.0,19458.0
gRNA_CDK9_targ_1403,6952.0,7328.0,4985.0,9718.0,1545.0,3356.0,219.0,2687.0,4682.0,2544.0,7105.0,6743.0,7363.0
gRNA_CDK9_targ_1404,6823.0,3135.0,1348.0,4968.0,1089.0,2507.0,89.0,4848.0,4046.0,1491.0,1849.0,1972.0,7741.0
gRNA_CDK9_targ_1405,1485.0,285.0,4889.0,1155.0,733.0,1505.0,155.0,323.0,32.0,1318.0,1494.0,4134.0,7266.0
