gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,Plasmid
gRNA_CDK8_targ_866,3687.0,8741.0,16165.0,4187.0,13317.0,2369.0,2204.0,1982.0,2070.0,611.0,7914.0,5173.0,16526.0
gRNA_CDK8_targ_867,7036.0,8998.0,20113.0,8092.0,14693.0,2464.0,2228.0,1233.0,5343.0,1249.0,15015.0,6854.0,11841.0
gRNA_CDK8_targ_868,1261.0,1270.0,4380.0,2205.0,2931.0,1264.0,1072.0,1096.0,227.0,140.0,1390.0,960.0,9938.0
gRNA_CDK8_targ_869,5258.0,5641.0,4306.0,3921.0,11923.0,926.0,730.0,243.0,4171.0,275.0,2301.0,24803.0,6852.0
gRNA_CDK8_targ_870,6459.0,5130.0,9683.0,3798.0,11699.0,1779.0,1074.0,899.0,8994.0,5501.0,11795.0,11205.0,12199.0
gRNA_CDK8_targ_871,9304.0,9382.0,9501.0,7816.0,7030.0,1045.0,190.0,2382.0,4614.0,178.0,11291.0,795.0,10092.0
gRNA_CDK8_targ_872,3699.0,2830.0,8983.0,10679.0,8461.0,4851.0,4212.0,3363.0,2756.0,4102.0,14466.0,3511.0,17462.0
gRNA_CDK8_targ_873,1577.0,4510.0,5402.0,3916.0,8151.0,4505.0,1775.0,601.0,2453.0,1556.0,25248.0,8544.0,10084.0
gRNA_CDK8_targ_874,9324.0,12923.0,18953.0,8223.0,16019.0,5464.0,1953.0,756.0,6762.0,1891.0,6184.0,11404.0,16961.0
gRNA_CDK8_targ_875,5921.0,5826.0,9991.0,4576.0,3615.0,4334.0,396.0,2422.0,3029.0,4449.0,46.0,2532.0,11392.0
gRNA_CDK8_targ_876,2019.0,3379.0,9547.0,3027.0,5651.0,639.0,718.0,643.0,2504.0,286.0,3757.0,2533.0,5913.0
gRNA_CDK8_targ_877,10140.0,13508.0,18671.0,7711.0,15836.0,7780.0,2327.0,6163.0,2576.0,11358.0,6545.0,1358.0,13793.0
gRNA_CDK8_targ_878,2334.0,13392.0,18602.0,7015.0,21410.0,6524.0,5525.0,7338.0,2263.0,12091.0,24923.0,2464.0,14284.0
gRNA_CDK8_targ_879,2768.0,9235.0,11094.0,6166.0,10827.0,7191.0,2647.0,1222.0,2297.0,3559.0,2542.0,3566.0,9043.0
gRNA_CDK8_targ_880,5726.0,7361.0,16194.0,6253.0,13124.0,11544.0,16730.0,5679.0,5768.0,2110.0,7336.0,6455.0,9582.0
gRNA_CDK8_targ_881,2666.0,5106.0,9587.0,4070.0,8144.0,1977.0,985.0,6298.0,2045.0,2296.0,2676.0,2932.0,10618.0
gRNA_CDK8_targ_882,4969.0,7050.0,6826.0,3584.0,7749.0,10401.0,115.0,2554.0,1906.0,406.0,2385.0,1934.0,6960.0
gRNA_CDK8_targ_883,5361.0,6773.0,9677.0,6884.0,8987.0,2835.0,2471.0,389.0,4338.0,605.0,14182.0,4605.0,7937.0
gRNA_CDK8_targ_884,3952.0,4911.0,17916.0,5541.0,5439.0,2547.0,1919.0,814.0,6065.0,883.0,21760.0,5499.0,9277.0
gRNA_CDK8_targ_885,9554.0,9299.0,36465.0,15483.0,19440.0,14347.0,3713.0,7768.0,13190.0,6545.0,23453.0,16577.0,15195.0
gRNA_CDK8_targ_886,4132.0,8100.0,20854.0,7540.0,10948.0,2620.0,3077.0,928.0,2292.0,1506.0,38725.0,7296.0,12640.0
gRNA_CDK8_targ_887,3084.0,11820.0,22438.0,10354.0,4297.0,3859.0,3094.0,2457.0,3996.0,9366.0,7134.0,4325.0,12729.0
gRNA_CDK8_targ_888,2592.0,7645.0,9330.0,6612.0,7239.0,3545.0,2539.0,2007.0,5974.0,3391.0,3825.0,980.0,10741.0
gRNA_CDK8_targ_889,2715.0,6594.0,11951.0,11057.0,14375.0,6573.0,1117.0,1419.0,2584.0,688.0,6832.0,4217.0,11215.0
gRNA_CDK8_targ_890,3379.0,6966.0,10439.0,4979.0,8303.0,2448.0,1960.0,535.0,1648.0,1674.0,5690.0,3088.0,10184.0
gRNA_CDK8_targ_891,620.0,2940.0,8948.0,4030.0,7297.0,2190.0,709.0,382.0,746.0,2889.0,24701.0,1948.0,6567.0
gRNA_CDK8_targ_892,7386.0,9751.0,21986.0,10039.0,20625.0,6085.0,2253.0,2717.0,2243.0,275.0,7527.0,3198.0,10782.0
gRNA_CDK8_targ_893,1194.0,3113.0,8188.0,1766.0,5816.0,619.0,565.0,432.0,3589.0,813.0,706.0,1592.0,6047.0
gRNA_CDK8_targ_894,858.0,4087.0,5406.0,2094.0,8331.0,2433.0,1357.0,1361.0,431.0,376.0,7824.0,204.0,6431.0
gRNA_CDK8_targ_895,1771.0,3896.0,6661.0,925.0,3613.0,500.0,355.0,414.0,138.0,841.0,6729.0,149.0,5971.0
gRNA_CDK8_targ_896,1315.0,1153.0,3915.0,1422.0,1413.0,1360.0,751.0,566.0,1576.0,91.0,2652.0,311.0,6278.0
gRNA_CDK8_targ_897,1041.0,3086.0,14183.0,2487.0,7607.0,900.0,775.0,992.0,1258.0,1085.0,21082.0,478.0,5088.0
gRNA_CDK8_targ_898,2500.0,5297.0,13273.0,5237.0,4614.0,3613.0,1298.0,1391.0,3743.0,12881.0,1141.0,3603.0,10914.0
gRNA_CDK8_targ_899,1147.0,5327.0,3354.0,1227.0,4363.0,739.0,30.0,390.0,530.0,49.0,338.0,39.0,5754.0
gRNA_CDK8_targ_900,1336.0,1121.0,2389.0,1597.0,2592.0,561.0,4798.0,1011.0,131.0,493.0,11304.0,143.0,3985.0
gRNA_CDK8_targ_901,2508.0,5540.0,9886.0,3838.0,2979.0,1019.0,973.0,58.0,1160.0,1648.0,7062.0,169.0,6704.0
gRNA_CDK8_targ_902,2704.0,10916.0,14145.0,8326.0,11475.0,2772.0,482.0,1368.0,3364.0,1967.0,6677.0,9490.0,12448.0
gRNA_CDK8_targ_903,2561.0,9947.0,12106.0,6614.0,9675.0,8560.0,816.0,2687.0,1036.0,3654.0,6918.0,2646.0,9101.0
gRNA_CDK8_targ_904,4425.0,12391.0,13338.0,2154.0,8501.0,3722.0,6076.0,826.0,5983.0,3632.0,3853.0,6275.0,7963.0
gRNA_CDK8_targ_905,4919.0,11006.0,9983.0,5674.0,8736.0,1354.0,969.0,5601.0,3133.0,259.0,3495.0,12734.0,8944.0
gRNA_CDK8_targ_906,13530.0,8310.0,15020.0,6979.0,8944.0,2117.0,2131.0,3669.0,1159.0,10717.0,16325.0,14258.0,11877.0
gRNA_CDK8_targ_907,2970.0,3795.0,8623.0,2541.0,4694.0,798.0,237.0,1186.0,843.0,1173.0,2896.0,525.0,7192.0
gRNA_CDK8_targ_908,4974.0,2696.0,5010.0,2573.0,7480.0,1773.0,131.0,483.0,2326.0,55.0,9506.0,1039.0,5520.0
gRNA_CDK8_targ_909,642.0,796.0,2142.0,1669.0,2175.0,1167.0,193.0,31.0,744.0,40.0,57.0,3614.0,3425.0
gRNA_CDK8_targ_910,138.0,1573.0,4585.0,1307.0,2172.0,628.0,5421.0,5.0,42.0,55.0,1094.0,17.0,4040.0
gRNA_CDK8_targ_911,2140.0,2291.0,2708.0,1313.0,7320.0,1761.0,58.0,1085.0,1256.0,473.0,2256.0,1875.0,4446.0
gRNA_CDK8_targ_912,2668.0,2009.0,11072.0,3473.0,4420.0,1038.0,3096.0,252.0,1233.0,119.0,27930.0,961.0,5448.0
gRNA_CDK8_targ_913,4835.0,8844.0,18347.0,14748.0,8128.0,4350.0,3454.0,1824.0,4859.0,3812.0,23051.0,6810.0,13546.0
gRNA_CDK8_targ_914,3820.0,6443.0,5725.0,4848.0,5089.0,2781.0,3101.0,2172.0,3490.0,14260.0,6861.0,27167.0,6959.0
gRNA_CDK8_targ_915,9205.0,5608.0,20943.0,18005.0,8562.0,5157.0,784.0,3484.0,3738.0,6483.0,17035.0,15982.0,15516.0
gRNA_CDK8_targ_916,8172.0,12993.0,27678.0,14118.0,25716.0,17952.0,3972.0,8242.0,22196.0,4851.0,7213.0,7565.0,14560.0
gRNA_CDK8_targ_917,17534.0,24647.0,42845.0,8871.0,24693.0,15028.0,2265.0,1791.0,29200.0,723.0,27442.0,7230.0,13704.0
gRNA_CDK8_targ_918,10439.0,14900.0,17080.0,16368.0,17730.0,20834.0,3457.0,4665.0,5369.0,7273.0,12354.0,6243.0,13144.0
gRNA_CDK8_targ_919,4727.0,7543.0,33878.0,10800.0,24157.0,7442.0,5056.0,2358.0,20538.0,3845.0,32717.0,7983.0,20423.0
gRNA_CDK8_targ_920,5209.0,6426.0,9516.0,4335.0,6999.0,6132.0,674.0,1110.0,406.0,3008.0,19137.0,3458.0,9644.0
gRNA_CDK8_targ_921,7602.0,14984.0,13909.0,9841.0,17978.0,5858.0,6044.0,1493.0,2675.0,3086.0,5210.0,5451.0,12218.0
gRNA_CDK8_targ_922,2325.0,3899.0,4843.0,2533.0,8331.0,644.0,367.0,1579.0,956.0,1742.0,7253.0,5315.0,7543.0
gRNA_CDK8_targ_923,8402.0,12138.0,26387.0,17643.0,16633.0,5211.0,4009.0,1367.0,2965.0,1494.0,32575.0,15967.0,16381.0
gRNA_CDK8_targ_924,15664.0,6834.0,12320.0,2885.0,4280.0,1896.0,283.0,2125.0,1192.0,23243.0,1899.0,1334.0,5979.0
gRNA_CDK8_targ_925,2367.0,4045.0,8284.0,3281.0,6654.0,3182.0,260.0,3049.0,1588.0,118.0,6966.0,8816.0,7936.0
