"sample"	"PC1: 29% variance"	"PC2: 17% variance"
"L156F_no_drug_2"	-27.680032646438	33.6886800945599
"L156F_no_drug_3"	-25.4870525789914	7.34347094265658
"L156F_no_drug_1"	-21.4375435050338	-33.7650267728957
"L156F_48hours_3"	-19.5845121581926	23.0147544853192
"L156F_48hours_1"	-17.7806400318801	-2.0370168701361
"L156F_48hours_2"	-16.5355140173886	-3.43286384057684
"L156F_24hours_1"	-16.1102660860866	31.8067272823633
"NT_no_drug_3"	-15.2140355870433	-10.0920170286684
"NT_no_drug_1"	-14.7844392015746	-9.55096709148888
"NT_no_drug_2"	-14.608811542233	-13.7348697592658
"L156F_24hours_2"	-13.2756760073275	2.11111464473886
"L156F_24hours_3"	-9.19628855315256	-24.1452959630174
"NT_48hours_1"	24.5439588557408	4.78163731653345
"NT_48hours_2"	27.5511314751928	-8.97874299138981
"NT_48hours_3"	27.694913360365	-36.4249696022493
"NT_24hours_1"	42.8175344397733	21.4159969807156
"NT_24hours_3"	43.1005299853253	10.1647667062509
"NT_24hours_2"	45.9867437989449	7.83462146655049
