gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,277.42675589918,172.69540038343203,189.73690077591465,132.98101837743894,268.13542004518456,130.82449194226024,177.94672453109987,193.67162940536957,109.72014230363752,168.7759676415731,179.15634036119616,160.64354699343818,110.07921385759549,40.106603872834,181.8789337385422,326.5252647409566
gRNA_CDK12_targ_1741,149.67516105338174,42.2573102614208,80.30846109923436,51.57903470154342,132.24070034674904,168.3626550758758,64.70789982949086,80.79959862090352,75.43901271578444,18.73516882180901,94.50922598935612,129.53990120396736,39.187706688938555,68.99548592810427,223.2288414089501,312.8233158418577
gRNA_CDK12_targ_1742,223.37800423364996,81.71676208087537,179.85613076533136,93.3800533459222,162.08185838552203,112.3482612935161,140.42380036961995,138.1860200462054,25.171997100062768,81.8368118961147,172.21752567265062,29.244461792361907,104.65132583772152,48.63900232094231,71.17441320285366,177.94869914630803
gRNA_CDK12_targ_1743,43.274255308235205,159.33321437611062,140.50716120776613,113.8649969856821,185.78948394110694,170.11976058425782,532.6276981527076,97.72587749555882,128.19500256056432,135.25197406893187,56.281496918202556,164.6634042844845,83.30985703230797,125.64714669016354,67.88866259334691,142.4952217922861
gRNA_CDK12_targ_1744,159.06153211311099,73.37142569363132,144.0328985243179,136.25665375658912,258.8263707444595,165.8601108669681,180.65884064821364,128.19921379395782,196.5776450393281,205.01058138417818,55.285648513827965,40.851799720258136,95.72820689595903,90.82456622174179,117.5793218109642,334.97858496415756
gRNA_CDK12_targ_1745,408.10883748428336,228.70080816141095,194.30730100107436,114.01166722653957,130.6311918227919,23.37482782362729,138.60508720873187,140.90146585497365,201.78652925065606,21.087030439865888,210.34888231757438,197.87747515175465,64.72345260061834,129.63182007709736,134.66522498039924,208.05261265758787
gRNA_CDK12_targ_1746,188.12402842246036,121.22445283898455,99.19944869656103,99.14908281964932,281.01148823684167,79.17623912012249,78.58755289942603,108.94972017180082,57.14376915579998,95.94798160445595,153.48915084199305,101.19990730209086,161.0273445895943,26.983168696301924,63.79411183380775,243.7079603452982
gRNA_CDK12_targ_1747,255.32691981254052,187.89066605962785,168.97422546733213,163.43953839550676,327.8394862379191,111.49633135005817,118.24826270616032,241.76519184066464,120.34318695137043,152.83114311237395,119.34118781456763,67.38285784116378,161.3563074998897,60.07328247475244,120.20792229856958,197.95909597316881
gRNA_CDK12_targ_1748,246.71172947368106,411.5263856623069,223.64491768448028,263.2241922588718,267.0479142857541,373.0920696131125,195.36808217750124,186.82267164325415,467.6962193097289,74.14343406077609,124.51317468890018,472.9864585077365,3139.868738041941,235.18235316359463,571.5689560260414,217.36388179896446
gRNA_CDK12_targ_1749,179.5969730231289,148.62416999479163,182.2066223096992,304.34074977924905,221.52492319599324,240.72345464833478,337.35533772051616,273.20401998218125,182.9780951279792,122.01776970969657,103.56823405495722,140.44376410593046,123.03212845047655,370.61793665209564,67.02931243393746,289.683928842827
