gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,Plasmid
gRNA_CDK7_targ_1,837.765096939739,556.7392811281946,610.2210857482467,879.8656122385469,628.9956151987909,723.1802406308316,1105.6807090966709,570.4218329288967,510.32296342683907,732.8225809269551,471.6410206146759,711.9204472253864,645.0982215020773
gRNA_CDK7_targ_2,433.4505819289694,307.9012261502972,381.3474014966858,257.03573473808007,453.58376959107596,360.6599971648328,244.52882988064326,595.7485876376945,1178.0271328491249,556.864897677286,597.6419598240276,1274.545800304959,566.3912787860497
gRNA_CDK7_targ_3,341.7091134315783,176.96223820725237,233.0981913938895,309.57571395125905,138.06516651112767,239.63009495836047,539.263019518599,456.57807051285096,88.52121290156441,106.66093933518096,301.681960233316,186.71478281042323,235.1627056803615
gRNA_CDK7_targ_4,575.5817638925389,628.4446414163798,862.9249048837537,1098.1311392672737,657.5160222615078,1026.1346382492911,1206.091428611296,849.2060853859876,1202.9923096281816,479.47257808831426,1260.362807309677,852.340194845828,461.0541674818927
gRNA_CDK7_targ_5,310.0143550843014,247.98577256559733,250.50185595321216,218.68871149574744,370.4147155896752,358.7997508636668,235.97887079390748,239.4011488849105,543.7927608668933,698.7104543669525,465.0775951716885,188.60750800603574,137.51875419055293
gRNA_CDK7_targ_6,718.7859454876569,632.1378652030137,838.8174857472225,603.2331814122798,722.5169789221612,1071.1601915795532,396.3761032610707,1141.6667853858294,643.4248491481479,293.68949530209244,324.8222422438487,1552.239279342324,315.7577132592511
gRNA_CDK7_targ_7,519.5794369690302,369.57806338708394,512.4049879391953,455.8998815864756,519.8220541069448,414.5691756884183,785.3650418712016,1181.2398396183257,506.7107858342649,333.7868124248543,376.82476690751855,558.9422121583807,464.91483742535695
gRNA_CDK7_targ_8,377.943485604637,368.61214331981046,413.65917234206364,252.86899537049214,294.60776232680655,236.5929581401303,53.488544046619026,788.3585571981012,219.7941479430889,137.0366463531144,164.72514932297761,63.201675112952856,508.0303484728049
gRNA_CDK7_targ_9,207.74923635441607,251.2528551460812,226.13346340248296,245.9027279903061,439.9319189218651,429.5270745182019,308.96132155828406,119.0990640181213,262.72876515102746,499.1579736386607,162.97490253818097,379.92621696794885,301.9776577676158
gRNA_CDK7_targ_10,333.2901932455829,290.08852373322424,289.2890296383755,108.17246030073962,259.5501397623679,147.64281357621417,69.83606582045783,111.184453171622,139.09169919760276,256.87884351726194,68.10816094300066,129.42147959188242,264.5263413087542
gRNA_CDK7_targ_11,479.7133737353461,455.77222468437145,479.3755402047731,437.6703968532784,396.60482185840294,689.5819145791603,345.21314808604376,562.1906376485374,648.1343971485927,701.3743831145389,212.84010660887802,400.66946201716166,445.9778286515759
gRNA_CDK7_targ_12,536.4585465576191,527.4491755588132,403.0897490670486,274.1584293267617,340.86320198094535,378.7689254435302,570.2480712489295,605.3727544270376,300.08508278562357,14.945678168277057,721.6738714004829,1084.2246086758685,499.3227060455753
gRNA_CDK7_targ_13,481.73556534864895,376.140637961795,657.9629097080756,594.0533337430627,584.8642550294387,683.7354262040673,182.90072478345175,810.5827844550711,1062.2088310517784,1013.330818400081,411.5772631633368,479.7546823527546,658.5964762679124
gRNA_CDK7_targ_14,277.78309692125043,150.28579870225798,163.3041139343378,174.48221101774433,190.83719953606806,184.16438381543196,46.10137939567932,238.9579306775065,120.98508746773732,291.925074962782,551.7484696111383,230.24746230951095,226.1732625273315
gRNA_CDK7_targ_15,532.2078172480234,409.4932896964738,403.36703331963383,304.17197383391846,410.60724875325815,251.7027138108254,386.9369484293144,454.48861324937513,406.5757361160696,448.1627661848634,381.4528233096251,394.0705012000261,376.0630685805182
gRNA_CDK7_targ_16,380.95613841629216,305.0886941897067,406.2377408758108,456.5183819613519,165.5957112896722,758.4110277223015,977.2261237775525,726.7512263689507,936.7885381855639,1336.6694946980379,374.88939786663764,743.3294545255507,323.33815278327955
gRNA_CDK7_targ_17,295.19870632561344,250.82671393993115,238.79067399108126,276.14414105662786,404.3381209534997,303.6757176127892,156.84044948708112,725.5482055202827,375.52929832672964,592.360883326944,235.6101441072422,155.7661681254079,320.8864864688168
gRNA_CDK7_targ_18,4217.383782584522,2081.9838861805247,1679.8043129999648,1099.20537676048,2456.322636042857,4416.604361070315,7411.309735400654,1811.6227643203013,3220.0048430614,5495.200655589405,1451.0723896684817,429.7253515065645,414.0498064184004
gRNA_CDK7_targ_19,840.5714036684042,832.5662791622632,750.8042018089797,980.6486206920797,685.335276872936,1095.647107176534,1195.4894793437434,1005.4721619392695,1849.6178224659523,1147.9457113462988,559.5404336626849,1430.3119684303667,484.66906830395897
gRNA_CDK7_targ_20,338.1186915875508,481.51115353583566,287.853675860287,238.4481708404808,327.9743701557841,907.3825886564914,1533.9994595057863,680.0233639312189,1132.5319846894881,1295.2229149628622,326.5051718446147,217.33089171783098,376.9648309030792
gRNA_CDK7_targ_21,384.4640218271236,265.25869612154685,354.255098935266,463.58230729546585,491.87906670999513,609.0977888960607,419.76879132237974,885.6766121666564,389.886561163037,123.57861670621678,296.6836593190409,545.59082631906,388.46230051573195
gRNA_CDK7_targ_22,64.256170243112,82.95548813054694,110.94632271088352,107.00056485360552,188.6512536585207,25.96751979586796,51.71015255657798,20.388037540582165,69.40867829781756,119.04647818759574,73.59451144149786,257.33389450077647,209.547019705113
gRNA_CDK7_targ_23,1452.8827703331779,1692.405595518131,1879.8241241442702,978.9884354753065,1189.1545573857607,1524.0732195981275,1902.0580982715883,1633.0058267365052,2920.8799593826634,4425.027825081734,2172.981871213072,2300.7865168395633,764.2153882978698
gRNA_CDK7_targ_24,596.6290643575275,786.6282571392857,672.8873268325183,877.5218213442787,395.24376121766585,434.7661355296489,325.5824420228984,709.7823007140562,597.0152256486191,384.0208973793411,551.5970059470693,801.8504713844889,553.2593649637553
gRNA_CDK7_targ_25,313.52223849513285,286.9066693939704,240.42175782981815,258.20763018521416,233.9786974212479,328.54227531204873,216.4849640761499,139.55041844547546,386.13721226947905,75.14354856828187,322.0117498105695,153.51535978467948,393.5347135801376
gRNA_CDK7_targ_26,538.0680460049417,341.6516096773827,596.4547381493073,597.9270992488671,352.49408381997097,314.41958910727845,424.89876677442123,305.0607604674686,689.3315112107362,216.43556162208628,206.09155890980628,666.6485067357357,590.9079419306771
