gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,506.8266030013331,592.0450112502942,678.0140202912542,633.5438530439959,780.5953978627196,737.1527876259737,588.5291902742321,173.73386987031557,207.00324478889752,46.630462085082144,279.3169545490978,234.71805647617734,645.0982215020773
gRNA_CDK7_targ_2,633.7419336675601,490.2329361942886,365.09995674408435,441.1468630906428,246.68429129364122,464.58973903768856,81.64090121973234,88.28349200143337,79.08184414689201,37.30436966806572,69.72967223237339,182.72047460671362,566.3912787860497
gRNA_CDK7_targ_3,230.23085993502693,174.56353818986125,81.47440799016852,372.34136718362146,275.40340079264024,449.70802068593866,91.30115215770932,393.5286920892051,4.3451562718072525,11.329475232523663,187.31759642052137,97.11074869390498,235.1627056803615
gRNA_CDK7_targ_4,890.0388121878481,621.4653831549743,512.8509523334203,558.8556659167976,683.1147388791768,684.0338070621982,632.7857057502487,367.8478833393057,163.7254883216973,29.636249236296656,191.69851823616787,154.17040044941461,461.0541674818927
gRNA_CDK7_targ_5,212.36027077395283,100.29308846310096,611.2845175148716,136.2640204598901,326.8763321210702,385.6991238694709,144.0791085017787,759.5487598591229,57.00845028611116,19.964745989020358,10.288528506442526,786.4026809370062,137.51875419055293
gRNA_CDK7_targ_6,609.5730052267869,580.972398454647,968.7604021091655,488.07094679551113,620.1398756369686,467.7761775553573,840.5596395422659,43.22783821602276,246.9786824895243,167.24792401182796,92.19849093837853,229.5344969128663,315.7577132592511
gRNA_CDK7_targ_7,300.6887879013,634.2568492004874,517.8330192827881,528.8924255897288,563.8089854878125,614.9826339100788,75.78977361908774,280.7524714579744,33.892218920096575,65.90438641358277,44.87125980874289,81.88404247667883,464.91483742535695
gRNA_CDK7_targ_8,247.03907861518792,524.0503745521138,346.80721597544556,288.2793589999733,222.32305661911712,334.71610758677,444.4500817724534,233.41204821082903,562.2632215718586,17.89228100746115,7.367913962678197,78.64431774960944,508.0303484728049
gRNA_CDK7_targ_9,227.08169029517737,295.32297232578316,185.79587047541827,240.14574999749848,318.08914190122715,295.4283711381503,15.432839913109577,50.35631893663539,334.2294204274139,2.417875811819074,34.15127688106246,45.76111176985514,301.9776577676158
gRNA_CDK7_targ_10,172.1799015137034,222.9712425058498,61.39516846695837,130.32635081709483,262.61553860278747,129.1733152931891,38.012694747811885,62.7854648084728,305.55138903348603,8.289859926236826,36.1094161774499,27.82113609370839,264.5263413087542
