gRNA_id,Gene,classification,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,base_RPM,base_RAW,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.45435073739740817,0.08975138499261845,0.033936863618350806,-0.11022082959547963,0.033936863618350806,610.5550392458266,8848.0,-0.38792847238175215,1.021010319835899,1.5016784089290807,0.7115867521277425,1.021010319835899,-0.446756451320918,0.37389003160944007,0.061182555334221976,-0.003894621459085324,0.061182555334221976,-0.44699732366578254,-0.44699732366578254,-0.44699732366578254,0.604792007542073,0.9527777970451519,0.12120239625016685,0.8497125932438184,0.3629421928990999,0.9999843285365922,0.08499150084991502,0.36141245688515267
gRNA_CDK7_targ_2,CDK7,targeting,-0.12004053572708803,0.17784993935595364,-0.3609015642989371,-0.10103072022335717,-0.12004053572708803,468.30231816115753,5068.0,0.1615011322396848,-0.7091977224385541,-0.5606007193665409,-0.36943243652180335,-0.5606007193665409,-1.373912020636101,0.05313127087044984,0.15781353872847237,-0.387655737012393,0.05313127087044984,0.04625309882437454,0.04625309882437454,0.04625309882437454,0.5944973031104093,0.9634781862509108,0.5275197069152684,0.9283698365951178,0.5147940743678487,0.9999843285365922,0.221077892210779,0.6743493248440522
gRNA_CDK7_targ_3,CDK7,targeting,-1.3107999172203406,-5.182177851005078,-2.412150195434833,-2.9683759878867506,-2.412150195434833,357.997235941156,5188.0,-0.09263908896975061,0.11196519240121545,-0.9638483120358844,-0.3148407362014732,-0.09263908896975061,-1.0484213525293793,-1.2091961987749988,-0.32419378001343757,-0.8606037771059385,-1.0484213525293793,-1.277675791147641,-1.277675791147641,-1.277675791147641,0.0011260116429880188,0.17077843251984953,0.5670524372490089,0.9513134745054672,0.4482702591036686,0.9999843285365922,0.0090990900909909,0.06750140203370966
gRNA_CDK7_targ_4,CDK7,targeting,0.8720591738662694,-0.469059787811599,0.45973323679822237,0.28757754095096427,0.45973323679822237,333.9359090414573,4509.0,0.32480496393222363,0.2614249541353105,0.44531908664709413,0.34384966823820945,0.32480496393222363,-0.6546747567038029,0.5309412640866692,0.27086679390602914,0.049044433762965134,0.27086679390602914,-0.162938895502151,-0.162938895502151,-0.162938895502151,0.2792711834004165,0.7158782447728986,0.30590829946465725,0.9999999177856848,0.297925057411376,0.9999843285365922,0.16448355164483555,0.570571913583737
gRNA_CDK7_targ_5,CDK7,targeting,0.7908729978128904,-0.8172468785920917,0.7071733711557181,0.22693316345883896,0.7071733711557181,283.88601169273625,4114.0,0.6425271928631145,0.3527342713918559,-3.4383054036549923,-0.8143479798000074,0.3527342713918559,-1.921608799888478,-0.6928857831706787,1.1733056577230008,-0.48039630844538544,-0.6928857831706787,-1.8034333598998111,-1.8034333598998111,-1.8034333598998111,0.264770221326237,0.6933650121806488,0.23184383288691024,0.739531892457377,0.3065691141201718,0.9999843285365922,0.0090990900909909,0.06750140203370966
gRNA_CDK7_targ_6,CDK7,targeting,-0.20352391424965688,0.14951019711057853,-0.9063968581767755,-0.32013685843861794,-0.20352391424965688,792.4547514897567,8576.0,-0.15961429615420053,0.6611591803600294,-1.742704473945024,-0.4137198632463983,-0.15961429615420053,-0.47193502570943824,-1.113248642557929,-2.0240043335349576,-1.2030626672674416,-1.113248642557929,-2.5535345013412254,-2.5535345013412254,-2.5535345013412254,0.3843656858058915,0.9879516683245511,0.4074414357293925,0.8676404988621229,0.2639394417826188,0.922689535320258,9.999000099990012e-05,0.001312368763123689
gRNA_CDK7_targ_7,CDK7,targeting,0.15110433567957166,0.6859094841027024,-0.09178649791148276,0.24840910729026378,0.15110433567957166,763.4698185144466,9627.0,-0.22086010280213533,0.35824616939307036,-0.15093222884722693,-0.004515387418763968,-0.15093222884722693,-1.0918688633295281,0.48124329638286656,1.025767252767604,0.13838056194031415,0.48124329638286656,-0.9512810096518108,-0.9512810096518108,-0.9512810096518108,0.36180148294082826,0.7818088451391619,0.5104954795487056,0.9999999177856848,0.18069918472891008,0.9733008680312488,0.0343965603439656,0.2077491365907657
gRNA_CDK7_targ_8,CDK7,targeting,0.8791712159028541,0.7945116518846594,0.42279028675090446,0.6988243848461394,0.7945116518846594,321.9382117106265,4229.0,0.40626250187691715,0.08684015063772556,2.9787851318191927,1.1572959281112785,0.40626250187691715,-0.7075723969113866,-2.314618411917612,0.6787018216882286,-0.7811629957135899,-0.7075723969113866,0.9704843770806172,0.9704843770806172,0.9704843770806172,0.1090492990967974,0.4378008625503778,0.022387968439132374,0.44228749129918576,0.38200476201129335,0.9999843285365922,0.39316068393160686,0.8218443086778612
gRNA_CDK7_targ_9,CDK7,targeting,1.060531627663004,0.314512879263988,1.1474960209616556,0.8408468426295492,1.060531627663004,297.7249544426302,3222.0,0.6514072417102321,0.8023886719881562,0.5142203957135887,0.656005436470659,0.6514072417102321,0.364158025283299,-0.6502750607148785,0.9028762378349399,0.20558640080112012,0.364158025283299,0.14877629864900765,0.14877629864900765,0.14877629864900765,0.05351012872944735,0.31590299443033876,0.18147928638890162,0.9582948778369467,0.20188843411666638,0.9836076633261931,0.2610738926107389,0.7221192774339587
gRNA_CDK7_targ_10,CDK7,targeting,0.3775551963243938,0.037386801268695265,-0.18510581439137933,0.07661206106723659,0.037386801268695265,209.47935186885243,2267.0,-1.6397605340479495,0.7206131510127363,2.1109988042991183,0.39728380708796834,0.7206131510127363,-1.3332187339668462,-0.655162052638338,-2.005635180208215,-1.3313386556044664,-1.3332187339668462,0.34094598859289055,0.34094598859289055,0.34094598859289055,0.5244036812737836,0.8942049031089501,0.09434636990372956,0.7754219599542312,0.22407621358153415,0.8900937382627337,0.3158684131586839,0.7896710328967097
