gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.4911227698039402,0.8253590394862169,-0.04347245363085693,0.42433645188643343,0.4911227698039402,505.0708892158119,7676.0,-2.532979933798841,-3.328218390264332,-4.0033791765886155,-3.2881925002172623,-3.328218390264332,-1.1448233759952935,-2.668390295088396,-0.8725931654279507,-1.5619356121705466,-1.1448233759952935,-0.17385446657735407,-0.17385446657735407,-0.17385446657735407,0.2792693229749261,0.6571340476759633,0.48393471334541116,0.8503250673205646,0.27891927542928235,0.8584550416256379,0.16228377162283772,0.5230633961397249
gRNA_CDK7_targ_2,CDK7,targeting,0.10713221696094438,-0.9201208122628363,-0.0547530915187821,-0.28924722894022464,-0.0547530915187821,511.5702561244392,6091.0,-4.066022669210455,-3.115965858993193,-5.029563725660875,-4.070517417954841,-4.066022669210455,-2.614437359869515,-4.587882461416982,-7.156826781261459,-4.786382200849318,-4.587882461416982,-0.08097907755704489,-0.08097907755704489,-0.08097907755704489,0.48949665721575075,0.960904631016914,0.5740267123359566,0.8969815370727428,0.051415886329500185,0.9913031289377646,0.1987801219878012,0.6063348972365333
gRNA_CDK7_targ_3,CDK7,targeting,0.6467964072769239,0.019566154007493782,-0.775265062195529,-0.03630083363703714,0.019566154007493782,317.3902475610336,3779.0,-5.483205764713945,-0.9924462145809237,-1.0867677550966983,-2.5208065781305224,-1.0867677550966983,-0.8684672248445973,-5.435115626758226,-7.334998370617888,-4.546193740740237,-5.435115626758226,-1.1044992010738772,-1.1044992010738772,-1.1044992010738772,0.5453522602524761,0.8701412451719811,0.09509714957979688,0.5415136617801117,0.02940211639124444,0.9204176686980337,9.999000099990012e-05,0.0006561843815618445
gRNA_CDK7_targ_4,CDK7,targeting,0.5418927646189482,1.6293363766878475,0.5628174555385957,0.9113488656151305,0.5628174555385957,343.53930248953725,5301.0,-6.0112210331923235,-1.82795906275068,-2.6447184752378394,-3.494632857060281,-2.6447184752378394,2.098363357331659,-0.03733299819942998,-1.350267756805894,0.23692086744211163,-0.03733299819942998,-0.203722401678972,-0.203722401678972,-0.203722401678972,0.10338682596371274,0.4218924288205318,0.3790240481880018,0.8148463169181045,0.018249147996005684,0.33216112116868846,0.15248475152484753,0.5120336674819603
gRNA_CDK7_targ_5,CDK7,targeting,-0.5711553529092007,0.5184514372170902,0.3853474198789858,0.11088116806229176,0.3853474198789858,253.5002409578884,3153.0,-3.276678608715846,-4.930439376389196,-2.45563964140326,-3.554252542169434,-3.276678608715846,-0.3120283790415585,2.4607902408247337,-1.4774753006127717,0.22376218705680126,-0.3120283790415585,-1.6407155971004526,-1.6407155971004526,-1.6407155971004526,0.4257317702474658,0.7821317178839715,0.514814115175646,0.8631985167342447,0.01650818227998566,0.31962650797419045,9.999000099990012e-05,0.0006561843815618445
gRNA_CDK7_targ_6,CDK7,targeting,-0.07169621272750812,-0.1895792186062554,-1.055123417384949,-0.43879961623957087,-0.1895792186062554,783.2538367940847,9742.0,-3.990171020850873,-5.443262579553813,-1.8448520139665123,-3.7594285381237333,-3.990171020850873,1.446476938110505,-3.7470610296036058,-2.615097951543094,-1.6385606810120652,-2.615097951543094,-2.536707230970051,-2.536707230970051,-2.536707230970051,0.39086139432794126,0.9894171055119549,0.500503285592895,0.8585028847913673,0.17860605315022643,0.7642547415362353,9.999000099990012e-05,0.0006561843815618445
gRNA_CDK7_targ_7,CDK7,targeting,0.3180510892893631,0.06768194267207737,0.6997665234675795,0.3618331851430067,0.3180510892893631,402.9080262781011,7662.0,-2.6633586014766895,-6.647912212601376,-5.008306496925661,-4.773192437001242,-5.008306496925661,-2.8399902101650913,-2.586613373013067,-5.885584704565556,-3.7707294292479046,-2.8399902101650913,-0.03084827986227939,-0.03084827986227939,-0.03084827986227939,0.3154988122724194,0.6953082843240852,0.26487087264270176,0.9160696346827439,0.29228391448086294,0.9999677294932117,0.22307769223077692,0.6569601939482427
gRNA_CDK7_targ_8,CDK7,targeting,-0.671641703440609,-1.2236626310013305,-0.5110399066558182,-0.8021147470325859,-0.671641703440609,698.0689178859034,11819.0,-3.9956046097003233,-7.531070606854866,-3.212513090585459,-4.913062769046882,-3.9956046097003233,-3.63671543939275,-2.2401618117192332,-5.942394663036584,-3.939757304716189,-3.63671543939275,-0.14369215583488307,-0.14369215583488307,-0.14369215583488307,0.21163868002159517,0.9999969884788544,0.025622480051862857,0.7944613707930928,0.26262337067381686,0.9999677294932117,0.16228377162283772,0.5230633961397249
gRNA_CDK7_targ_9,CDK7,targeting,0.04861587677074026,0.22092397524409244,0.5462934713073497,0.27194444110739413,0.22092397524409244,311.7900204359947,4661.0,-6.454921818655292,-2.665682861034233,-4.458091522298303,-4.526232067329276,-4.458091522298303,-5.039797353125827,-1.8545046387676716,-3.3287352865642217,-3.40767909281924,-3.3287352865642217,0.0823995748509089,0.0823995748509089,0.0823995748509089,0.3864963685775831,0.7525927861746091,0.33174539699702904,0.9073867829075775,0.4174023668798446,0.9999677294932117,0.27017298270172985,0.7160895560929345
gRNA_CDK7_targ_10,CDK7,targeting,0.19793577568765583,1.147093308101785,0.652581907423098,0.6658703304041795,0.652581907423098,148.33743880980148,1845.0,-4.560574955274396,-2.532152091616837,-3.70475647920413,-3.5991611753651216,-3.70475647920413,-5.507491531631014,-5.042012319778302,-2.355139575110507,-4.301547808839941,-5.042012319778302,0.8360488060793173,0.8360488060793173,0.8360488060793173,0.17321024006510077,0.5261014642485653,0.5539692528512072,0.86423204129579,0.22454397557810893,0.9999677294932117,0.44575542445755434,0.967621907885938
