gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_HQ461,FDR_CBE_HQ461,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,-0.8374209175407726,-0.4201501109841108,-1.4594489813750162,-0.9056733366332997,-0.8374209175407726,294.4291240798167,2970.0,-0.5385911474862277,-2.01823123857611,0.18634574163357473,-0.7901588814762545,-0.5385911474862277,-1.5644794266143665,-0.8137223917270621,-0.6722820603532769,-1.0168279595649017,-0.8137223917270621,-0.18577950166109838,0.013245664628569912,-0.9888732759859726,-0.38713570433950034,-0.18577950166109838,0.6263787472819465,0.6263787472819465,0.6263787472819465,0.40882198514271434,0.9999997400520523,0.5408458759050117,0.8123019768725388,0.3848385022602722,0.9999993686552315,0.5562249426727008,0.8880626503544466,0.4477552244775522,0.8944080561168339
gRNA_CDK12_targ_1741,CDK12,targeting,0.7790730230230882,-2.4899052239990502,-0.6418874184383179,-0.7842398731380933,-0.6418874184383179,135.57196801115,1326.0,-1.1250282440064643,-2.8172233868288377,-2.8253045133990082,-2.2558520480781037,-2.8172233868288377,-1.0411815521723082,-1.8359359614039195,-2.1098507899883643,-1.662322767854864,-1.8359359614039195,-1.0147523837660846,0.7154928070000656,0.7812001012105801,0.1606468414815204,0.7154928070000656,1.7087130044813579,1.7087130044813579,1.7087130044813579,0.38966556742828196,0.9999997400520523,0.14287062568586087,0.9999999982258657,0.11910232655576827,0.7790371788974845,0.22175007545553113,0.6489489995471698,0.13368663133686634,0.45573285808674047
gRNA_CDK12_targ_1742,CDK12,targeting,-0.28104045105520814,-0.4087746252951594,-0.5814465397257963,-0.42375387202538795,-0.4087746252951594,158.65945589128685,1719.0,-1.0067329235716327,-1.3053334440404003,0.488630910919379,-0.6078118188975513,-1.0067329235716327,-1.732690901230737,-0.5958917168538763,-1.6102739731420397,-1.3129521970755509,-1.6102739731420397,0.17474457596462206,0.9993457085910673,-1.30995265142433,-0.045287455622880245,0.17474457596462206,0.5285978652817173,0.5285978652817173,0.5285978652817173,0.6286479598470001,0.9999997400520523,0.5013922086276119,0.7891048961916313,0.22376055003345452,0.8959857849545161,0.27700422069424435,0.7021345050649318,0.47115288471152894,0.9145024891450251
gRNA_CDK12_targ_1743,CDK12,targeting,-2.0558485004021985,0.6760651470084698,1.3981905375764174,0.0061357280608962395,0.6760651470084698,429.46041201987055,4412.0,-0.08450645890495977,-2.2622535088174756,-0.4727053758219942,-0.9398217811814765,-0.4727053758219942,-2.6010991933783565,-1.461150003734376,0.44710789583006044,-1.2050471004275576,-1.461150003734376,-2.1607063122094106,-0.18977169693313048,-1.140804746627746,-1.1637609185900957,-1.140804746627746,-1.3204268425289192,-1.3204268425289192,-1.3204268425289192,0.2514440467392219,0.9111008932956881,0.5384941410130053,0.8580589010965074,0.20169840443492829,0.8767310229397991,0.3383893948062478,0.9816715500366854,0.03749625037496249,0.21860089440157773
gRNA_CDK12_targ_1744,CDK12,targeting,0.3795179466366208,-0.07246276578875699,0.6708415785826536,0.32596558647683915,0.3795179466366208,189.58666315698517,1419.0,-1.3646635600196504,-2.6064984906034225,-1.0151402457933765,-1.6621007654721496,-1.3646635600196504,-2.4054724971828785,0.27797627965103117,-1.8619544476318663,-1.3298168883879047,-1.8619544476318663,0.7411643256752946,-2.884648946408411,0.12724558035145128,-0.6720796801272217,0.12724558035145128,1.3841067683730617,1.3841067683730617,1.3841067683730617,0.32717788976225337,0.9860969168075829,0.27369696056343545,0.9935558199971922,0.1611884876307091,0.822831281381318,0.40938310523563143,0.796886564023069,0.18618138186181382,0.5293989292659519
gRNA_CDK12_targ_1745,CDK12,targeting,0.46542879209759597,0.36853850161632173,1.0143424607650333,0.6161032514929837,0.46542879209759597,299.15805309247736,2926.0,-0.7085867162850764,-0.6876912866860133,-0.40444292923244485,-0.6002403107345115,-0.6876912866860133,-2.272628908668042,-1.715800364079457,-2.08750449125676,-2.0253112546680865,-2.08750449125676,-0.9801940372850361,-1.6439023644041089,-0.8797680649227272,-1.1679548222039573,-0.9801940372850361,-0.07297478108882342,-0.07297478108882342,-0.07297478108882342,0.20523007123252962,0.8626195697438507,0.572727274110669,0.8311897700079315,0.05791895816002914,0.6640767899602601,0.38126416600406604,0.995606502853714,0.33996600339966,0.9293748347663852
gRNA_CDK12_targ_1746,CDK12,targeting,-0.8110613644424715,1.692721483848469,-0.9752978116604126,-0.031212564084805033,-0.8110613644424715,78.02987925724335,705.0,0.12685197413188956,-0.9397433310896572,0.5751104121662552,-0.07926031493050416,0.12685197413188956,-1.1176814059194404,-0.248144975366745,0.13697056313350528,-0.40961860605089345,-0.248144975366745,0.691823193483297,0.940427205905506,1.7402197361534066,1.1241567118474032,0.940427205905506,1.9102453807106305,1.9102453807106305,1.9102453807106305,0.2592732148437847,0.9179563892483448,0.27526681438244543,0.6163748171176376,0.5507233061681123,0.9999993686552315,0.03414686688890164,0.30839879038065526,0.1066893310668933,0.40074356761854674
gRNA_CDK12_targ_1747,CDK12,targeting,-0.27850665441394185,-2.749274118193501,0.772787341726606,-0.7516644769602788,-0.27850665441394185,69.04945837085985,553.0,-0.018530581438145562,-2.4074356994799615,0.4653121411804615,-0.6535513799125484,-0.018530581438145562,-0.42195316503878866,0.6765442802427599,-0.7509222308300892,-0.165443705208706,-0.42195316503878866,0.3375716858077641,1.598401706577271,0.4320817309706642,0.7893517077852331,0.4320817309706642,1.8359095541901307,1.8359095541901307,1.8359095541901307,0.35922161758146764,0.9999997400520523,0.39858305034923164,0.7188967354946497,0.3583364830514017,0.8918108381872308,0.0784081031606733,0.4490478190425384,0.12028797120287969,0.43698645060867036
gRNA_CDK12_targ_1748,CDK12,targeting,1.6366894619822667,-0.7339975613729146,-0.9468947364445299,-0.014734278611725937,-0.7339975613729146,247.73067759503508,2409.0,-0.468118911215551,-0.79863785768543,-1.8933768466099996,-1.0533778718369937,-0.79863785768543,0.3252043783837656,0.44056410625007125,-1.2984253270845445,-0.17755228081690255,0.3252043783837656,0.36923864210417573,-2.682995129952798,1.0434161990727817,-0.4234467629252801,0.36923864210417573,-0.20634008016306973,-0.20634008016306973,-0.20634008016306973,0.28216115433168737,0.9396452038075715,0.5121978253057413,0.921795430900568,0.3535621686515336,0.8877740003422162,0.28378091131483696,0.7076605522655907,0.29017098290170984,0.8806436064622963
gRNA_CDK12_targ_1749,CDK12,targeting,-0.34244301217041984,0.7153379291224262,0.715721008487819,0.3628719751466085,0.7153379291224262,189.58666315698517,1615.0,-0.354172200380142,-1.529071319793043,0.8899050736303064,-0.3311128155142929,-0.354172200380142,0.5986393074823694,0.06900479004865549,-1.6231546291104562,-0.31850351052647713,0.06900479004865549,1.367858899531444,0.9609967152244684,-0.5537191821691861,0.5917121441955754,0.9609967152244684,0.9329030233212384,0.9329030233212384,0.9329030233212384,0.2904296315096579,0.9486647191581314,0.2853550985073737,0.6237645725422107,0.37545064728216,0.9066336102209481,0.09655828492896622,0.4881046917528917,0.35566443355664434,0.8155320125076517
