gRNA_id,Gene,classification,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,LFC_avg_ABE_BSJ-4-116,LFC_median_ABE_BSJ-4-116,base_RPM,base_RAW,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,LFC_avg_ABE_CDK12-IN-2,LFC_median_ABE_CDK12-IN-2,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,LFC_avg_ABE_HQ461,LFC_median_ABE_HQ461,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,p_ABE_BSJ-4-116,FDR_ABE_BSJ-4-116,p_ABE_CDK12-IN-2,FDR_ABE_CDK12-IN-2,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_HQ461,FDR_ABE_HQ461,p_ABE_T0,FDR_ABE_T0
gRNA_CDK12_targ_1740,CDK12,targeting,-1.1236650955855567,-1.472687141528447,-2.5065401152369438,-1.7009641174503158,-1.472687141528447,455.0496202302683,7507.0,-3.8317100212783104,-3.2657449256738458,-3.40224053471258,-3.499898493888246,-3.40224053471258,-1.5223779944100926,-0.4367822706580152,-1.4103223778302436,-1.123160880966117,-1.4103223778302436,-3.68092127948752,-2.7324353204997327,-1.2644445336089902,-2.559267044532081,-2.7324353204997327,-1.249426423348975,-0.5692353776153579,-0.7494720678164928,-0.8560446229269418,-0.7494720678164928,0.1421992814890951,0.5819638608243587,0.08380599464130378,0.6287383812610636,0.39762892324210886,0.960147618225489,0.26070282121521277,0.933849399319835,0.4981491226710546,0.9999999982229338
gRNA_CDK12_targ_1741,CDK12,targeting,-2.7491329950156076,-1.5713047802642255,-2.0307707491380254,-2.117069508139286,-2.0307707491380254,445.4115638007209,7348.0,-3.198073296600676,-1.7941248362581295,-1.6410830460516992,-2.2110937263035013,-1.7941248362581295,-2.5366058836603482,-0.9199443839218384,-1.7070081568162452,-1.721186141466144,-1.7070081568162452,-2.624272543689478,-2.0203523347022587,-0.05383013169044548,-1.566151670027394,-2.0203523347022587,-1.1483998736379153,-2.052723586296919,-1.572573299863262,-1.591232253266032,-1.572573299863262,0.07716561475109929,0.42065197380554464,0.25722232143893403,0.9752011376672359,0.19432497517172007,0.710190675026977,0.5225199031805261,1.0,0.2597958864817911,0.797926844542412
gRNA_CDK12_targ_1742,CDK12,targeting,-1.1180359324031603,0.19436303106556946,-2.330874202541186,-1.0848490346262591,-1.1180359324031603,229.3130029747043,3783.0,-0.614966195188215,-3.3815962756206988,-2.4718919195823514,-2.1561514634637553,-2.4718919195823514,-1.4932442127284238,0.29850245438124445,-0.26523784100658243,-0.486659866451254,-0.26523784100658243,0.391782333403222,-0.6843185305704048,-2.332286086681284,-0.8749407612828222,-0.6843185305704048,-0.38765462724533206,-1.4858014614226052,-0.5550337898156139,-0.8094966261611837,-0.5550337898156139,0.3170038050874393,0.8521393572192932,0.27815470714155804,0.9907240592440412,0.5737019738586275,0.9999971840413334,0.43077592405987486,0.9981351986977953,0.506820347595657,0.9999999982229338
gRNA_CDK12_targ_1743,CDK12,targeting,3.0167858087180806,-0.15519670094499036,-0.00260021569774269,0.9529962973584493,-0.00260021569774269,171.3634309832115,2827.0,0.6971014624101147,-1.44362086115376,1.255999018343978,0.16982653986677756,0.6971014624101147,-1.0959915000225409,-0.7194330568820242,-0.09437436391361814,-0.6365996402727278,-0.7194330568820242,-2.9610525769643554,-0.19086049345427197,-0.14996698715174825,-1.100626685856792,-0.19086049345427197,-0.5413691615801997,-0.1701497119240268,0.5549363635520456,-0.05219416998406031,-0.1701497119240268,0.023936873977760537,0.26543212419985945,0.12298024014421133,0.5345248294839471,0.6110752475063019,0.9999971840413334,0.49192993192651246,1.0,0.4603849820133191,0.9999999982229338
gRNA_CDK12_targ_1744,CDK12,targeting,-1.1805846373555517,-1.8793945379561807,-1.091978166253617,-1.3839857805217832,-1.1805846373555517,496.4508311823495,8190.0,-4.650251660472506,-2.815272670879305,-4.035601149440281,-3.833708493597364,-4.035601149440281,-0.6950370289794262,-0.6498471198293475,-2.0283282588190676,-1.1244041358759471,-0.6950370289794262,-3.547120300834019,-2.0663256923109907,-1.4684694143098662,-2.3606384691516253,-2.0663256923109907,-1.6560859413566213,-2.1672755210309216,-1.3092006365059456,-1.7108540329644961,-1.6560859413566213,0.2600195062651057,0.7712765501879345,0.061225649169067836,0.5448746986380663,0.38854235888870686,0.9484981380880049,0.3194811006758639,1.0,0.22205888382412445,0.7497025265833975
gRNA_CDK12_targ_1745,CDK12,targeting,-3.3897982773427824,-2.207933610717823,-0.6982009357552537,-2.0986442746052867,-2.207933610717823,284.3529730252016,4691.0,-6.609552875961112,-4.135847520854426,-1.4131258372378608,-4.052842078017799,-4.135847520854426,-0.5230763574040163,-1.3529653445932983,-5.878869643672035,-2.5849704485564495,-1.3529653445932983,-6.106384599124829,-4.705053862947792,-0.5610068101147695,-3.79081509072913,-4.705053862947792,1.863964274651909,-3.1196527673798427,0.696289412980391,-0.18646635991584756,0.696289412980391,0.07690299861814882,0.4196903556873862,0.021320275000971972,0.32824600898020784,0.06781906083968671,0.45980945427241626,0.042008805432595074,0.3925122165947655,0.18323883797923857,0.9999999982229338
gRNA_CDK12_targ_1746,CDK12,targeting,-1.097051674799881,-0.5019420525939426,-1.6340281479768421,-1.0776739584568886,-1.097051674799881,296.0519974962875,4884.0,-0.18035874093384469,0.12187300070666561,-1.0083950839316298,-0.3556269413862696,-0.18035874093384469,-2.0911988316501176,1.2086742034317686,-1.7205019617292403,-0.8676755299825297,-1.7205019617292403,0.8482880277114011,-2.6947493516546897,-2.355940831391714,-1.4008007184450009,-2.355940831391714,0.6992193577694401,-0.1732780281628758,-4.71462937554772,-1.3962293486470518,-0.1732780281628758,0.38171272037351234,0.9240067244049022,0.4205937785638348,0.9999999737638812,0.3694360357684268,0.9385266578152847,0.4830193247927441,1.0,0.18769636602137338,0.6988884568537969
gRNA_CDK12_targ_1747,CDK12,targeting,-1.6599361087852238,1.014385576830347,-0.5676386527528233,-0.4043963949025667,-0.5676386527528233,249.07404949063172,4109.0,-2.125930562588814,-0.8949144280369584,-1.1670878554369184,-1.3959776153542303,-1.1670878554369184,-1.4656265462508502,-0.5679815098560368,0.29353906388533063,-0.5800229974071855,-0.5679815098560368,-1.2564283321469474,-1.353853614241066,-0.7802045800882479,-1.1301621754920872,-1.2564283321469474,1.4320293153237724,0.2811658992955568,-0.24783784330589237,0.488452457104479,0.2811658992955568,0.4361297578501744,0.9999998480054701,0.47689090709193127,0.9999999737638812,0.5978267965967237,0.9999971840413334,0.6017567328808642,1.0,0.205252357754002,0.9999999982229338
gRNA_CDK12_targ_1748,CDK12,targeting,0.6970942939706579,-0.21508815815874494,0.9921962005509292,0.491400778787614,0.6970942939706579,214.5831431484148,3540.0,-1.1004449494216701,-1.4765711392887022,1.842323846454128,-0.24489741408541477,-1.1004449494216701,-0.019521900068344793,0.6863746237050369,-0.2038360022899978,0.15433890711556478,-0.019521900068344793,0.367047233471821,0.1835530766057954,2.743652270170274,1.0980841934159635,0.367047233471821,-1.3890781907923218,2.000120175823084,0.18917107862607654,0.2667376878856129,0.18917107862607654,0.17334412184800152,0.809050033706684,0.1725783101087532,0.657364016908772,0.3220937593839942,0.9999971840413334,0.016158733381244766,0.1833585496851946,0.18917682499214383,0.9999999982229338
gRNA_CDK12_targ_1749,CDK12,targeting,-1.129869827581774,0.6742740200583085,-0.2347576769649599,-0.23011782816280846,-0.2347576769649599,362.8516087249749,5986.0,-2.2495417051106212,-1.6180698047940048,-3.8364199323229102,-2.568010480742512,-2.2495417051106212,-2.2104175264321158,0.2614483517543852,-0.706076074929837,-0.8850150832025224,-0.706076074929837,-0.5618787530633432,0.6785200128102885,-1.623029413518738,-0.5021293845905975,-0.5618787530633432,-0.5136590985639509,-1.5017331126436368,-0.9067714359194449,-0.9740545490423442,-0.9067714359194449,0.44887575121307877,0.9999998480054701,0.19185633187364398,0.8804838776531296,0.4450699238751068,0.9999971840413334,0.33317271665469306,0.9083610538471132,0.4541457650142463,0.9862924849150264
