gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,p_DMSO,FDR_DMSO,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_T0,FDR_T0
gRNA_CDK7_targ_1,CDK7,targeting,0.9680124528634505,0.057599011457077874,0.8805429918291732,0.6353848187165672,0.8805429918291732,447.617227161692,7901.0,0.6124373402530654,1.0969881349621868,-0.1563383354733608,0.5176957132472971,0.6124373402530654,-0.7060714138782443,0.49271666619742005,0.5088224035114267,0.09848921861020081,0.49271666619742005,0.5067107269580359,-0.18176728547858817,0.17863095086835712,0.16785813078260162,0.17863095086835712,0.0052236340757148905,0.02579082949122656,0.04049836026624111,0.18072233770971857,0.08970179668081607,0.3377736619843143,0.026191000267650064,0.0866684008856784
gRNA_CDK7_targ_2,CDK7,targeting,-0.6993440792054334,-0.31989732805199766,-0.2147868399531691,-0.4113427490702,-0.31989732805199766,483.5920327872679,8536.0,-0.6771801484373816,0.30265422348371646,-0.780662013417277,-0.38506264612364743,-0.6771801484373816,-1.113150506624655,0.8573300061325372,0.4466637333947416,0.06361441096754127,0.4466637333947416,-0.2222994701462016,-1.0699348011862566,-0.17832919243569922,-0.4901878212560525,-0.2222994701462016,0.41506669461639356,0.7996697786187398,0.2812223465671316,0.7024702248956385,0.07186700694293544,0.2923948270554601,0.3683432943831301,0.6404950278127041
gRNA_CDK7_targ_3,CDK7,targeting,0.7826559848646456,-0.1136791669410593,-0.07183107797253652,0.19904857998368328,-0.07183107797253652,147.0718037858186,2596.0,2.8004876931535443,1.8309753233780237,-1.1184736187136572,1.1709964659393037,1.8309753233780237,-2.1355845260211885,-0.7053279741146885,1.3821978849934586,-0.4862382050474728,-0.7053279741146885,1.6104424002560174,-0.30426218917020353,0.2628661018662027,0.5230154376506722,0.2628661018662027,0.05939247687444544,0.19605980878746804,0.00031268835739844676,0.003209169983826164,0.11452271369701805,0.3957217417799575,0.00021704041649674998,0.0014040766280476952
gRNA_CDK7_targ_4,CDK7,targeting,1.7997420495998622,0.9614866672743796,1.271128544907809,1.3441190872606834,1.271128544907809,298.16598741323696,5263.0,2.6974027278563235,1.9317356020975662,0.36746992149222957,1.665536083815373,1.9317356020975662,1.0546323796371733,2.9224656316389743,1.3628079701846998,1.7799686604869491,1.3628079701846998,0.4915176159472077,0.66004710032803,1.3035002904314836,0.8183550022355739,0.66004710032803,3.815829976017496e-06,4.209730829645705e-05,0.00010528186797394013,0.0013549993735522267,0.00024694734593827793,0.004464677181533105,1.2536543211252912e-05,9.778503704777273e-05
gRNA_CDK7_targ_5,CDK7,targeting,0.8270727054773114,2.5428516011021043,2.325042028242051,1.8983221116071558,2.325042028242051,80.61755654361319,1423.0,2.43611476679363,-0.12489296066148299,2.30777006736923,1.5396639578337925,2.30777006736923,-1.2910817844826699,1.9133176894295953,1.6571200008409521,0.7597853019292925,1.6571200008409521,1.9870079841381552,2.0295867858563397,2.1115940780076516,2.0427296160007153,2.0295867858563397,8.281330681357771e-08,1.2354116262353397e-06,0.00015936268288066393,0.001867210833751985,0.006744851482706846,0.05596791655863128,4.1025318572854354e-10,6.746934921921228e-09
gRNA_CDK7_targ_6,CDK7,targeting,2.7910406879734158,2.714057387796187,2.9214211319090233,2.808839735892875,2.7910406879734158,134.15486570293467,2368.0,2.3726607561551813,3.5702380501126125,2.3202896173860363,2.7543961412179434,2.3726607561551813,1.4298058096431636,2.0024391906002283,4.400230229970647,2.610825076738013,2.0024391906002283,2.557295504158401,2.214056579430138,2.754581307271898,2.5086444636201457,2.557295504158401,4.1025318572854354e-10,8.749931226866593e-09,1.6559697993225312e-07,5.196319025460357e-06,6.353915297712052e-06,0.00022238703541992182,4.1025318572854354e-10,6.746934921921228e-09
gRNA_CDK7_targ_7,CDK7,targeting,0.31214899274739655,0.31609053899569367,0.5694357543502311,0.39922509536444045,0.31609053899569367,394.3631841883988,6961.0,0.6234617513965274,0.795163677722819,-0.353275577696511,0.35511661714094506,0.6234617513965274,-1.0618192522340166,-0.5502240996818737,0.7135894311355917,-0.2994846402600995,-0.5502240996818737,0.370507060905241,-0.34508289339677234,-0.276272341538907,-0.08361605801014611,-0.276272341538907,0.022404094861466706,0.08968208060381834,0.07090528213900574,0.27456939041061795,0.17053328715383156,0.5127267334030399,0.0920117163094291,0.2394585181360738
gRNA_CDK7_targ_8,CDK7,targeting,-1.4651546725952782,-0.8362770338936167,-0.5863805364661213,-0.9626040809850055,-0.8362770338936167,631.7969013171991,11152.0,-3.2023669445067418,-0.24213376365511696,-0.881799694532406,-1.4421001342314215,-0.881799694532406,-1.3432565489251234,-1.3627442103685077,-3.1120433442658166,-1.939348034519816,-1.3627442103685077,0.1219618897954438,-0.30542743895204805,-0.08747596064141372,-0.09031383659933932,-0.08747596064141372,0.512506389817464,1.0,0.4978972489633944,1.0,0.44749797422716175,1.0,0.11928582019841817,0.28716956714434
gRNA_CDK7_targ_9,CDK7,targeting,-0.19495586343086277,0.5392159420434125,1.1994173778556236,0.5145591521560577,0.5392159420434125,330.1750664344186,5828.0,0.5752634450681176,-0.7972908959313257,0.6168953455971221,0.1316226315779713,0.5752634450681176,1.3560520432609948,-0.7799889322155757,0.2925338311754198,0.28953231407361296,0.2925338311754198,-0.8541239560059288,-0.6127468620965474,-0.1847688887428063,-0.5505465689484275,-0.6127468620965474,0.011073682417675399,0.04844736057732987,0.11112796710761895,0.3854883738294787,0.03791107705647281,0.18920884892901418,0.44465614882765814,0.7242907436154574
gRNA_CDK7_targ_10,CDK7,targeting,-1.376729275883187,0.12201516137256549,-3.3828921897882256,-1.5458687680996157,-1.376729275883187,265.59037601999904,4688.0,-1.7950283054606564,-0.46213003803667424,-1.2674868356705487,-1.174881726389293,-1.2674868356705487,-1.7011948122835752,-1.3064272499475493,-2.4389944537644146,-1.8155388386651798,-1.7011948122835752,-0.09041272753473087,-1.6024564943809094,0.43651404190833853,-0.4187850600024339,-0.09041272753473087,0.1913411468197902,0.9132191098217259,0.6089590644039646,1.0,0.47003404048511166,1.0,0.11668452875454392,0.28363287096713724
gRNA_CDK7_targ_11,CDK7,targeting,0.29224912022496463,-0.17279527464492023,0.47869207778255923,0.19938197445420122,0.29224912022496463,481.2125968246314,8494.0,-1.0275746321219128,-0.528038386119685,0.9601023454706094,-0.19850355759032945,-0.528038386119685,1.3512214389477182,-0.7241395260411114,0.6039585223587177,0.4103468117551081,0.6039585223587177,0.03629074372473063,-0.3943581219392776,-0.08107686992547193,-0.14638141604667296,-0.08107686992547193,0.060759046340148386,0.19973216004347571,0.15584332927014752,0.49128439827656206,0.028563825968105194,0.16002143215342066,0.1452136410162603,0.3311890058265586
gRNA_CDK7_targ_12,CDK7,targeting,-0.8367520644826206,-0.5859488781995583,-0.5938811444232617,-0.6721940290351469,-0.5938811444232617,501.8910284046868,8859.0,0.6677925874637524,0.3125573232568643,-0.3210991295703935,0.2197502603834077,0.3125573232568643,-5.191518049713265,0.8326282294825775,1.8504132962092847,-0.8361588413404676,0.8326282294825775,-0.45289908984370275,-0.97238441281625,-0.2685045491661435,-0.5645960172753653,-0.45289908984370275,0.6146225042856477,1.0,0.09633116239463572,0.3469446877801524,0.029759308413614564,0.16334298868647387,0.46401991143246824,0.741379721498329
gRNA_CDK7_targ_13,CDK7,targeting,-0.541325748521929,0.013043076830130583,-0.3472932661661405,-0.29185864595264627,-0.3472932661661405,771.0505583686406,13610.0,-1.7917016816496993,0.5849379720156552,0.8052367342234692,-0.13384232513685826,0.5849379720156552,1.305247698323436,-0.623718854490389,-0.7696562159465197,-0.029375790704490885,-0.623718854490389,-0.3985768325175847,-1.462813416542186,-0.45208499127223667,-0.7711584134440024,-0.45208499127223667,0.31067307155419366,0.6706837389686253,0.12119717320258691,0.41019067591485603,0.07394121168056664,0.29728940778784524,0.5559105684206669,0.8313244517584016
