gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_HQ461,FDR_CBE_HQ461,p_CBE_T0,FDR_CBE_T0
gRNA_CDK12_targ_1740,CDK12,targeting,-1.4637996648227194,-1.0465288582660575,-2.085827728656963,-1.5320520839152465,-1.4637996648227194,455.0496202302683,7507.0,-1.1649698947681744,-2.644609985858057,-0.44003300564837194,-1.416537628758201,-1.1649698947681744,-2.190858173896313,-1.4401011390090086,-1.2986608076352235,-1.643206706846848,-1.4401011390090086,-0.8121582489430449,-0.6131330826533767,-1.6152520232679193,-1.013514451621447,-0.8121582489430449,-0.5820064761897451,-1.7895867754068175,-0.6263787472819466,-0.9993239996261698,-0.6263787472819466,0.4615577558679067,1.0,0.6027547872417547,0.9999999934512991,0.43578713033237815,0.9776091015935562,0.5752176497283008,0.999999942696776,0.42078056832022065,0.9571774797116047
gRNA_CDK12_targ_1741,CDK12,targeting,-0.9296399814582698,-4.198618228480408,-2.3506004229196757,-2.492952877619451,-2.3506004229196757,445.4115638007209,7348.0,-2.833741248487822,-4.5259363913101955,-4.5340175178803666,-3.964565052559461,-4.5259363913101955,-2.749894556653666,-3.5446489658852776,-3.8185637944697226,-3.371035772336222,-3.5446489658852776,-2.723465388247442,-0.9932201974812924,-0.9275129032707776,-1.5480661629998373,-0.9932201974812924,-1.7087130044813579,-2.7136265756948132,-0.7505315197232393,-1.7242903666331368,-1.7087130044813579,0.17256655928073597,0.6297646971656107,0.0477996924617849,0.37530468210317564,0.05968215158110111,0.2893752130446217,0.4812823302781961,0.999999942696776,0.16619113689630804,0.5436951978570078
gRNA_CDK12_targ_1742,CDK12,targeting,-0.8096383163369256,-0.9373724905768768,-1.1100444050075138,-0.9523517373071053,-0.9373724905768768,229.3130029747043,3783.0,-1.53533078885335,-1.8339313093221175,-0.039966954362338374,-1.1364096841792686,-1.53533078885335,-2.2612887665124544,-1.1244895821355936,-2.138871838423757,-1.8415500623572683,-2.138871838423757,-0.3538532893170952,0.4707478433093499,-1.8385505167060472,-0.5738853209045974,-0.3538532893170952,-0.09931927914714261,-1.2867924674365112,-0.5285978652817174,-0.6382365372884571,-0.5285978652817174,0.6520505408341515,1.0,0.5167127351302723,0.9999999934512991,0.37095968916602357,0.8878228942282216,0.3581657269899374,0.8691678758659099,0.5723559788341768,1.0
gRNA_CDK12_targ_1743,CDK12,targeting,-0.7354216578732793,1.9964919895373887,2.7186173801053366,1.3265625705898154,1.9964919895373887,171.3634309832115,2827.0,1.2359203836239594,-0.9418266662885568,0.8477214667069248,0.3806050613474425,0.8477214667069248,-1.2806723508494373,-0.14072316120545697,1.7675347383589795,0.11537974210136175,-0.14072316120545697,-0.8402794696804913,1.1306551455957885,0.1796220959011731,0.15666592393882342,0.1796220959011731,1.3911519117491493,-1.0573745243570436,1.320426842528919,0.5514014099736749,1.320426842528919,0.004350916427725828,0.02725902338503131,0.05662035260232963,0.21997436270402285,0.11450172990588643,0.4241966675660998,0.1579918043575429,0.5322519748183521,0.06025400779923971,0.2635368463312659
gRNA_CDK12_targ_1744,CDK12,targeting,-1.0045888217364407,-1.4565695341618186,-0.7132651897904081,-1.0581411818962225,-1.0045888217364407,496.4508311823495,8190.0,-2.748770328392712,-3.990605258976484,-2.399247014166438,-3.046207533845211,-2.748770328392712,-3.78957926555594,-1.1061304887220305,-3.246061216004928,-2.7139236567609664,-3.246061216004928,-0.642942442697767,-4.268755714781473,-1.2568611880216105,-2.0561864485002834,-1.2568611880216105,-0.6241217254988186,-1.3841067683730617,-1.9143417784508792,-1.3075234241075864,-1.3841067683730617,0.628131671067766,1.0,0.16411901143804877,0.73296453915635,0.13277009408175325,0.4816131281594447,0.2566261619991349,0.876056210807706,0.28734878910255685,0.7762563292737218
gRNA_CDK12_targ_1745,CDK12,targeting,0.5384035731864193,0.44151328270514534,1.0873172418538568,0.6890780325818072,0.5384035731864193,284.3529730252016,4691.0,-0.6356119351962528,-0.6147165055971899,-0.3314681481436215,-0.5272655296456881,-0.6147165055971899,-2.1996541275792185,-1.6428255829906337,-2.0145297101679365,-1.952336473579263,-2.0145297101679365,-0.9072192561962124,-1.5709275833152851,-0.8067932838339038,-1.0949800411151338,-0.9072192561962124,0.0729747810888235,0.302969942163942,-0.01163330578594296,0.12143713915560751,0.0729747810888235,0.09824797090705689,0.38446231702214867,0.3429406983975677,0.8128379656066869,0.33794089379134,0.8453732122180078,0.6097757124442427,0.999999942696776,0.336551384648359,0.9096791451794622
gRNA_CDK12_targ_1746,CDK12,targeting,-2.7213067451531017,-0.21752389686216134,-2.8855431923710433,-1.9414579447954354,-2.7213067451531017,296.0519974962875,4884.0,-1.783393406578741,-2.849988711800288,-1.3351349685443752,-1.9895056956411346,-1.783393406578741,-3.027926786630071,-2.1583903560773754,-1.7732748175771254,-2.319863986761524,-2.1583903560773754,-1.2184221872273335,-0.9698181748051244,-0.17002564455722374,-0.7860886688632273,-0.9698181748051244,-0.01177676569929272,-1.9102453807106305,-2.1686534937828466,-1.3635585467309232,-1.9102453807106305,0.3035207442489026,0.8640578847974606,0.4315184609679886,0.9999999934512991,0.22017859429128087,0.6429690443970938,0.47818539670959004,0.9911142788034268,0.24996186544996643,0.7096331703274831
gRNA_CDK12_targ_1747,CDK12,targeting,-2.1144162086040725,-4.585183672383632,-1.063122212463525,-2.58757403115041,-2.1144162086040725,249.07404949063172,4109.0,-1.8544401356282763,-4.243345253670093,-1.3705974130096692,-2.4894609341026794,-1.8544401356282763,-2.2578627192289193,-1.159365273947371,-2.58683178502022,-2.0013532593988366,-2.2578627192289193,-1.4983378683823667,-0.23750784761285973,-1.4038278232194668,-1.046557846404898,-1.4038278232194668,-0.7806501905159609,-1.8359095541901307,-2.2646476651345377,-1.627069136613543,-1.8359095541901307,0.1501442602865811,0.5750607860543484,0.26593724479082836,0.9240417613431494,0.3055224908410973,0.7861088532494462,0.5736244449162364,0.999999942696776,0.19696638654405882,0.6077114607059607
gRNA_CDK12_targ_1748,CDK12,targeting,1.8430295421453367,-0.5276574812098448,-0.7405546562814603,0.1916058015513438,-0.5276574812098448,214.5831431484148,3540.0,-0.2617788310524813,-0.5922977775223601,-1.6870367664469297,-0.8470377916739237,-0.5922977775223601,0.5315444585468352,0.6469041864131411,-1.0920852469214748,0.028787799346167153,0.5315444585468352,0.5755787222672455,-2.476655049789728,1.2497562792358514,-0.21710668276221035,0.5755787222672455,0.20634008016306973,0.8237044332153801,0.05102798221386707,0.3603574985307723,0.20634008016306973,0.12320858915012076,0.45680077074088943,0.4332467219462178,0.9351368955187105,0.19514006339689083,0.6225044748467002,0.1786857268887925,0.5802484286817431,0.21127144624459046,0.6820088861529617
gRNA_CDK12_targ_1749,CDK12,targeting,-1.2753460354916584,-0.2175650941988123,-0.21718201483341948,-0.5700310481746301,-0.2175650941988123,362.8516087249749,5986.0,-1.2870752237013807,-2.4619743431142815,-0.042997949690932076,-1.2640158388355316,-1.2870752237013807,-0.334263715838869,-0.8638982332725829,-2.5560576524316945,-1.2514065338477154,-0.8638982332725829,0.43495587621020554,0.02809369190322966,-1.4866222054904248,-0.3411908791256632,0.02809369190322966,-0.09681165988174183,-0.9329030233212385,-1.2778057972883585,-0.769173493497113,-0.9329030233212385,0.5001896225967046,1.0,0.537478620789446,0.9999999934512991,0.5303732958759624,1.0,0.29031631257827445,0.7730581527023348,0.5151914620528928,1.0
