gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0
gRNA_CDK7_targ_1,CDK7,targeting,0.6649772363812942,0.999213506063571,0.13038201294649726,0.5981909184637875,0.6649772363812942,447.617227161692,7901.0,-2.359125467221487,-3.1543639236869785,-3.8295247100112615,-3.114338033639909,-3.1543639236869785,-0.9709689094179396,-2.494535828511042,-0.6987386988505967,-1.388081145593193,-0.9709689094179396,0.17385446657735407,0.7245127189600804,-0.14883103570699452,0.2498453832768133,0.17385446657735407,0.004181640834454197,0.019682550824241307,0.20260956613214387,0.5364928375758998,0.10029448634845775,0.41802129424624374,0.059482890524555854,0.19635827222737304
gRNA_CDK7_targ_2,CDK7,targeting,0.18811129451798925,-0.8391417347057915,0.02622598603826278,-0.2082681513831798,0.02622598603826278,483.5920327872679,8536.0,-3.9850435916534104,-3.0349867814361478,-4.9485846481038305,-3.989538340397796,-3.9850435916534104,-2.5334582823124703,-4.506903383859937,-7.075847703704414,-4.705403123292274,-4.506903383859937,0.1141237295279046,0.08097907755704498,-1.0701433907370423,-0.29168019455069755,0.08097907755704498,0.16538919682295555,0.36622273073336487,0.4528777986092466,0.7866385228388363,0.2766241597915281,0.9999998529420563,0.3008843366292767,0.6839419142364075
gRNA_CDK7_targ_3,CDK7,targeting,1.751295608350801,1.1240653550813708,0.3292341388783482,1.06819836743684,1.1240653550813708,147.0718037858186,2596.0,-4.378706563640068,0.11205298649295325,0.017731445977178836,-1.4163073770566452,0.017731445977178836,0.23603197622927968,-4.330616425684349,-6.230499169544011,-3.44169453966636,-4.330616425684349,1.2696669467845652,1.1044992010738772,-2.0734531949787467,0.10023765095989863,1.1044992010738772,9.637240922964919e-06,7.287996598253248e-05,0.002903291377879768,0.0483606788094951,0.2748857831390785,0.7415397114324944,0.0013194760737934058,0.007063077806776466
gRNA_CDK7_targ_4,CDK7,targeting,0.7456151662979201,1.8330587783668193,0.7665398572175677,1.1150712672941026,0.7665398572175677,298.16598741323696,5263.0,-5.807498631513352,-1.6242366610717083,-2.4409960735588676,-3.2909104553813093,-2.4409960735588676,2.3020857590106307,0.1663894034795421,-1.1465453551269222,0.4406432691210835,0.1663894034795421,0.5139613900521863,0.145834631181586,0.2037224016789719,0.2878394743042481,0.2037224016789719,1.5593603646475492e-05,0.0001131569718548199,0.11341158922468948,0.39541971722018177,0.0030089157194340813,0.039115904352643054,0.06854144363172054,0.21936476097842567
gRNA_CDK7_targ_5,CDK7,targeting,1.0695602441912517,2.1591670343175426,2.0260630169794385,1.7515967651627442,2.0260630169794385,80.61755654361319,1423.0,-1.6359630116153938,-3.289723779288744,-0.8149240443028075,-1.9135369450689816,-1.6359630116153938,1.328687218058894,4.101505837925186,0.16324029648768074,1.8644777841572535,1.328687218058894,1.6407155971004523,0.017894952041748634,2.8787655458334336,1.5124586983252115,1.6407155971004523,2.4632514662563637e-08,3.187050475298518e-07,0.013360032698424042,0.12738886225839088,1.1566203434842396e-05,0.0006032313062057715,5.308781393263671e-07,6.193578292140949e-06
gRNA_CDK7_targ_6,CDK7,targeting,2.465011018242543,2.347128012363796,1.481583813585102,2.0979076147304805,2.347128012363796,134.15486570293467,2368.0,-1.453463789880822,-2.9065553485837614,0.6918552170035386,-1.2227213071536815,-1.453463789880822,3.9831841690805563,-1.2103537986335544,-0.07839072057304303,0.8981465499579863,-0.07839072057304303,2.536707230970051,2.4313193278016345,3.1982206062190013,2.7220823883302288,2.536707230970051,4.1025318572854354e-10,6.153797785928153e-09,0.005869460097388455,0.07703666377822346,0.00011637818202056938,0.00320921653450661,4.1025318572854354e-10,8.420986443901683e-09
gRNA_CDK7_targ_7,CDK7,targeting,0.34889936915164255,0.09853022253435671,0.7306148033298586,0.39268146500528595,0.34889936915164255,394.3631841883988,6961.0,-2.63251032161441,-6.617063932739097,-4.977458217063381,-4.742344157138963,-4.977458217063381,-2.809141930302812,-2.5557650931507876,-5.854736424703276,-3.7398811493856257,-2.809141930302812,-0.45295338536970936,1.232081115747785,0.030848279862279383,0.2699920034134516,0.030848279862279383,0.01676599926191456,0.06401563354549195,0.5374689414034501,0.8496155378550908,0.5625784862226557,0.9999998529420563,0.017935673980247327,0.07106587803494224
gRNA_CDK7_targ_8,CDK7,targeting,-0.5279495476057259,-1.0799704751664474,-0.36734775082093507,-0.6584225911977027,-0.5279495476057259,631.7969013171991,11152.0,-3.85191245386544,-7.387378451019982,-3.068820934750576,-4.769370613212,-3.85191245386544,-3.493023283557867,-2.0964696558843503,-5.798702507201701,-3.796065148881306,-3.493023283557867,-0.5412686322053409,0.6509994567400149,0.14369215583488296,0.0844743267898523,0.14369215583488296,0.5239908646029359,0.7885860310727756,0.4536687751448879,0.8605253408653536,0.5489129334996685,0.9999998529420563,0.09893685369422223,0.29551160895539025
gRNA_CDK7_targ_9,CDK7,targeting,-0.03378369808016895,0.1385244003931835,0.46389389645644064,0.18954486625648506,0.1385244003931835,330.1750664344186,5828.0,-6.5373213935062005,-2.7480824358851423,-4.540491097149212,-4.6086316421801845,-4.540491097149212,-5.122196927976736,-1.9369042136185803,-3.411134861415131,-3.4900786676701494,-3.411134861415131,-0.08239957485090896,0.7431048029015154,-0.4283508469357959,0.0774514603716035,-0.08239957485090896,0.04542490724786971,0.14254022619159118,0.5240923443880205,0.8431185033466683,0.5785777930672586,0.9999998529420563,0.09784905713212823,0.294193751069064
gRNA_CDK7_targ_10,CDK7,targeting,-0.6381130303916617,0.31104450202246775,-0.18346689865621932,-0.17017847567513775,-0.18346689865621932,265.59037601999904,4688.0,-5.396623761353714,-3.3682008976961546,-4.540805285283447,-4.435209981444438,-4.540805285283447,-6.343540337710331,-5.87806112585762,-3.1911883811898245,-5.137596614919258,-5.87806112585762,-0.8360488060793173,-0.6578081750154748,-3.4219320122430776,-1.6385963311126233,-0.8360488060793173,0.1440931605596115,0.33365082979452027,0.5767321860540497,0.8730271318518723,0.2904227862844369,0.9999998529420563,0.27123617181142273,0.9041205727047424
