,singlets/singlets2/singlets3/RFP+ | Freq. of Parent (%),
Specimen_001_A549_0.fcs,0.049,
Specimen_001_A549_25.fcs,8.65,
Specimen_001_A549_50.fcs,16.2,
Specimen_001_A549_100.fcs,32.6,
Specimen_001_A549_200.fcs,51.2,
Specimen_001_A549_400.fcs,68.7,
Specimen_001_A2780_0.fcs,4.57E-3,
Specimen_001_A2780_25.fcs,0.33,
Specimen_001_A2780_50.fcs,0.64,
Specimen_001_A2780_100.fcs,1.33,
Specimen_001_A2780_200.fcs,2.76,
Specimen_001_A2780_400.fcs,5.17,
Mean,15.6,
SD,23.0,
