,singlets/singlets2/singlets3/RFP+ | Freq. of Parent (%),singlets/singlets2/singlets3/RFP+/GFP+ | Freq. of Parent (%),
Specimen_001_abe_1.fcs,99.3,95.8,
Specimen_001_abe_2.fcs,99.0,96.2,
Specimen_001_abe_3.fcs,99.1,96.0,
Specimen_001_uncolored.fcs,0.026,33.3,
Specimen_001_wt_1.fcs,99.3,0.60,
Specimen_001_wt_2.fcs,98.6,0.67,
Specimen_001_wt_3.fcs,98.3,0.75,
Mean,84.8,46.2,
SD,37.4,48.0,
