gRNA_id,Gene,classification,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,LFC_avg_ABE_BSJ-4-116,LFC_median_ABE_BSJ-4-116,base_RPM,base_RAW,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,LFC_avg_ABE_CDK12-IN-2,LFC_median_ABE_CDK12-IN-2,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,LFC_avg_ABE_HQ461,LFC_median_ABE_HQ461,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,p_ABE_BSJ-4-116,FDR_ABE_BSJ-4-116,p_ABE_CDK12-IN-2,FDR_ABE_CDK12-IN-2,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_HQ461,FDR_ABE_HQ461,p_ABE_T0,FDR_ABE_T0
gRNA_CDK12_targ_1740,CDK12,targeting,-0.8720760613004929,-0.7505635506889979,-1.564688495660507,-1.0624427025499992,-0.8720760613004929,326.5252647409566,12940.0,-0.9479739429652333,-0.8623567716016743,-1.0187902835035252,-0.9430403326901443,-0.9479739429652333,-1.2895775751516498,-0.2832739260624528,-1.3129877614657721,-0.9619464208932916,-1.2895775751516498,-1.5600173260796257,-2.994164107981355,-0.8407173008124005,-1.798299578291127,-1.5600173260796257,-0.2343083418643598,-0.9150466473394033,-0.7800222173794197,-0.6431257355277276,-0.7800222173794197,0.43878474069218953,0.9999999476104154,0.5809496005934285,0.9999993937485154,0.4585786390588501,0.9999999884811976,0.35861110613784797,0.9999997845875617,0.6211434680775116,0.9999999991803674
gRNA_CDK12_targ_1741,CDK12,targeting,-2.2558138066387685,-1.939786873676785,-2.0375714931343585,-2.077724057816637,-2.0375714931343585,312.8233158418577,12397.0,-3.991111777138347,-1.7162405365886355,-1.26546169032725,-2.324271334684744,-1.7162405365886355,-2.577392981998064,-1.2359177005585913,-0.8898367512984827,-1.567715811285046,-1.2359177005585913,-2.965126385391864,-2.1646187534042864,-0.4849806863102858,-1.8715752750354788,-2.1646187534042864,-1.0585109360143354,-2.858936676416474,-1.9484751483040834,-1.955307586911631,-1.9484751483040834,0.05945092382250422,0.4720034699018484,0.09927271665716576,0.8084658746640981,0.1828776875775311,0.8013038552001992,0.3252024978082817,0.9999997845875617,0.08677214463130428,0.5657533991125469
gRNA_CDK12_targ_1742,CDK12,targeting,-0.3395211228903198,-0.36253174319879955,-2.7734501351626033,-1.158501000417241,-0.36253174319879955,177.94869914630803,7052.0,-1.1112021208616363,-0.04696115086848336,-2.564803163317569,-1.240988811682563,-1.1112021208616363,-0.9229921641984252,-0.1339497540906196,-0.6587837952154001,-0.5719085711681483,-0.6587837952154001,-0.7602351842035284,-1.8500000316447982,-1.3099866781049248,-1.3067406313177505,-1.3099866781049248,0.3263851993112347,-1.113294438161734,0.015296447897714564,-0.25720426365092824,0.015296447897714564,0.2789798464087812,0.9999999476104154,0.38218360105100396,0.9999993937485154,0.5590761820411787,0.9999999884811976,0.5662643090901192,0.9999997845875617,0.40688222529019585,0.9546370699995272
gRNA_CDK12_targ_1743,CDK12,targeting,1.8948308543143078,-0.5395025069770741,-0.15145243210415862,0.4012919717443584,-0.15145243210415862,142.4952217922861,5647.0,-0.0747255654578485,-1.324861598123054,0.207252242792395,-0.39744497359616915,-0.0747255654578485,-0.32106346786106976,0.3804105372657099,0.2540036713272767,0.10445024691063894,0.2540036713272767,-0.7672294799007416,-0.1801881237263541,-1.0586642229079501,-0.6686939421783485,-0.7672294799007416,-1.6964627515947925,0.16007062508750097,-0.020127632885190608,-0.5188399197974941,-0.020127632885190608,0.0523494778236359,0.3840799258613584,0.3780145853737974,0.8529461527652046,0.18135642192534646,0.5909257442654529,0.4661705754917078,0.9530946499343275,0.4957892209922805,0.9999999991803674
gRNA_CDK12_targ_1744,CDK12,targeting,-0.8871377016105149,-1.3787719886422514,-0.7659495574311733,-1.0106197492279798,-0.8871377016105149,334.9785849641576,13275.0,-0.7056508386836005,-2.577530257797694,-3.0050077112692524,-2.0960629359168492,-2.577530257797694,-1.291493191486033,-0.37082141687874753,-1.0097301704901072,-0.8906815929516293,-1.0097301704901072,-1.7963607193567246,-1.8714171987696993,-1.502516828900956,-1.72343158234246,-1.7963607193567246,-1.0697426556605514,-2.1755489457201542,-1.2119890886193896,-1.4857602300000317,-1.2119890886193896,0.49754556791244,0.9999999476104154,0.14259464730157465,0.8938042461144339,0.5174542571674159,0.9999999884811976,0.4045687331652153,0.9999997845875617,0.21000776826752635,0.8908889929102624
gRNA_CDK12_targ_1745,CDK12,targeting,-0.582514559425629,-0.5589765810860218,-0.043904253879343366,-0.39513179813033134,-0.5589765810860218,208.05261265758787,8245.0,-3.242594704550831,0.01576040921115227,-0.07198618784191163,-1.0996068277271969,-0.07198618784191163,-0.8620858525961561,-0.6673646776986709,-3.1004021404799365,-1.5432842235915878,-0.8620858525961561,-1.6693858983287047,-0.6783597137855906,-0.6238151111014699,-0.9905202410719216,-0.6783597137855906,0.9686186286300296,0.1358898588588043,-0.09812019249896675,0.33546276499662236,0.1358898588588043,0.4475915418452697,0.9515283553124484,0.41171465152205783,0.9570926742349937,0.1926296273476059,0.8182054984842548,0.5901512513636502,0.9999997845875617,0.13195287990064486,0.6185177105581
gRNA_CDK12_targ_1746,CDK12,targeting,-1.6204463098853166,-1.154217100565075,-2.0733645310469346,-1.616009313832442,-1.6204463098853166,243.7079603452982,9658.0,-1.335778265262097,-0.6635555060649778,-1.259667145307785,-1.0863336388782867,-1.259667145307785,-1.2889118242297728,0.2046929015328295,-1.6098143822849218,-0.8980111016606216,-1.2889118242297728,-0.594823722538136,-3.128429791440319,-1.9171264137839716,-1.8801266425874754,-1.9171264137839716,-0.37172836204790316,-1.00152808616121,-1.28818646226349,-0.8871476368242011,-1.00152808616121,0.17016859254497912,0.8199012934313504,0.4942717408403271,0.9999993937485154,0.4411937104010185,0.9999999884811976,0.319628826893821,0.9999997845875617,0.4896161562955569,0.9999999991803674
gRNA_CDK12_targ_1747,CDK12,targeting,-0.738503609217683,0.28708972252794773,-0.7133787495388826,-0.38826421207620593,-0.7133787495388826,197.9590959731688,7845.0,-0.3711242509340705,-0.7253413554753528,-1.5407652354564036,-0.879076947288609,-0.7253413554753528,-0.2749146302141107,0.7249116873086264,-0.822593903320009,-0.12419894874183111,-0.2749146302141107,-0.29330842335401547,-1.7038585652134484,-0.7149878591788014,-0.9040516159154217,-0.7149878591788014,0.36551314305222027,-0.07492044397606734,-0.2271558616719749,0.02114561246805934,-0.07492044397606734,0.4037650900442855,0.9117846651837129,0.5954584502261073,0.9999993937485154,0.23547959041239666,0.6819242392192427,0.5433010302849293,0.9999997845875617,0.30965515642175884,0.8656204706708064
gRNA_CDK12_targ_1748,CDK12,targeting,-0.15317379692453334,-0.21736303093900777,1.101918908665148,0.24379402693386895,-0.15317379692453334,217.36388179896448,8614.0,-1.539015294971873,-0.7988954419550396,1.1181115939844495,-0.40659971431415426,-0.7988954419550396,0.27502831635334024,0.2957566605079651,0.7766591336393711,0.4491480368335588,0.2957566605079651,3.84635749774383,0.1131669260731676,1.390715202487509,1.7834132087681687,1.390715202487509,0.18192793484849645,0.9177521498982522,0.040912174179852996,0.3801974196422005,0.18192793484849645,0.12401513777464919,0.5483726719438575,0.21420624896824628,0.6539409280318764,0.07147031723941738,0.346186571464163,8.091008992547258e-05,0.01064514372316758,0.12336278085076914,0.6004948998490852
gRNA_CDK12_targ_1749,CDK12,targeting,0.2190878371165532,-0.08420158885126654,-0.6599173050433489,-0.1750103522593541,-0.08420158885126654,289.683928842827,11480.0,-1.2405845853419764,-1.4750066574427578,-1.0392227374295502,-1.2516046600714281,-1.2405845853419764,0.07096882893345653,-0.3854843812322447,-0.2660938449111105,-0.19353646573663288,-0.2660938449111105,-1.2287374357618772,0.354368826237901,-2.0952228977196867,-0.9898638357478876,-1.2287374357618772,-0.686677598746841,-0.9581080666520223,-0.6659796578265923,-0.7702551077418186,-0.686677598746841,0.3016840918804585,0.8060668256060192,0.4158819039284883,0.9999993937485154,0.35615472951339483,0.8428591265295119,0.4714154778708016,0.9541998113409823,0.5662712212703769,0.9999999991803674
