gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,p_DMSO,FDR_DMSO,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_T0,FDR_T0
gRNA_CDK7_targ_1,CDK7,targeting,0.4471684298453686,-0.036411716359942774,0.16459530941788392,0.1917840076344366,0.16459530941788392,645.0982215020773,22892.0,0.7764136381197789,-0.17719734384796482,-0.3375186851099685,0.08723253638728186,-0.17719734384796482,0.18367779558988848,-0.4510086572222899,0.14198759561747692,-0.041781088671641486,0.14198759561747692,0.37651332484888167,-0.21216262137116346,-0.08005918982165713,0.028097171218687027,-0.08005918982165713,0.06564251922387866,0.2516911200578493,0.11795313581440744,0.4399071868488147,0.1760380086109136,0.5700875011954852,0.10539733665872748,0.2883113517818898
gRNA_CDK7_targ_2,CDK7,targeting,-1.1367731007238058,-0.3197978002672426,-0.6497099436932903,-0.7020936148947795,-0.6497099436932903,566.3912787860497,20099.0,-1.2084515404526597,0.07277927127683631,1.0551810386854548,-0.02683041016345622,0.07277927127683631,-0.024428199431909804,0.07734942778982336,1.1686988212789948,0.40720668321230274,0.07734942778982336,-0.38515189343911427,-0.8771983779172323,-0.5694599062238765,-0.610603392526741,-0.5694599062238765,0.5437032585711625,1.0,0.07548056634797425,0.3302274777723873,0.052305224889141994,0.33053996284110565,0.600997042330564,0.8973501749503078
gRNA_CDK7_targ_3,CDK7,targeting,0.3951638645549511,-0.7640200610933959,0.027035932439840985,-0.11394008803286794,0.027035932439840985,235.1627056803615,8345.0,1.1938807789197619,0.9542367570856979,-1.3994796670538605,0.2495459563171997,0.9542367570856979,-1.1332862373924497,0.35802153813140414,-0.33123888638222004,-0.3688345285477552,-0.33123888638222004,0.5372034016360256,-0.40821000702139,-0.012667366888138416,0.03877534257549908,-0.012667366888138416,0.1717031177050704,0.46931483675990743,0.018361614411974425,0.13515832881190434,0.2659814405689747,0.6941673998290728,0.05889993577046821,0.19461375746917897
gRNA_CDK7_targ_4,CDK7,targeting,1.2502296305062528,0.5111565515030404,1.1524914080111792,0.9712925300068243,1.1524914080111792,461.0541674818927,16361.0,1.3854010576145208,0.8797505937471255,1.3816922805368363,1.2156146439661608,1.3816922805368363,0.056392103296427645,1.448849402944926,0.8850590133999129,0.7967668398804221,0.8850590133999129,0.31946321662945387,0.4460175095354228,0.9028439227531966,0.5561082163060244,0.4460175095354228,8.706821454065448e-05,0.0017100447891797606,0.00043499076401080884,0.011529366851936973,0.012422084980983081,0.16366855759510743,0.0025459833341466356,0.02320921984801031
gRNA_CDK7_targ_5,CDK7,targeting,0.6653794226947415,1.422949659120843,1.3771128702227153,1.1551473173461,1.3771128702227153,137.51875419055293,4880.0,0.7746771157320967,0.7953624733511732,1.9756262157382956,1.1818886016071886,0.7953624733511732,2.336676729705053,1.750488845311601,0.45293477525621184,1.5133667834242885,1.750488845311601,1.1668998530867274,0.8459819894085484,0.8604877290100544,0.9577898571684434,0.8604877290100544,9.516302991472314e-08,6.66141209403062e-06,0.0006917110547018376,0.015834044861108235,0.0007020094604403621,0.038200604851934064,3.2359844933602927e-06,0.00014600938992294292
gRNA_CDK7_targ_6,CDK7,targeting,0.9317256613435165,1.191647122806658,1.759068819652606,1.2941472012675936,1.191647122806658,315.7577132592511,11205.0,0.3271253664470399,1.8509531031380322,1.0246323753501863,1.067570281645086,1.0246323753501863,-0.1041841162589155,0.04070534238144039,2.293828441164547,0.7434498890956908,0.04070534238144039,1.1841881821608058,0.9991399290442314,1.4066960763102696,1.196674729171769,1.1841881821608058,7.219747186084301e-07,3.649983299631508e-05,0.0017153755930431251,0.03060768215037733,0.01048867676128231,0.14913587269948286,2.2470963526274207e-08,3.2287226540383464e-06
gRNA_CDK7_targ_7,CDK7,targeting,-0.028188206292058357,0.16072426549434965,-0.16497762678611821,-0.010813855861275645,-0.028188206292058357,464.91483742535695,16498.0,0.7551329126600177,1.3433845630168302,0.12394063414232012,0.7408193699397226,0.7551329126600177,-0.4768235750793929,-0.30234899956659655,0.26521166913402616,-0.17132030183732108,-0.30234899956659655,0.16005205107745837,-0.3302887923308954,0.14003103741407438,-0.010068567946454221,0.14003103741407438,0.1687100499282894,0.4660814845259512,0.006528462930858192,0.06776693460548618,0.2143269160415015,0.630460293529418,0.11455849860297253,0.30393071057931487
gRNA_CDK7_targ_8,CDK7,targeting,-1.0036674609601826,-0.7840675190520475,-1.0992595948876547,-0.9623315249666282,-1.0036674609601826,508.0303484728049,18028.0,-3.2237268253652185,0.6329291044490509,-1.205049737988176,-1.2652824863014478,-1.205049737988176,-1.882700344030764,-1.6189591198070195,-2.987068827664546,-2.1629094305007768,-1.882700344030764,-0.4257689669735805,-0.46173951642261807,-0.29582566719596887,-0.39444471686405586,-0.4257689669735805,0.3611874184783567,1.0,0.3016784516723891,0.9051709638697277,0.1769938664147386,0.7818661089194764,0.4974043890545322,0.7697925068701094
gRNA_CDK7_targ_9,CDK7,targeting,-0.29526863346148013,0.5413445068245902,0.506892556964841,0.2509894767759837,0.506892556964841,301.9776577676158,10716.0,0.032876790264798963,-1.334986502580272,-0.20015647422055335,-0.5007553955120088,-0.20015647422055335,0.7231724283197767,-0.885736392586266,0.33030017360196856,0.05591206977849308,0.33030017360196856,-0.5374404902107043,-0.26434081145158783,-0.4156711372659808,-0.40581747964275766,-0.4156711372659808,0.04111129256150048,0.1807795685108071,0.387397330511072,0.861233479067774,0.09615362223659561,0.4317424156347138,0.5062841078949107,0.7778028219207126
gRNA_CDK7_targ_10,CDK7,targeting,-1.282246019605034,-0.027293960780945918,-0.8370052743757163,-0.7155150849205655,-0.8370052743757163,264.5263413087542,9387.0,-1.9062989961540344,-1.2429822322562887,-0.9224835146126449,-1.357254914340989,-1.2429822322562887,-0.04216157072249256,-1.9419269966160408,-1.025673497555048,-1.0032540216311938,-1.025673497555048,0.3322460431693249,0.13260297239535357,0.12863506243305597,0.1978280259992448,0.13260297239535357,0.4950295797672667,1.0,0.3990061786954846,1.0,0.567514038362382,0.9452118411735547,0.04136220922772943,0.1536963953173764
