gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_T0,FDR_CBE_T0,p_CBE_TAGTO,FDR_CBE_TAGTO
gRNA_CDK2_targ_6973,CDK2,targeting,-0.8671921389971723,-1.10845993689831,-1.280506107929363,-1.0853860612749484,-1.10845993689831,1117.5829347320748,7851.0,-1.5984099590787946,-1.988577593748186,-3.231990686319979,-2.27299274638232,-1.988577593748186,-0.1132249119328783,-1.9546523201656008,-1.0617836830854641,-1.0432203050613145,-1.0617836830854641,-0.5489083513233082,-0.4092159839040309,-0.8320701091762401,-0.5967314814678598,-0.5489083513233082,-2.1781350338565275,-1.8485102448593116,-0.6252822867087321,-1.5506425218081903,-1.8485102448593116,-1.4793004916137402,-1.6603230265586018,-0.3929572145712179,-1.1775269109145199,-1.4793004916137402,-0.505613969081615,-1.3806901693057076,-0.5039955648845506,-0.7967665677572912,-0.505613969081615,-0.977583668226352,-0.13730558608940502,-0.7908717680500136,-0.6352536741219236,-0.7908717680500136,0.3394983116673874,1.0,0.0800679951558504,0.4260853118422264,0.17462243567993896,0.9999999908312831,0.5785199623331077,0.8219997510813318,0.1643843435265679,0.701939832366301,0.1722072890325125,0.7689113548887915,0.3902673694756048,1.0,0.5740108002751148,0.9047503566241094
gRNA_CDK2_targ_6974,CDK2,targeting,-0.9778624918411984,-0.8226102414067167,-1.5238317490519955,-1.1081014940999703,-0.9778624918411984,322.8478023146536,2268.0,-0.6353853494651086,-2.6185399668830525,-2.7170613784677045,-1.9903288982719551,-2.6185399668830525,-0.7683389068301716,-0.8908527485494221,-1.1688461416281104,-0.9426792656692347,-0.8908527485494221,-1.439690147517627,-0.9243632352524451,-1.3270521746398771,-1.2303685191366496,-1.3270521746398771,-1.3138540937809056,-2.8646524955444144,-1.288231629948541,-1.8222460730912868,-1.3138540937809056,-0.6267031407724915,-1.5391823638018232,0.350567789952172,-0.6051059048740476,-0.6267031407724915,-0.33064376628685627,-1.0094628792916343,-0.6279262698727714,-0.6560109718170873,-0.6279262698727714,-2.327163181729802,-0.9756913898130809,-0.50669544445203,-1.2698500053316375,-0.9756913898130809,0.2897278298047293,1.0,0.12582012463338843,0.5508791171117933,0.3166058013977029,0.9999999908312831,0.24875758553443025,0.9999999081329737,0.08444142354420692,0.47054059247697794,0.4353849340456063,1.0,0.5340311912016231,0.982739982186533,0.2905928366186677,0.9999934272902891
gRNA_CDK2_targ_6975,CDK2,targeting,-0.5812732462807719,-1.7440509258353323,-2.8014360148124196,-1.7089200623095078,-1.7440509258353323,534.9479899023229,3758.0,-1.907495552826722,-0.29499310478946483,-2.5702092760646913,-1.5908993112269592,-1.907495552826722,-0.34193186332564246,-1.30192860675072,-0.7438938424149985,-0.7959181041637869,-0.7438938424149985,-0.7483601034529175,0.6343551838680744,-1.0739687837105991,-0.3959912344318141,-0.7483601034529175,-1.5133210580057173,-3.9052685104011737,-0.32645727122878015,-1.9150156132118905,-1.5133210580057173,-2.331037451441414,-1.8133484262083348,-0.6157709140464591,-1.5867189305654026,-1.8133484262083348,-0.17885754257157063,-1.6399817269749348,0.0189070646021767,-0.5999774016481095,-0.17885754257157063,-1.3077966213355932,-0.9814998208190919,-2.38200867241881,-1.5571017048578317,-1.3077966213355932,0.05207269525616032,0.4065108992874779,0.19916853278680277,0.7016152453577577,0.39732291139042725,0.9999999908312831,0.24784100214557983,0.49839229471559493,0.06147768180356913,0.3853998613064656,0.04117795809997811,0.3097705484339262,0.40671372541677836,0.7889908623170868,0.20818646078831507,0.9999934272902891
gRNA_CDK2_targ_6976,CDK2,targeting,-2.230837677523069,-1.7552565627015861,-1.9107300014293218,-1.9656080805513254,-1.9107300014293218,538.0796705244227,3780.0,-3.0210913351627497,-2.3706317621678292,-4.423245230497566,-3.271656109276048,-3.0210913351627497,-0.6189065877671464,-1.6848348791426024,-1.2629857824671618,-1.1889090831256368,-1.2629857824671618,-0.8722607808140186,-0.48318674354765395,-2.405545065862754,-1.2536641967414754,-0.8722607808140186,-3.2593986872041074,-3.172225399808964,-1.9762014063051847,-2.802608497772752,-3.172225399808964,-1.2395548538801586,-2.1642929680197716,-0.6747627660351944,-1.3595368626450417,-1.2395548538801586,-1.6203237059742142,-1.7462518410610557,-1.3846026236135252,-1.5837260568829317,-1.6203237059742142,-1.9755782705368141,-0.9136887673593316,-1.247951375378505,-1.3790728044248837,-1.247951375378505,0.0329504661614503,0.2979946529901653,0.011805708967381302,0.13663250588123116,0.16771360794502266,0.9999999908312831,0.19724137592995117,0.9605716338420176,0.010173834382484722,0.12380658752214864,0.1084673701400756,0.5905049262560036,0.032498932296136845,0.4268708964294165,0.29451937415214235,0.9999934272902891
gRNA_CDK2_targ_6977,CDK2,targeting,-1.1206350710229551,-1.5271864019691606,-1.510609121842105,-1.3861435316114068,-1.510609121842105,728.4004428765796,5117.0,-1.0114334086971448,-2.3654120766733637,-3.3648601684253854,-2.2472352179319643,-2.3654120766733637,-0.7140315763080216,-1.182920925380485,-0.5850881889394934,-0.827346896876,-0.7140315763080216,-0.005890657818024106,-1.5535434651247786,-1.6426290731795647,-1.0673543987074556,-1.5535434651247786,-2.064263351315692,-0.41964807352719985,-0.7294934320041025,-1.0711349522823315,-0.7294934320041025,-1.335299924664489,-1.4577794856821151,-0.4153068537744446,-1.0694620880403496,-1.335299924664489,-0.8032275795382948,-0.9849327282816581,-0.26830262190213705,-0.6854876432406968,-0.8032275795382948,-1.8284801341126584,0.1487437769088994,0.3581183519427561,-0.44053933508700105,0.1487437769088994,0.16842148859485742,0.8598000999173857,0.08350645735472716,0.4332388304767193,0.4065435337902535,0.9999999908312831,0.29631664490210874,0.904466693181708,0.3479375147068405,1.0,0.24622733350439507,0.9679483062939996,0.4795998202488203,1.0,0.2566812341317505,0.574840923529157
gRNA_CDK2_targ_6978,CDK2,targeting,-2.0731744392752014,-0.5048508513467687,-1.0399261557332438,-1.205983815451738,-1.0399261557332438,704.7704890916447,4951.0,-0.8947917157905594,-1.6708108634226975,-1.856132091486137,-1.4739115568997978,-1.6708108634226975,-0.8210477154269363,-1.2743565183210421,-0.7581665201162244,-0.9511902512880677,-0.8210477154269363,-0.668608068538718,-1.2671266344052183,-0.46903851363280014,-0.8015910721922456,-0.668608068538718,-1.3430419554644741,-1.895641315190498,-0.13531803732885306,-1.1246671026612751,-1.3430419554644741,-1.1861332863336038,-1.6431996766850892,-0.22136418090499704,-1.0168990479745634,-1.1861332863336038,-0.4909115804340413,-1.147532831004279,-0.7811492688810122,-0.8065312267731107,-0.7811492688810122,-1.1280649597022026,-0.9450735552574744,-1.2247284132227652,-1.099288976060814,-1.1280649597022026,0.2291898440307871,1.0,0.2611751343523416,0.8186288323616417,0.3035876126615832,0.9999999908312831,0.5430300567201682,0.8924095093494129,0.32571102981388994,1.0,0.24374846268118097,0.9650806357352979,0.3923314342503795,1.0,0.4336693445430101,0.9999934272902891
gRNA_CDK2_targ_6979,CDK2,targeting,-1.1074283983052164,-1.349400489433129,-1.527850694867544,-1.3282265275352965,-1.349400489433129,652.5283623502523,4584.0,-1.6245368073940025,-0.23053492961599562,-2.690302952606752,-1.5151248965389168,-1.6245368073940025,-0.8793598114716829,-1.592915751904773,-1.121150959338112,-1.197808840904856,-1.121150959338112,-1.6821794097713645,-2.3017266086022983,-2.2008792777462953,-2.0615950987066527,-2.2008792777462953,-2.210716525858334,-2.9451407573418535,-1.0276294089326794,-2.0611622307109556,-2.210716525858334,-1.016097970575101,-1.0614056300468997,-0.6598165838086607,-0.9124400614768872,-1.016097970575101,-0.8460936617180425,-0.9754730804857333,-1.1023111915527888,-0.9746259779188549,-0.9754730804857333,-0.9210360236022481,-0.7434221259630858,-0.0904355671738859,-0.5849645722464066,-0.7434221259630858,0.20776497934135235,0.9758036162475011,0.23376910165893902,0.7722312639631619,0.1732747758242604,0.9999999908312831,0.025898154174004453,0.6803403993329741,0.04558916552433692,0.31835472127754266,0.35947422533537604,1.0,0.2670564321878936,1.0,0.5302758680603612,0.8738056167085246
gRNA_CDK2_targ_6980,CDK2,targeting,-1.1608722118776864,-1.6021056818007322,-1.1759738126334767,-1.312983902103965,-1.1759738126334767,725.8381587312252,5099.0,-1.3742121049680454,-1.4191062548131372,-2.0951129830916573,-1.6294771142909468,-1.4191062548131372,-0.18946094697962962,-1.3334128209575187,-0.5136389128046102,-0.6788375602472527,-0.5136389128046102,0.3795020157723864,-0.2911465035828727,-0.5559312817808394,-0.15585858986377524,-0.2911465035828727,-1.8434363694180018,-0.8466386798255575,-1.548292857535233,-1.4127893022595976,-1.548292857535233,-1.018720791177137,-1.1327512865533924,-0.4276734538028185,-0.8597151771777827,-1.018720791177137,-1.0247832760861126,-0.8948101811339846,-0.6085553798587641,-0.8427162790262871,-0.8948101811339846,-1.8271273764609732,-0.23129449513878184,-1.807362430433721,-1.288594767344492,-1.807362430433721,0.21049056858027668,0.9758036162475011,0.2261609147562264,0.7592217320924031,0.4578443419081014,0.9497942918852039,0.2559123041299895,0.5054115314261726,0.2115502607171474,0.7903288521148508,0.38141407666964594,1.0,0.37076163197443396,1.0,0.27254252281726365,0.9999934272902891
gRNA_CDK2_targ_6981,CDK2,targeting,-1.7864958057367886,-2.2046104452716677,-1.9062199554225463,-1.9657754021436675,-1.9062199554225463,614.2364492891227,4315.0,-1.3824231051575575,-1.5858273099966818,-4.186360447995632,-2.3848702877166237,-1.5858273099966818,-0.8011944420279614,-1.2575048234374768,-1.3369458653689754,-1.1318817102781378,-1.2575048234374768,-0.47932998862001674,-0.6934281114068047,-0.4884505897257861,-0.5537362299175358,-0.4884505897257861,-2.4978208659613825,-3.6864754669688646,-1.6624326227509734,-2.615576318560407,-2.4978208659613825,-1.1963587582077675,-1.2739534346771746,-0.6101241552234635,-1.0268121160361352,-1.1963587582077675,-0.6848589587817998,-1.0423903121406979,-0.32100540146974366,-0.6827515574640804,-0.6848589587817998,-1.2879286020948348,-0.35430836329522314,-0.32607402061084373,-0.6561036620003006,-0.35430836329522314,0.03262433176410208,0.29666631356917,0.05681720858355947,0.3561836371431475,0.17894669022324233,0.9999999908312831,0.5383394297401989,0.7835987301847223,0.015332870858958013,0.16090578724439333,0.27801410288894435,1.0,0.5154864202420222,0.9912790894496055,0.5837122114149453,0.9113619904639005
gRNA_CDK2_targ_6982,CDK2,targeting,-0.4689053282148497,-0.7852422356424471,-1.0240117273130511,-0.759386430390116,-0.7852422356424471,789.6105641267123,5547.0,-1.1573538423730698,-0.8192917258772825,-0.6525193543028944,-0.8763883075177489,-0.8192917258772825,-0.5826315216450588,-0.4948685569018889,-0.5238728265088233,-0.5337909683519236,-0.5238728265088233,-0.4367605227409982,-0.6227227124179625,-1.37356604715637,-0.8110164274384436,-0.6227227124179625,-0.19633935704042696,-0.5467673796455333,-0.38874875106857504,-0.37728516258484507,-0.38874875106857504,-0.924827011265729,-0.6321256547186116,-0.46934948636553203,-0.6754340507832909,-0.6321256547186116,-0.8175995226931007,-0.6862540512335804,-0.591381457431337,-0.6984116771193394,-0.6862540512335804,-1.5991171517647105,0.5253967288073869,1.5211635657451694,0.14914771426261528,0.5253967288073869,0.5245414494760683,1.0,0.5349675744243294,1.0,0.6096275864847329,0.9097688508856925,0.5312432860009833,0.8876650370227833,0.5335574381615937,1.0,0.5141476905563422,1.0,0.5292098907214122,1.0,0.04425981922720866,0.20666934353295385
