gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_T0,FDR_ABE_T0,p_ABE_TAGTO,FDR_ABE_TAGTO
gRNA_CDK2_targ_6973,CDK2,targeting,-2.6456899697209444,-2.152859293670753,-2.684105664831617,-2.4942183094077715,-2.6456899697209444,1117.5829347320748,7851.0,-3.442080837264007,-1.5818461831304882,-0.3825525665664625,-1.8021598623203194,-1.5818461831304882,-0.7841259339257539,-1.9034707350797495,-1.7280249626657969,-1.4718738772237667,-1.7280249626657969,0.5030489250280299,-1.5338494590490037,-3.0904429336598978,-1.3737478225602906,-1.5338494590490037,-3.111415187376102,-4.236892285395368,-2.4107566454955895,-3.2530213727556863,-3.111415187376102,-1.7927056678982265,-2.79082472428339,-1.7752908928616398,-2.119607095014419,-1.7927056678982265,-0.17781234456181924,-1.1625730302106625,-0.18068154786443943,-0.5070223075456404,-0.18068154786443943,-2.236371785978747,-2.725656075698303,0.8626054949419946,-1.3664741222450187,-2.236371785978747,0.048500037589619495,0.2739507242690111,0.05183035322005568,0.3217365137715428,0.16681355826858799,0.935852335371231,0.3468357674525825,0.9306009422683172,0.010276873724430327,0.11919640661543722,0.07611659574814664,0.4130261179120744,0.5765286027488368,0.8406650551095374,0.35661708544250664,0.8888573439869707
gRNA_CDK2_targ_6974,CDK2,targeting,-3.526143644027347,-3.35093724286765,-1.5076887473468907,-2.7949232114139626,-3.35093724286765,322.8478023146536,2268.0,-2.922043807083503,-1.066563485001437,-2.1602305347826674,-2.049612608955869,-2.1602305347826674,-0.6250760565078608,0.014356518875934213,-0.3282407797388045,-0.31298677245691037,-0.3282407797388045,-1.3381678308854112,-3.553990278327764,-5.4988083061484,-3.4636554717871917,-3.553990278327764,-1.9359245374307967,-3.104672491616216,-1.8858074197190369,-2.3088014829220165,-1.9359245374307967,-1.9291748598854064,-2.900048775070011,-3.286407426918927,-2.705210353958115,-2.900048775070011,-1.8927289358597355,-1.6166432749282829,-0.21032447783431432,-1.2398988962074442,-1.6166432749282829,-1.586912161704807,-2.3871026443408465,-0.5558366831815361,-1.5099504964090633,-1.586912161704807,0.032122230647734284,0.2116615337093004,0.0509365529350901,0.31977712571847194,0.5164023490144316,0.9053418453653114,0.010818537577288723,0.14557464408711743,0.0819970407479244,0.401836195160108,0.013132510240818072,0.11812121982909733,0.11855089219080953,0.9999998015571521,0.3663762111018607,0.8930082906827385
gRNA_CDK2_targ_6975,CDK2,targeting,-2.3245458990796837,-4.046303244116505,-3.3374597751030124,-3.2361029727664,-3.3374597751030124,534.9479899023229,3758.0,-3.4370832508812192,-0.9843984919566251,-1.0720236029891863,-1.8311684486090103,-1.0720236029891863,0.5055332295625502,-1.5408614877008318,-0.8364937717934778,-0.6239406766439198,-0.8364937717934778,-1.162008621344746,-1.9314407110351826,-2.5012280825631654,-1.864892471647698,-1.9314407110351826,-2.4760000059043934,-2.8598517196139097,-2.114934434844435,-2.4835953867875795,-2.4760000059043934,-1.8315283202944208,-2.6223179190049755,-2.406555048778128,-2.286800429359175,-2.406555048778128,-0.06206719469723767,-0.2122016249067827,-0.893023193209761,-0.3890973376045938,-0.2122016249067827,-3.2156524152056534,-1.2440581199276026,-0.12629128133606946,-1.5286672721564418,-1.2440581199276026,0.00916032444951433,0.09300820223279886,0.050228639587231165,0.3192413138544431,0.49203417224650436,0.8928109607867253,0.24166890468138155,0.8207302520153283,0.06621574641128641,0.3523243228594473,0.05930000605574783,0.34556869726148826,0.5284151651726807,0.8073305634613558,0.3661160899294756,0.8930082906827385
gRNA_CDK2_targ_6976,CDK2,targeting,-5.370989593127602,-4.772509753881653,-4.318908762545827,-4.820802703185027,-4.772509753881653,538.0796705244227,3780.0,-3.6673983264117638,-1.0777524491526993,-0.7524286488394348,-1.8325264748012993,-1.0777524491526993,-1.216637398448474,-0.6422052442579315,-1.1633255973023715,-1.007389413336259,-1.1633255973023715,0.6401252255736786,-2.2422868827380347,-4.789987174376002,-2.130716277180119,-2.2422868827380347,-3.5082116215901986,-4.99482531596118,-5.125898451788511,-4.542978463113297,-4.99482531596118,-3.3551171625944503,-2.542169737069425,-3.80673297358092,-3.2346732910815987,-3.3551171625944503,-1.7636710734697107,-1.5790916859373347,0.053231831196220554,-1.0965103094036082,-1.5790916859373347,-5.810566081391441,-4.399053719414607,-4.287114690025058,-4.832244830277036,-4.399053719414607,5.0057865859442656e-05,0.0016528853873198073,0.057070337659355416,0.33375056122343894,0.3569945615156055,0.9999989620651718,0.04119367296052702,0.34014832334458694,0.0007854011908095632,0.019115278982203335,0.00195257541153474,0.024857786969923034,0.1669356082764285,0.9384440815293842,0.004526954958289733,0.09229782509176186
gRNA_CDK2_targ_6977,CDK2,targeting,-2.02880072484839,-2.1268927280964105,-1.9776544492226356,-2.0444493007224787,-2.02880072484839,728.4004428765796,5117.0,-3.3679976811188506,-0.7031528636009645,-0.07188501558664878,-1.3810118534354878,-0.7031528636009645,0.09232390852628872,-0.9846131675670878,-3.1955420087203774,-1.3626104225870588,-0.9846131675670878,1.500675566075578,-0.10412776008190917,-2.2776316289644716,-0.2936946076569343,-0.10412776008190917,-2.371767574929884,-2.498960659405741,-1.8964529608673957,-2.2557270650676733,-2.371767574929884,-2.1307523258132073,-0.3616153062843396,-1.8006462135583967,-1.431004615218648,-1.8006462135583967,-0.34054640576586953,-0.7264303669735249,-0.631083440866241,-0.5660200712018785,-0.631083440866241,-2.0131699470078224,-2.6681081802274376,1.669636211496374,-1.0038806385796286,-2.0131699470078224,0.13188092471851423,0.5029099779012466,0.0939336770746384,0.4802479622877913,0.1850398289387612,0.9630217512378925,0.16333448020776506,0.7368386882722434,0.0906690618521623,0.42975496162419535,0.22383846007943925,0.8123961654198947,0.6087913632975217,0.912941687443231,0.3309000952054581,0.9104367876407379
gRNA_CDK2_targ_6978,CDK2,targeting,-2.7578321830826797,-2.8694957366856277,-1.5708387699538033,-2.399388896574037,-2.7578321830826797,704.7704890916447,4951.0,-2.2866500404034324,-0.9523393132891285,-0.827737499819405,-1.355575617837322,-0.9523393132891285,-1.4452996808721694,-1.9189618300705533,-1.3246346510593459,-1.5629653873340228,-1.4452996808721694,-2.084630617963308,-4.1104581560324815,-1.357055717130783,-2.517381497042191,-2.084630617963308,-2.5523928309049926,-2.360238072288256,-2.209408681804006,-2.3740131949990846,-2.360238072288256,-1.2827337639964596,-2.5098318775354627,-1.172569490249944,-1.6550450439272888,-1.2827337639964596,-0.21610138042364785,-0.419603869840569,0.5629024456088522,-0.024267601551788236,-0.21610138042364785,-3.875854718978896,-1.1719896107176233,-1.6823429244637342,-2.243395751386751,-1.6823429244637342,0.06248780027841639,0.32217230361613436,0.18544114955638122,0.7004279304616992,0.1588431093226914,0.9033860684847227,0.08677688242312324,0.5053776283890942,0.07112568336874317,0.3690062883237302,0.18847525376438212,0.7391624288626835,0.23225553962849485,0.5245499503590779,0.18188855190968337,0.6823307460816367
gRNA_CDK2_targ_6979,CDK2,targeting,-2.5073071160678624,-1.7094580724565163,-1.504631157470313,-1.907132115331564,-1.7094580724565163,652.5283623502523,4584.0,-2.658338458372641,-0.9452319192691682,-0.37168638493055267,-1.3250855875241205,-0.9452319192691682,-0.8325735840250498,0.24195784475457552,-1.769731912345502,-0.7867825505386588,-0.8325735840250498,-1.1896375648590911,-3.017272177119332,-2.476056677784369,-2.227655473254264,-2.476056677784369,-1.7681733727792077,-2.22012323160846,-2.3192770607377553,-2.1025245550418075,-2.22012323160846,-2.175173942485336,-1.6976067691628798,-4.323937248136363,-2.7322393199281927,-2.175173942485336,-2.0782330463669365,-0.8843353409619805,-1.0615353498754525,-1.3413679124014566,-1.0615353498754525,-0.40516804940018264,-2.32418680479237,-0.33240482218665945,-1.020586558793071,-0.40516804940018264,0.15643003398560107,0.5532003532968842,0.1873131397420298,0.7013648105725323,0.42318490543467685,0.978255791822508,0.15347668661986077,0.6631956040623227,0.11112674957394328,0.4814522789132883,0.0003187601249975572,0.004663610111887805,0.11015321352821568,0.9999998015571521,0.5375680336745758,0.9999998333835325
gRNA_CDK2_targ_6980,CDK2,targeting,-3.0690025088763093,-2.005888948908845,-1.500663572400561,-2.191851676728572,-2.005888948908845,725.8381587312252,5099.0,-2.527803591069597,-3.3599069830534165,-1.345339365162261,-2.411016646428425,-2.527803591069597,-1.027702788084843,-0.8298383904731936,-2.1871198783450656,-1.348220352301034,-1.027702788084843,-2.9354655475959586,-2.8523074489970472,-2.3703510930390457,-2.7193746965440173,-2.8523074489970472,-2.3912461810306804,-3.278216982369311,-2.0603808766736984,-2.576614680024563,-2.3912461810306804,-1.2281960061458594,-2.7934012516283335,-2.2912278034256985,-2.104275020399964,-2.2912278034256985,-1.025892306174151,-0.8702228830059103,-0.5438884581333374,-0.8133345491044662,-0.8702228830059103,-1.8260835086203695,-2.3545174934280193,-3.0519711756866994,-2.4108573925783627,-2.3545174934280193,0.09351873926317664,0.4083733864922357,0.014617714408534334,0.17186928403358867,0.21606085622855212,0.9999989620651718,0.07628784546198278,0.4746480610510582,0.05192864664839934,0.31009059894413826,0.08240877018686658,0.4371362649335391,0.44758461900820146,0.9628053526015578,0.15094797281161146,0.6365048528353262
gRNA_CDK2_targ_6981,CDK2,targeting,-2.4330472782151125,-1.743287718202131,-2.391543208418005,-2.189292734945083,-2.391543208418005,614.2364492891227,4315.0,-2.668576103463276,-1.9906891959082693,-0.47192687407470657,-1.710397391148751,-1.9906891959082693,-1.7733469056201825,-0.21563316839279353,-0.7422456162127506,-0.9104085634085756,-0.7422456162127506,0.38216559272721046,-1.939127641366599,-3.5863518665650247,-1.7144379717348042,-1.939127641366599,-5.091479684978,-2.041350557043853,-2.935667433137459,-3.3561658917197708,-2.935667433137459,-1.298255565985173,-1.9744913568730145,-2.1191064375421673,-1.7972844534667851,-1.9744913568730145,-2.5570522378714253,-1.2529147524865436,-1.2090478098285973,-1.6730049333955221,-1.2529147524865436,-2.8466104186824785,-1.4635644628208446,0.5031922868538402,-1.2689941982164945,-1.4635644628208446,0.0926087716294686,0.4076263751243897,0.09732289523672501,0.4858335588677797,0.3770999721999844,0.9999989620651718,0.2053915580528796,0.7609212524279424,0.009353044273196392,0.11298750563605861,0.15763989631797762,0.6816237112590682,0.04060500036426458,0.9464968394768715,0.4273903560396578,0.9295974647377268
gRNA_CDK2_targ_6982,CDK2,targeting,-3.079280594749352,-0.5697413101984835,-0.7489971419524908,-1.4660063489667754,-0.7489971419524908,789.6105641267123,5547.0,-0.49835938142915676,-0.7990150694474222,0.1615634377313584,-0.37860367104840686,-0.49835938142915676,-0.24828225034026621,-0.06736822734096472,-1.9257479146469443,-0.747132797442725,-0.24828225034026621,1.1061116185839655,-0.8042838315514041,-0.7714861895541345,-0.1565528008405244,-0.7714861895541345,-1.3215357422696459,-0.5842692720500114,-0.9135567888589164,-0.9397872677261914,-0.9135567888589164,0.39568563763328984,-1.8585660548955978,-0.8448533811469227,-0.7692445994697436,-0.8448533811469227,-1.026679755329576,-1.0812646995355508,-1.072417356718186,-1.0601206038611044,-1.072417356718186,-1.3948478883319761,-1.5817439506936564,1.3664992331901937,-0.5366975352784796,-1.3948478883319761,0.22814153452321603,0.7185999927672823,0.5736411473070722,0.999997749612287,0.47092353027649303,0.9734365255757058,0.25615537352968604,0.8906242504025849,0.5285505942681479,1.0,0.48824019114993666,1.0,0.317444510496234,0.9999998015571521,0.34269786919150247,0.9999998333835325
