gRNA_id,Gene,classification,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,base_RPM,base_RAW,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_ABE_T0,FDR_ABE_T0
gRNA_CDK7_targ_1,CDK7,targeting,0.050451361468691835,0.8760921453412687,-0.2127916796725457,0.2379172757124716,0.050451361468691835,645.0982215020773,22892.0,0.03719768903820713,0.8978994465546063,0.34816800515481405,0.4277550469158758,0.34816800515481405,0.38638941775797997,0.6046312866592939,-0.4733926511619034,0.17254268441845685,0.38638941775797997,0.788287013196061,0.386509364497213,0.07510119167336574,0.4166325231222132,0.386509364497213,0.04649409066869621,0.20737356327693615,0.04090660732340362,0.2233500759857838,0.052800394973103945,0.23984206036035569,0.02895306459214531,0.13994028679035625
gRNA_CDK7_targ_2,CDK7,targeting,-0.5618875380063392,-0.7852955749442577,-0.7503969838303557,-0.699193365593651,-0.7503969838303557,566.3912787860497,20099.0,-0.7688875545515769,-1.5411261588588043,-1.361789604891586,-1.223934439433989,-1.361789604891586,-2.108908032756721,-0.901496177753385,-0.515242574216578,-1.1752155949088945,-0.901496177753385,-0.5185766404710007,-0.7855823943209314,-1.4963641777129715,-0.9335077375016345,-0.7855823943209314,0.5847064207528943,1.0,0.5098516616239284,0.9999999976925382,0.5540427334598639,0.9999998387321816,0.5348423500688613,0.9999999993167182
gRNA_CDK7_targ_3,CDK7,targeting,0.9872957756251876,-0.9495104516871606,0.12599620963267344,0.05459384452356678,0.12599620963267344,235.1627056803615,8345.0,1.0115606406478863,1.028168247474044,-0.8358795907855331,0.4012830991121323,1.0115606406478863,1.3378857043003456,0.14020424106693183,0.20024435697799864,0.5594447674484253,0.20024435697799864,0.3602050986793029,0.584298446394949,0.9197450153006695,0.6214161867916405,0.584298446394949,0.05340573006964338,0.22709913253913774,0.023806085779884013,0.15455619329855613,0.01611451389140344,0.10777551953787354,0.011254833453207729,0.07263757760580875
gRNA_CDK7_targ_4,CDK7,targeting,0.646664348696179,0.36461449605693835,0.08455746726738592,0.36527877067350106,0.36461449605693835,461.0541674818927,16361.0,0.15408664963124669,0.370115237440594,-0.26876148166810093,0.08514680180124658,0.15408664963124669,-0.29939809601876294,-0.0443544628898484,0.3278488187255996,-0.005301246727670572,-0.0443544628898484,0.2506747811259361,0.23322769753778438,-0.24757332217157446,0.07877638549738201,0.23322769753778438,0.030675667824849064,0.15711927422483668,0.128910026441088,0.4606339950054585,0.10623899766741893,0.3800225853720646,0.10293810405684164,0.3512762800939721
gRNA_CDK7_targ_5,CDK7,targeting,2.1178023242999084,1.9138710889334025,1.988048716949533,2.006574043394281,1.988048716949533,137.51875419055293,4880.0,1.0751744202133693,0.8859649466713457,0.12294487825837228,0.6946947483810292,0.8859649466713457,0.9906784700203497,0.6407626510001531,1.8696108545503194,1.167017325190274,0.9906784700203497,1.326029183602626,1.5065140653555764,0.9980216958303586,1.276854981596187,1.326029183602626,4.1025318572854354e-10,2.2399823940778478e-07,0.011499984737132464,0.09600904688798662,0.0009964855364712041,0.014947283047068062,2.1909871567093297e-05,0.0007870256497126934
gRNA_CDK7_targ_6,CDK7,targeting,0.9749390698909819,1.6609746352457986,0.19916673358944564,0.945026812908742,0.9749390698909819,315.7577132592511,11205.0,0.6985354835213237,1.6888572844634362,0.3118488128140152,0.8997471935995917,0.6985354835213237,1.281534805193124,0.765433470527208,0.3445115145494774,0.7971599300899365,0.765433470527208,1.1344035644100179,1.1514758723012897,0.7703567481986959,1.0187453949700012,1.1344035644100179,0.0006539675025729153,0.008926656410120293,0.0035403890837310296,0.04257824757086216,0.007844241416437251,0.06650552505240279,0.0006654593170535598,0.008650971121696277
gRNA_CDK7_targ_7,CDK7,targeting,0.898735814207913,1.046778104067774,0.22477144663422202,0.7234284549699698,0.898735814207913,464.91483742535695,16498.0,0.48525391226839676,0.3677728026037333,0.7102233841870216,0.5210833663530505,0.48525391226839676,-0.32412426249358106,0.6536498712652151,0.9001530963870223,0.4098929017195521,0.6536498712652151,0.20043092143338456,0.7137458405679888,0.7320686680324036,0.5487484766779257,0.7137458405679888,0.0030999366867893704,0.03033271381697126,0.03169381234551745,0.19058173502921286,0.0263499104799944,0.15338007592832562,0.018164890401855194,0.10245898925013364
gRNA_CDK7_targ_8,CDK7,targeting,-0.40489486165011646,-0.5828146695383634,-0.7789526107982163,-0.588887380662232,-0.5828146695383634,508.0303484728049,18028.0,-0.46251088889710995,-1.3212805385550144,1.336670418033174,-0.1490403364729834,-0.46251088889710995,-1.8612490870930063,-3.330377908171589,-1.1035683435901866,-2.098398446284927,-1.8612490870930063,-1.2506833730507732,-0.7280032789100924,-1.3694309279573436,-1.1160391933060696,-1.2506833730507732,0.5260603420477077,0.9863631413394519,0.07871420456222764,0.3373465909809756,0.29440799584726507,0.981255504391682,0.4457147617777152,0.9999999993167182
gRNA_CDK7_targ_9,CDK7,targeting,0.1919257804762359,-0.44702666552241604,0.39948588663926304,0.048128333864360974,0.1919257804762359,301.9776577676158,10716.0,-0.35228087178094203,-0.18943511551384817,-0.591972878520298,-0.37789628860502944,-0.35228087178094203,-0.7539406166450303,-1.2927625544582817,-0.02562761039106756,-0.6907769271647931,-0.7539406166450303,-0.10691302434907175,-0.49421210533352083,-0.5430430587303584,-0.3813893961376504,-0.49421210533352083,0.11229902873588024,0.3808401844086373,0.3694813167967446,0.8530842301569084,0.3389677757079959,0.8329271176263086,0.36293836563262105,0.8114838150508235
gRNA_CDK7_targ_10,CDK7,targeting,-0.8457922167529978,-0.5899524447347878,-1.5129834108687064,-0.982909357452164,-0.8457922167529978,264.5263413087542,9387.0,-2.4542814480697843,-0.5325682494662337,0.6483962024617224,-0.7794844983580985,-0.5325682494662337,-2.2272384730089825,-2.0955234353055125,-3.3875914571944925,-2.570117788502996,-2.2272384730089825,-0.37990104743668657,-1.0676419736031266,-1.597820145669172,-1.0151210555696617,-1.0676419736031266,0.511316013196623,1.0,0.3062199634316499,0.7627559308105878,0.16846541714049007,0.7564318894630557,0.47040153516788996,0.9999999993167182
