gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,303.65667043221384,130.91458003261292,294.4291240798167,98.88449352591489,167.07319611254132,184.38570425353745,164.33488272150117,219.78802810787684,106.42747950239512,202.38607536251178,71.92982405764035,335.1622675996671,258.7335815879177,297.15400620002174,147.85820879850775,455.0496202302683
gRNA_CDK12_targ_1741,135.57196801115,67.05380928499686,264.3401289544185,65.36432622899459,37.25513801821293,30.639760944208003,233.36130973457463,23.312264330491818,86.5254194814227,61.61729754061788,18.377280397960007,18.269043725864613,66.59127861040126,223.2571839200515,233.7071018034475,445.4115638007209
gRNA_CDK12_targ_1742,213.99104754701133,93.39637721838847,158.65945589128683,47.03996810667816,104.63634443386965,51.29424265213393,130.399296219258,119.26554431479613,105.69935535528636,78.45803802599576,63.60261887731472,223.0202130308378,179.21793282207807,318.1741270252429,63.39610560364782,229.3130029747043
gRNA_CDK12_targ_1743,451.0886296117601,81.82161252038306,429.46041201987055,69.94541575957369,155.34472673643728,585.8486434109058,102.52879326209651,686.779307176289,1133.5679430238001,404.9702770836751,88.72780692140066,309.194947586803,95.27107143151677,376.40377850380605,194.2166110211752,171.3634309832115
gRNA_CDK12_targ_1744,321.7533810943357,189.58666315698514,130.9701965734357,34.972707879786846,230.08497276062985,51.43102729920629,246.93554433547192,180.25042780336273,302.414229099166,73.00956316307939,30.293798156012198,93.29851261259161,317.5702381050559,24.806353768894606,207.15998258192,496.4508311823495
gRNA_CDK12_targ_1745,299.15805309247736,351.03467420330196,282.0612549178432,61.11843837138468,90.37820519233136,69.6233853598298,413.43652832307373,386.5173425995543,605.3138742964045,182.6725026766871,185.35210151379977,225.77780453662868,151.15358619884057,95.04750286186986,162.12233255932853,284.3529730252016
gRNA_CDK12_targ_1746,293.63702272098254,78.02987925724335,65.06975939695008,35.419643443745784,65.54144651352276,85.9007583614403,44.044059077379494,254.47667743164865,39.19734991935418,85.29339739947267,40.20030087053752,116.73804041181413,126.65882752329556,150.66595920686512,263.0278006451346,296.0519974962875
gRNA_CDK12_targ_1747,144.56920269062303,69.04945837085985,51.040534675905526,51.28585596428806,110.96051909745519,40.625040180490075,56.75185317183652,9.418154789518693,118.68423597872567,68.15546737611753,12.203662764270318,95.71140518015862,87.51644933825379,211.11512654896094,93.50925576538053,249.07404949063175
gRNA_CDK12_targ_1748,247.73067759503508,380.57028067407435,222.34475232234433,310.6202169514615,336.56107709663354,100.12636165696544,772.431711491485,148.54574831389385,128.02849586662126,178.8090386829828,141.99320557486286,65.95239684683199,320.27820137571916,37.731769680055486,511.6594023094409,214.5831431484148
gRNA_CDK12_targ_1749,339.23664393740256,189.58666315698514,149.06051266109841,287.60303540757616,198.9240394182357,60.86916794719894,149.31658060987013,311.91809674198055,312.00119703609784,148.09945309199958,65.03834390840532,352.1674152187109,490.879887427505,370.00635042656484,128.83937711741342,362.8516087249749
gRNA_CDK12_targ_1750,47.439964673584925,3.1930385373808026,0.46148765529751834,8.826977388189013,15.063034198721896,21.338404943287717,12.563387343383658,4.196207579488528,34.707251012183576,39.03089265434638,0.2871450062181251,0.8042975225223413,17.478672019735637,0.39167927003517805,59.23573617340843,81.5294710549768
gRNA_CDK12_targ_1751,70.75098179767407,101.97766828759937,165.02798553439257,581.239700928598,597.8069831996576,114.07839565834588,297.9111274643734,95.48703469769448,144.04722710301368,33.48335461210425,106.81794231314255,509.0054321105675,218.11413252796865,80.81648938392506,630.7252131462919,89.5308763927143
gRNA_CDK12_targ_1752,140.99075707946898,314.1151661148364,403.4325082610905,241.23347064683642,219.73632331112626,111.61627201104345,78.26845908176945,33.56966063590822,8.130719642714334,108.67230772035019,199.4222068184879,31.022904440147453,64.1294938188892,19.845083015115687,258.00894228484583,75.95273400140219
gRNA_CDK12_targ_1753,120.23577253477559,15.566062869731411,258.34078943555073,99.55489687185329,47.60378746771653,255.65050537823552,8.953218566549273,10.91013970667017,10.072384035004326,21.100457196385225,32.30381319953908,4.366186550835568,58.83665651713827,1.6972768368191047,8.452814080486375,75.0434833948411
gRNA_CDK12_targ_1754,55.108062411772146,363.80682835282516,87.31346438229048,329.6149784197163,344.61002666846963,119.82335083538489,272.2067257733126,89.33259691444465,276.68717590132366,126.60274317831134,232.15673752735415,435.58455826888513,623.5700876900052,246.75794012216215,353.1691383003214,168.57506245642418
gRNA_CDK12_targ_1755,10.633095530286278,5.388252531830104,22.42830004745939,203.91435105626516,242.0434121245007,76.46261771344766,718.8568068432627,131.01492553736404,60.31295018550783,93.11938856620709,54.270406175225645,1.263896106820822,194.48099852945285,40.8652038403369,48.07538008276625,108.26143888787254
gRNA_CDK12_targ_1756,248.1396428077384,290.36694199306675,95.06645699128877,210.73011840663898,209.2726888677393,104.22990106913616,170.25555951550956,148.54574831389385,290.1574726228354,181.8799972420811,434.45039440802327,62.50540746459338,309.2001698139149,174.16671540897585,438.8199184752497,266.10734418687593
gRNA_CDK12_targ_1757,13.700334625561165,9.978245429315008,3.9687938355586576,5.2514928765175135,12.418379339404312,15.593449766248717,18.628470888465422,18.09031712046165,58.128577744181584,13.472592388302303,7.178625155453128,8.502573809521895,88.62425249443422,2.6111951335678536,21.13203520121594,134.20538952841537
gRNA_CDK12_targ_1758,84.75804033276273,33.327339733912126,104.38850762829864,61.45364004435388,104.40637444610292,18.32914270769586,77.54642532640257,39.81734747648002,173.5362550609179,89.45405093115426,41.492453398519075,19.64783947876005,98.59448090005806,237.22707788463947,141.4525606281392,281.322137669998
gRNA_CDK12_targ_1759,173.0945262766795,141.6910850962731,325.99487970216694,158.4386574234433,117.7446337365742,221.18077431600153,144.8399713265955,233.96188482081587,22.207786486816765,248.35139056966082,90.59424946181848,192.2271078828396,199.5276573520526,577.9880428152444,217.32977452250515,382.4914218266942
gRNA_CDK12_targ_1760,336.9873352675343,183.20058608222354,154.78295958678765,296.094811122796,82.78919559602873,115.71981142321417,370.40331650320786,235.73361690993326,19.780705996454277,311.15744626218776,182.04993394229132,282.8829286357149,206.17447628913513,161.37185925449336,273.9900439057654,91.47061102004461
gRNA_CDK12_targ_1761,99.27630538373053,80.02552834310636,30.45818524963621,57.878155532682385,83.24913557156223,35.837577532957575,326.93688443012184,124.30099341018236,60.555658234544076,144.83036817424974,45.08176597624564,222.21591550831545,104.3796751601114,29.76762452267353,291.02774728674575,228.10066883262286
gRNA_CDK12_targ_1762,33.43290613849628,10.976069972246508,50.67134455166752,20.00036648716245,7.818979584069382,11.900264295295072,25.99321519320757,30.399192686961328,27.547363565614237,39.03089265434638,4.163602590162814,29.64410868725201,98.34830242090685,19.06172447504533,16.04713923092335,204.94508671886734
gRNA_CDK12_targ_1763,139.76386144135904,158.25497250893602,176.93436704106853,200.11539876261418,68.07111637895696,237.32136267053968,163.61284896613432,247.855994361789,241.73721684010383,96.98285255991144,188.22355157598102,98.23919739380027,355.7279023734929,34.206656249738884,118.73562278683204,157.54282176348306
gRNA_CDK12_targ_1764,189.24865217846056,98.58506484163227,550.7393678320584,705.1525860362134,303.6753688459887,729.6093074839531,445.0616068081429,229.01968478275163,201.3263266755684,265.489320593016,129.50239780437443,307.1267539574598,490.879887427505,358.6476515955447,194.81094951120943,221.7359145866953
gRNA_CDK12_targ_1765,449.1460448514194,330.8786184360857,115.18731876226057,256.3175459304506,196.854309528335,68.11875424203386,122.45692491022231,224.8234772032631,496.94473040171937,231.11439736697994,123.0416351644666,185.90762734873547,181.92589609274134,86.56111867777435,105.66017600607968,179.78915327067747
gRNA_CDK12_targ_1766,100.60544232501631,252.05047954449708,131.98546941509022,422.3541079411958,175.46710066602756,57.03919782917294,276.5389283055138,20.887788840120667,466.97028634574275,302.24176012287006,103.80291974785223,52.04953967180295,203.7126914976231,135.91270670220678,61.28290208352622,187.06315812316612
gRNA_CDK12_targ_1767,371.1359305282614,256.8400373505683,100.97349897909702,201.45620545449103,308.3897535952071,457.27107516289,100.94031900028939,126.91196701519745,218.8013062061783,11.194139263810003,62.884756361769405,104.90337686612824,102.53333656647736,242.5800279084536,260.914597125013,163.24079223126583
gRNA_CDK12_targ_1768,39.87410823857354,11.37519978941911,327.19474760594045,202.3500765824089,119.00946866929131,3.0092622355918577,130.399296219258,207.57240159869914,12.014048427294316,26.945184776604606,23.833035516104385,224.16920949158398,40.37327058079781,38.254008706769056,31.169751921793505,2.364051577058807
gRNA_CDK12_targ_1769,26.68498012889152,20.156055767216316,19.659374115674282,230.17181543885275,40.474717846947385,75.77869447808587,369.5368759967676,166.72931449167748,23.542680756516138,235.67130361596455,9.332212702089066,11.60486425353664,32.74173772711042,88.12783575791505,167.1411909196173,2.000351334434375
gRNA_CDK12_targ_1770,205.30053677706582,168.63234775542364,493.7917911683446,311.9610236433383,292.061884463768,205.17697060853573,324.33756291080107,360.31435749208157,730.3085195500727,365.74125807067725,256.70763555900385,150.7483356499017,299.4761198874423,340.76096493060487,189.26379027089024,229.5554698031206
gRNA_CDK12_targ_1771,767.8321868504802,1189.8059849915214,1032.0709923073698,2005.399875483752,1457.3198124778726,716.2044120708622,1032.508270174634,644.5374842094378,488.9353647835232,336.02230427295154,596.2566054119368,431.56307065627345,72.1302943913034,1355.2102743217158,443.1123631254967,12.305191542126611
gRNA_CDK12_targ_1772,586.5583563197343,298.1499734279324,277.1694857716895,1103.260439632637,428.43408720944876,284.3752812634305,572.4283612548601,624.5821859425369,104.97123120817761,486.994589565398,57.429001243625024,220.95201940149462,602.7680062017282,53.00726121142742,244.40519462406306,5.576737053574622
gRNA_CDK12_targ_1773,544.6394220176442,242.07223411518208,226.9596288753195,451.85185516248566,81.29439067554489,274.39000202714845,268.885370498625,32.63717006268855,42.959324679416035,79.44866981925328,236.60748512373507,369.5172617759785,60.68299511077231,34.467775763095666,257.54667901481923,98.62338245832511
gRNA_CDK12_targ_1774,235.15499730440803,170.82756174987293,950.4799748507687,989.8505402780564,143.50127236644983,344.97087991648476,274.9504540437067,40.84308710702167,39.07599589483606,218.43431041328367,73.36554908873097,526.4701783139097,1328.6252519790596,64.62707955580437,331.70691504908643,158.02775542031563
gRNA_CDK12_targ_1775,1378.110525507007,1950.5474165224978,860.4898820677527,2118.586307056353,4478.090586787971,766.8147314876343,1272.6566972096573,1124.0241369589933,2894.900254879858,834.0129067435081,901.7788920280219,360.899788320382,3418.926718451951,1419.4456746074852,695.7062213900309,379.46058647149056
gRNA_CDK12_targ_1776,815.2721515240652,532.6387410168351,557.9385752546997,1434.8866280901684,919.9949360608693,274.39000202714845,776.330693770466,959.3463017283992,775.8162787443694,247.2616955970776,679.5286572151931,373.9983479728887,228.2074501731681,1099.1825914753879,992.8094287971262,221.61468117248714
gRNA_CDK12_targ_1777,590.6480084467676,659.1628930605493,337.5320710846049,941.5814993704913,410.956368139176,460.6906913396989,692.863591650055,585.7905780965983,726.0611286919384,200.60293813464824,1050.6635777521199,1135.8979010936953,1273.3581834096137,417.26898234414296,248.43348883429488,157.482205056379
gRNA_CDK12_targ_1778,910.2543221744107,966.4928522834516,610.4558704275572,1133.6520579818446,564.0013949979458,369.72890103658136,159.71386668715317,1010.0737889115494,214.43256132352582,348.2070753300191,1009.6018418629278,139.02857175029044,1481.7482660111098,258.2471987098607,527.5744663203566,250.0439168042969
