gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,505.0708892158119,740.2692887014952,403.644219487171,710.3020188131972,895.7454548308746,490.0490142029784,227.86805567949713,78.60600638210114,275.39783647459666,86.43965140743686,49.38691726167561,30.555432708421133,447.617227161692
gRNA_CDK7_targ_2,523.4824195613103,511.5702561244392,229.7974516882409,551.0817763530415,269.8753196562761,492.4817294143818,82.70074698386122,20.31391176166659,2.5919796374079684,29.602620345012618,58.12269358132879,14.692923383714465,483.5920327872679
gRNA_CDK7_targ_3,356.0098531435236,317.3902475610336,34.18039899253011,497.49967132917646,321.7377417810348,185.02945696143996,173.39140302387966,6.359137594956497,0.971992364027988,6.117874871302608,159.03083709186802,148.90291011256897,147.0718037858186
gRNA_CDK7_targ_4,426.19878760474677,329.9884315076213,343.53930248953725,500.60833775988596,1064.9035105871596,507.9366260515322,1474.3976334927027,334.73793729007116,134.13494623586237,4.341717650601851,96.04390442345962,54.09334977088908,298.16598741323696
gRNA_CDK7_targ_5,253.5002409578884,81.6362319738885,599.313857412101,170.29839919504755,363.5504442012787,331.42167233000384,204.00209356370283,1400.0701271562557,90.39528985460291,25.26090269441077,7.345993723344714,45.39455433475962,80.61755654361319
gRNA_CDK7_targ_6,783.2538367940847,728.0070563268164,1239.4864379275805,745.2321252528053,686.6819427296549,376.42690374096503,2136.418669574302,57.40888106557949,127.00700223299046,48.35094656352061,17.02483680477863,217.32368766061248,134.15486570293467
gRNA_CDK7_targ_7,287.83091107809724,927.7302658267205,402.9080262781011,502.5300588261427,422.30829444446357,655.0443458940383,55.41053812971379,66.24101661413017,5.831954184167929,62.757555131426756,3.0277406562434295,11.54966116729794,394.36318418839875
gRNA_CDK7_targ_8,433.8367587087745,992.6529070981361,698.0689178859034,437.86979706738583,298.33729954935444,489.548161071219,55.20300802435906,146.96673552788351,10.367918549631874,42.825124099118256,2.779565192616919,74.41490549562849,631.7969013171991
gRNA_CDK7_targ_9,311.7900204359947,553.3122389341331,245.09975339105054,322.5100118841492,363.5504442012787,455.77634990114944,8.508734319544065,85.49507210997068,30.131763284867635,2.5655604299010935,48.29494522171897,13.230940957474221,330.1750664344186
gRNA_CDK7_targ_10,148.33743880980148,167.9757859545031,23.8736940655518,170.29839919504755,329.73350417367794,233.7553116369004,2.282831158902066,3.532854219420276,28.187778556811658,5.328471662102271,24.81754636265106,10.453174347617756,265.59037601999904
gRNA_CDK7_targ_11,419.52561285070146,281.94735672463344,501.2949901473685,446.51754186554126,500.7988060052724,320.76065566826577,189.4749861888715,629.5546219006932,520.9879071190016,72.62509524643096,119.67020856070341,22.660727606723803,481.2125968246314
gRNA_CDK7_targ_12,253.25904187039282,459.1618109066342,368.2543602225975,118.92062127659477,243.46729707506944,684.2369284308779,344.49997488885725,7.772279282724608,320.4334826745601,22.49799146220959,5.112414550706119,45.61385169869566,501.8910284046868
gRNA_CDK7_targ_13,331.72914500229865,1203.294542685083,378.29813900347943,413.9613261548385,490.7490863007576,793.1367093648731,42.43990654504296,56.34902479975341,9.395926185603885,36.90460003011573,36.233617689470556,123.68371325992476,771.0505583686406
