gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,809.326150810611,471.25923887567154,610.5550392458266,445.3364435665565,649.808787248289,625.1113303856497,447.69213454107387,791.4788195462614,637.0479732817552,466.3663526294751,1240.0528644154383,1730.7523835379477,447.617227161692
gRNA_CDK7_targ_2,487.31387923991775,468.30231816115753,277.60656904226494,430.8340640722287,529.8732787981284,364.43530544968786,180.07728316735933,485.90788288599595,522.5513796048543,523.8913122492544,286.0535433732019,317.1962574969088,483.5920327872679
gRNA_CDK7_targ_3,409.4029064495844,294.39841863880184,357.99723594115596,143.71082231416082,8.887810368080178,66.44682988563734,172.57406303538602,154.26972303157908,285.7471120261171,335.66964437333644,386.96807160681567,183.05340299268582,147.0718037858186
gRNA_CDK7_targ_4,333.9359090414573,466.9162615762291,80.8046960846364,612.0242868902488,240.96951031660078,459.6331674973798,211.75754594680217,482.9393734831033,403.11106426660183,418.5055862258187,400.47496072248265,455.0538372027872,298.16598741323696
gRNA_CDK7_targ_5,179.59516066212774,460.26318996857253,283.88601169273625,491.88729132612684,160.67962789034837,464.1055502781439,74.19851019395824,175.23482068950867,641.4973227769715,443.72452852312995,362.7933210239977,25.280768733488177,80.61755654361319
gRNA_CDK7_targ_6,808.8077317901431,792.4547514897567,393.6727507795479,688.0573382308804,879.0943221371889,422.3207168692912,571.078421155746,365.77601798768274,194.09051242466018,709.351782063423,1253.7318158128335,236.09142392743243,134.15486570293467
gRNA_CDK7_targ_7,712.9742728636304,766.3044839207734,763.4698185144466,847.8819155387387,1228.8146806654672,716.3479391132364,357.65349295739423,1066.158705232675,1555.492583527638,654.9561802469597,978.9483518928314,687.5337227397213,394.36318418839875
gRNA_CDK7_targ_8,321.9382117106265,390.7755531774931,215.64020090904248,592.9861837680655,559.1331488863025,431.90439425664266,196.75110568285555,63.91571808103307,515.9267925786432,426.9732602818502,341.9737849348805,2544.793136756267,631.7969013171991
gRNA_CDK7_targ_9,518.1227810277302,297.7249544426302,169.13092237698018,622.0506233307716,370.49187039974674,660.7626102665974,383.4979178564134,189.3352403532489,557.5529289672229,468.207151337308,519.9722153827465,425.64559602301523,330.1750664344186
gRNA_CDK7_targ_10,417.7716706371392,209.47935186885243,80.32166203460015,272.4418205415881,215.00512047726542,184.13438820231423,82.53542145170636,132.65526394176675,51.41470527805567,66.54487328816074,345.8451862737659,908.2503118047466,265.59037601999904
gRNA_CDK7_targ_11,476.64925939029035,261.9646945514762,816.1205299683985,399.7404849917978,457.47257636152017,621.2778594307092,454.36166354727237,252.4160651647184,702.9972202441843,416.5727475825941,391.18359750915755,459.5940568936993,481.2125968246314
gRNA_CDK7_targ_12,1510.673025643745,1071.0521250603742,261.9424648482321,1225.779310427969,1896.6986777634474,983.5408646725974,521.0569536092573,1139.0727174412266,1197.5671352457891,1003.7875353813017,1360.8405861886638,509.6396603048902,501.8910284046868
gRNA_CDK7_targ_13,570.1868626547305,857.2297958920794,1166.04419678752,725.4173775866382,664.0892016599234,464.23333264330853,577.7479501619446,642.032924294383,665.5238100511399,737.0558026163088,682.7431338976633,904.0196525473058,771.0505583686406
gRNA_CDK7_targ_14,5.924788805348545,84.45704790830663,135.11152428156964,122.46453795210049,312.4714454126166,139.92168985533246,140.89380025594318,57.514869681045724,1.483116498405452,68.20159212521038,140.40282189024526,609.8340539384291,210.52342945612554
gRNA_CDK7_targ_15,301.05333117177287,253.83316258656274,616.1444332533889,325.55753144673884,62.813850803622834,134.17148342292154,43.351938540290206,90.72506862590761,210.30591947389308,395.7717221840819,72.26615832586153,216.79549024105575,344.8482548706771
gRNA_CDK7_targ_16,431.39868488944086,345.0356858748544,320.66560435978255,679.4036549935244,52.2283687922015,94.68673258703322,364.32302196359274,771.9052106709379,100.95079632479776,137.78378328129548,207.16298720080306,137.03208521662162,282.98291984212784
gRNA_CDK7_targ_17,100.57328997079154,202.2718576272245,261.18341134103224,172.536539580664,65.11070067402558,94.55895022186851,35.848718408316905,34.694453646308226,5.932465993621808,22.549784170953505,217.91687980881815,154.05790905754222,224.06355314827138
gRNA_CDK7_targ_18,959.5936068862636,1181.4746329930072,7939.285656124472,1751.6845289630123,1576.1383262854995,5790.4578774378,13259.023664322605,1343.1577388900985,2436.3649091472494,875.3918255099542,2058.209014033228,4289.682113422737,331.81801031338193
gRNA_CDK7_targ_19,616.992694216984,1229.9866134655028,3989.999263028049,1862.7500772714232,587.0947994825098,5039.992046825592,7324.810231057495,1547.9848876896936,1683.139476823734,1310.1884803000944,1033.492095200684,1965.7087525426518,381.38959286830925
gRNA_CDK7_targ_20,410.2175649103198,428.75350360453257,2117.1382413089063,1005.259589310517,728.5008610690438,2259.703345572328,5538.210148522074,447.96662208027385,342.2044133987513,988.60094604168,749.4172680673569,1138.872834740853,439.7424271901093
gRNA_CDK7_targ_21,415.9942339955346,508.2207478070968,161.81640676214548,460.25658707923924,349.62049549043485,603.8994577683117,952.0752656348349,228.0186285096942,507.72021462079977,469.4957104327911,574.7740521131915,1142.3811863201943,368.9258806830703
gRNA_CDK7_targ_22,2.2958556620725608,23.747769488440703,58.99915896871402,10.205378162675041,1.59780860549756,16.35614274107996,5.835837880423682,0.6493614318827743,6.327963726529928,0.27611980617494086,102.80721333262444,2.4764834677702705,204.74479926115114
gRNA_CDK7_targ_23,1408.840718051817,1301.229921930825,1120.569991219821,1410.0729230966267,1175.4878184569861,985.8409472455617,746.9872486942313,1115.1391103804042,1725.457734244903,1141.9394784041638,1058.1830326286868,1199.030745645439,442.7450487620078
gRNA_CDK7_targ_24,422.4374418213512,1028.9160048785495,144.7032004180039,843.2865113368323,639.3231682747113,728.4872638038817,446.02475228952426,318.18710162255945,665.5238100511399,796.2374810731378,161.6525136836831,1158.8910761053294,348.0208361541924
gRNA_CDK7_targ_25,422.80774112168547,551.1885019398786,468.9570577209128,590.1215162136305,419.02530679173515,558.2811534045184,328.4743035552758,288.6875394313134,400.44145456947206,566.5978422709786,544.3190282472927,39.004614617381755,392.6635870722298
gRNA_CDK7_targ_26,596.7743524187321,605.3371125244165,245.10527796125402,674.0324033289585,507.2043692076317,548.0585641913433,277.61914488301227,703.2584307290446,904.7999384605528,1010.3223707941087,527.5429557787891,158.4949419372973,619.5598020807828
