ArrayTaskID R1_FILE R2_FILE folder_name
1 ./D25-213001-7224E/250728San_D25-213001_1_sequence.fastq ./D25-213001-7224E/250728San_D25-213001_2_sequence.fastq D25-213001-7224E_guide_split_BARCODES
2 ./D25-213002-7224E/250728San_D25-213002_1_sequence.fastq ./D25-213002-7224E/250728San_D25-213002_2_sequence.fastq D25-213002-7224E_guide_split_BARCODES
3 ./D25-213003-7224E/250728San_D25-213003_1_sequence.fastq ./D25-213003-7224E/250728San_D25-213003_2_sequence.fastq D25-213003-7224E_guide_split_BARCODES
4 ./D25-213004-7224E/250728San_D25-213004_1_sequence.fastq ./D25-213004-7224E/250728San_D25-213004_2_sequence.fastq D25-213004-7224E_guide_split_BARCODES
5 ./D25-213005-7224E/250728San_D25-213005_1_sequence.fastq ./D25-213005-7224E/250728San_D25-213005_2_sequence.fastq D25-213005-7224E_guide_split_BARCODES
6 ./D25-213006-7224E/250728San_D25-213006_1_sequence.fastq ./D25-213006-7224E/250728San_D25-213006_2_sequence.fastq D25-213006-7224E_guide_split_BARCODES
7 ./D25-213007-7224E/250728San_D25-213007_1_sequence.fastq ./D25-213007-7224E/250728San_D25-213007_2_sequence.fastq D25-213007-7224E_guide_split_BARCODES
8 ./D25-213008-7224E/250728San_D25-213008_1_sequence.fastq ./D25-213008-7224E/250728San_D25-213008_2_sequence.fastq D25-213008-7224E_guide_split_BARCODES
9 ./D25-213009-7224E/250728San_D25-213009_1_sequence.fastq ./D25-213009-7224E/250728San_D25-213009_2_sequence.fastq D25-213009-7224E_guide_split_BARCODES
10 ./D25-213010-7224E/250728San_D25-213010_1_sequence.fastq ./D25-213010-7224E/250728San_D25-213010_2_sequence.fastq D25-213010-7224E_guide_split_BARCODES
11 ./D25-213011-7224E/250728San_D25-213011_1_sequence.fastq ./D25-213011-7224E/250728San_D25-213011_2_sequence.fastq D25-213011-7224E_guide_split_BARCODES
12 ./D25-213012-7224E/250728San_D25-213012_1_sequence.fastq ./D25-213012-7224E/250728San_D25-213012_2_sequence.fastq D25-213012-7224E_guide_split_BARCODES
13 ./D25-213013-7224E/250728San_D25-213013_1_sequence.fastq ./D25-213013-7224E/250728San_D25-213013_2_sequence.fastq D25-213013-7224E_guide_split_BARCODES
14 ./D25-213014-7224E/250728San_D25-213014_1_sequence.fastq ./D25-213014-7224E/250728San_D25-213014_2_sequence.fastq D25-213014-7224E_guide_split_BARCODES
15 ./D25-213015-7224E/250728San_D25-213015_1_sequence.fastq ./D25-213015-7224E/250728San_D25-213015_2_sequence.fastq D25-213015-7224E_guide_split_BARCODES
16 ./D25-213016-7224E/250728San_D25-213016_1_sequence.fastq ./D25-213016-7224E/250728San_D25-213016_2_sequence.fastq D25-213016-7224E_guide_split_BARCODES
