gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0
gRNA_CDK7_targ_1,CDK7,targeting,0.4762451961443304,0.7043068872637192,0.42177929332535125,0.5341104589111336,0.4762451961443304,484.9511193531972,17151.0,-3.7275214421762453,-2.2795571364434544,-2.2854325080310205,-2.7641703622169067,-2.2854325080310205,-1.0103953385692732,-2.5305826450287148,-0.8427834622268385,-1.4612538152749421,-1.0103953385692732,0.5316468280734008,0.12322191125942893,0.4038230572120572,0.3528972655149623,0.4038230572120572,0.0038569000343031653,0.025189801659444115,0.3948679175026538,0.9939241186144402,0.1416230697329646,0.5363366586989959,0.07180656046873939,0.27924773515620877
gRNA_CDK7_targ_2,CDK7,targeting,-0.3458619560715096,-0.5928104730489648,-0.21213080826437264,-0.3836010791282824,-0.3458619560715096,440.700142629522,15586.0,-3.7654821758696424,-3.333385816798774,-4.735892209869698,-3.944920067512705,-3.7654821758696424,-3.5859021198544125,-1.6666672530650706,-5.074745868952182,-3.442438413957222,-3.5859021198544125,0.701046161573067,0.07403709100789803,-0.8424955575634058,-0.022470768327480257,0.07403709100789803,0.5993219804049437,0.8551511872466052,0.4596033722573807,0.9939241186144402,0.3469696066651892,0.9636083684597829,0.1653163915980936,0.4868540982338679
gRNA_CDK7_targ_3,CDK7,targeting,1.389676308139109,0.008580970551139233,-0.4663573168765768,0.3106333206045572,0.008580970551139233,230.6140358838946,8156.0,-1.108377886847463,0.14746145936692243,-0.5644692296544793,-0.5084618857116733,-0.5644692296544793,-1.4242343390221337,-1.0146092583693913,-5.594204280619916,-2.6776826260038136,-1.4242343390221337,-0.025478959828849915,1.0647988867225129,-0.8305753147503414,0.06958153738110721,-0.025478959828849915,0.0008991950926097043,0.0076712581338265395,0.005863862666791572,0.40868342049684914,0.31568915386126756,0.787060630174667,0.05287464000523234,0.22767786626858721
gRNA_CDK7_targ_4,CDK7,targeting,0.7595399363540459,1.2785956420462021,0.0008343778966215727,0.6796566520989566,0.7595399363540459,368.28688295582725,13025.0,-6.627772791082791,-1.8014857463942888,-3.1126193279097025,-3.8472926217955936,-3.1126193279097025,0.8711792592438603,1.9587345814600496,-1.5508926743052132,0.4263403887995656,0.8711792592438603,0.5381643364687462,-0.494417766985674,0.08086422964714872,0.04153693304340696,0.08086422964714872,5.1585485668172896e-05,0.0007017357352977074,0.29392224250493115,0.9930553588994667,0.003723758571579958,0.11663991721410213,0.20040190945592404,0.5515092871115652
gRNA_CDK7_targ_5,CDK7,targeting,1.0106266269889388,0.6061099961596796,0.8927992979742825,0.8365119737076337,0.8927992979742825,155.48633929935465,5499.0,-3.162613198827504,-2.9848506966061534,-2.2597980737887884,-2.8024206564074823,-2.9848506966061534,-0.6811259251406484,2.2750863504739947,-1.5757428840810588,0.0060725137507625275,-0.6811259251406484,-0.0851850658980913,-0.17436120960978457,1.3438399656864546,0.3614312300595262,-0.0851850658980913,0.00012775755565043304,0.0014483105890406404,0.43498898085960735,0.9939241186144402,0.009806149857326361,0.18664609315387412,0.01760783795632505,0.10564702773795032
gRNA_CDK7_targ_6,CDK7,targeting,1.5481926712542629,0.7237096164056972,1.3265928528899926,1.1994983801833177,1.3265928528899926,302.9990201731013,10716.0,-1.5890521761347949,-0.9446007809672432,-0.6035622056347428,-1.045738387578927,-0.9446007809672432,1.5799061333313977,-2.157804907878004,-1.926692145137488,-0.8348636398946981,-1.926692145137488,1.314848055743855,1.0580221926902422,2.2677800368680128,1.5468834284340367,1.314848055743855,5.6517477115051e-08,2.5715452087348205e-06,0.01785079239784632,0.7614478632206321,0.052878088541530935,0.3582064062490805,6.038559237331986e-07,3.3643401465135356e-05
gRNA_CDK7_targ_7,CDK7,targeting,-0.5600567199366452,0.027555689221004404,0.44935119485607133,-0.027716611953189824,0.027555689221004404,425.6576380819212,15054.0,-4.102504020944243,-4.707834023863185,-2.444051423021438,-3.7514631559429557,-4.102504020944243,-2.712772100685124,-1.3703379026145492,-6.054207426116729,-3.3791058098054676,-2.712772100685124,-0.5054226167882153,0.9130072721930219,-0.5515371504794703,-0.04798416502488789,-0.5054226167882153,0.12747854670669606,0.32858023855214147,0.4982137882667911,0.9939241186144402,0.2787086032781732,0.8616925107014868,0.1538279632279211,0.46352134615035834
gRNA_CDK7_targ_8,CDK7,targeting,0.01951995755588367,-0.8681537580997077,-0.29723069295542837,-0.38195483116641754,-0.29723069295542837,527.8731530059378,18669.0,-4.873923062819515,-4.759975252973497,-2.3247394853525103,-3.9862126003818403,-4.759975252973497,-3.693456995826381,-1.090151791232666,-5.9442942106197645,-3.575967665892937,-3.693456995826381,-0.8623041800719696,0.14251838428867764,-0.1372288803376517,-0.28567155870698124,-0.1372288803376517,0.48548607080251227,0.7554341313980734,0.4223171300661236,0.9939241186144402,0.24306428464568336,0.7985144369226421,0.47995258871027224,0.9105424372335255
gRNA_CDK7_targ_9,CDK7,targeting,-0.6474193049620273,0.7027316870128036,0.16097075130570643,0.07209437778549427,0.16097075130570643,306.61826938756167,10844.0,-6.732453656739378,-3.0510483552343843,-4.8343721735748115,-4.872624728516191,-4.8343721735748115,-4.04596131840226,-2.3811525076545808,-3.4899112140040307,-3.3056750133536235,-3.4899112140040307,-0.44717491760093764,0.4975849978066215,-0.6115039994264652,-0.1870313064069271,-0.44717491760093764,0.05360732012550559,0.18572079180536838,0.13425991346989535,0.8110417313175928,0.41073321778937044,1.0,0.32419605227816634,0.7360806850947731
gRNA_CDK7_targ_10,CDK7,targeting,-0.05424857227093337,0.39141767996915117,-0.3256701859177493,0.003832973926822821,-0.05424857227093337,245.3737865866157,8678.0,-3.794457706245115,-1.8988989452708285,-0.6549082222555067,-2.11608829125715,-1.8988989452708285,-6.233074641978904,-5.577368740179113,-1.2569499343026196,-4.3557977721535455,-5.577368740179113,-0.8856673998266148,-1.2873432789364048,-2.0784750653736106,-1.41716191471221,-1.2873432789364048,0.14188359882682147,0.35021900976240744,0.10716760563195803,0.9939241186144402,0.08835921170345876,0.49531960564772565,0.10071903851181604,0.6593836334226806
