gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,Plasmid
gRNA_CDK7_targ_1,604.2058095442708,529.0749159609483,561.238858598047,817.9710610557216,733.4914425021168,716.7718442148556,1031.840559199305,1117.9250041370358,777.3677007811735,1146.6857440518822,1189.336569112524,568.3933280746953,484.9511193531972
gRNA_CDK7_targ_2,361.99321804743806,460.5420473134194,336.6198889781505,246.1121488782847,310.20887752443195,379.1375326206904,394.2888512362551,336.01008582086564,195.41924885411498,197.71337067475173,606.0019432649548,462.55251585208555,440.700142629522
gRNA_CDK7_targ_3,396.2040360554653,601.2055408370926,211.4423908718667,509.35260491002316,235.52856042212034,619.3033724411722,641.6413867311979,443.54946437919597,40.04254677957212,579.1525293712407,143.450960826092,204.39626659263948,230.6140358838946
gRNA_CDK7_targ_4,406.80938963795376,520.6801514275122,515.6545678153058,877.559720812026,579.2664898819897,517.4682490343891,1400.422858178631,1182.798571677856,323.39077380986964,374.59338411763275,1409.142506434909,434.98190509399535,368.28688295582725
gRNA_CDK7_targ_5,212.70576096490927,497.8358618783359,302.32742580606265,178.6630034744033,328.88438572681287,373.92959948029636,281.38450524417317,175.7104614617024,244.22564202679783,100.46636746807991,209.3329481399319,130.865610199501,155.48633929935463
gRNA_CDK7_targ_6,781.9310090959723,617.5855691950167,711.5519316072182,720.1440562714662,661.525588801314,694.0572435179059,619.8784532864111,1001.3006342737152,423.52135027922293,253.88572640828593,363.6374046758671,1642.022160758598,302.9990201731013
gRNA_CDK7_targ_7,618.1039543600319,228.53064564368026,336.6365681917556,401.19369540995694,521.1552573824881,454.0917088182086,769.5899081918237,480.764280613712,341.35423796370435,1063.5003318720503,178.67499364735292,402.4280012322817,425.6576380819212
gRNA_CDK7_targ_8,474.3757552038075,403.2119480606851,515.9214352329874,301.6847526487091,374.899969309191,458.6586655720926,252.90281382314342,366.09150147516704,280.5399226612344,203.70804895461507,649.4884035381164,220.48363672064104,527.8731530059378
gRNA_CDK7_targ_9,221.98544534958668,188.51657636932282,233.95932923875318,299.55658622884107,332.5326245384408,599.0324942177921,391.3676521161495,222.88512001576348,452.4759367050804,502.8498959571779,445.6637403661183,486.52107235592626,306.61826938756167
gRNA_CDK7_targ_10,154.41907978373288,145.54825198041124,275.1903452705631,110.90493068699271,201.19602731983633,105.24031046011768,68.50211936647662,126.85339711042094,75.87263700554959,72.38018960131282,57.76451472951639,90.59301865010985,245.37378658661567
gRNA_CDK7_targ_11,496.95489508910543,364.8943817233984,521.9926689852441,503.38000882845813,490.2755217269234,491.94937664645806,509.238036612411,1085.4209241347369,585.7735561538858,900.718913642922,394.3678366022347,425.4215656071526,379.08807983023235
gRNA_CDK7_targ_12,353.61156763547143,365.88888344512947,524.6113055212451,236.501074724042,513.1855928356581,420.6808146713726,514.6422549846064,504.65444293424224,570.763653491652,158.48893254725093,975.4194232854629,1337.255871111457,438.4098364859963
gRNA_CDK7_targ_13,503.5832410781607,369.60363987630154,453.2743089322276,648.2326264388294,658.9848510575017,459.860496296799,295.04111113066693,759.4379768653051,856.4844135233993,1153.5315186307387,419.9704900880587,746.3023084969888,619.9378048987726
gRNA_CDK7_targ_14,274.62734155943855,208.28961060138838,164.12346187419485,271.4441943276814,146.211856658873,142.37687985354333,25.12231243290827,190.5829287091311,105.84402328917129,387.35982860252693,587.3208847059424,25.945623876473913,273.73399722805095
gRNA_CDK7_targ_15,332.6574416055547,299.1987679878671,386.6742090070589,86.67129371236663,207.05926826709546,169.29788808696512,225.58960205015595,216.02090436310408,399.26341081541926,381.0691168273617,428.26915625685365,168.5923889676932,381.5480382806859
gRNA_CDK7_targ_16,266.28845466998195,336.6388328059793,432.1417452945645,384.85486934774445,146.88504358244717,167.45508097574873,317.02313450946167,359.0253971268412,701.979254184083,777.4209628496835,208.66253187738732,647.936435929814,286.3730940941742
gRNA_CDK7_targ_17,310.84804512543735,161.02152876852168,237.96234050397746,327.1884244222886,285.95243256854883,235.31845589749955,446.14013561812976,520.940131051336,359.3661211583849,643.0587601695369,147.07483251552213,159.62787800410987,287.89996485652466
gRNA_CDK7_targ_18,2419.089704870115,1124.839947379159,642.1997614372077,750.865168300206,1019.3570122418174,1887.1146039338803,5177.460290497186,2177.3022865308008,1438.6749606546873,7373.8613302879385,1175.4933792589009,484.1919244922762,404.39454894696667
gRNA_CDK7_targ_19,1164.4079544257168,2759.098776689757,1268.9378918624868,2519.474439005034,1939.3863796956225,9804.575113178402,2561.307388508602,10599.021930024974,13539.077458457432,7412.900747480875,1284.7168719783253,6237.593394428326,386.89208594891244
gRNA_CDK7_targ_20,647.0120955768149,476.2785745572822,324.41070461921646,221.36363293110986,243.34621501846584,1453.0934682182674,1454.830191790598,1188.586047620294,2106.9545624100133,3499.7079814589783,552.2055680353643,90.83676668235229,386.7789844109605
gRNA_CDK7_targ_21,376.91768740343997,243.8284221279558,269.9030345577461,237.56515793397602,507.75666603264045,345.12572311150126,230.5556405543355,172.21105740348392,270.1298288793626,150.01497374423425,423.9567489464318,212.0066218215426,358.89945530582077
gRNA_CDK7_targ_22,136.88603555461896,133.70198147155543,182.5706721214367,201.90120776876853,311.3163785922476,87.85382597603277,83.03508498900204,90.24424696290423,209.94496110788964,84.4805587217777,212.08709062389877,529.772806521614,229.7374989647675
gRNA_CDK7_targ_23,1025.3409792230862,1230.6958806422433,1107.599858660344,401.3309964693033,524.8903590229643,663.6108651586788,1555.6115614342414,1534.152198369372,2318.3036757024342,5805.401863804684,2013.6043042318558,2277.554530158741,575.4323497147057
gRNA_CDK7_targ_24,505.2082549335421,809.5244014891201,600.7852740557418,389.9350085435584,463.45662332001586,468.75404365962584,429.63536058953304,277.7988452370385,467.4858393673142,472.1364208196065,545.6644796359429,885.0220219576352,438.83396725331585
gRNA_CDK7_targ_25,409.3752009885558,353.5746121260472,382.55444324659896,383.5505092839544,250.42553556960095,391.2359619160675,341.4881771403462,399.4031362601317,405.60630516623416,215.3643678321271,482.89902197501294,197.05674251067245,371.1709721736003
gRNA_CDK7_targ_26,649.3213257923568,380.27990835959133,420.88327611112123,624.6511694960982,467.08314642443173,445.0379173587542,694.4420608271068,347.65233393763106,607.9978959021611,903.235198352988,380.0535434289857,501.82303215781326,501.7749731235402
gRNA_CDK7_targ_27,308.28223377483533,202.73210097994985,306.6473421297838,167.85054505088033,239.56768196356552,280.70759626724197,195.64731106907342,168.17328349015486,145.35396061943837,164.8166485093289,122.43250502739718,103.45749812957239,324.2055585390799
gRNA_CDK7_targ_28,452.4808316786701,211.4193660197774,143.3244825086338,289.0873804536839,166.71148426706785,156.0376890910386,53.67703383194064,128.87228406708545,308.3324521067899,218.99077814957528,251.00747256837846,651.4572408399828,270.8499080102779
gRNA_CDK7_targ_29,268.3838672729736,367.2051357238912,385.1564005689947,527.133092095372,506.71431208646095,522.2355109090576,206.52877779146687,251.55331480039973,253.76419307344315,48.58649741642317,338.54209322656345,290.2497401713684,368.541361416219
gRNA_CDK7_targ_30,257.4364055104049,286.9722468207023,340.4227496801135,356.94842903560425,529.5592360735595,126.43259223910599,273.6433275758933,97.84872116634061,202.19791457254314,380.2550247152814,611.3471540068641,793.6706760961044,211.81090519939363
gRNA_CDK7_targ_31,197.73852808639737,371.53414321848544,168.0097186441834,165.89400495519521,98.11156518413605,204.11091807929182,55.28369334799872,78.06362899102827,159.2502253422161,196.30721157206776,278.02343601308013,55.70996692474618,286.6275725545659
gRNA_CDK7_targ_32,361.864927479908,328.8290692853262,296.6398139667231,517.6249937356392,358.76519885062237,299.3359725001901,139.56028796304565,387.8954806071439,498.42560646785415,162.07833867778638,442.52909135476125,205.42542495099647,570.2296789689188
gRNA_CDK7_targ_33,377.6019037636005,434.0122513837102,313.0354809405375,699.4115963101713,307.77671831668,205.31274880399818,351.34722417070265,366.02420524327823,161.1869869760527,75.67356223654637,170.5212823461351,70.4973475474547,385.22383826412215
gRNA_CDK7_targ_34,248.798173963378,229.11564665646327,335.00200525845565,149.62382942265592,160.7830961981725,265.08379684605967,112.02798625605026,218.3762724792127,365.07956797820293,79.52199767547098,129.10042893594866,21.991489131207537,291.2930109950812
gRNA_CDK7_targ_35,617.5052650448915,806.5408963239267,540.8735387862187,757.3183180894832,818.5952990662224,836.5543064439199,269.2615288957349,356.8719177063991,782.1127667840732,225.5775234200424,906.765174129209,540.0373069904905,738.1854628274689
