gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_6973,473.303534114558,659.8654108833542,535.0368448208727,492.9734978976131,539.252973926583,254.98677986003463,376.05593141623467,342.17905022007255,629.8832467317977,695.6044791821068,1007.5138540584976,1146.0282686972946,631.4468387327856,420.5790553375584,664.1593476270403,1126.6684817673895,740.1767260446405,616.0431825985984,778.5848001748491,1038.3507003453124,479.06119861965726,647.167702269469,502.2374189789912,554.2448923070912,898.318535862181
gRNA_CDK2_targ_6974,157.67950884555543,74.02336340037627,198.04536559174488,198.94279326921455,160.46644787042692,131.6296258628614,85.60418732505742,20.393023890824757,321.67494568876805,152.1114343941718,98.67097331782337,76.83522860230552,91.50947712711185,94.23763065654833,175.34963723413966,372.2195783780321,295.32093346406873,106.35927981975209,143.1734457603872,292.6095748465535,163.44799647367049,365.0404236360892,83.48676550411126,125.73305343569817,652.1155249776558
gRNA_CDK2_targ_6975,270.837744605307,314.4772779185216,164.9330187520669,525.7934389341162,288.79199001013035,92.45703849886752,342.91882664524474,161.81996879602502,432.9653297422281,228.72230281167438,309.0897959353503,55.00135670013194,452.9876350570606,954.1560103975519,231.02766637652627,542.8142602854437,447.5632482470266,241.7754762912921,585.9975103024698,406.6777141935151,272.3116806921413,244.983302600287,355.01627728562136,160.56450742801997,276.9309675588649
gRNA_CDK2_targ_6976,81.35732641274878,146.2571509822819,148.7959889631099,150.38726406452489,259.7461344608839,36.73950740349736,93.13534750028242,68.06502779145406,103.41366737387725,397.4882738183467,296.0129199534701,94.8356726132578,592.6103424262622,274.6416134180425,24.765876599048593,474.74798317904975,153.90844134693006,96.12539722541167,189.73649117361046,338.2368305853382,203.09023442437413,179.04231144041418,53.72649893639968,55.05068826103541,132.7751214323325
gRNA_CDK2_targ_6977,157.41450126766375,152.92738812385426,235.76829237112486,323.2539397978876,109.04099870126933,113.1382181630879,241.2481642797073,88.19320721616421,280.00457357742687,334.2010346908446,660.9766405386722,600.348141920834,622.4845703543572,257.1902003334965,68.15135385285635,716.6978589437945,376.9611350987055,295.13786410463854,402.2793719373711,605.3877192588018,331.927507764161,336.660756554625,316.56495941937453,183.8421132667911,434.36432582863057
gRNA_CDK2_targ_6978,113.15823575975155,419.0861189436687,420.82020540552776,365.0656455019259,235.69997535863894,267.8821036506662,314.80249532440473,83.69085129221587,562.0418482334557,246.48714186500834,598.2670761710193,574.1808297938015,610.0631808474124,314.77986351249825,550.8147883014676,658.0693429487912,395.2885273023995,320.5398226870192,330.6926490571775,364.02614904639034,371.56974571486467,441.13688389864285,273.6364333084278,332.85277254126044,494.6821667078902
gRNA_CDK2_targ_6979,371.5406242041491,209.70574818260442,330.9138965813388,437.674145192272,273.3167391027449,104.86574629739974,293.7152468337747,105.40809751361367,335.9038532389821,414.1428104308473,421.4320486887757,502.84573686150924,247.01269513177442,198.2916811731538,339.1298138672639,641.1957700526684,405.9100841477221,510.4148943927278,278.744761657391,376.7554921329354,216.35513712326343,334.71313234315187,403.7388375955917,279.8409986602633,291.7259096613248
gRNA_CDK2_targ_6980,212.27106989124354,127.3852605329552,206.00909457850287,280.76785174378415,186.1791724550057,37.226123395596666,175.22499341023484,122.62298781106314,182.68900943935563,347.52466398084505,316.2226373800122,198.8382380098709,299.8429087309318,526.5963898261751,324.1256696503221,713.5519385733309,299.6945156944957,202.66742494863414,394.6772420739877,540.9144231061713,294.7247921488853,280.875234497433,266.52557315508074,277.2923556852154,283.3800448855782
gRNA_CDK2_targ_6981,112.62822060396816,196.85334003176985,96.82217873374195,338.98952796607404,189.51230341967334,36.73950740349736,84.34899396251993,29.13289127260679,99.34826521667323,636.2032985975216,402.1139364428163,346.8418887665896,244.02527233896495,160.33485771426626,298.99824740749176,580.1363155895798,302.4019713609505,159.53891972962813,302.8181728914384,344.353527912639,163.9054069115632,290.3351235245877,105.08271115501702,128.45160594241594,195.74846474023877
gRNA_CDK2_targ_6982,275.60788100735743,362.79582501722876,205.17080731673886,416.09390999018774,246.17552981902293,213.6244205315939,181.75199889542984,110.17529790367661,522.6582648355418,165.43506368417223,335.54074962597167,327.5080785326038,281.28944085979913,508.9268340780724,212.76961136554885,681.9497384882194,448.6045773495092,369.51626081707684,555.9057462599105,437.5918331179815,315.6132021459868,307.5855093976346,198.31398872112234,297.1717708905893,463.57485254374376
