gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_1,701.4444222556912,528.2624117440238,641.8983107910584,674.9910427901079,790.7464728837972,649.9410084090432,240.2453282045699,83.17603925152908,269.9977099859782,35.74896822169071,99.11284074960949,98.71487852585781,484.94196119497366
gRNA_CDK7_targ_2,717.0268294818358,463.9482438670664,245.33503036121294,346.5479048207705,291.8769261211538,380.3012135534929,35.82170355116348,138.18564702924488,12.2808322936766,31.543207254432975,42.85193687384692,15.621546433384907,440.69440002017575
gRNA_CDK7_targ_3,226.5744969902541,483.4951126616085,129.2544721620316,605.8558255516498,232.00956641978382,166.66010441732402,85.33507439497723,113.70542638589713,3.973210447954194,106.47584848774153,255.55078910529235,155.64568148521496,230.62450894749304
gRNA_CDK7_targ_4,535.2320785101488,261.1494801236919,389.57515318039634,624.1640167497281,894.8456011751032,368.5002976762475,674.4490489627259,1434.2195677303432,125.15612911055712,2.803840644838487,104.96596126631873,41.736593662447824,368.28672962486746
gRNA_CDK7_targ_5,146.537587146875,137.69775157172148,396.2009330909851,314.2906155670133,237.20887141587514,289.56775657278547,96.62759756988211,756.3348478303815,51.65173582340452,16.542659804547075,18.800932568823562,31.71791190729823,155.50261115743675
gRNA_CDK7_targ_6,755.235206796448,631.9187943557588,1462.9256167429937,888.0053943487031,501.017085782768,761.4188426708204,907.7451321365851,67.2024589861786,79.10300800926986,100.09711102073398,156.97005022083823,199.09162369356508,303.00390614077264
gRNA_CDK7_targ_7,299.56784397131025,802.332703443769,290.1108086632383,288.39760230115945,433.8782343115022,581.5476500387184,64.11505831905704,164.08364106892552,5.598614722117273,23.902741497248098,15.360007174152079,77.44298551018476,425.6530565409473
gRNA_CDK7_targ_8,289.92721323796326,582.7617323660946,479.87728641494346,535.0641529190798,288.74980789886706,429.3974767786365,39.91679437283229,247.44871677329897,7.765820421001379,17.10342793351477,18.552618365084385,104.60263462841019,527.8606818744262
gRNA_CDK7_targ_9,224.64637084358472,433.3027292315555,200.35219643698167,195.4036152633007,499.660745349005,342.93164660888255,17.662664453056358,58.12870924964816,26.548269811330297,1.9626884513869407,36.147453372889075,9.828754138938224,306.6228760004367
gRNA_CDK7_targ_10,132.37176239583445,99.97063828395058,57.35440735103364,236.29190893900923,322.1685291418596,195.60574713509575,2.3164150102369,4.253320188998646,102.219868797367,16.823043869030922,65.09379483734196,155.50323577305645,245.3831204064352
