gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_1740,167.42298458852085,141.8334870895585,225.26661621156458,109.34970680673794,155.3500932928096,97.34809301938901,87.77979436945763,77.12943236509389,39.44523580708444,66.95657420634183,53.2786507997803,122.25647276715863,46.6197323670756,54.97790039719355,75.47198109397414,327.72571468113034
gRNA_CDK12_targ_1741,206.489093053346,143.37030571933002,127.22610704593197,183.9714197305128,452.5149608918836,145.65701396380592,126.52078245405418,149.63864200905138,162.25851053616896,170.74350735508207,216.4338255032822,109.05531850912632,149.07877103949176,243.29669683695494,262.57178944120733,315.49941479906346
gRNA_CDK12_targ_1742,281.9378909699574,83.58310354176709,216.60422414663554,72.47358959080809,130.1159056344767,115.04263964437892,58.475713638801274,160.04200065324292,205.35509587404434,112.99452288433986,215.47569947733885,58.26533546015062,107.85161965517489,87.44191497702094,402.9100367557654,195.16421430004777
gRNA_CDK12_targ_1743,203.80567404030705,89.38335449929185,99.15107225087993,152.6701940215682,138.98074604274998,105.66172127493984,467.60703737664306,160.79632273016315,103.41048306181595,102.8110134993449,86.81306170779872,143.03901280390025,140.55501400222792,46.99945613604953,70.49050895647264,139.23269720470003
gRNA_CDK12_targ_1744,500.0774949049141,111.29541367216318,148.19353809540118,131.59812704103683,193.41676092833606,92.57337408883618,231.61812961688275,113.96549378803198,260.5517738176064,72.26048534436003,128.32044990313176,192.3445287073944,65.18934591254322,235.82263698312462,72.84733448389271,313.44478764045886
gRNA_CDK12_targ_1745,420.1339701414625,46.05498409863679,344.58551409053564,160.08633409966782,125.30939369955613,151.33050351658048,85.42884551987956,50.94817027865412,63.85863850930698,35.812008003898924,19.778458678402707,48.98741580089097,30.528966531424505,14.489588428284538,99.683006966562,230.16897329849667
gRNA_CDK12_targ_1746,432.4553357763329,149.02183229332852,208.43047983921537,264.27031574855704,284.69514323961033,121.89576563881947,111.55417851026132,166.54802856667993,87.25925812999625,224.3766567827222,221.9772689390975,113.03156979166617,368.782957530598,107.0212006063801,90.95203967180133,244.34843726960747
gRNA_CDK12_targ_1747,603.970534359738,473.88546070922393,302.87276460864666,168.4742442569667,172.9890852049237,381.13491698589405,132.31537468892975,266.5899940182259,279.7146958076697,142.61156267903354,93.75947539588826,42.46636369752561,89.2385175533947,151.77385347348678,99.79013539962655,255.103522643044
gRNA_CDK12_targ_1748,91.81765389614887,421.3361785299398,286.0366282362974,260.4855270190441,399.87005186883874,183.79859224433977,304.86177546570974,428.67495029646113,279.82130455309425,42.47372039324979,125.30919667873825,684.1272873319232,187.56614337611666,155.48795683643314,692.7460124119002,209.09002059725677
gRNA_CDK12_targ_1749,310.7622835350173,115.60842079442517,187.81842897702526,125.66521497855713,304.19325769258995,112.90805941660237,217.3137647856471,273.91320418165986,138.56471686556216,395.84149605257477,131.43435948744775,42.30731364622402,145.77364075973637,338.99217484274556,145.05189836939812,283.94440016567904
gRNA_CDK12_targ_1750,117.13123991914948,160.52318461936053,50.64167668727738,77.94618951050917,204.61684062574528,31.625491269426433,197.31414358641948,203.10121921077294,179.84895353122013,233.75397167473838,62.20975411303828,201.99356515302446,184.86985288473727,214.22581372451063,71.34753642098903,126.29615583570805
gRNA_CDK12_targ_1751,259.3077239599957,147.28671448552197,325.1284488370028,163.76883124189658,215.9982981320194,208.62713068321455,541.7447060274222,419.65451545995666,94.53530500522197,48.45653215693433,274.1951373530119,227.75967346388268,384.61279202837363,312.16809499924415,307.6192955448498,156.22776135612088
gRNA_CDK12_targ_1752,105.90560371460327,119.67355394414338,325.83920921156107,175.634655366856,227.35708341218543,287.8874649303916,355.6224034432196,182.79738330700332,138.56471686556216,379.7176061929994,195.38927171916862,266.88598608407483,510.94704811639104,54.565222245755066,181.6362582609413,159.1701903733818
gRNA_CDK12_targ_1753,212.54914765779225,269.7860317166646,258.8500439094433,171.74757505005897,174.75751884135676,63.4756751944083,156.81822185354636,158.97337771093927,209.99257630001236,222.84913037497296,59.301157248567286,296.3632622586369,551.7828024938947,500.67030395075597,199.20532128352718,194.60616741746378
gRNA_CDK12_targ_1754,278.65070267898466,307.26457636528613,450.8886126104083,195.01891115719914,205.29700740898875,165.654660308239,79.66736524063187,113.96549378803198,58.66146216986003,15.360126655700723,271.21810291525924,69.82297252139979,90.84759413695981,1.7424188616291534,133.3748991653624,202.2412634019081
gRNA_CDK12_targ_1755,70.05959806542484,127.70467065456229,206.69800142622952,93.2899276031291,34.076355840498074,46.118167552751515,211.22116495012082,74.55216526894976,197.7858749489011,340.34136990435223,47.29036313763416,45.488314672255896,203.7003977680803,51.81403456949851,291.817851667829,133.80442298320145
gRNA_CDK12_targ_1756,102.64077724873924,137.32218078926147,198.657524689039,204.9923409174021,196.1827725135262,259.18297818318575,741.5422462859314,309.5234922296026,82.3286036541107,192.46832737640466,243.2271354430561,163.66250278934027,291.54728151947273,303.2725881793479,196.6878031065103,238.0069954220624
