Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,1.57266811,98.42733189,2978,2978,1844,29,1815,0,13,0,1813,2,0,1802,0,11,0,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,2978,2978,714,0,714,0,0,331,389,0,325,383,0,0,6,0,gRNA_CDK7_targ_2_1
Reference,93.5483871,6.4516129,2978,2978,31,29,2,0,1,0,1,1,0,1,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,64.25557565,35.74442435,2978,2978,1659,1066,593,0,9,331,261,7,325,253,0,2,6,0,gRNA_CDK7_targ_2_2
Reference,3.91363023,96.08636977,2978,2978,741,29,712,0,4,0,710,2,0,708,0,2,0,0,gRNA_CDK7_targ_2_3
HDR,30.25210084,69.74789916,2978,2978,714,216,498,0,0,331,173,0,325,167,0,0,6,0,gRNA_CDK7_targ_2_3
Reference,98.07692308,1.92307692,1330,1330,156,153,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,1.34228188,98.65771812,1330,1330,745,10,735,0,3,18,734,0,1,714,0,3,17,0,gRNA_CDK7_targ_3_4
Reference,12.33437256,87.66562744,8251,7989,5132,633,4499,0,0,2,4498,0,1,4497,0,0,1,0,gRNA_CDK7_targ_4_5
HDR,25.08960573,74.91039427,8251,7989,2790,700,2090,0,0,0,2090,0,0,2090,0,0,0,0,gRNA_CDK7_targ_4_5
Reference,90.26548673,9.73451327,3856,3856,113,102,11,0,1,0,10,1,0,10,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,13.25198638,86.74801362,3856,3856,3524,467,3057,0,0,1,3056,0,1,3056,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,95.15260323,4.84739677,4788,4527,557,530,27,0,1,0,26,1,0,26,0,0,0,0,gRNA_CDK7_targ_7_7
HDR,3.81637168,96.18362832,4788,4527,3616,138,3478,0,179,4,3476,1,1,3295,0,178,3,0,gRNA_CDK7_targ_7_7
Reference,75.4985755,24.5014245,4788,4527,702,530,172,0,2,0,171,1,0,170,0,1,0,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,4788,4527,3022,0,3022,0,179,4,3021,0,1,2839,0,179,3,0,gRNA_CDK7_targ_7_8
Reference,95.15260323,4.84739677,4788,4527,557,530,27,0,1,0,26,1,0,26,0,0,0,0,gRNA_CDK7_targ_7_9
HDR,52.41935484,47.58064516,4788,4527,3472,1820,1652,0,179,5,1488,161,3,1468,0,18,2,0,gRNA_CDK7_targ_7_9
Reference,85.96491228,14.03508772,2999,2999,684,588,96,0,64,1,55,40,0,32,1,23,0,0,gRNA_CDK7_targ_8_10
HDR,57.46807329,42.53192671,2999,2999,1801,1035,766,0,0,1,765,0,1,765,0,0,0,0,gRNA_CDK7_targ_8_10
Reference,96.18138425,3.81861575,3752,3657,419,403,16,0,2,1,13,2,1,13,0,0,0,0,gRNA_CDK7_targ_9_11
HDR,60.90982287,39.09017713,3752,3657,2484,1513,971,0,4,1,967,3,1,966,0,1,0,0,gRNA_CDK7_targ_9_11
Reference,40.0,60.0,3059,3059,15,6,9,0,8,1,9,0,0,0,0,8,1,0,gRNA_CDK7_targ_10_12
HDR,97.83258595,2.16741405,3059,3059,2676,2618,58,0,0,0,58,0,0,58,0,0,0,0,gRNA_CDK7_targ_10_12
Reference,81.51609553,18.48390447,7472,7472,963,785,178,0,0,13,165,0,13,165,0,0,0,0,gRNA_CDK7_targ_13_13
HDR,59.39881456,40.60118544,7472,7472,4724,2806,1918,0,1,5,1913,1,4,1912,0,0,1,0,gRNA_CDK7_targ_13_13
Reference,0.0,100.0,1562,1562,67,0,67,0,0,67,5,0,62,0,0,0,5,0,gRNA_CDK7_targ_14_14
HDR,65.95208071,34.04791929,1562,1562,793,523,270,0,0,0,270,0,0,270,0,0,0,0,gRNA_CDK7_targ_14_14
Reference,91.89189189,8.10810811,1865,1865,111,102,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_CDK7_targ_15_15
HDR,0.1019368,99.8980632,1865,1865,981,1,980,0,28,2,980,0,0,950,0,28,2,0,gRNA_CDK7_targ_15_15
Reference,0.64239829,99.35760171,2596,2593,467,3,464,0,130,2,356,106,2,332,0,24,0,0,gRNA_CDK7_targ_16_16
HDR,5.43417367,94.56582633,2596,2593,1785,97,1688,0,0,0,1688,0,0,1688,0,0,0,0,gRNA_CDK7_targ_16_16
Reference,24.87788445,75.12211555,6326,6326,5937,1477,4460,0,56,2,4459,0,1,4402,0,56,1,0,gRNA_CDK7_targ_17_17
HDR,0.0,100.0,6326,6326,366,0,366,0,0,0,366,0,0,366,0,0,0,0,gRNA_CDK7_targ_17_17
Reference,0.21505376,99.78494624,3101,3101,930,2,928,0,3,117,817,1,110,808,0,2,7,0,gRNA_CDK7_targ_18_18
HDR,0.0,100.0,3101,3101,1424,0,1424,0,1,3,1424,0,0,1420,0,1,3,0,gRNA_CDK7_targ_18_18
Reference,28.57142857,71.42857143,3101,3101,7,2,5,0,2,0,4,1,0,3,0,1,0,0,gRNA_CDK7_targ_18_19
HDR,0.47713718,99.52286282,3101,3101,2515,12,2503,0,108,27,2399,104,0,2368,0,4,27,0,gRNA_CDK7_targ_18_19
Reference,0.38022814,99.61977186,3101,3101,526,2,524,0,3,0,523,1,0,521,0,2,0,0,gRNA_CDK7_targ_18_20
HDR,0.0,100.0,3101,3101,1995,0,1995,0,1,27,1995,0,0,1967,0,1,27,0,gRNA_CDK7_targ_18_20
Reference,0.60606061,99.39393939,3101,3101,330,2,328,0,2,117,217,1,110,209,0,1,7,0,gRNA_CDK7_targ_18_21
HDR,13.04121022,86.95878978,3101,3101,1917,250,1667,0,107,27,1561,103,3,1533,0,4,24,0,gRNA_CDK7_targ_18_21
Reference,0.25348542,99.74651458,3101,3101,789,2,787,0,109,117,676,1,110,561,0,108,7,0,gRNA_CDK7_targ_18_22
