Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,50.0,50.0,2020,2020,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_18_21
HDR,0.21978022,99.78021978,2020,2020,455,1,454,0,3,1,454,0,0,450,0,3,1,0,gRNA_CDK7_targ_18_21
Reference,0.2004008,99.7995992,2020,2020,499,1,498,0,0,1,498,0,0,497,0,0,1,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,2020,2020,399,0,399,0,3,1,399,0,0,395,0,3,1,0,gRNA_CDK7_targ_18_22
Reference,50.0,50.0,2020,2020,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_18_23
HDR,60.66433566,39.33566434,2020,2020,1716,1041,675,0,3,2,672,2,1,670,0,1,1,0,gRNA_CDK7_targ_18_23
Reference,0.33222591,99.66777409,2020,2020,301,1,300,0,0,1,300,0,0,299,0,0,1,0,gRNA_CDK7_targ_18_24
HDR,24.57180501,75.42819499,2020,2020,1518,373,1145,0,3,1,1142,3,0,1141,0,0,1,0,gRNA_CDK7_targ_18_24
Reference,76.92307692,23.07692308,14774,14774,13,10,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_19_25
HDR,0.0,100.0,14774,14774,14751,0,14751,0,9,19,14751,0,0,14723,0,9,19,0,gRNA_CDK7_targ_19_25
Reference,76.92307692,23.07692308,14774,14774,13,10,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_19_26
HDR,0.0,100.0,14774,14774,14305,0,14305,0,9,19,14305,0,0,14277,0,9,19,0,gRNA_CDK7_targ_19_26
Reference,90.90909091,9.09090909,14774,14774,11,10,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_19_27
HDR,3.86309726,96.13690274,14774,14774,14755,570,14185,0,9,19,14175,0,10,14157,0,9,9,0,gRNA_CDK7_targ_19_27
Reference,0.0,100.0,442,441,35,0,35,0,0,0,35,0,0,35,0,0,0,0,gRNA_CDK7_targ_20_28
HDR,0.0,100.0,442,441,404,0,404,0,0,0,404,0,0,404,0,0,0,0,gRNA_CDK7_targ_20_28
Reference,,,442,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_20_29
HDR,7.76255708,92.23744292,442,441,438,34,404,0,0,0,404,0,0,404,0,0,0,0,gRNA_CDK7_targ_20_29
Reference,0.0,100.0,442,441,1,0,1,0,0,1,0,0,1,0,0,0,0,0,gRNA_CDK7_targ_20_30
HDR,92.32673267,7.67326733,442,441,404,373,31,0,0,0,31,0,0,31,0,0,0,0,gRNA_CDK7_targ_20_30
Reference,55.89123867,44.10876133,1015,1015,331,185,146,0,137,0,23,123,0,9,0,14,0,0,gRNA_CDK7_targ_23_31
HDR,96.62379421,3.37620579,1015,1015,622,601,21,0,0,3,18,0,3,18,0,0,0,0,gRNA_CDK7_targ_23_31
Reference,95.77114428,4.22885572,1380,1380,402,385,17,0,0,0,17,0,0,17,0,0,0,0,gRNA_CDK7_targ_24_32
HDR,75.77002053,24.22997947,1380,1380,974,738,236,0,0,3,234,0,2,233,0,0,1,0,gRNA_CDK7_targ_24_32
Reference,97.66081871,2.33918129,184,184,171,167,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_28_33
