gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_T0,FDR_ABE_T0,p_ABE_TAGTO,FDR_ABE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-5.848541254343267,-4.717473817088409,-4.2854005652855935,-4.9504718789057565,-4.717473817088409,554.2159135698562,966.0,-4.171539652021889,-3.363585293930553,-0.3619682623412684,-2.63236440276457,-3.363585293930553,2.3050096304754737,-0.2766462575364377,-3.1506751021410775,-0.3741039097340139,-0.2766462575364377,-6.473252437173911,-5.027637305077587,-2.5048782592086036,-4.668589333820034,-5.027637305077587,-0.5815710635842155,-1.7828610310012278,-2.152711360649219,-1.5057144850782207,-1.7828610310012278,1.1976246221391567,-0.07121929276323236,0.647558761709556,0.5913213636951601,0.647558761709556,-1.0923702625229477,-1.8257694755806844,2.5704435393405167,-0.11589873292103843,-1.0923702625229477,1.386754748528095,1.386754748528095,1.386754748528095,1.315240187687848e-06,9.069677127597452e-05,0.0005805070417831329,0.008733486699919938,0.23329393509109353,0.6710428592992087,1.3952160589265178e-07,4.689358237144178e-06,0.04264822056492623,0.19205288314196614,0.1556403633793164,0.4499497701146672,0.23081656958077906,0.9004401805431342,0.14928507149285072,0.5371017246101477
gRNA_CDK2_targ_6974,CDK2,targeting,-4.186194935882966,-4.760509768446431,-3.2084279398488325,-4.051710881392743,-4.186194935882966,43.40454391319091,27.0,0.5215231582811984,1.17215105024981,-4.599788947876577,-0.9687049131151896,0.5215231582811984,2.1405652602377065,0.027472913236219008,-2.445232125615679,-0.09239798404725115,0.027472913236219008,-0.06270977383040266,-3.976633202119283,0.5617845461377129,-1.1591861432706576,-0.06270977383040266,-0.5371187573983265,-1.9012110324615719,-3.845743641850456,-2.0946911439034515,-1.9012110324615719,1.6989188077676152,0.49403754862346577,2.2189651491536004,1.4706405018482271,1.6989188077676152,1.9631697500774807,1.1988201651731458,3.2359722581604395,2.132654057803689,1.9631697500774807,3.0430428419691697,3.0430428419691697,3.0430428419691697,0.00013786997310272976,0.003083443317365105,0.06415959735595603,0.2235455444718047,0.2537164296669028,0.7840677087876848,0.04246015329576329,0.13963087240927852,0.009937075594707466,0.07794246497270547,0.014434690140311783,0.09295491121484825,0.005506827720927644,0.12658055386298958,9.999000099990012e-05,0.0013238676132386778
gRNA_CDK2_targ_6975,CDK2,targeting,-4.990333167117469,-4.865044931037391,-2.1050982211698313,-3.986825439774897,-4.865044931037391,381.5254477473648,612.0,-3.131951275112108,-1.2446618171506094,-2.0619992172939305,-2.1462041031855494,-2.0619992172939305,-1.5618824633439274,-1.5157504757390896,-2.564491286247507,-1.8807080751101746,-1.5618824633439274,-3.2189009631942915,-2.690444487161165,-1.7471011548655464,-2.552148868407001,-2.690444487161165,-1.3512563196734977,-3.3458688226424314,-4.13819160993855,-2.9451055840848266,-3.3458688226424314,0.8381209088254391,0.4749746706342117,-0.5046232903030539,0.269490763052199,0.4749746706342117,-1.901364886001381,-2.4335873283994327,-0.49102210806246643,-1.6086581074877602,-1.901364886001381,0.6914720128918435,0.6914720128918435,0.6914720128918435,0.00022777281404235428,0.004411536486862663,0.0018455430165087475,0.019601560134982994,0.09948137058180413,0.36200520120966834,0.0032563102886780148,0.01966858951737998,0.0010737423860673581,0.0190337364941737,0.32532941326686365,0.6705108081652047,0.2716044892794885,0.6307253583096782,0.4208579142085793,0.954136778103012
gRNA_CDK2_targ_6976,CDK2,targeting,-4.625502513151612,-4.1448456469412465,-6.071774070088473,-4.947374076727111,-4.625502513151612,236.84310090424125,313.0,-4.673644728547887,-2.1298593455137933,-1.1138621962014634,-2.6391220900877146,-2.1298593455137933,-2.3164128208592607,-2.3937580444291644,-2.9376091570377607,-2.549260007442062,-2.3937580444291644,-5.489308371514176,-4.362861600793056,-7.893866367542641,-5.915345446616624,-5.489308371514176,-3.095499872137971,-3.515617107349351,-4.970392095214194,-3.8605030249005057,-3.515617107349351,-2.423799521790615,-2.103467097192294,0.4600856054845141,-1.3557270044994647,-2.103467097192294,-3.5817248894295006,-2.649570875010951,-2.6421913624444238,-2.9578290422949585,-2.649570875010951,1.4415106037739513,1.4415106037739513,1.4415106037739513,1.315240187687848e-06,9.069677127597452e-05,0.0020942517067610686,0.02112679089175936,0.029487423705304293,0.1862659779857962,4.1025318572854354e-10,3.772050124337442e-08,5.741376532585773e-06,0.0005855238906116022,0.00016737095002677165,0.004396808290385827,0.06958923119529356,0.35526498573873083,0.13438656134386565,0.4920569889913664
gRNA_CDK2_targ_6977,CDK2,targeting,-0.9434902867550795,-2.7184785153538757,-2.2066064351558197,-1.956191745754925,-2.2066064351558197,499.1522550016956,274.0,-2.340488708022616,-0.24196023291686602,0.5948347980036555,-0.6625380476452756,-0.24196023291686602,-0.37117403215264283,-1.4902232431927573,-0.8187151771914124,-0.8933708175122709,-0.8187151771914124,-3.7099291095046802,-1.3529554448941052,-1.4864471814052083,-2.183110578601331,-1.4864471814052083,-2.5228073778991553,1.2235850123340988,-0.9053179773193911,-0.7348467809614826,-0.9053179773193911,0.20724942885430556,-0.2336288289807742,-0.0008218389804000273,-0.009067079702289555,-0.0008218389804000273,-4.654082054746399,-0.9475716646439901,-0.16044424016870362,-1.920699319853031,-0.9475716646439901,0.8261171797590925,0.8261171797590925,0.8261171797590925,0.016554211199960374,0.06633709330734726,0.15022561792814698,0.3976995848460517,0.38036815592978723,0.7244613338786113,0.004735759341311801,0.026125605699570103,0.11968271853299967,0.3634401819671825,0.5505345418355472,0.8938560984333651,0.17959425505383037,0.5317099209571811,0.3900609939006099,0.954136778103012
gRNA_CDK2_targ_6978,CDK2,targeting,-0.2305836704836545,-1.7338105135673494,0.8976034976599437,-0.3555968954636867,-0.2305836704836545,158.34740387710178,118.0,-0.33323453895251576,1.667957392872472,1.2868104299768028,0.8738444279655863,1.2868104299768028,-0.387981855628965,-1.8159233812640483,0.9333402344111366,-0.423521667493959,-0.387981855628965,0.03486750894583905,0.403241746600178,-0.7040048548518318,-0.0886318664352716,0.03486750894583905,1.0272126570179037,-0.3306908694834424,1.1520297419539383,0.6161838431627998,1.0272126570179037,1.7499940690176947,2.1667481956468513,3.375041639341107,2.430594634668551,2.1667481956468513,-2.2788986177172292,-1.94233094279587,0.6323391077387209,-1.1962968175914594,-1.94233094279587,2.5492651076905575,2.5492651076905575,2.5492651076905575,0.2858560415208841,0.5431592981826213,0.10012111809198296,0.5558496711493629,0.49823824286086715,0.812398317177079,0.529288965144072,0.8232831177757887,0.2237461679608218,0.9180671583912245,2.0000172782403238e-05,0.00057069458542892,0.3492022635580895,0.7056529257492529,0.05279472052794723,0.3636102143210336
gRNA_CDK2_targ_6979,CDK2,targeting,-2.036027772042208,-0.4284053920511634,-1.265982293286297,-1.2434718191265561,-1.265982293286297,390.7050073924141,681.0,-1.3480823830976363,0.22627531251491428,0.2636705258301892,-0.2860455149175109,0.22627531251491428,-0.2044728774097364,-3.113515437875688,-1.0073490856942344,-1.4417791336598864,-1.0073490856942344,-0.22751289382191184,-1.3681119389495147,-1.2705429248893132,-0.9553892525535798,-1.2705429248893132,-1.5856593881028183,0.03697355012214303,-5.339335528354509,-2.2960071221117277,-1.5856593881028183,-0.5755988607135112,0.46868331196097873,0.1257599660802118,0.006281472442559786,0.1257599660802118,-1.5706023253285448,-0.7710167231012256,1.2876881910687419,-0.35131028578700957,-0.7710167231012256,1.1302104725147812,1.1302104725147812,1.1302104725147812,0.07037488692021823,0.19187881030141873,0.34156640741636424,0.6512075314532793,0.1701372799463535,0.46881817999445574,0.15749354478527877,0.3527088181591832,0.00039405934973165226,0.010221520731006841,0.5127460821532337,0.8589015849834026,0.48746062387872746,0.9139316548171663,0.20037996200379965,0.6007768788338558
gRNA_CDK2_targ_6980,CDK2,targeting,-0.5058409787870813,0.13907138811972053,1.4678400765674748,0.36702349530003797,0.13907138811972053,113.5030835004351,150.0,-0.32945571125852796,-0.7779930589500167,1.7480932641207285,0.2135481646373946,-0.32945571125852796,-0.8543246831912937,-0.13507327388398652,-3.20169574619752,-1.3970312344242668,-0.8543246831912937,-3.377053625611883,-3.058491435019867,-0.48730345112045315,-2.3076161705840676,-3.058491435019867,0.823662262420146,-0.8314215507844656,-0.47942314180023543,-0.162394143388185,-0.47942314180023543,1.729198781175112,1.8851974030785708,2.565647880530674,2.060014688261452,1.8851974030785708,0.7979638137068167,-0.3063929049620477,-0.573125464986998,-0.027184852080743005,-0.3063929049620477,3.0118391511368445,3.0118391511368445,3.0118391511368445,0.2670984962708188,1.0,0.30045701885612575,0.832884449139451,0.18186341046096677,0.48467623882914657,0.004315180539415933,0.02420889421265549,0.4517337735812882,0.8059911643705098,0.0007029496673516118,0.009382110479571916,0.4813323176067241,0.9941832267076514,9.999000099990012e-05,0.0013238676132386778
gRNA_CDK2_targ_6981,CDK2,targeting,-1.5448182230955951,-1.7619065978553479,-1.483987517145875,-1.5969041126989392,-1.5448182230955951,290.2678874194642,360.0,-2.384818408851771,0.08161512977740952,0.7740914740319162,-0.5097039350141485,0.08161512977740952,2.0248994927667185,0.02351798388033953,-1.4856371530426582,0.1875934412014666,0.02351798388033953,-3.3443721038384666,-0.3728459983735871,-2.1517828854114236,-1.9563336625411594,-2.1517828854114236,-0.20543341831817813,-0.5935715548666125,0.0017354433188216214,-0.265756509955323,-0.20543341831817813,-1.6278719390019862,-0.9227225967251925,0.41745315330930965,-0.711047127472623,-0.9227225967251925,-1.4916390216358255,0.2392701296876386,2.2080806248829217,0.31857057764491153,0.2392701296876386,1.386784976791699,1.386784976791699,1.386784976791699,0.019249953843929402,0.07408993863186782,0.1873812634489341,0.45535399218851624,0.2533724871640078,0.9248921841227498,0.012241158205466807,0.05565691436826255,0.48884557824624586,0.8427494083307675,0.12169553022982318,0.7646132023335795,0.17821912283021504,0.9435379577594493,0.14928507149285072,0.5371017246101477
gRNA_CDK2_targ_6982,CDK2,targeting,-1.6698408755998628,0.672453894970061,0.9587042242014936,-0.012894252142769402,0.672453894970061,374.6407780135777,653.0,0.15057265496898578,0.6942909606057623,1.7229280469162709,0.855930554163673,0.6942909606057623,3.0385714409361695,0.6896367384064943,0.7223788388110939,1.4835290060512527,0.7223788388110939,0.7814816903737921,0.5291584574382238,0.21722485375166387,0.5092883338545598,0.5291584574382238,0.21420567192505913,-0.5906462037283573,0.8295067799513227,0.15102208271600817,0.21420567192505913,0.4400239402313972,0.6474755758047208,0.26664795826174426,0.45138249143262077,0.4400239402313972,0.4421312468436332,-1.342069293960502,3.200222794862466,0.7667615825818658,0.4421312468436332,1.1618263454485527,1.1618263454485527,1.1618263454485527,0.37654764397288626,0.6566768712066667,0.14103041755435805,0.6466746143597888,0.019648591909785434,0.24635166371738557,0.3999030181402882,1.0,0.5223795152998705,1.0,0.24029002538409988,0.5665851497721998,0.05087295093194896,0.5529779481961369,0.18558144185581438,0.5730173251331583
