gRNA_id,Gene,classification,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,base_RPM,base_RAW,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_T0,FDR_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.26810565157610783,0.21644514313301363,-1.0368813273025341,-0.3628472785818761,-0.26810565157610783,824.9348658854788,11317.0,-1.5866144057074176,-0.3878263256317532,-0.3717205883177468,-0.7820537732189724,-0.3878263256317532,-0.3738322648711373,-1.0623102773077615,-0.701912040960816,-0.7126848610465717,-0.701912040960816,-0.8805429918291732,-0.8805429918291732,-0.8805429918291732,0.6143453013048412,0.9729926313139436,0.5720793187615638,0.9956863947526975,0.050414413097356704,0.36799825603150743,0.015498450154984505,0.09118700198945624
gRNA_CDK7_targ_2,CDK7,targeting,-0.35728282038538384,0.6225515515357142,-0.4607646853652792,-0.06516531807164962,-0.35728282038538384,387.21970774586384,5140.0,-0.7932531785726572,1.177227334184535,0.7665610614467394,0.38351173901953906,0.7665610614467394,0.09759785790579606,-0.750037473134259,0.14156813561629833,-0.17029049320405484,0.09759785790579606,0.3198973280519978,0.3198973280519978,0.3198973280519978,0.4469510463382763,0.9999529305642686,0.17686030207542106,0.9999010080221084,0.3563042822872211,0.911370766986569,0.2996700329967003,0.662428493992706
gRNA_CDK7_targ_3,CDK7,targeting,2.8723187711260807,1.9028064013505603,-1.0466425407411206,1.2428275439118401,1.9028064013505603,139.87990750745027,3300.0,-2.063753448048652,-0.6334968961421521,1.4540289629659953,-0.4144071270749363,-0.6334968961421521,1.682273478228554,-0.232431111197667,0.33469717983873915,0.5948465156232087,0.33469717983873915,0.07183107797253645,0.07183107797253645,0.07183107797253645,0.015945586660378597,0.8297484901530087,0.33148119129125025,0.9956863947526975,0.16185482149092334,0.6062430450967456,0.1936806319368063,0.507923271073469
gRNA_CDK7_targ_4,CDK7,targeting,1.4262741829485144,0.6606070571897573,-0.9036586234155792,0.39440753890756425,0.6606070571897573,721.0379705062486,14127.0,-0.21649616527063567,1.6513370867311656,0.09167942527689077,0.5088401155791402,0.09167942527689077,-0.7796109289606012,-0.6110814445797789,0.03237174552367454,-0.4527735426722352,-0.6110814445797789,-1.2711285449078091,-1.2711285449078091,-1.2711285449078091,0.18219293458631544,0.9999529305642686,0.15368623802470288,0.9999010080221084,0.14969921141994477,0.599895674047042,0.0076992300769923,0.050647947253467426
gRNA_CDK7_targ_5,CDK7,targeting,0.11107273855157886,-2.449934988903534,-0.01727196087282129,-0.7853780704082588,-0.01727196087282129,407.9695564267119,5034.0,-3.616123812724721,-0.41172433881245585,-0.6679220274010989,-1.5652567263127584,-0.6679220274010989,-0.3380340441038959,-0.2954552423857116,-0.21344795023439955,-0.2823124122413357,-0.2954552423857116,-2.325042028242051,-2.325042028242051,-2.325042028242051,0.4109769985530221,0.9121346994046292,0.30270238450339687,0.9956863947526975,0.2936302468178676,0.8315462383949984,9.999000099990012e-05,0.0010875406483256069
gRNA_CDK7_targ_6,CDK7,targeting,-0.4183799318182345,0.7791973621391965,-0.47075107058737975,-0.03664454675547257,-0.4183799318182345,934.4458476227154,14238.0,-1.3612348783302521,-0.7886014973731874,1.6091895419972309,-0.1802156112354029,-0.7886014973731874,-0.23374518381501483,-0.5769841085432779,-0.03645938070151764,-0.2823962243532701,-0.23374518381501483,-2.7910406879734158,-2.7910406879734158,-2.7910406879734158,0.4250895503368328,0.9999529305642686,0.2928380959324021,0.9956863947526975,0.2812578898690023,0.8112815487460341,9.999000099990012e-05,0.0010875406483256069
gRNA_CDK7_targ_7,CDK7,targeting,0.3073712124008338,0.4790731387271254,-0.6693661166922045,0.03902607814525161,0.3073712124008338,491.2083300896925,7464.0,-1.3779097912297105,-0.8663146386775671,0.39749889213989803,-0.6155751792557932,-0.8663146386775671,0.054416521909547405,-0.661173432392466,-0.5923628805346005,-0.3997065970058397,-0.5923628805346005,-0.31609053899569367,-0.31609053899569367,-0.31609053899569367,0.40664494324824424,0.9999529305642686,0.592928389874009,0.9956863947526975,0.17683616459782345,0.6471350259410966,0.0536946305369463,0.19702465237347233
gRNA_CDK7_targ_8,CDK7,targeting,-2.366089910613125,0.5941432702384997,-0.04552266063878943,-0.605823100337805,-0.04552266063878943,353.4213471186733,5188.0,-0.5069795150315067,-0.5264671764748909,-2.2757663103722,-1.1030710006261992,-0.5264671764748909,0.9582389236890606,0.5308495949415687,0.7488010732522031,0.7459631972942775,0.7488010732522031,0.8362770338936167,0.8362770338936167,0.8362770338936167,0.46467107083119663,0.9275625749019024,0.46246044184066515,0.9956863947526975,0.10781397968828525,0.49100489812525266,0.47665233476652347,0.8531415515164903
gRNA_CDK7_targ_9,CDK7,targeting,0.03604750302470539,-1.3365068379747382,0.07767940355370972,-0.40759331046544106,0.03604750302470539,480.2578259157184,9372.0,0.8168361012175823,-1.3192048742589884,-0.2466821108679924,-0.24968362796979948,-0.2466821108679924,-1.3933398980493412,-1.1519628041399599,-0.7239848307862187,-1.0897625109918399,-1.1519628041399599,-0.5392159420434124,-0.5392159420434124,-0.5392159420434124,0.5970297580024986,0.9701744784725984,0.4120427263766395,0.9976866970849584,0.008791301763953499,0.1311489279540604,0.030096990300969916,0.13125364779815954
gRNA_CDK7_targ_10,CDK7,targeting,-0.4182990295774692,0.9145992378465129,0.10924244021263853,0.20184754949389408,0.10924244021263853,101.66151271018305,1549.0,-0.3244655364003882,0.07030202593563788,-1.0622651778812278,-0.43880956278199273,-0.3244655364003882,1.2863165483484562,-0.22572721849772226,1.8132433177915257,0.9579442158807533,1.2863165483484562,1.3767292758831873,1.3767292758831873,1.3767292758831873,0.33109122316408135,0.9999529305642686,0.5697345465917278,0.9956863947526975,0.04597876782033717,0.31022188231050424,0.25247475252474755,0.9760960776232276
