gRNA_id,Gene,classification,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,LFC_avg_ABE_BSJ-4-116,LFC_median_ABE_BSJ-4-116,base_RPM,base_RAW,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,LFC_avg_ABE_CDK12-IN-2,LFC_median_ABE_CDK12-IN-2,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,LFC_avg_ABE_HQ461,LFC_median_ABE_HQ461,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_BSJ-4-116,FDR_ABE_BSJ-4-116,p_ABE_CDK12-IN-2,FDR_ABE_CDK12-IN-2,p_ABE_HQ461,FDR_ABE_HQ461,p_ABE_T0,FDR_ABE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,0.28665728224468706,-0.062364763698203284,-1.0962177374067001,-0.2906417396200721,-0.062364763698203284,170.57845748048325,939.0,-2.421387643448067,-1.8554225478436017,-1.9919181568823359,-2.0895761160580015,-1.9919181568823359,-2.270598901657276,-1.3221129426694886,0.14587784422125352,-1.148944666701837,-1.3221129426694886,0.16089595448126892,0.8410870002148858,0.6608503100137509,0.5542777549033019,0.6608503100137509,1.4103223778302438,1.4103223778302438,1.4103223778302438,0.3948665778470276,0.9999997120869034,0.1388562171987838,0.9999999963347348,0.41742991311945843,0.9999999475352453,0.3865424497372304,0.9999982651633662,0.21687831216878312,0.6529150424475179
gRNA_CDK12_targ_1741,CDK12,targeting,-1.0421248381993622,0.13570337655201967,-0.32376259232177995,-0.41006135132304083,-0.32376259232177995,135.73345191439878,670.0,-1.4910651397844308,-0.08711667944188406,0.065925110764546,-0.5040855694872562,-0.08711667944188406,-0.9172643868732326,-0.31334417788601326,1.6531780251257997,0.14085648678885124,-0.31334417788601326,0.55860828317833,-0.34571542948067363,0.1344348569529832,0.11577590355021321,0.1344348569529832,1.7070081568162452,1.7070081568162452,1.7070081568162452,0.34340665349961347,0.9897593778781045,0.5891762600027854,0.9563686960283323,0.22517679436891752,0.8161059897403612,0.6161975863741136,0.9999982651633662,0.1498850114988501,0.56169379212964
gRNA_CDK12_targ_1742,CDK12,targeting,-0.8527980913965778,0.45960087207215183,-2.0656363615346036,-0.8196111936196765,-0.8527980913965778,190.6345944051481,941.0,-0.34972835418163256,-3.1163584346141167,-2.206654078575769,-1.8909136224571725,-2.206654078575769,0.6570201744098044,-0.41908068956382255,-2.0670482456747012,-0.6097029202762397,-0.41908068956382255,-0.12241678623874969,-1.220563620416023,-0.28979594880903153,-0.5442587851546015,-0.28979594880903153,0.2652378410065824,0.2652378410065824,0.2652378410065824,0.11197464623610148,0.7723092910177858,0.16575046815724276,0.9999999963347348,0.4900969306444237,0.9215032512152675,0.32965162847645496,0.9913078120160462,0.43355664433556673,0.9431820308975101
gRNA_CDK12_targ_1743,CDK12,targeting,3.7362188656001045,0.5642363559370337,0.7168328411842814,1.6724293542404733,0.7168328411842814,103.6825276151045,792.0,1.416534519292139,-0.7241878042717358,1.975432075226002,0.8892595967488018,1.416534519292139,-2.2416195200823315,0.528572563427752,0.5694660697302758,-0.3811936289747679,0.528572563427752,0.17806389530182434,0.5492833449579972,1.2743694204340696,0.6672388868979637,0.5492833449579972,0.7194330568820242,0.7194330568820242,0.7194330568820242,0.006680343699623264,0.14017203935243988,0.07735491410673159,0.45104460267529334,0.363570339154009,0.8975799528428609,0.2988023509368134,0.9999982651633662,0.4207579242075795,0.8590563332347577
gRNA_CDK12_targ_1744,CDK12,targeting,-0.4855476083761256,-1.1843575089767544,-0.3969411372741908,-0.688948751542357,-0.4855476083761256,306.2721272371684,1823.0,-3.9552146314930794,-2.1202356418998787,-3.3405641204608547,-3.1386714646179374,-3.3405641204608547,-2.852083271854593,-1.3712886633315646,-0.77343238533044,-1.6656014401721995,-1.3712886633315646,-0.9610489123771951,-1.4722384920514955,-0.6141636075265192,-1.01581700398507,-0.9610489123771951,0.6950370289794263,0.6950370289794263,0.6950370289794263,0.21123673041797011,0.9059162374367369,0.037160712135112954,0.8961895551115344,0.2615813544089816,0.9999999475352453,0.177041258447491,0.8941791648732766,0.42405759424057576,0.8590563332347577
gRNA_CDK12_targ_1745,CDK12,targeting,-2.036832932749484,-0.8549682661245247,0.6547644088380449,-0.7456789300119878,-0.8549682661245247,110.71185152121328,1176.0,-5.256587531367813,-2.7828821762611278,-0.06016049264456223,-2.699876733424501,-2.7828821762611278,-4.75341925453153,-3.3520885183544933,0.7919585344785288,-2.4378497461358313,-3.3520885183544933,3.216929619245207,-1.766687422786544,2.0492547575736895,1.1664989846774507,2.0492547575736895,1.3529653445932983,1.3529653445932983,1.3529653445932983,0.12254525104183742,0.7907392570122963,0.04092167504873995,0.9308724959685329,0.07590551763534353,0.9884112276185689,0.030203124266872064,0.6935975465318249,0.22197780221977795,0.6549967172531855
gRNA_CDK12_targ_1746,CDK12,targeting,0.623450286929359,1.2185599091352974,0.08647381375239813,0.6428280032723516,0.623450286929359,89.13838633184399,440.0,1.5401432207953956,1.8423749624359058,0.7121068777976104,1.3648750203429705,1.5401432207953956,2.568789989440641,-0.9742473899254493,-0.6354388696624738,0.3197012432842394,-0.6354388696624738,2.4197213194986804,1.5472239335663645,-2.99412741381848,0.32427261308218824,1.5472239335663645,1.7205019617292403,1.7205019617292403,1.7205019617292403,0.243446417967343,0.9445740926187607,0.03825333659303662,0.3161583065108697,0.09066576334307609,0.6140173950826808,0.0886674291955275,0.9711009716866402,0.1453854614538546,0.5473599585130426
gRNA_CDK12_targ_1747,CDK12,targeting,-1.0919545989291872,1.5823670866863837,0.00034285710321339086,0.16358511495346997,0.00034285710321339086,167.6899289524604,1508.0,-1.5579490527327773,-0.3269329181809217,-0.5991063455808816,-0.8279961054981936,-0.5991063455808816,-0.6884468222909107,-0.7858721043850293,-0.21222307023221115,-0.5621806656360504,-0.6884468222909107,2.0000108251798094,0.8491474091515936,0.32014366655014437,1.0564339669605158,0.8491474091515936,0.5679815098560368,0.5679815098560368,0.5679815098560368,0.36877641449394044,0.9999997120869034,0.46662439621878504,0.9884970372486176,0.63421224071655,0.9687335559144732,0.14138156962565304,0.9999982651633662,0.49005099490050996,0.9300787763547298
gRNA_CDK12_targ_1748,CDK12,targeting,0.7166161940390027,-0.19556625809039999,1.011718100619274,0.5109226788559589,0.7166161940390027,211.6856172895404,1260.0,-1.0809230493533253,-1.4570492392203576,1.8618457465224727,-0.22537551401707012,-1.0809230493533253,0.3865691335401657,0.2030749766741402,2.763174170238619,1.1176060934843084,0.3865691335401657,-1.3695562907239769,2.019642075891429,0.2086929786944215,0.28625958795395784,0.2086929786944215,0.019521900068344783,0.019521900068344783,0.019521900068344783,0.30706027172630956,0.9999997120869034,0.31959843582035646,0.8373547823323441,0.025722738591467342,0.37822862815356684,0.29289751741208475,0.9999982651633662,0.34226577342265774,0.9799613524775386
gRNA_CDK12_targ_1749,CDK12,targeting,-0.42379375265193714,1.3803500949881455,0.471318397964877,0.47595824676702847,0.471318397964877,222.03561686295683,1096.0,-1.543465630180784,-0.9119937298641679,-3.1303438573930733,-1.861934405812675,-1.543465630180784,0.14419732186649384,1.3845960877401255,-0.9169533385889012,0.2039466903392394,0.14419732186649384,0.1924169763658862,-0.7956570377137998,-0.20069536098960786,-0.26797847411250714,-0.20069536098960786,0.7060760749298369,0.7060760749298369,0.7060760749298369,0.29012829311889426,0.9974318856622879,0.1686772932508798,0.9999999963347348,0.22108526198225478,0.8159802009062126,0.46469914697042614,0.9999982651633662,0.42405759424057576,0.8590563332347577
gRNA_CDK12_targ_1750,CDK12,targeting,1.6975895634553464,0.5124799075628459,1.2837845240145853,1.1646179983442593,1.2837845240145853,36.46570349939072,180.0,0.43257116469510315,-2.426496939838036,0.8306937899782079,-0.38774399505490836,0.43257116469510315,-1.3211086527967428,-0.46166497383630484,-0.39518357286114464,-0.7259857331647308,-0.46166497383630484,2.100692487111876,1.4326036798124255,-0.008405187744384765,1.174963659726639,1.4326036798124255,1.139338852496585,1.139338852496585,1.139338852496585,0.07432675077064829,0.5566501888484859,0.39434088829667713,0.8728861658857591,0.6051247597030163,0.9861492574965808,0.09718578950939268,0.9999982651633662,0.2724727527247275,0.708924297308377
gRNA_CDK12_targ_1751,CDK12,targeting,1.4698218213251575,0.9767377667268186,-1.6178530946300989,0.27623549780729245,0.9767377667268186,210.89331857147636,1302.0,-2.4456948488375954,1.1099234524820933,1.1353306967360002,-0.06681356653983395,1.1099234524820933,2.220845698121449,-3.708264840923065,1.190694729979338,-0.09890813760742612,1.190694729979338,-1.1932751403824031,-0.6438196200033379,0.7239442139695332,-0.371050182138736,-0.6438196200033379,-1.2268562715871283,-1.2268562715871283,-1.2268562715871283,0.22348895061489255,0.9250116424845656,0.20667931193340086,0.7191671840541782,0.06379881998027184,0.5496861162194041,0.3742272968820676,0.9999982651633662,0.07129287071292871,0.5874042644200848
gRNA_CDK12_targ_1752,CDK12,targeting,-1.091722345779117,-1.978172979061099,-2.0658761292066123,-1.7119238180156096,-1.978172979061099,270.3191731895797,1650.0,0.8403841082030882,-2.7955017147671923,0.7881900891581464,-0.3889758391353193,0.7881900891581464,1.007241697883339,-1.5188956689341353,-3.6583589815543203,-1.3900043175350387,-1.5188956689341353,-0.7815230083878293,-0.940029942195556,1.6125995791877028,-0.036317790465227505,-0.7815230083878293,-1.8179465123930596,-1.8179465123930596,-1.8179465123930596,0.013038203739084386,0.46623655443947754,0.33517871899306095,0.848822664074384,0.28445870625739833,0.9438102671213437,0.46404305093653064,0.9999982651633662,0.007499250074992499,0.1398710703642279
gRNA_CDK12_targ_1753,CDK12,targeting,-2.4068085469591676,-1.3892785988309588,-2.3531981048417223,-2.049761750210616,-2.3531981048417223,133.1516162984067,950.0,-2.9179304989040094,-3.877023771813648,-0.16726671019035258,-2.3207403269693363,-2.9179304989040094,-0.34617628950539564,-0.29177825908198424,-3.2109124954945902,-1.2829556813606569,-0.34617628950539564,-3.7058811731910573,-0.08665165606348803,0.00011527200900233087,-1.2641391857485142,-0.08665165606348803,-0.8189679112288061,-0.8189679112288061,-0.8189679112288061,0.0071291254340827654,0.45282306781879894,0.10709175804801317,0.9999999963347348,0.3694061609958095,0.9997084515357745,0.06242972078917143,0.7150773665922036,0.10848915108489149,0.6885595664683857
gRNA_CDK12_targ_1754,CDK12,targeting,-0.3991250685646921,-0.7427631643133424,-1.7800700844136745,-0.973986105763903,-0.7427631643133424,149.37313300481156,1130.0,-3.027868941429368,1.067759772592292,-0.0631108024030977,-0.6744066570800579,-0.0631108024030977,-1.8211131917355539,-5.462752418156399,0.12411958198909613,-2.386582009300952,-1.8211131917355539,1.8572796728754386,2.109766552471515,1.0734959472801928,1.680180724209049,1.8572796728754386,0.17337719879973357,0.17337719879973357,0.17337719879973357,0.09596665822827918,0.7601798324059775,0.4241725275847733,0.8923387486096268,0.05227056275459421,0.9999999475352453,0.03492020494301773,0.7400053577725586,0.402959704029597,0.9519456270034099
gRNA_CDK12_targ_1755,CDK12,targeting,1.263234833067032,-0.03580898307044692,0.8598620428193086,0.6957626309386312,0.8598620428193086,77.18573907371035,590.0,3.1378161063049648,-3.1310326570577254,-4.0981181207553155,-1.3637782238360252,-3.1310326570577254,-4.704228643264316,-1.2214041847346517,1.986653524343406,-1.3129931012185205,-1.2214041847346517,0.5323659405710076,1.1367723090802226,2.4040732999032413,1.357737183184824,1.1367723090802226,0.4828069355616169,0.4828069355616169,0.4828069355616169,0.20626808025281185,0.9036808337720599,0.11239932033440253,0.5417424667206648,0.1886567716650056,0.8583486893986166,0.061187522302929606,0.8938667030584572,0.48345165483451646,0.9300787763547298
gRNA_CDK12_targ_1756,CDK12,targeting,-0.13172368111460064,0.22059753186680425,-0.925811303276542,-0.27897915084144614,-0.13172368111460064,204.96543896288836,1220.0,-0.36687419917767505,-1.367306143271932,0.6184649913662511,-0.37190511702778534,-0.36687419917767505,2.0420980860987052,-1.6339407516729965,0.09434516398490875,0.1675008328035392,0.09434516398490875,-0.9302657400578214,0.2169897242558471,0.21713063451369097,-0.1653817937627611,0.2169897242558471,0.37501737056508433,0.37501737056508433,0.37501737056508433,0.41709985651603726,0.9999997120869034,0.5466969419010941,0.9314505346036299,0.14287772094826962,0.7187212707549576,0.5135624458729939,0.9999982651633662,0.4654534546545346,0.9300787763547298
gRNA_CDK12_targ_1757,CDK12,targeting,1.1880821829199504,-0.4700768982753288,0.6715190647807122,0.4631747831417779,0.6715190647807122,145.255052272573,717.0,-0.8763314944189037,-0.33358728330591797,0.9397887766994788,-0.0900433336751143,-0.33358728330591797,0.14697428556517106,0.0914319520333334,-1.1961530822819606,-0.31924894822781874,0.0914319520333334,1.324238414627554,-2.3417725949264288,1.0884482677791492,0.0236380291600915,1.0884482677791492,-0.11333380122115128,-0.11333380122115128,-0.11333380122115128,0.2978307534183812,0.9999997120869034,0.4179959677577558,0.8858298385978532,0.4893873604821454,0.9215032512152675,0.3079474350966981,0.9999982651633662,0.2870712928707129,0.9571664751333085
gRNA_CDK12_targ_1758,CDK12,targeting,0.05502275919472303,0.0756671233486848,0.30141314781751777,0.14403434345364186,0.0756671233486848,146.16387860468265,870.0,-1.8071592250237405,-3.066254612118757,-1.9127705402867456,-2.2620614591430805,-1.9127705402867456,-3.964720076451387,-2.3805960560283213,-1.3215785313654456,-2.555631554615051,-2.3805960560283213,-0.01650015053726033,-0.027336687344707435,-0.6824931023864224,-0.24210998008946338,-0.027336687344707435,0.9399186538450529,0.9399186538450529,0.9399186538450529,0.5924833659524822,0.9999997120869034,0.11019293119762817,0.9999999963347348,0.10013231647353187,0.9999999475352453,0.4725484691247698,0.9999982651633662,0.3536646335366464,0.816329746826171
gRNA_CDK12_targ_1759,CDK12,targeting,-2.426255203675983,-1.9524053127139056,0.7708050228712316,-1.2026184978395524,-1.9524053127139056,143.02659261427695,706.0,-3.984219314608425,1.594014092274423,-0.5760108075691075,-0.9887386766343699,-0.5760108075691075,1.1905910499917887,-1.8754161130077065,0.06405643376878149,-0.20692287641571214,0.06405643376878149,-1.1281565367909867,1.4195840034435878,1.1343240752855965,0.4752505139793992,1.1343240752855965,1.4128590960854484,1.4128590960854484,1.4128590960854484,0.03702840571616705,0.6371259333637755,0.3056889243991649,0.8728861658857591,0.29623510293442334,0.8800630952421916,0.25878475214247043,0.9999982651633662,0.21277872212778723,0.6529150424475179
gRNA_CDK12_targ_1760,CDK12,targeting,-0.7957582308156992,-1.0060046032178556,-1.8901498302687636,-1.2306375547674395,-1.0060046032178556,327.58356976952666,1617.0,-2.9333948077664664,-0.9239734484835506,-1.4421556320190165,-1.7665079627563445,-1.4421556320190165,0.37744060677543617,0.8547887418323089,-0.544103684936725,0.22937522122367338,0.37744060677543617,-1.8909842526087863,-3.421124288679038,-2.7701140174565153,-2.694074186248113,-2.7701140174565153,-1.829193516007068,-1.829193516007068,-1.829193516007068,0.05209614049005697,0.6862207779114253,0.1939049449774184,0.9999999963347348,0.24982996893908063,0.8437579778700492,0.004019856405651964,0.18816020175686307,0.007499250074992499,0.1398710703642279
gRNA_CDK12_targ_1761,CDK12,targeting,0.7403452816455707,-0.7026512255256587,-0.8495917653540842,-0.2706325697447241,-0.7026512255256587,74.75469217375097,388.0,-0.868108201095953,1.46051988897369,0.4804414312285822,0.35761770636877305,0.4804414312285822,1.5580264981295335,0.1693381970118349,-2.6878857055577536,-0.3201736701387951,0.1693381970118349,-0.41841812702821823,1.121246334496272,-1.860030159962786,-0.3857339841649107,-0.41841812702821823,1.5965745148006336,1.5965745148006336,1.5965745148006336,0.3666496870795758,0.9968528093188603,0.22084888529117333,0.7405891101005277,0.25261765214985143,0.8471324868134787,0.3074171941739273,0.9805797803242859,0.1669833016698331,0.5843815330904009
gRNA_CDK12_targ_1762,CDK12,targeting,-0.7874433913550238,-0.8478401148739455,-1.4441077106820022,-1.0264637389703237,-0.8478401148739455,69.08224940717909,341.0,-0.36155521878716523,-1.6058827861994487,-0.842467921656174,-0.9366353088809293,-0.842467921656174,-2.8095318114821985,0.9937493860367342,-3.259672455612515,-1.6918182936859931,-2.8095318114821985,-0.3317965850993454,-1.4565296126208735,0.004704354309965414,-0.5945406144700845,-0.3317965850993454,1.5551387213878396,1.5551387213878396,1.5551387213878396,0.0943427712098509,0.7601798324059775,0.42377471892296537,0.9927315427875472,0.2014614002849864,0.9599099500131993,0.3059719473528962,0.9805797803242859,0.17658234176582344,0.5928295446317439
