Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,6.07142857,93.92857143,2471,2471,840,51,789,0,0,0,789,0,0,789,0,0,0,0,gRNA_CDK7_targ_2_1
HDR,0.0,100.0,2471,2471,1622,0,1622,0,0,3,1620,0,2,1619,0,0,1,0,gRNA_CDK7_targ_2_1
Reference,59.30232558,40.69767442,2471,2471,86,51,35,0,0,0,35,0,0,35,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,29.62794918,70.37205082,2471,2471,2204,653,1551,0,0,3,1549,0,2,1548,0,0,1,0,gRNA_CDK7_targ_2_2
Reference,52.57731959,47.42268041,2471,2471,97,51,46,0,0,0,46,0,0,46,0,0,0,0,gRNA_CDK7_targ_2_3
HDR,66.52360515,33.47639485,2471,2471,1631,1085,546,0,0,3,544,0,2,543,0,0,1,0,gRNA_CDK7_targ_2_3
Reference,86.36363636,13.63636364,2196,2196,88,76,12,0,0,0,12,0,0,12,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,30.40892193,69.59107807,2196,2196,1345,409,936,0,1,0,936,0,0,935,0,1,0,0,gRNA_CDK7_targ_3_4
Reference,19.68062149,80.31937851,5756,5756,2317,456,1861,0,0,1,1860,0,1,1860,0,0,0,0,gRNA_CDK7_targ_4_5
HDR,42.37794753,57.62205247,5756,5756,3011,1276,1735,0,0,2,1734,0,1,1733,0,0,1,0,gRNA_CDK7_targ_4_5
Reference,3.78787879,96.21212121,3161,2893,132,5,127,0,0,0,127,0,0,127,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,0.97087379,99.02912621,3161,2893,1751,17,1734,0,0,2,1734,0,0,1732,0,0,2,0,gRNA_CDK7_targ_5_6
Reference,25.16556291,74.83443709,3803,3791,151,38,113,0,0,1,113,0,0,112,0,0,1,0,gRNA_CDK7_targ_7_7
HDR,0.16538037,99.83461963,3803,3791,3628,6,3622,0,1,2,3622,0,0,3619,0,1,2,0,gRNA_CDK7_targ_7_7
Reference,23.31288344,76.68711656,3803,3791,163,38,125,0,0,1,125,0,0,124,0,0,1,0,gRNA_CDK7_targ_7_8
HDR,0.0,100.0,3803,3791,3610,0,3610,0,1,2,3610,0,0,3607,0,1,2,0,gRNA_CDK7_targ_7_8
Reference,23.75,76.25,3803,3791,160,38,122,0,0,10,118,0,4,112,0,0,6,0,gRNA_CDK7_targ_7_9
HDR,49.62676251,50.37323749,3803,3791,3617,1795,1822,0,1,2,1821,0,1,1819,0,1,1,0,gRNA_CDK7_targ_7_9
Reference,13.63636364,86.36363636,2972,2972,308,42,266,0,93,0,181,85,0,173,0,8,0,0,gRNA_CDK7_targ_8_10
HDR,38.11336717,61.88663283,2972,2972,2364,901,1463,0,0,2,1463,0,0,1461,0,0,2,0,gRNA_CDK7_targ_8_10
Reference,30.47619048,69.52380952,1824,1824,315,96,219,0,104,43,176,1,0,115,42,60,0,1,gRNA_CDK7_targ_9_11
HDR,77.54010695,22.45989305,1824,1824,1496,1160,336,0,0,1,335,0,1,335,0,0,0,0,gRNA_CDK7_targ_9_11
Reference,100.0,0.0,826,826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_10_12
HDR,61.29032258,38.70967742,826,826,682,418,264,0,0,1,263,0,1,263,0,0,0,0,gRNA_CDK7_targ_10_12
Reference,1.21145374,98.78854626,3522,3522,908,11,897,0,0,1,897,0,0,896,0,0,1,0,gRNA_CDK7_targ_13_13
HDR,50.50556117,49.49443883,3522,3522,1978,999,979,0,1,0,978,1,0,978,0,0,0,0,gRNA_CDK7_targ_13_13
Reference,,,671,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_14_14
HDR,67.0,33.0,671,671,400,268,132,0,0,0,132,0,0,132,0,0,0,0,gRNA_CDK7_targ_14_14
Reference,0.0,100.0,1372,1372,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_15_15
HDR,14.38965238,85.61034762,1372,1372,1237,178,1059,0,0,5,1055,0,4,1054,0,0,1,0,gRNA_CDK7_targ_15_15
Reference,1.1579818,98.8420182,1368,1350,1209,14,1195,0,390,333,870,9,0,803,316,50,2,15,gRNA_CDK7_targ_16_16
HDR,0.0,100.0,1368,1350,135,0,135,0,1,0,135,0,0,134,0,1,0,0,gRNA_CDK7_targ_16_16
Reference,13.77199694,86.22800306,1493,1493,1307,180,1127,0,0,3,1126,0,1,1124,0,0,2,0,gRNA_CDK7_targ_17_17
HDR,0.0,100.0,1493,1493,182,0,182,0,0,0,182,0,0,182,0,0,0,0,gRNA_CDK7_targ_17_17
Reference,0.1242236,99.8757764,2023,2023,805,1,804,0,0,1,804,0,0,803,0,0,1,0,gRNA_CDK7_targ_18_18
HDR,0.0,100.0,2023,2023,1014,0,1014,0,3,2,1014,0,0,1009,0,3,2,0,gRNA_CDK7_targ_18_18
Reference,100.0,0.0,2023,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_18_19
HDR,0.05422993,99.94577007,2023,2023,1844,1,1843,0,106,3,1843,0,0,1734,0,106,3,0,gRNA_CDK7_targ_18_19
Reference,0.41322314,99.58677686,2023,2023,242,1,241,0,0,0,241,0,0,241,0,0,0,0,gRNA_CDK7_targ_18_20
HDR,0.0,100.0,2023,2023,1683,0,1683,0,106,3,1683,0,0,1574,0,106,3,0,gRNA_CDK7_targ_18_20
Reference,0.58479532,99.41520468,2023,2023,171,1,170,0,0,0,170,0,0,170,0,0,0,0,gRNA_CDK7_targ_18_21
HDR,5.01232539,94.98767461,2023,2023,1217,61,1156,0,106,2,1155,0,1,1048,0,106,1,0,gRNA_CDK7_targ_18_21
Reference,0.57471264,99.42528736,2023,2023,174,1,173,0,0,0,173,0,0,173,0,0,0,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,2023,2023,1051,0,1051,0,105,2,1050,0,1,944,0,105,1,0,gRNA_CDK7_targ_18_22
Reference,0.57803468,99.42196532,2023,2023,173,1,172,0,0,0,172,0,0,172,0,0,0,0,gRNA_CDK7_targ_18_23
HDR,31.91011236,68.08988764,2023,2023,1780,568,1212,0,106,3,1125,86,1,1103,0,20,2,0,gRNA_CDK7_targ_18_23
Reference,0.57803468,99.42196532,2023,2023,173,1,172,0,0,0,172,0,0,172,0,0,0,0,gRNA_CDK7_targ_18_24
HDR,44.66702761,55.33297239,2023,2023,1847,825,1022,0,106,3,932,89,1,913,0,17,2,0,gRNA_CDK7_targ_18_24
Reference,63.21243523,36.78756477,2815,2815,193,122,71,0,0,10,67,0,4,61,0,0,6,0,gRNA_CDK7_targ_19_25
HDR,0.0,100.0,2815,2815,2374,0,2374,0,81,79,2374,0,0,2293,0,2,0,79,gRNA_CDK7_targ_19_25
