gRNA_id,Gene,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,Plasmid_RPM,p_high_unadjusted_T0,p_low_unadjusted_T0,FDR_high_T0,FDR_low_T0,p_unadjusted_T0,FDR_T0,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,p_high_unadjusted_DMSO,p_low_unadjusted_DMSO,FDR_high_DMSO,FDR_low_DMSO,p_unadjusted_DMSO,FDR_DMSO,WT_perc,Top_HGVSp,Top_HGVSp_%,Codon_1
gRNA_CDK7_targ_1,CDK7,-0.5398594825159483,-1.5939709921917533,0.03076220288453217,-0.7010227572743899,-0.5398594825159483,645.7349307863125,0.4091714412052094,0.7842702815560594,0.9590795551857672,0.9999999459538456,0.4091714412052094,0.9590795551857672,-0.08694696438068615,-0.14843741766629595,0.642690711166575,0.13576877637319762,-0.08694696438068615,0.08734400645393522,0.9466854757352081,0.3188462131660978,0.9999999460777573,0.08734400645393522,0.3188462131660978,26.380916693634923,A2V,55.961404166169885,2.0
gRNA_CDK7_targ_2,CDK7,-0.8645577358745168,-0.3840031208696116,-0.8592429555376151,-0.7026012707605812,-0.8592429555376151,557.8584233700716,0.47409916916852035,0.7987842713468674,0.99999800387003,0.9999999459538456,0.47409916916852035,0.99999800387003,-0.24561466269429416,-0.3000065512073324,-0.3726012038157789,-0.3060741392391351,-0.3000065512073324,0.5631416510970173,0.7377418688411218,0.8717417160788414,0.9999999460777573,0.5631416510970173,0.8717417160788414,19.88829615839032,A2V,46.47792775052809,2.0
gRNA_CDK7_targ_3,CDK7,-0.06300158489212516,-0.44077929624245177,-0.24383191688012945,-0.24920426600490217,-0.24383191688012945,233.5636983695173,0.2664858911486174,0.9197455682971765,0.7722998756217894,0.9999999459538456,0.2664858911486174,0.7722998756217894,-0.11289084150016931,-0.07928232597632374,-0.32718612672535297,-0.17311976473394866,-0.11289084150016931,0.4100516709621685,0.8385418111343674,0.7548489964441808,0.9999999460777573,0.4100516709621685,0.7548489964441808,28.02091935039912,A2V,22.804246101556984,2.0
gRNA_CDK7_targ_4,CDK7,-1.1397117578890814,-0.8259593102717565,-0.7788916963542163,-0.9148542548383514,-0.8259593102717565,461.63178030681064,0.5735238421753384,0.7274742026507806,0.99999800387003,0.9999999459538456,0.5735238421753384,0.99999800387003,0.8282088876185888,0.695632030459706,1.227384091299473,0.9170750031259226,0.8282088876185888,0.00032546707295169315,0.9999689155341471,0.022815751294401887,0.9999999460777573,0.00032546707295169315,0.022815751294401887,33.89747024982268,S7F,42.26455985499251,7.0
gRNA_CDK7_targ_5,CDK7,0.9648271031084987,0.5089458245284191,1.3537767440969848,0.9425165572446342,0.9648271031084987,141.47210650525986,0.014324693890637709,0.9976517182896817,0.151893514880614,0.9999999459538456,0.014324693890637709,0.151893514880614,1.2747014968109893,1.25279988837878,0.7635784114329015,1.0970265988742236,1.25279988837878,6.57322989926295e-05,0.9999944821788499,0.013421524657504203,0.9999999460777573,6.57322989926295e-05,0.013421524657504203,12.15927853466838,S7F,52.56693734490716,7.0
gRNA_CDK7_targ_6,CDK7,1.1420842741011306,0.8970409530491085,1.7178577938213426,1.252327673657194,1.1420842741011306,466.060286752195,0.004006238941356235,0.9994465429974976,0.06835645193689076,0.9999999459538456,0.004006238941356235,0.06835645193689076,0.4798109265489331,0.3674068277757744,1.0648843888575998,0.6373673810607691,0.4798109265489331,0.004393622997826309,0.999061280093635,0.06038743333304682,0.9999999460777573,0.004393622997826309,0.06038743333304682,2.482542211113934,S7F,62.8456367543962,7.0
gRNA_CDK7_targ_7,CDK7,0.35994499866931023,-1.2721442939435719,0.489340657752299,-0.14095287917398755,0.35994499866931023,465.1799210130523,0.18699088747180034,0.9007776509966342,0.645770431095053,0.9999999459538456,0.18699088747180034,0.645770431095053,-0.021990927695036074,-0.02244695880495931,0.8220458005731109,0.2592026380243719,-0.021990927695036074,0.048458294279647034,0.9713664945882489,0.22613870663835284,0.9999999460777573,0.048458294279647034,0.22613870663835284,3.4021659210149173,S7F_R8W,51.19387360891293,7.0
gRNA_CDK7_targ_8,CDK7,0.029008845731919617,-1.6843780704287186,-1.064570113053597,-0.9066464459167985,-1.064570113053597,505.24990101887926,0.4871480369560489,0.7141792002419014,0.99999800387003,0.9999999459538456,0.4871480369560489,0.99999800387003,-0.7048441673065845,-0.6246853413872366,-0.4465106940872219,-0.5920134009270144,-0.6246853413872366,0.8024271374646151,0.46766080842324376,0.9985816854921284,0.9999999460777573,0.46766080842324376,0.9985816854921284,14.008910722918326,A9V,51.126252662111135,9.0
gRNA_CDK7_targ_9,CDK7,-0.6235664430994848,-1.2691915895977728,1.0677867758151178,-0.27499041896071325,-0.6235664430994848,295.9362771002919,0.19151130869819427,0.8543367901302076,0.6535323409325879,0.9999999459538456,0.19151130869819427,0.6535323409325879,0.28954132271467736,0.23767697835642698,0.19154933940131,0.23958921349080478,0.23767697835642698,0.08001768711756162,0.9858142714859097,0.30509537127226705,0.9999999460777573,0.08001768711756162,0.30509537127226705,10.169478798254902,R11C,64.58591456226112,11.0
gRNA_CDK7_targ_10,CDK7,-1.7464640782349021,-0.4281788303344464,0.10729368871752722,-0.6891164066172738,-0.4281788303344464,263.01593400629025,0.3919174347948733,0.7777608848784764,0.9401885738049245,0.9999999459538456,0.3919174347948733,0.9401885738049245,-0.5780111225208485,-0.49654593686420456,0.5600464263219189,-0.17150354435437806,-0.49654593686420456,0.2357653346040969,0.7346125868072042,0.5777732167586935,0.9999999460777573,0.2357653346040969,0.5777732167586935,11.04934633519074,R11C,74.41063009001286,11.0
gRNA_CDK7_targ_11,CDK7,0.17569761517899943,-0.5609859266046603,1.8527863355605385,0.4891660080449592,0.17569761517899943,442.55718929205284,0.026970850110718068,0.9689067328914098,0.2265551409300318,0.9999999459538456,0.026970850110718068,0.2265551409300318,-0.27854872573559125,-0.26244019000615515,0.1305346351621511,-0.13681809352653176,-0.26244019000615515,0.35946954691367733,0.8498357019653034,0.7137104458722466,0.9999999460777573,0.35946954691367733,0.7137104458722466,93.56474877159611,L15V,1.9819061901800843,15.0
gRNA_CDK7_targ_12,CDK7,0.730767319939994,0.7959828584888526,-0.26750949594802376,0.4197468941602743,0.730767319939994,493.91185740870856,0.07414159021511645,0.9807884871220831,0.39472865630423587,0.9999999459538456,0.07414159021511645,0.39472865630423587,-0.7428262048631974,-0.6905797283277049,0.5543301443521195,-0.29302526294626097,-0.6905797283277049,0.283439910012851,0.6097385064717651,0.6352963500288039,0.9999999460777573,0.283439910012851,0.6352963500288039,82.0024870934921,L15V,9.78131162779013,15.0
gRNA_CDK7_targ_13,CDK7,-0.173522531675114,0.806223629348872,-1.606179351840987,-0.32449275138907635,-0.173522531675114,667.4239412688274,0.21243077837714522,0.8533121289883658,0.6962017106477868,0.9999999459538456,0.21243077837714522,0.6962017106477868,-0.5673660903888643,-0.5188816007374246,-0.4481388680160666,-0.5114621863807852,-0.5188816007374246,0.7481992443232595,0.5504845371107863,0.9788915971928387,0.9999999460777573,0.5504845371107863,0.9788915971928387,67.23534709713178,L15V,13.238707219066097,15.0
gRNA_CDK7_targ_14,CDK7,0.40826912072348237,-0.9405373220730306,1.0281869053989552,0.16530623468313563,0.40826912072348237,228.86841442742306,0.09545898329664276,0.9468130744995794,0.451651688734549,0.9999999459538456,0.09545898329664276,0.451651688734549,0.5271550478455043,0.5417947324476303,-0.030772857071072197,0.3460589744073541,0.5271550478455043,0.03010599772183803,0.990021111729794,0.16739179996052508,0.9999999460777573,0.03010599772183803,0.16739179996052508,59.67396034064773,L15V,14.392055697146764,15.0
gRNA_CDK7_targ_15,CDK7,-0.5168655894520281,-1.6344011474651174,-1.202404027077524,-1.11789025466489,-1.202404027077524,381.5985312938407,0.6240747173744039,0.6511247904163286,0.99999800387003,0.9999999459538456,0.6240747173744039,0.99999800387003,0.1311144223548813,0.13323702253511024,-0.0004997164226107615,0.08795057615579359,0.1311144223548813,0.16780520337375676,0.9600323070687989,0.471790118651242,0.9999999460777573,0.16780520337375676,0.471790118651242,56.54257656424039,L18F,14.43812015246426,18.0
gRNA_CDK7_targ_16,CDK7,0.8042858333195329,1.737894092863515,1.9341749201005727,1.49211828209454,1.737894092863515,329.1233976910034,0.0009003874412159109,0.9997169193980816,0.029209498316285467,0.9999999459538456,0.0009003874412159109,0.029209498316285467,0.5386618387178359,0.5586006207656302,0.6050452584687712,0.5674359059840791,0.5586006207656302,0.006868338305792187,0.9994217299815525,0.07181483579933641,0.9999999460777573,0.006868338305792187,0.07181483579933641,52.97187816468022,L18F,11.67977980317312,18.0
