gRNA_id,Gene,classification,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,base_RPM,base_RAW,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_T0,FDR_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.6118183287018952,-0.34179265326584846,-0.5021139945278521,-0.07736277303060178,-0.34179265326584846,723.1802406308316,27029.0,0.019082486172004857,-0.6156039666401736,-0.02260771380040684,-0.2063763980895252,-0.02260771380040684,0.21191801543099797,-0.37675793078904735,-0.24465449923954102,-0.1364981381991968,-0.24465449923954102,-0.16459530941788372,-0.16459530941788372,-0.16459530941788372,0.43640455554419566,0.999968115375282,0.5148675825461166,0.9914195603594156,0.4050201481625185,0.9999999620073989,0.0818918108189181,0.30625293635020057
gRNA_CDK7_targ_2,CDK7,targeting,-0.5587415967593693,0.7224892149701266,1.704890982378745,0.6228795335298342,0.7224892149701266,360.6599971648328,9500.0,0.6252817442613805,0.7270593714831137,1.8184087649722849,1.0569166269055932,0.7270593714831137,0.26455805025417584,-0.22748843422394172,0.08025003746941392,0.03910655116654935,0.08025003746941392,0.6497099436932904,0.6497099436932904,0.6497099436932904,0.06982022448763231,0.999968115375282,0.044663780586375004,0.9994775002551632,0.6076135300275489,0.9999999620073989,0.46535346465353455,0.8462945009846842
gRNA_CDK7_targ_3,CDK7,targeting,1.166844846479921,0.9272008246458568,-1.4265155994937013,0.22251002387735888,0.9272008246458568,239.63009495836047,6695.0,-1.1603221698322908,0.33098560569156316,-0.35827481882206086,-0.3958704609875961,-0.35827481882206086,0.5101674691961845,-0.43524593946123097,-0.039703299327979405,0.01173941013565804,-0.039703299327979405,-0.02703593243984092,-0.02703593243984092,-0.02703593243984092,0.13316932215805263,0.999968115375282,0.5739383619257747,0.9914195603594156,0.5421104482448369,0.9891239814992575,0.16808319168083188,0.5208480287045074
gRNA_CDK7_targ_4,CDK7,targeting,0.23290964960334173,-0.272740814264054,0.2292008725256569,0.06312323595498155,0.2292008725256569,1026.1346382492911,31884.0,-1.0960993047147518,0.29635799493374665,-0.26743239461126656,-0.3557245681307572,-0.26743239461126656,-0.8330281913817255,-0.7064738984757565,-0.24964748525798278,-0.596383191705155,-0.7064738984757565,-1.1524914080111794,-1.1524914080111794,-1.1524914080111794,0.4290653060220798,0.999968115375282,0.5581824907367203,0.9914195603594156,0.06174490814294195,0.7732275194047318,9.999000099990012e-05,0.003211443561526204
gRNA_CDK7_targ_5,CDK7,targeting,-0.6024357544906186,-0.5817503968715422,0.5985133455155803,-0.1952242686155268,-0.5817503968715422,358.7997508636668,9451.0,0.9595638594823376,0.3733759750888855,-0.9241780949665035,0.1362539132015732,0.3733759750888855,-0.21021301713598783,-0.531130880814167,-0.516625141212661,-0.41932301305427194,-0.516625141212661,-1.3771128702227153,-1.3771128702227153,-1.3771128702227153,0.4893937245173351,0.999968115375282,0.27808983773481544,0.9914195603594156,0.1746917888466332,0.9879668917198489,9.999000099990012e-05,0.003211443561526204
gRNA_CDK7_targ_6,CDK7,targeting,-0.864521756359618,0.6593059803313742,-0.1670147474564717,-0.12407684116157185,-0.1670147474564717,722.5169789221612,28215.0,-1.2958312390655735,-1.1509417804252178,1.102181318357889,-0.4481972337109675,-1.1509417804252178,-0.007458940645852237,-0.19250719376242661,0.21504895350361156,0.005027606365110904,-0.007458940645852237,-1.191647122806658,-1.191647122806658,-1.191647122806658,0.44121165363960657,0.999968115375282,0.47866613064157615,0.974277481309884,0.5959035338319851,0.9999999620073989,9.999000099990012e-05,0.003211443561526204
gRNA_CDK7_targ_7,CDK7,targeting,0.7833211189520761,1.3715727693088886,0.1521288404343786,0.7690075762317812,0.7833211189520761,455.8998815864756,14005.0,-0.4486353687873344,-0.2741607932745381,0.2933998754260846,-0.14313209554526263,-0.2741607932745381,0.1882402573695168,-0.30210058603883705,0.16821924370613286,0.018119638345604205,0.16821924370613286,0.028188206292058357,0.028188206292058357,0.028188206292058357,0.06954173937508266,0.999968115375282,0.48280873551434,0.9914195603594156,0.6090102330445504,0.9999999620073989,0.1888811118888111,0.5310214505388428
gRNA_CDK7_targ_8,CDK7,targeting,-2.220059364405036,1.6365965654092334,-0.2013822770279934,-0.2616150253412653,-0.2013822770279934,252.86899537049212,7768.0,-0.8790328830705811,-0.6152916588468369,-1.9834013667043633,-1.1592419695405938,-0.8790328830705811,0.5778984939866022,0.5419279445375647,0.7078417937642136,0.6092227440961269,0.5778984939866022,1.0036674609601828,1.0036674609601828,1.0036674609601828,0.20231181507273838,0.9241545066170535,0.27461204287326096,0.888803316264651,0.09442027003506648,0.5104303706846168,0.3073692630736927,0.9125087491250875
gRNA_CDK7_targ_9,CDK7,targeting,-0.474015766700042,-1.841879059545113,-0.7070490311853943,-1.0076479524768498,-0.7070490311853943,429.5270745182019,11314.0,0.21627987135493562,-1.392628949551107,-0.17659238336287258,-0.45098048718634803,-0.17659238336287258,-1.0443330471755452,-0.7712333684164288,-0.9225636942308217,-0.9127100366075985,-0.9225636942308217,-0.506892556964841,-0.506892556964841,-0.506892556964841,0.22801382181692856,0.8267723039964338,0.5892268867367787,0.9914195603594156,0.007166110137644357,0.378506708923046,0.04619538046195378,0.2683263588534762
gRNA_CDK7_targ_10,CDK7,targeting,-1.0692937217783185,-0.40597695788057253,-0.08547824023692888,-0.5202496399652733,-0.40597695788057253,147.64281357621417,3889.0,0.7948437036532237,-1.1049217222403247,-0.1886682231793317,-0.16624874725547759,-0.1886682231793317,1.1692513175450412,0.9696082467710699,0.9656403368087723,1.0348333003749612,0.9696082467710699,0.8370052743757163,0.8370052743757163,0.8370052743757163,0.45569826844679684,0.9617652019823987,0.4131430889851994,0.9914195603594156,0.009675369316304935,0.1544664224182016,0.37536246375362464,0.881343718614356
