gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_T0,FDR_ABE_T0,p_ABE_TAGTO,FDR_ABE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-0.9176650070551474,-0.42483433100495605,-0.9560807021658202,-0.7661933467419746,-0.9176650070551474,336.66095338327824,1229.0,-1.7140558745982102,0.1461787795353089,1.3454723960993347,-0.0741348996545222,0.1461787795353089,2.231073887693827,0.19417550361679334,-1.362417970994101,0.3542771401055065,0.19417550361679334,-1.3833902247103047,-2.508867322729571,-0.6827316828297927,-1.5249964100898896,-1.3833902247103047,-0.06468070523242946,-1.062799761617593,-0.04726593019584277,-0.3915821323486217,-0.06468070523242946,1.5502126181039775,0.5654519324551346,1.5473434148013576,1.2210026551201565,1.5473434148013576,-0.5083468233129502,-0.9976311130325061,2.5906304576077916,0.3615508404207784,-0.5083468233129502,1.7280249626657969,1.7280249626657969,1.7280249626657969,0.2226863699857014,0.5098049624440129,0.26858499542887937,0.6041414219463097,0.10081139312272476,0.8720507408803352,0.036862159710522535,0.17459205583339124,0.3433722910777571,0.7130252719368733,0.01252822642163674,0.18029751937225044,0.13014078557682968,0.9461279800490446,0.08989101089891012,0.9536514297288221
gRNA_CDK2_targ_6974,CDK2,targeting,-3.197902864288542,-3.0226964631288458,-1.1794479676080862,-2.466682431675158,-3.0226964631288458,256.947090539882,599.0,-2.5938030273446984,-0.7383227052626324,-1.8319897550438629,-1.7213718292170646,-1.8319897550438629,-1.0099270511466067,-3.2257494985889594,-5.170567526409595,-3.135414692048387,-3.2257494985889594,-1.607683757691992,-2.776431711877412,-1.5575666399802324,-1.9805607031832118,-1.607683757691992,-1.6009340801466019,-2.5718079953312065,-2.9581666471801227,-2.3769695742193107,-2.5718079953312065,-1.564488156120931,-1.2884024951894781,0.11791630190449046,-0.9116581164686396,-1.2884024951894781,-1.2586713819660023,-2.058861864602042,-0.22759590344273153,-1.1817097166702586,-1.2586713819660023,0.3282407797388046,0.3282407797388046,0.3282407797388046,0.0016762982951467713,0.019646370719468856,0.00609537567424899,0.10237993656891883,0.004239519365083531,0.11137150078116259,0.01038994274616593,0.07939125043420665,4.031640226559428e-06,0.00010109643295387656,0.022954203186825457,0.5187949314248106,0.24299973829612634,0.6343289698424118,0.41705829417058293,0.7677769486677584
gRNA_CDK2_targ_6975,CDK2,targeting,-1.4880521272862057,-3.2098094723230273,-2.500966003309535,-2.3996092009729226,-2.500966003309535,299.1324337628477,1092.0,-2.6005894790877413,-0.14790472016314715,-0.2355298311957087,-0.9946746768155325,-0.2355298311957087,-0.32551484955126814,-1.0949469392417046,-1.6647343107696877,-1.02839869985422,-1.0949469392417046,-1.6395062341109155,-2.0233579478204318,-1.2784406630509573,-1.6471016149941013,-1.6395062341109155,-0.995034548500943,-1.7858241472114975,-1.5700612769846503,-1.4503066575656967,-1.5700612769846503,0.7744265770962401,0.6242921468866949,-0.05652942141628345,0.44739643418888386,0.6242921468866949,-2.379158643412176,-0.40756434813412495,0.7102024904574081,-0.6921735003629642,-0.40756434813412495,0.8364937717934777,0.8364937717934777,0.8364937717934777,0.001850727113523365,0.02122267029445411,0.07162056400641328,0.2937309599826185,0.2714352526507062,0.6399495039140244,0.02350353059691859,0.13506369145104258,0.015576579391909127,0.10387275964047829,0.21085039961128388,0.7138163938079433,0.39001092137262444,0.7676950849741151,0.3535646435356464,0.8678150838606324
gRNA_CDK2_targ_6976,CDK2,targeting,-4.2076639958252295,-3.6091841565792815,-3.1555831652434554,-3.6574771058826556,-3.6091841565792815,239.68945013048693,662.0,-2.504072729109392,0.08557314814967218,0.41089694846293673,-0.6692008774989276,0.08557314814967218,1.80345082287605,-1.078961285435663,-3.6266615770736297,-0.9673906798777475,-1.078961285435663,-2.344886024287827,-3.8314997186588085,-3.962572854486139,-3.379652865810925,-3.8314997186588085,-2.1917915652920787,-1.3788441397670534,-2.6434073762785486,-2.071347693779227,-2.1917915652920787,-0.6003454761673391,-0.4157660886349633,1.216557428498592,0.06681528789876319,-0.4157660886349633,-4.647240484089069,-3.2357281221122363,-3.1237890927226872,-3.6689192329746643,-3.2357281221122363,1.1633255973023715,1.1633255973023715,1.1633255973023715,2.6241969598466617e-08,1.6704022955947017e-06,0.10775142441338083,0.36098908381405925,0.10758629986535068,0.4167282458553087,0.00015772530904363194,0.004232759890303514,2.285714209837065e-05,0.000428752867223875,0.3970701182268871,0.86762445774413,0.005051861580574604,0.11079972124106095,0.221077892210779,0.9318154244319523
gRNA_CDK2_targ_6977,CDK2,targeting,-1.044187557281302,-1.1422795605293228,-0.9930412816555478,-1.0598361331553907,-1.044187557281302,367.61068928836187,301.0,-2.383384513551763,0.2814603039661232,0.912728151980439,-0.3963986858684003,0.2814603039661232,2.485288733642666,0.8804854074851787,-1.2930184613973836,0.6909185599101537,0.8804854074851787,-1.3871544073627957,-1.5143474918386532,-0.9118397933003077,-1.2711138975005856,-1.3871544073627957,-1.1461391582461196,0.6229978612827483,-0.8160330459913088,-0.44639144765156,-0.8160330459913088,0.6440667618012182,0.25818280059356274,0.35352972670084687,0.4185930963652093,0.35352972670084687,-1.0285567794407346,-1.6834950126603498,2.654249379063462,-0.01926747101254082,-1.0285567794407346,0.9846131675670878,0.9846131675670878,0.9846131675670878,0.12472168533637668,0.3389398837959005,0.14496453301580003,0.43135186487171623,0.04114200015667227,0.6320603544352916,0.07790529649179731,0.2858830724920722,0.2713986625370564,0.6273251208084195,0.2226119750964027,0.7217412559536632,0.1679303996409037,0.8169509754635502,0.3281671832816719,0.880482023056602
gRNA_CDK2_targ_6978,CDK2,targeting,-1.31253250221051,-1.424196055813458,-0.12553908908163391,-0.9540892157018673,-1.31253250221051,258.1701250415602,740.0,-0.8413503595312629,0.492960367583041,0.6175621810527645,0.08972406303484753,0.492960367583041,-0.639330937091138,-2.665158475160312,0.08824396374138666,-1.0720818161700212,-0.639330937091138,-1.1070931500328227,-0.9149383914160865,-0.7641090009318365,-0.928713514126915,-0.9149383914160865,0.16256591687570995,-1.064532196663293,0.27273019062222553,-0.20974536305511915,0.16256591687570995,1.2291983004485219,1.0256958110316003,2.0082021264810215,1.421032079320381,1.2291983004485219,-2.4305550381067262,0.2733100701545463,-0.23704324359156456,-0.7980960705145815,-0.23704324359156456,1.4452996808721696,1.4452996808721696,1.4452996808721696,0.11403985679178434,0.3193552249364581,0.4755962112441834,0.8936196764640465,0.16997341908705382,0.508690793108633,0.19872315276236918,0.5122847629621822,0.4392753125252691,0.8172475131700109,0.004173570151934271,0.07590394067528812,0.3576244888638531,0.7342600764624541,0.18068193180681932,0.9398038020175806
gRNA_CDK2_targ_6979,CDK2,targeting,-1.6747335320428127,-0.8768844884314664,-0.6720575734452634,-1.0745585313065142,-0.8768844884314664,365.9735961737792,696.0,-1.8257648743475914,-0.11265833524411833,0.46088719909449727,-0.49251200349907087,-0.11265833524411833,-0.35706398083404145,-2.184698593094282,-1.643483093759319,-1.3950818892292143,-1.643483093759319,-0.935599788754158,-1.3875496475834102,-1.4867034767127054,-1.269950971016758,-1.3875496475834102,-1.342600358460286,-0.86503318513783,-3.4913636641113137,-1.8996657359031432,-1.342600358460286,-1.2456594623418868,-0.05176175693693073,-0.22896176585040262,-0.5087943283764067,-0.22896176585040262,0.42740553462486713,-1.4916132207673203,0.5001687618383902,-0.188012974768021,0.42740553462486713,0.8325735840250498,0.8325735840250498,0.8325735840250498,0.0824231382809434,0.24884442684965763,0.1733244866944227,0.47808670913211604,0.11325853638458847,0.42600654026475887,0.07790529649179731,0.2858830724920722,0.00021196932394694046,0.0027169562955199713,0.17349806290630593,0.9999597288618695,0.5169183775159267,0.9048503635615149,0.3535646435356464,0.8678150838606324
gRNA_CDK2_targ_6980,CDK2,targeting,-2.0412997207914665,-0.9781861608240022,-0.47296078431571775,-1.1641488886437288,-0.9781861608240022,355.5072397531754,579.0,-1.5001008029847536,-2.3322041949685732,-0.3176365770774178,-1.3833138583435816,-1.5001008029847536,-1.9077627595111155,-1.8246046609122042,-1.3426483049542024,-1.691671908459174,-1.8246046609122042,-1.363543392945837,-2.2505141942844675,-1.0326780885888553,-1.5489118919397198,-1.363543392945837,-0.2004932180610164,-1.7656984635434905,-1.2635250153408555,-1.0765722323151208,-1.2635250153408555,0.001810481910692064,0.15747990507893275,0.48381432995150564,0.21436823898037682,0.15747990507893275,-0.7983807205355264,-1.3268147053431762,-2.024268387601856,-1.3831546044935195,-1.3268147053431762,1.027702788084843,1.027702788084843,1.027702788084843,0.08082096350985667,0.24542879744736293,0.015748291509496887,0.1529063615188461,0.07818199604039684,0.36142794258898536,0.03781920034578341,0.177814706171226,0.052457948732083017,0.23230468927106174,0.39930029860527283,0.86762445774413,0.18398446109412245,0.5576818371992174,0.27287271272872715,0.9318154244319523
gRNA_CDK2_targ_6981,CDK2,targeting,-1.6908016620023616,-1.00104210198938,-1.6492975922052542,-1.447047118732332,-1.6492975922052542,366.79334139968233,513.0,-1.9263304872505256,-1.2484435796955187,0.2703187421380442,-0.9681517749360001,-1.2484435796955187,1.1244112089399614,-1.1968820251538481,-2.8441062503522736,-0.9721923555220534,-1.1968820251538481,-4.3492340687652495,-1.2991049408311022,-2.193421816924708,-2.61392027550702,-2.193421816924708,-0.5560099497724225,-1.2322457406602638,-1.3768608213294165,-1.0550388372540342,-1.2322457406602638,-1.8148066216586745,-0.5106691362737928,-0.4668021936158464,-0.9307593171827713,-0.5106691362737928,-2.104364802469728,-0.721318846608094,1.2454379030665907,-0.5267485820037437,-0.721318846608094,0.7422456162127508,0.7422456162127508,0.7422456162127508,0.021661707639448826,0.10127154277764917,0.04602308572107083,0.2384574751698579,0.15966925952984196,0.49393013929324947,8.174399356363431e-05,0.002332522574962324,0.08153521695400838,0.3080839818695979,0.02672785445093416,0.5303852992314263,0.4080842968875275,0.7816576807380323,0.3668633136686331,0.8678150838606324
gRNA_CDK2_targ_6982,CDK2,targeting,-2.830998344409086,-0.32145905985821743,-0.5007148916122247,-1.2177240986265094,-0.5007148916122247,664.6136327083407,756.0,-0.2500771310888905,-0.5507328191071559,0.4098456880716246,-0.1303214207081406,-0.2500771310888905,1.3543938689242316,-0.5560015812111379,-0.5232039392138684,0.09172944949974178,-0.5232039392138684,-1.0732534919293797,-0.3359870217097452,-0.6652745385186504,-0.6915050173859251,-0.6652745385186504,0.6439678879735561,-1.6102838045553316,-0.5965711308066566,-0.5209623491294774,-0.5965711308066566,-0.7783975049893097,-0.8329824491952846,-0.82413510637792,-0.8118383535208381,-0.82413510637792,-1.14656563799171,-1.3334617003533904,1.61478148353046,-0.2884152849382134,-1.14656563799171,0.24828225034026608,0.24828225034026608,0.24828225034026608,0.07350147210120771,0.23348356300863485,0.4876827438099498,0.831220330592654,0.33602600412718264,0.9846832248901894,0.314784033715619,0.690938429442108,0.1904853797369301,0.5134418623202269,0.0627342845360464,0.7524217839879636,0.45248900801737524,0.815607897485331,0.34756524347565243,0.6897128033000057
gRNA_CDK2_targ_6983,CDK2,targeting,-2.414084346678053,-1.9542028987855893,-1.630590702998506,-1.9996259828207161,-1.9542028987855893,391.0928515832283,824.0,-1.277340652280504,-1.2422824638044299,0.15465310053299658,-0.7883233385173124,-1.2422824638044299,-0.5430215883550209,-1.869655374061972,-1.0115215733689766,-1.1413995119286564,-1.0115215733689766,-2.168541011409011,-2.234098054341019,-2.047476555861592,-2.1500385405372073,-2.168541011409011,-2.0886889298932543,-1.8180266485981222,-4.257670831451623,-2.7214621366476663,-2.0886889298932543,-0.16998892257894938,-1.048950242029045,-0.02961679904215958,-0.4161853212167181,-0.16998892257894938,-2.121800249202628,-0.7118496063967779,-0.12493895478876905,-0.9861962701293917,-0.7118496063967779,0.7148881160894419,0.7148881160894419,0.7148881160894419,0.005664823418512743,0.04223100341278644,0.08426192085375604,0.31730243867188007,0.20669577166060338,0.5617101840694558,0.006129467878770377,0.05699027718744368,1.577645646145804e-05,0.00031765821018933204,0.23411817910056593,0.9999597288618695,0.3116824607371906,0.6937454357039424,0.3912608739126088,0.8678150838606324
