gRNA_id,Gene,classification,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,base_RPM,base_RAW,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_ABE_T0,FDR_ABE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.01325367243048478,0.8474480850859144,0.2977166436861221,0.3773036854471839,0.2977166436861221,668.0921254501521,25050.0,0.33593805628928813,0.5541799251906021,-0.5238440126305951,0.12209132294976506,0.33593805628928813,0.7378356517273691,0.3360580030285212,0.024649830204673862,0.3661811616535214,0.3360580030285212,-0.05045136146869192,-0.05045136146869192,-0.05045136146869192,0.23868054448060236,0.9999994608738572,0.20370741132953832,0.7865929744407915,0.22359178492861576,0.9999999116323887,0.13988601139886012,0.47736101389861013
gRNA_CDK7_targ_2,CDK7,targeting,-0.0184905707212213,-0.7907291750284489,-0.6113926210612305,-0.47353745560363353,-0.6113926210612305,336.2800513389582,7496.0,-1.3585110489263652,-0.15109919392302926,0.2351544096137776,-0.42481861107853897,-0.15109919392302926,0.23182034335935503,-0.03518541049057568,-0.7459671938826158,-0.18311075367127883,-0.03518541049057568,0.7503969838303557,0.7503969838303557,0.7503969838303557,0.33471763062936843,0.807734616348721,0.5194872706223645,0.9999265458158005,0.3734995953947139,0.8043450154329572,0.4736526347365262,0.8546409073567194
gRNA_CDK7_targ_3,CDK7,targeting,0.885564431015213,0.9021720378413707,-0.9618758004182062,0.2752868894794591,0.885564431015213,256.71515272515376,5043.0,1.2118894946676726,0.014208031434258504,0.07424814734532524,0.4334485578157521,0.07424814734532524,0.23420888904662956,0.45830223676227577,0.7937488056679962,0.4954199771589672,0.45830223676227577,-0.12599620963267327,-0.12599620963267327,-0.12599620963267327,0.168752649115973,0.9677218524980652,0.06811852289126061,0.5411865560442627,0.13087446220754032,0.8758666306001923,0.1252874712528747,0.4628346366987117
gRNA_CDK7_targ_4,CDK7,targeting,-0.21052784642569167,0.005500741383655512,-0.6333759777250393,-0.2794676942556918,-0.21052784642569167,593.9120858613676,13564.0,-0.6640125920757012,-0.40896895894678675,-0.03676567733133859,-0.36991574278460887,-0.40896895894678675,-0.11393971493100213,-0.13138679851915383,-0.6121878182285129,-0.28583811055955627,-0.13138679851915383,-0.3646144960569383,-0.3646144960569383,-0.3646144960569383,0.46062598078455863,0.8726459358769774,0.5801760491592787,0.9999265458158005,0.2934376665894153,0.7537920828631716,0.08199180081991801,0.3724419571354013
gRNA_CDK7_targ_5,CDK7,targeting,-0.9128742967361637,-1.1020837702781872,-1.8651038386911607,-1.293353968568504,-1.1020837702781872,548.5040195545373,11898.0,-0.9973702469291832,-1.34728606594938,-0.11843786239921344,-0.8210313917592589,-0.9973702469291832,-0.662019533346907,-0.48153465159395664,-0.9900270211191745,-0.7111937353533461,-0.662019533346907,-1.9880487169495331,-1.9880487169495331,-1.9880487169495331,0.047319611402524595,0.42642062570906014,0.3370657734872386,0.9385851958586614,0.058308507571104236,0.44094799354325365,9.999000099990012e-05,0.0016345670822139361
gRNA_CDK7_targ_6,CDK7,targeting,-0.27640358636965834,0.7139182145724544,-0.6630902570769669,-0.07519187629139028,-0.27640358636965834,621.6057152840996,22854.0,0.30659573530214207,-0.20950559936377397,-0.6304275553415044,-0.17777913980104543,-0.20950559936377397,0.1594644945190362,0.17653680241030761,-0.20458232169228616,0.04380632507901921,0.1594644945190362,-0.9749390698909819,-0.9749390698909819,-0.9749390698909819,0.4884264032980097,0.9123921189319546,0.4225181690485313,0.9999265458158005,0.6114219712498286,0.9572082819730237,0.007599240075992402,0.10270260102702602
gRNA_CDK7_targ_7,CDK7,targeting,-0.41348190193951617,-0.5309630116041797,-0.1885124300208916,-0.37765244785486246,-0.41348190193951617,867.6663120666585,21960.0,-1.222860076701494,-0.24508594294269798,0.0014172821791093137,-0.48884291248836087,-0.24508594294269798,-0.6983048927745285,-0.1849899736399242,-0.16666714617550957,-0.3499873375299874,-0.1849899736399242,-0.8987358142079129,-0.8987358142079129,-0.8987358142079129,0.3987970621019486,0.841262077674675,0.5550485701083898,0.9999265458158005,0.22255078968957087,0.6857377605559012,0.021097890210978906,0.2350907766366221
gRNA_CDK7_targ_8,CDK7,targeting,0.1203037806412534,-0.7384658690166508,1.9194850875715372,0.43377433306538,0.1203037806412534,338.8591589856328,7739.0,-1.278434417554643,-2.747563238633225,-0.5207536740518232,-1.5155837767465636,-1.278434417554643,-0.6678687035124097,-0.145188609371729,-0.7866162584189801,-0.5332245237677062,-0.6678687035124097,0.5828146695383635,0.5828146695383635,0.5828146695383635,0.11770966645871143,0.9410003751121482,0.06967091523008533,0.6748701765976703,0.11675279951030763,0.5467155105714234,0.4216578342165782,0.8169807575665425
gRNA_CDK7_targ_9,CDK7,targeting,-0.5442066522571778,-0.3813608959900839,-0.7838986589965337,-0.5698220690812651,-0.5442066522571778,345.0875852774259,7831.0,-0.9458663971212662,-1.4846883349345175,-0.21755339086730338,-0.8827027076410291,-0.9458663971212662,-0.29883880482530767,-0.6861378858097567,-0.7349688392065942,-0.5733151766138862,-0.6861378858097567,-0.1919257804762358,-0.1919257804762358,-0.1919257804762358,0.2871574744805473,0.7817914953061048,0.27646730223457966,0.9041818712761012,0.10334102957068737,0.5253692818840079,0.1160883911608839,0.4546934115770632
gRNA_CDK7_targ_10,CDK7,targeting,-1.6084892313167864,0.3132239672867642,1.4941884192147201,0.06630771839489931,0.3132239672867642,146.7402345000693,4006.0,-1.3814462562559848,-1.2497312185525151,-2.5417992404414944,-1.7243255717499981,-1.3814462562559848,0.4658911693163113,-0.22184975685012887,-0.7520279289161744,-0.16932883881666397,-0.22184975685012887,0.8457922167529978,0.8457922167529978,0.8457922167529978,0.17072277726912166,0.8711396012941167,0.03696966914733988,0.6041841722006231,0.32070831185446896,0.7646582457316159,0.4875512448755124,0.865342037224849
gRNA_CDK7_targ_11,CDK7,targeting,0.5972256648001797,-0.30282687084626786,-0.17719948938745206,0.03906643485548659,-0.17719948938745206,884.5804499117583,21004.0,-0.7658145777522403,0.13024889161984082,0.0705804561373638,-0.18832840999834524,0.0705804561373638,0.06430725650066886,-0.17109466531116427,-0.7573577812464262,-0.28804839668564053,-0.17109466531116427,-0.9864201020312927,-0.9864201020312927,-0.9864201020312927,0.49438555123558214,0.9677218524980652,0.44242635787078954,0.9999265458158005,0.2714374350030252,0.7336873243151076,0.007599240075992402,0.10270260102702602
gRNA_CDK7_targ_12,CDK7,targeting,0.1558288440947972,-0.22812787886401006,0.01844882704187627,-0.017950069242445535,0.01844882704187627,973.6542604314852,24106.0,-0.09049238755762676,-0.15448736256041987,0.10605747475781042,-0.04630742512007874,-0.09049238755762676,0.3112825768639451,-0.3028557521302972,-1.3964154238860562,-0.4626628663841361,-0.3028557521302972,-0.9620316143562253,-0.9620316143562253,-0.9620316143562253,0.5998026398773846,0.9677218524980652,0.3712011199103321,0.9876988863111176,0.123152383289341,0.5591534015839931,0.007599240075992402,0.10270260102702602
gRNA_CDK7_targ_13,CDK7,targeting,0.28179678022390453,0.14043168352114538,0.3598312716567625,0.2606865784672708,0.28179678022390453,568.5584004130277,21089.0,-0.2942841956004409,-0.06610896686819712,-0.7321663387689888,-0.36418650041254225,-0.2942841956004409,-0.1183845995272398,0.09550902992589799,0.5196920015317887,0.165605477310149,0.09550902992589799,0.2117399134176752,0.2117399134176752,0.2117399134176752,0.37224702895001704,0.9999994608738572,0.593591662620871,0.9999265458158005,0.42203254796882994,0.9999999116323887,0.23827617238276175,0.6358689644232058
gRNA_CDK7_targ_14,CDK7,targeting,-1.8122869386133325,-1.0577189299660155,0.796805864425968,-0.6910666680511266,-1.0577189299660155,171.3470561318397,5067.0,-0.6858020062229572,-0.6567113136075293,-5.241996421133548,-2.1948365803213448,-0.6858020062229572,-4.074474392944294,-1.3022685074419187,0.02629591270808343,-1.783482329226043,-1.3022685074419187,0.3984763886636557,0.3984763886636557,0.3984763886636557,0.15685245273071965,0.6465286842344184,0.0012125597814186236,0.2023005643548936,0.0002083359180110139,0.028437852808503396,0.35006499350064985,0.7895010815875624
gRNA_CDK7_targ_15,CDK7,targeting,0.1367992587090705,-0.22317527983127056,-1.2279239574662293,-0.43809999286280976,-0.22317527983127056,397.7081746392282,9754.0,-1.5641881237684794,-1.7926321697962546,0.241923090910073,-1.0382990675515538,-1.5641881237684794,-0.6607099077518587,-0.36443654547274273,0.05758088310085704,-0.3225218567079147,-0.36443654547274273,-0.08052733222490677,-0.08052733222490677,-0.08052733222490677,0.33610064086291375,0.807734616348721,0.15430431640024553,0.76452047871628,0.24968363382721195,0.7115201673781719,0.13988601139886012,0.47736101389861013
gRNA_CDK7_targ_16,CDK7,targeting,-0.7832966567712325,-0.38559276711864227,1.465474779344761,0.09886178515162869,-0.38559276711864227,234.69247863586924,5360.0,1.0889998633712037,1.0229876439451977,0.0872232025663535,0.7330702366275849,1.0229876439451977,0.3436934936896854,0.15877742434419254,1.0960563733085775,0.5328424304474851,0.3436934936896854,0.4605930215658834,0.4605930215658834,0.4605930215658834,0.2598943518479117,0.9087642616203403,0.020394749115092706,0.350173994240271,0.12052211738871317,0.8414971367549539,0.3649635036496351,0.7895010815875624
gRNA_CDK7_targ_17,CDK7,targeting,-1.0356070898876504,1.4417495407534,0.2237538800913602,0.20996544365236994,0.2237538800913602,167.6309732151361,3293.0,-0.5892664663872718,-1.2572304137305264,-0.4230191388126044,-0.7565053396434674,-0.5892664663872718,0.4006762892199511,0.4015729047705704,0.4652724801351636,0.42250722470856167,0.4015729047705704,0.9326824634927356,0.9326824634927356,0.9326824634927356,0.20320460623179482,0.9255154563736813,0.3935865375548472,0.985767336766218,0.20205629862266467,0.9993001725360046,0.44935506449355067,0.9045661270171914
gRNA_CDK7_targ_18,CDK7,targeting,-1.5654440620496437,-0.5881336104240298,0.8611817304414977,-0.4307986473440586,-0.5881336104240298,2280.1010774045667,55564.0,1.3637323373052355,-1.1313570751353652,-0.48990521026255773,-0.08584331603089583,-0.48990521026255773,-1.3737719404437438,-1.119633680124971,2.0847746955045947,-0.13621030835470668,-1.119633680124971,-2.4583739981314974,-2.4583739981314974,-2.4583739981314974,0.27165186183861484,0.7725752354359137,0.1407772804973263,0.6984696213332033,0.04360546471055651,0.4458753412344434,9.999000099990012e-05,0.0016345670822139361
gRNA_CDK7_targ_19,CDK7,targeting,-0.2837821234593131,-0.6206096690033301,-0.07374193627309948,-0.3260445762452476,-0.2837821234593131,1546.5065862815377,52355.0,1.2209206698959545,-0.21717088982782912,-0.18585538741223084,0.27263146421863155,-0.18585538741223084,-0.9507130808936688,-0.35836426585363707,0.4883351728441682,-0.27358072463437916,-0.35836426585363707,-1.6719000388128498,-1.6719000388128498,-1.6719000388128498,0.4361140097682191,0.8637823227089861,0.09069967295945264,0.5952166037964078,0.21657780457279313,0.6810486451232723,9.999000099990012e-05,0.0016345670822139361
gRNA_CDK7_targ_20,CDK7,targeting,0.028579223471550952,-0.339137659522313,0.23822450761521438,-0.02411130947851589,0.028579223471550952,615.5782174656671,21143.0,1.920733258115514,-1.1104952792853082,-0.8439384925513012,-0.011233504573698427,-0.8439384925513012,-0.7325040697531832,-1.094037958198717,0.9298330030050519,-0.2989030083156161,-0.7325040697531832,-0.7060319227336049,-0.7060319227336049,-0.7060319227336049,0.594508422964136,0.9677218524980652,0.05818738647373865,0.5207831971853465,0.14186879949128137,0.5829155899334681,0.03709629037096289,0.2637314393560643
gRNA_CDK7_targ_21,CDK7,targeting,-0.6703670008271687,0.826439998693748,0.3245782236892542,0.16021707385194447,0.3245782236892542,403.12225453808577,9236.0,0.26092915655416005,-0.6477751040394069,0.23252745842942643,-0.051439496351940124,0.23252745842942643,-0.03097472917318454,-0.19378288630276252,-1.4214906753495546,-0.5487494302751672,-0.19378288630276252,-0.05330811733769555,-0.05330811733769555,-0.05330811733769555,0.31320943110741994,0.9706718529357543,0.3235011615374721,0.9465493258015014,0.10047650079294045,0.5174122847498713,0.13988601139886012,0.47736101389861013
gRNA_CDK7_targ_22,CDK7,targeting,-1.295867640596179,-1.5093698785421026,0.2575641611164866,-0.8492244526739317,-1.295867640596179,196.3737452969848,6515.0,-0.6258227927482654,-2.3258026178171627,-1.140049616547463,-1.363891675704297,-1.140049616547463,-2.9899891062994737,-1.5641366989784689,-1.7926834888860523,-2.115603098054665,-1.7926834888860523,0.09321235937468578,0.09321235937468578,0.09321235937468578,0.13567463348439662,0.6241650794994575,0.08809569090929521,0.6892270874851495,0.00015394017030858698,0.02334759249680236,0.16978302169783022,0.4973258039002966
