gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_2363,237.0,156.0,98.0,187.0,756.0,66.0,177.0,365.0,381.0,209.0,552.0,371.0,14.0,146.0,164.0,3905.0
gRNA_CDK12_targ_2364,2566.0,662.0,1012.0,579.0,5300.0,682.0,2185.0,2758.0,1660.0,569.0,4269.0,1041.0,176.0,2531.0,237.0,6738.0
gRNA_CDK12_targ_2365,894.0,304.0,354.0,253.0,2666.0,219.0,485.0,732.0,494.0,85.0,233.0,373.0,28.0,145.0,163.0,4013.0
gRNA_CDK12_targ_2366,3860.0,177.0,420.0,885.0,528.0,1151.0,1663.0,1681.0,1181.0,1956.0,27.0,386.0,136.0,84.0,166.0,2591.0
gRNA_CDK12_targ_2367,1999.0,114.0,471.0,622.0,932.0,287.0,336.0,894.0,2624.0,1011.0,2717.0,623.0,6515.0,457.0,805.0,4680.0
gRNA_CDK12_targ_2368,344.0,97.0,147.0,181.0,1060.0,83.0,579.0,273.0,339.0,565.0,1434.0,280.0,196.0,162.0,278.0,3403.0
gRNA_CDK12_targ_2369,1430.0,1134.0,1594.0,2551.0,4174.0,1011.0,1609.0,1061.0,2544.0,1861.0,983.0,771.0,1820.0,1888.0,2009.0,8810.0
gRNA_CDK12_targ_2370,12678.0,1762.0,2524.0,2822.0,11070.0,1311.0,3109.0,2800.0,7531.0,1681.0,6534.0,754.0,6542.0,4927.0,2799.0,6144.0
gRNA_CDK12_targ_2371,968.0,440.0,1136.0,722.0,771.0,83.0,776.0,258.0,419.0,217.0,5.0,4.0,5.0,7.0,90.0,2818.0
gRNA_CDK12_targ_2372,73.0,573.0,2129.0,502.0,841.0,177.0,543.0,184.0,32.0,2.0,5.0,215.0,62.0,11.0,92.0,2314.0
