gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_7404,600.0,269.0,491.0,1334.0,107.0,239.0,636.0,219.0,448.0,477.0,501.0,627.0,1879.0,317.0,519.0,2046.0,773.0,527.0,356.0,711.0,914.0,737.0,514.0,509.0,205.0
gRNA_CDK2_targ_7405,328.0,1170.0,430.0,826.0,381.0,382.0,192.0,105.0,376.0,233.0,503.0,1025.0,1272.0,356.0,208.0,1271.0,1027.0,1925.0,630.0,1764.0,1027.0,731.0,109.0,948.0,166.0
gRNA_CDK2_targ_7406,849.0,2864.0,1792.0,1793.0,1526.0,1227.0,1099.0,91.0,1658.0,1446.0,1580.0,4987.0,2293.0,3176.0,1373.0,1691.0,1980.0,2471.0,1234.0,1407.0,1783.0,3166.0,1117.0,2158.0,849.0
gRNA_CDK2_targ_7407,2388.0,4325.0,3198.0,3986.0,3510.0,1341.0,2453.0,1275.0,3072.0,695.0,1937.0,4960.0,1475.0,1694.0,2543.0,3355.0,1824.0,2276.0,1184.0,3608.0,4297.0,3295.0,4078.0,1773.0,1273.0
gRNA_CDK2_targ_7408,2288.0,3670.0,5669.0,1365.0,4187.0,2182.0,1753.0,1067.0,2254.0,2281.0,2750.0,2191.0,6467.0,2449.0,1836.0,2563.0,2369.0,3795.0,1946.0,2844.0,2698.0,2955.0,1413.0,2784.0,1384.0
gRNA_CDK2_targ_7409,1737.0,1855.0,2104.0,3220.0,1578.0,2164.0,1133.0,385.0,1486.0,1880.0,2052.0,4745.0,3263.0,1873.0,3379.0,3252.0,2240.0,4014.0,1940.0,3837.0,2655.0,3329.0,2368.0,4289.0,1490.0
gRNA_CDK2_targ_7410,2094.0,3378.0,2226.0,1933.0,1093.0,2232.0,737.0,660.0,1838.0,188.0,1149.0,1375.0,2280.0,2503.0,2220.0,1912.0,1587.0,3337.0,1012.0,2463.0,1845.0,3035.0,2407.0,1483.0,760.0
gRNA_CDK2_targ_7411,1844.0,4120.0,3061.0,2691.0,2437.0,1997.0,2332.0,2944.0,1856.0,767.0,1881.0,4965.0,3644.0,1021.0,3486.0,1818.0,1111.0,1719.0,730.0,2565.0,3408.0,2313.0,3735.0,2460.0,721.0
gRNA_CDK2_targ_7412,2360.0,3639.0,1942.0,2113.0,984.0,1983.0,1398.0,902.0,3043.0,1028.0,1541.0,2544.0,3061.0,2188.0,4440.0,3476.0,1930.0,2527.0,1295.0,2429.0,3221.0,3723.0,2403.0,3731.0,1251.0
gRNA_CDK2_targ_7413,291.0,936.0,818.0,608.0,1010.0,690.0,732.0,2551.0,404.0,80.0,694.0,2752.0,916.0,315.0,688.0,952.0,614.0,718.0,221.0,473.0,1382.0,1318.0,699.0,1003.0,945.0
