gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK19_targ_6866,2763.0,3752.0,3723.0,10525.0,1751.0,4158.0,5480.0,7868.0,5176.0,3158.0,3494.0,1227.0,5966.0,5865.0,916.0,2432.0,796.0,15796.0,1820.0,2185.0,1585.0,4742.0,243.0,11023.0,7112.0,3851.0,158.0,3196.0,3788.0,7722.0,5189.0
gRNA_CDK19_targ_6867,4247.0,3417.0,2153.0,1689.0,3210.0,2269.0,3715.0,5985.0,1754.0,976.0,2578.0,820.0,3077.0,3216.0,757.0,102.0,2427.0,6180.0,957.0,457.0,1327.0,3581.0,160.0,5189.0,619.0,4582.0,387.0,470.0,1386.0,3040.0,4400.0
gRNA_CDK19_targ_6868,5806.0,3525.0,3222.0,3093.0,2663.0,6710.0,2968.0,4593.0,2209.0,2196.0,4625.0,1025.0,4048.0,3750.0,922.0,1744.0,2491.0,5714.0,835.0,484.0,1650.0,4540.0,205.0,12211.0,8273.0,2362.0,186.0,2617.0,1192.0,2801.0,3522.0
gRNA_CDK19_targ_6869,2988.0,3899.0,3075.0,4946.0,4510.0,8301.0,5048.0,8364.0,2021.0,7163.0,1672.0,749.0,3874.0,3964.0,798.0,5796.0,4038.0,4305.0,782.0,499.0,1794.0,5287.0,174.0,4742.0,503.0,2455.0,115.0,790.0,4728.0,8865.0,5659.0
gRNA_CDK19_targ_6870,4905.0,4184.0,2871.0,3360.0,4611.0,5196.0,3416.0,5496.0,3824.0,1790.0,7699.0,1428.0,4133.0,4109.0,1180.0,32700.0,6831.0,17686.0,1946.0,1185.0,3173.0,8363.0,218.0,936.0,2231.0,3974.0,1446.0,2377.0,5658.0,10528.0,6047.0
gRNA_CDK19_targ_6871,7322.0,3513.0,3738.0,4806.0,3148.0,6251.0,4110.0,7852.0,3316.0,6403.0,2639.0,872.0,4017.0,3828.0,1042.0,3817.0,3559.0,11035.0,1413.0,1701.0,1692.0,4343.0,135.0,14708.0,2808.0,3486.0,142.0,1681.0,2816.0,5348.0,5015.0
gRNA_CDK19_targ_6872,16445.0,14709.0,9895.0,8642.0,6808.0,9659.0,10559.0,14742.0,7016.0,12316.0,15027.0,3747.0,17475.0,16289.0,2540.0,19549.0,6453.0,18307.0,2551.0,6365.0,5466.0,14329.0,903.0,10432.0,6972.0,7750.0,661.0,5851.0,9591.0,17342.0,10794.0
gRNA_CDK19_targ_6873,10346.0,7980.0,5324.0,8595.0,4321.0,24287.0,5253.0,14065.0,4639.0,3666.0,16956.0,3275.0,10087.0,10154.0,1523.0,25006.0,5813.0,18879.0,2395.0,1873.0,3803.0,9779.0,423.0,16407.0,12311.0,3696.0,401.0,12034.0,6179.0,11664.0,5737.0
gRNA_CDK19_targ_6874,9511.0,13857.0,7580.0,20623.0,7816.0,19153.0,12144.0,17810.0,6052.0,4933.0,22440.0,4733.0,17222.0,15903.0,4176.0,46202.0,6325.0,23073.0,3160.0,20027.0,6587.0,16084.0,1197.0,16727.0,23332.0,7534.0,1164.0,8164.0,8456.0,15818.0,7429.0
gRNA_CDK19_targ_6875,9448.0,6557.0,5945.0,14566.0,4011.0,12442.0,5102.0,8285.0,2795.0,3247.0,3236.0,1561.0,9903.0,9083.0,1311.0,11979.0,5211.0,24651.0,2984.0,2098.0,2522.0,6994.0,389.0,5343.0,3302.0,5142.0,1263.0,4252.0,4571.0,9039.0,8849.0
gRNA_CDK19_targ_6876,3218.0,4321.0,2777.0,13703.0,2391.0,4519.0,3569.0,4632.0,2263.0,2924.0,17074.0,2660.0,6002.0,5654.0,908.0,7162.0,495.0,7274.0,917.0,9497.0,1158.0,2519.0,256.0,6722.0,22871.0,1629.0,343.0,6308.0,2115.0,5589.0,3618.0
gRNA_CDK19_targ_6877,17543.0,12473.0,9622.0,51574.0,11094.0,51102.0,9603.0,34027.0,12077.0,14244.0,21676.0,5272.0,19597.0,18912.0,4589.0,108729.0,17889.0,54023.0,6732.0,14581.0,8352.0,20921.0,8154.0,29996.0,16396.0,13119.0,860.0,36992.0,7731.0,20956.0,9051.0
gRNA_CDK19_targ_6878,8565.0,4730.0,3812.0,13028.0,4185.0,11446.0,6056.0,19361.0,4902.0,4788.0,10638.0,1961.0,5894.0,5581.0,1118.0,67889.0,3934.0,2860.0,655.0,12031.0,2172.0,5784.0,314.0,1125.0,5475.0,3533.0,235.0,13721.0,2243.0,4911.0,6854.0
gRNA_CDK19_targ_6879,8147.0,8473.0,4909.0,15674.0,6364.0,13073.0,8460.0,22981.0,8690.0,12301.0,26929.0,4913.0,13830.0,12774.0,2593.0,7399.0,20778.0,43582.0,5125.0,25695.0,4650.0,11509.0,2806.0,21165.0,9582.0,6441.0,1380.0,14999.0,7302.0,13680.0,7655.0
gRNA_CDK19_targ_6880,10095.0,5122.0,3711.0,16480.0,7393.0,11096.0,5514.0,15054.0,2373.0,4764.0,5323.0,1209.0,4355.0,4268.0,1713.0,4573.0,7174.0,22937.0,3018.0,3798.0,2612.0,6385.0,716.0,22435.0,13888.0,4507.0,645.0,10274.0,3858.0,8240.0,7163.0
gRNA_CDK19_targ_6881,4134.0,4712.0,3326.0,3302.0,3453.0,27091.0,2789.0,5883.0,2250.0,4685.0,23888.0,3335.0,5331.0,5096.0,1213.0,2203.0,4274.0,20924.0,2376.0,10787.0,1975.0,5471.0,510.0,9119.0,8508.0,2594.0,496.0,3299.0,5888.0,11161.0,6502.0
gRNA_CDK19_targ_6882,7026.0,6669.0,4379.0,11054.0,5535.0,9815.0,6110.0,8373.0,5469.0,5408.0,4582.0,1283.0,5539.0,5100.0,1427.0,3274.0,4746.0,12455.0,1757.0,929.0,2664.0,6816.0,268.0,13769.0,2812.0,4933.0,244.0,4439.0,6422.0,11470.0,7527.0
gRNA_CDK19_targ_6883,11235.0,8520.0,6023.0,11005.0,6577.0,12563.0,8581.0,15121.0,4188.0,24374.0,2296.0,1475.0,10352.0,8909.0,1911.0,28660.0,15018.0,30044.0,3389.0,8359.0,4052.0,9631.0,432.0,2585.0,1064.0,6378.0,284.0,8728.0,6489.0,11112.0,9073.0
gRNA_CDK19_targ_6884,8171.0,6550.0,5707.0,10655.0,6944.0,16976.0,7207.0,11442.0,7211.0,1885.0,3212.0,1679.0,9120.0,8994.0,1754.0,11110.0,3406.0,5987.0,1186.0,4032.0,3812.0,10428.0,279.0,10669.0,5980.0,5340.0,238.0,4800.0,5617.0,11226.0,7040.0
gRNA_CDK19_targ_6885,14208.0,7325.0,6349.0,10068.0,8530.0,10041.0,8009.0,15515.0,8876.0,8215.0,10823.0,2995.0,10196.0,10482.0,1988.0,7249.0,3317.0,12692.0,1916.0,1303.0,3897.0,11052.0,334.0,12332.0,9700.0,6916.0,374.0,7612.0,7357.0,15103.0,10450.0
gRNA_CDK19_targ_6886,6987.0,3728.0,2916.0,15241.0,5112.0,11719.0,5931.0,8790.0,2661.0,9243.0,2015.0,998.0,5863.0,5377.0,1279.0,7778.0,4672.0,10277.0,1313.0,784.0,1797.0,5410.0,1979.0,15049.0,8083.0,3581.0,228.0,4556.0,4185.0,7758.0,5346.0
gRNA_CDK19_targ_6887,6283.0,9380.0,4719.0,6054.0,7945.0,22820.0,5763.0,12910.0,4437.0,1721.0,16830.0,2344.0,3791.0,3467.0,2120.0,55696.0,8059.0,21994.0,3246.0,26573.0,2461.0,7146.0,594.0,17490.0,10820.0,5944.0,588.0,17810.0,7629.0,13814.0,8617.0
gRNA_CDK19_targ_6888,2969.0,4554.0,2973.0,2402.0,3246.0,5152.0,4609.0,7002.0,2216.0,2739.0,3943.0,723.0,2457.0,2408.0,770.0,3373.0,1114.0,7163.0,932.0,604.0,1321.0,3871.0,181.0,4102.0,3703.0,3202.0,163.0,2776.0,3490.0,6819.0,6755.0
gRNA_CDK19_targ_6889,7466.0,5575.0,4770.0,6032.0,3877.0,7414.0,4380.0,8515.0,4205.0,994.0,9666.0,1736.0,4078.0,4003.0,1330.0,2628.0,3544.0,10356.0,1342.0,1240.0,3041.0,8704.0,310.0,6496.0,8276.0,3715.0,287.0,2757.0,5741.0,10998.0,8216.0
gRNA_CDK19_targ_6890,3894.0,3387.0,3826.0,5263.0,3652.0,12994.0,4831.0,7057.0,5018.0,2450.0,3926.0,1300.0,6645.0,6158.0,1159.0,30698.0,3146.0,6947.0,1109.0,1935.0,2078.0,5796.0,195.0,11489.0,2238.0,2649.0,166.0,1799.0,5579.0,10606.0,6344.0
gRNA_CDK19_targ_6891,8717.0,8313.0,6718.0,6476.0,5997.0,15637.0,8351.0,13167.0,7053.0,6382.0,2741.0,1437.0,7507.0,7649.0,1903.0,3190.0,1619.0,10189.0,1566.0,3626.0,4250.0,13515.0,321.0,11530.0,1067.0,7603.0,278.0,2814.0,8572.0,16952.0,11158.0
gRNA_CDK19_targ_6892,6601.0,5576.0,4996.0,4662.0,6361.0,7235.0,5859.0,9727.0,3574.0,2842.0,3651.0,1982.0,10061.0,9831.0,1233.0,8093.0,3897.0,10189.0,1384.0,857.0,2863.0,8733.0,250.0,3349.0,7844.0,5451.0,312.0,1974.0,5954.0,12283.0,9598.0
gRNA_CDK19_targ_6893,1379.0,2262.0,1836.0,2225.0,832.0,3905.0,2067.0,2927.0,889.0,2136.0,4203.0,882.0,2043.0,2014.0,297.0,5337.0,163.0,5585.0,700.0,254.0,429.0,1228.0,78.0,345.0,1585.0,1359.0,113.0,832.0,1295.0,2690.0,3269.0
gRNA_CDK19_targ_6894,879.0,1575.0,1518.0,1895.0,1025.0,2262.0,2678.0,4390.0,2110.0,2003.0,937.0,250.0,794.0,764.0,340.0,77.0,168.0,2262.0,353.0,968.0,1068.0,3388.0,81.0,1014.0,283.0,1739.0,41.0,374.0,2311.0,4954.0,3133.0
gRNA_CDK19_targ_6895,474.0,2718.0,2963.0,3279.0,1617.0,6049.0,1978.0,3545.0,3508.0,2198.0,5321.0,1571.0,6480.0,6537.0,766.0,4841.0,2538.0,5163.0,781.0,582.0,1040.0,3031.0,187.0,13043.0,1729.0,3687.0,174.0,1287.0,3016.0,5899.0,5756.0
