gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK2_targ_6973,1351.0,660.0,815.0,1103.0,112.0,966.0,400.0,162.0,771.0,18.0,63.0,65.0,86.0,132.0,1037.0,11.0,44.0,6.0,220.0,350.0,7465.0,704.0,31.0,86.0,5394.0
gRNA_CDK2_targ_6974,152.0,77.0,193.0,270.0,16.0,27.0,32.0,11.0,13.0,3.0,2.0,9.0,181.0,247.0,2.0,87.0,5.0,4.0,146.0,227.0,945.0,50.0,3.0,10.0,1357.0
gRNA_CDK2_targ_6975,725.0,664.0,252.0,612.0,114.0,665.0,161.0,37.0,129.0,23.0,38.0,208.0,123.0,400.0,218.0,84.0,160.0,7.0,86.0,157.0,614.0,33.0,9.0,89.0,2293.0
gRNA_CDK2_targ_6976,46.0,68.0,306.0,313.0,69.0,853.0,29.0,20.0,41.0,18.0,39.0,6.0,24.0,133.0,262.0,9.0,29.0,0.0,16.0,83.0,84.0,12.0,3.0,42.0,2398.0
gRNA_CDK2_targ_6977,612.0,531.0,468.0,1442.0,184.0,274.0,93.0,1179.0,1656.0,540.0,235.0,254.0,282.0,1052.0,1815.0,78.0,535.0,11.0,16.0,581.0,1011.0,99.0,12.0,395.0,3293.0
gRNA_CDK2_targ_6978,568.0,894.0,1550.0,118.0,82.0,276.0,350.0,127.0,2198.0,281.0,147.0,700.0,362.0,1260.0,933.0,340.0,576.0,6.0,27.0,91.0,557.0,31.0,3.0,424.0,3464.0
gRNA_CDK2_targ_6979,278.0,677.0,400.0,803.0,78.0,681.0,140.0,405.0,54.0,197.0,909.0,383.0,441.0,1140.0,1129.0,699.0,414.0,10.0,111.0,514.0,2163.0,87.0,3.0,271.0,3184.0
gRNA_CDK2_targ_6980,402.0,528.0,635.0,150.0,79.0,162.0,218.0,64.0,505.0,166.0,392.0,747.0,260.0,164.0,923.0,21.0,35.0,5.0,168.0,206.0,172.0,16.0,7.0,16.0,3430.0
gRNA_CDK2_targ_6981,99.0,191.0,364.0,360.0,107.0,986.0,272.0,194.0,1809.0,206.0,266.0,244.0,158.0,766.0,1196.0,58.0,615.0,4.0,87.0,771.0,3045.0,304.0,20.0,144.0,2828.0
gRNA_CDK2_targ_6982,540.0,735.0,423.0,1055.0,116.0,653.0,470.0,251.0,4149.0,244.0,1873.0,1725.0,1200.0,1513.0,2981.0,1351.0,1486.0,27.0,432.0,331.0,7815.0,792.0,41.0,865.0,3121.0
