gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_34,3377.0,2682.0,4057.0,2665.0,2932.0,409.0,156.0,975.0,106.0,206.0,319.0,632.0,5372.0
gRNA_CDK7_targ_35,14842.0,9230.0,14836.0,17673.0,7034.0,4222.0,818.0,4533.0,8979.0,10660.0,9935.0,4185.0,16611.0
gRNA_CDK7_targ_36,4046.0,2834.0,5222.0,4105.0,4960.0,2113.0,148.0,2499.0,1846.0,2352.0,1713.0,300.0,6019.0
gRNA_CDK7_targ_37,1108.0,729.0,839.0,570.0,1233.0,753.0,32.0,222.0,534.0,477.0,622.0,609.0,4027.0
gRNA_CDK7_targ_38,165.0,10.0,312.0,52.0,268.0,67.0,9.0,18.0,7.0,26.0,71.0,321.0,4459.0
gRNA_CDK7_targ_39,2193.0,1505.0,2756.0,2519.0,2313.0,554.0,138.0,1251.0,362.0,863.0,1453.0,740.0,9081.0
gRNA_CDK7_targ_40,1720.0,2438.0,1683.0,3654.0,2112.0,866.0,161.0,903.0,1136.0,1635.0,1334.0,1396.0,6761.0
gRNA_CDK7_targ_41,1127.0,2554.0,4475.0,5703.0,1621.0,1918.0,95.0,1859.0,2199.0,1736.0,3632.0,1524.0,11320.0
gRNA_CDK7_targ_42,593.0,111.0,1711.0,614.0,220.0,491.0,12.0,13.0,85.0,103.0,2763.0,459.0,7047.0
gRNA_CDK7_targ_43,363.0,697.0,595.0,992.0,511.0,449.0,22.0,58.0,488.0,4.0,1618.0,2583.0,7715.0
gRNA_CDK7_targ_44,1751.0,671.0,2362.0,3360.0,534.0,323.0,61.0,339.0,213.0,605.0,950.0,1088.0,5534.0
gRNA_CDK7_targ_45,318.0,326.0,445.0,1231.0,1949.0,177.0,57.0,78.0,767.0,404.0,1129.0,628.0,5358.0
gRNA_CDK7_targ_46,746.0,1460.0,1293.0,997.0,119.0,534.0,93.0,764.0,1360.0,2383.0,1205.0,394.0,6602.0
gRNA_CDK7_targ_47,0.0,1.0,2.0,2.0,59.0,0.0,0.0,7.0,6.0,5.0,57.0,0.0,4998.0
gRNA_CDK7_targ_48,1.0,0.0,120.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,2071.0
gRNA_CDK7_targ_49,3.0,1.0,12.0,228.0,0.0,77.0,1.0,1.0,12.0,11.0,21.0,3.0,1984.0
gRNA_CDK7_targ_50,107.0,202.0,664.0,389.0,39.0,44.0,10.0,24.0,59.0,87.0,44.0,83.0,3832.0
gRNA_CDK7_targ_51,25.0,1.0,41.0,303.0,2.0,0.0,2.0,8.0,65.0,22.0,5.0,2.0,6949.0
gRNA_CDK7_targ_52,250.0,57.0,68.0,113.0,85.0,122.0,1.0,5.0,5.0,28.0,32.0,11.0,4985.0
gRNA_CDK7_targ_53,7.0,0.0,21.0,0.0,64.0,1.0,0.0,7.0,0.0,25.0,0.0,0.0,1119.0
gRNA_CDK7_targ_54,3.0,154.0,147.0,107.0,17.0,7.0,4.0,29.0,0.0,8.0,0.0,1.0,2084.0
gRNA_CDK7_targ_55,85.0,112.0,2658.0,411.0,148.0,76.0,7.0,33.0,9.0,6.0,296.0,201.0,5443.0
gRNA_CDK7_targ_56,290.0,128.0,740.0,346.0,22.0,45.0,2.0,33.0,337.0,9.0,6.0,429.0,6137.0
gRNA_CDK7_targ_57,207.0,10.0,760.0,310.0,1279.0,137.0,75.0,53.0,106.0,118.0,21.0,385.0,5319.0
gRNA_CDK7_targ_58,2.0,277.0,122.0,973.0,31.0,362.0,17.0,19.0,290.0,1.0,32.0,197.0,3278.0
gRNA_CDK7_targ_59,138.0,468.0,987.0,1003.0,2388.0,204.0,54.0,286.0,93.0,124.0,1001.0,1773.0,4896.0
gRNA_CDK7_targ_60,20.0,29.0,518.0,870.0,1233.0,19.0,32.0,96.0,207.0,10.0,30.0,197.0,3148.0
gRNA_CDK7_targ_61,75.0,4.0,170.0,823.0,8.0,249.0,3.0,36.0,1.0,99.0,93.0,52.0,2607.0
gRNA_CDK7_targ_62,22.0,29.0,229.0,106.0,26.0,69.0,3.0,1.0,0.0,20.0,1.0,188.0,2407.0
gRNA_CDK7_targ_63,88.0,110.0,4.0,335.0,31.0,187.0,4.0,8.0,0.0,117.0,62.0,273.0,2254.0
gRNA_CDK7_targ_64,13.0,20.0,165.0,3.0,25.0,104.0,5.0,3.0,0.0,0.0,132.0,3.0,2506.0
gRNA_CDK7_targ_65,34.0,1.0,136.0,462.0,0.0,66.0,3.0,7.0,54.0,13.0,4.0,34.0,1503.0
gRNA_CDK7_targ_66,245.0,540.0,335.0,388.0,83.0,222.0,10.0,127.0,3.0,177.0,109.0,45.0,3992.0
gRNA_CDK7_targ_67,322.0,327.0,190.0,506.0,14.0,267.0,4.0,7.0,1.0,15.0,19.0,5.0,3227.0
