gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3, Senexin B_2000nM_REP1, Senexin B_2000nM_REP2, Senexin B_2000nM_REP3, Senexin B_15000nM_REP1, Senexin B_15000nM_REP2, Senexin B_15000nM_REP3, SEL120_4000nM_REP1, SEL120_4000nM_REP2, SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_1,7901.0,3672.0,4156.0,13085.0,10676.0,13722.0,7213.0,6952.0,5112.0,1490.0,11640.0,4384.0,10493.0,5355.0,8850.0,6746.0,1838.0,24770.0,6560.0,4238.0,8934.0,14726.0,8031.0,3971.0,3161.0,7805.0,12262.0,9874.0,10616.0,7808.0,5876.0
gRNA_CDK7_targ_2,8536.0,2636.0,3224.0,11536.0,9864.0,3233.0,4531.0,1885.0,966.0,1706.0,209.0,1370.0,5948.0,2565.0,5089.0,1538.0,1409.0,2295.0,4630.0,3276.0,2258.0,8137.0,6088.0,2296.0,1803.0,3569.0,6167.0,4812.0,4729.0,4490.0,653.0
gRNA_CDK7_targ_3,2596.0,1743.0,861.0,4408.0,3930.0,2778.0,10506.0,4064.0,1155.0,944.0,606.0,1376.0,2648.0,2305.0,4531.0,1074.0,185.0,1911.0,2307.0,1632.0,6005.0,5032.0,4771.0,1092.0,1881.0,3523.0,4548.0,1647.0,4418.0,2016.0,264.0
gRNA_CDK7_targ_4,5263.0,2026.0,3314.0,19487.0,14806.0,19963.0,11950.0,10306.0,5923.0,2066.0,7016.0,5508.0,16003.0,5414.0,8161.0,1603.0,7435.0,1856.0,8403.0,7965.0,8292.0,11421.0,11602.0,6525.0,7454.0,8912.0,13523.0,9785.0,10935.0,6660.0,558.0
gRNA_CDK7_targ_5,1423.0,1983.0,2052.0,5057.0,4057.0,4802.0,3847.0,5404.0,5295.0,535.0,1748.0,3558.0,7703.0,2909.0,5541.0,956.0,763.0,1246.0,4988.0,3700.0,3194.0,3428.0,8049.0,1410.0,2701.0,4919.0,3477.0,1980.0,6271.0,2921.0,541.0
gRNA_CDK7_targ_6,2368.0,14217.0,13789.0,19619.0,15753.0,16447.0,17274.0,13921.0,11872.0,7501.0,8766.0,7936.0,8557.0,6251.0,8708.0,2765.0,1983.0,6234.0,10966.0,8399.0,11078.0,8321.0,12931.0,6077.0,5635.0,10918.0,10094.0,6702.0,10038.0,8545.0,9047.0
gRNA_CDK7_targ_7,6961.0,3876.0,1555.0,6166.0,5408.0,12127.0,4722.0,8657.0,5882.0,3648.0,2361.0,4835.0,9646.0,5806.0,8022.0,4756.0,3658.0,9106.0,3811.0,2058.0,6988.0,6472.0,8285.0,4409.0,3942.0,6862.0,4385.0,3797.0,7534.0,4114.0,4821.0
gRNA_CDK7_targ_8,11152.0,6455.0,2208.0,6940.0,6554.0,8388.0,13059.0,6046.0,1313.0,1061.0,3307.0,2002.0,5987.0,4518.0,4621.0,2022.0,3265.0,5026.0,6566.0,4036.0,6953.0,7993.0,7420.0,3055.0,2597.0,4966.0,10034.0,3871.0,5901.0,7067.0,3046.0
gRNA_CDK7_targ_9,5828.0,3180.0,1389.0,11215.0,9116.0,7616.0,5918.0,15854.0,5365.0,1224.0,4495.0,4664.0,7388.0,4533.0,3771.0,4450.0,797.0,477.0,6264.0,2522.0,1419.0,4040.0,5233.0,4046.0,762.0,6028.0,2810.0,4479.0,3579.0,2973.0,7392.0
gRNA_CDK7_targ_10,4688.0,1518.0,843.0,3165.0,2815.0,7030.0,4628.0,1687.0,631.0,1898.0,2441.0,857.0,5967.0,1693.0,4926.0,3422.0,654.0,1402.0,1524.0,1369.0,3180.0,3326.0,2468.0,3126.0,1582.0,2112.0,2338.0,2258.0,1652.0,4197.0,1336.0
