gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_3857,3987.0,1516.0,2720.0,823.0,1205.0,859.0,1232.0,537.0,753.0,3781.0,1039.0,4976.0,2272.0,2444.0,10687.0,12463.0
gRNA_CDK12_targ_3858,1895.0,858.0,468.0,331.0,1598.0,490.0,692.0,1464.0,671.0,1944.0,173.0,886.0,730.0,156.0,7596.0,4369.0
gRNA_CDK12_targ_3859,3575.0,733.0,7145.0,1385.0,2733.0,5191.0,1878.0,1324.0,2966.0,438.0,1028.0,3510.0,2524.0,508.0,3917.0,7970.0
gRNA_CDK12_targ_3860,2640.0,923.0,860.0,2343.0,4435.0,1054.0,1248.0,216.0,1650.0,3359.0,1194.0,1212.0,1926.0,3986.0,2040.0,3875.0
gRNA_CDK12_targ_3861,194.0,75.0,1130.0,60.0,173.0,172.0,70.0,307.0,473.0,296.0,149.0,1509.0,882.0,90.0,1197.0,2916.0
gRNA_CDK12_targ_3862,1392.0,101.0,390.0,155.0,145.0,379.0,11.0,588.0,997.0,134.0,319.0,377.0,85.0,27.0,125.0,1972.0
gRNA_CDK12_targ_3863,1469.0,394.0,904.0,710.0,569.0,143.0,161.0,1583.0,8649.0,1774.0,126.0,1244.0,1341.0,2135.0,1429.0,1416.0
gRNA_CDK12_targ_3864,791.0,134.0,2857.0,596.0,1371.0,133.0,770.0,337.0,691.0,866.0,159.0,935.0,938.0,1432.0,1371.0,3223.0
gRNA_CDK12_targ_3865,308.0,815.0,1552.0,54.0,144.0,79.0,776.0,1053.0,126.0,635.0,41.0,115.0,40.0,32.0,2010.0,2986.0
gRNA_CDK12_targ_3866,1112.0,838.0,2211.0,406.0,2140.0,295.0,424.0,2383.0,749.0,70.0,154.0,242.0,594.0,446.0,444.0,3832.0
gRNA_CDK12_targ_3867,2047.0,523.0,5320.0,1147.0,772.0,3242.0,2222.0,2753.0,1107.0,3043.0,245.0,2069.0,792.0,476.0,1421.0,4092.0
gRNA_CDK12_targ_3868,1171.0,636.0,1695.0,979.0,1289.0,2116.0,1717.0,3066.0,2495.0,3653.0,295.0,1435.0,1218.0,481.0,1387.0,1782.0
gRNA_CDK12_targ_3869,3351.0,1073.0,2342.0,1136.0,1289.0,575.0,1332.0,225.0,4084.0,770.0,840.0,6362.0,597.0,5908.0,1664.0,4506.0
gRNA_CDK12_targ_3870,8453.0,4150.0,8412.0,2437.0,4726.0,2613.0,3132.0,4715.0,1564.0,3605.0,2502.0,5217.0,4688.0,3009.0,5689.0,6002.0
gRNA_CDK12_targ_3871,3778.0,846.0,4845.0,1986.0,2575.0,717.0,879.0,2570.0,1015.0,2758.0,699.0,1957.0,1819.0,5391.0,7899.0,3247.0
gRNA_CDK12_targ_3872,9626.0,4447.0,6737.0,7651.0,8287.0,8624.0,6101.0,4809.0,5674.0,6006.0,3663.0,4196.0,6018.0,5140.0,9109.0,7257.0
gRNA_CDK12_targ_3873,4367.0,2659.0,10908.0,10246.0,2409.0,4851.0,4759.0,7612.0,1319.0,1542.0,728.0,3888.0,2679.0,4307.0,6569.0,5155.0
gRNA_CDK12_targ_3874,1817.0,824.0,930.0,1075.0,824.0,256.0,1430.0,2322.0,208.0,1452.0,2660.0,1534.0,539.0,4735.0,4013.0,2231.0
gRNA_CDK12_targ_3875,7805.0,6462.0,9075.0,20768.0,4644.0,2154.0,4614.0,4727.0,6979.0,6240.0,18604.0,6155.0,4347.0,1829.0,8491.0,2079.0
gRNA_CDK12_targ_3876,6068.0,4041.0,11399.0,9109.0,2360.0,8344.0,8348.0,7132.0,5118.0,5855.0,4844.0,3330.0,4838.0,10100.0,14756.0,3459.0
gRNA_CDK12_targ_3877,4363.0,2711.0,7166.0,2060.0,3282.0,4914.0,2697.0,6962.0,3090.0,6435.0,1946.0,6106.0,3135.0,1423.0,3436.0,6581.0
gRNA_CDK12_targ_3878,254.0,24.0,353.0,148.0,340.0,134.0,34.0,1537.0,527.0,237.0,275.0,131.0,422.0,87.0,523.0,2234.0
gRNA_CDK12_targ_3879,3336.0,3259.0,2201.0,1382.0,2903.0,1252.0,222.0,2286.0,1846.0,6227.0,3129.0,3235.0,3024.0,2432.0,6243.0,5791.0
gRNA_CDK12_targ_3880,2852.0,2455.0,5896.0,2394.0,2976.0,1814.0,1862.0,2231.0,509.0,3842.0,493.0,3498.0,554.0,839.0,1678.0,1719.0
gRNA_CDK12_targ_3881,1546.0,766.0,5120.0,1750.0,2656.0,2459.0,3982.0,3526.0,3600.0,3039.0,1795.0,2081.0,2888.0,2349.0,4936.0,1311.0
gRNA_CDK12_targ_3882,3291.0,909.0,2896.0,2381.0,1646.0,1592.0,952.0,5525.0,1803.0,3514.0,1098.0,2202.0,1947.0,2314.0,1585.0,4154.0
gRNA_CDK12_targ_3883,1808.0,1038.0,1193.0,983.0,2547.0,137.0,2455.0,808.0,1951.0,1929.0,981.0,2189.0,1793.0,2092.0,3997.0,3635.0
gRNA_CDK12_targ_3884,3317.0,2179.0,3963.0,2954.0,2690.0,446.0,3289.0,3989.0,2865.0,3927.0,700.0,2744.0,1527.0,6027.0,3168.0,3702.0
gRNA_CDK12_targ_3885,3068.0,309.0,1632.0,1305.0,889.0,169.0,182.0,175.0,712.0,540.0,365.0,51.0,1965.0,129.0,1323.0,475.0
gRNA_CDK12_targ_3886,2980.0,1060.0,3311.0,2340.0,896.0,1359.0,106.0,206.0,1901.0,974.0,596.0,407.0,443.0,216.0,1210.0,1572.0
gRNA_CDK12_targ_3887,1133.0,469.0,2594.0,1622.0,1985.0,173.0,1111.0,2735.0,2907.0,214.0,389.0,835.0,2020.0,832.0,4955.0,2061.0
gRNA_CDK12_targ_3888,109.0,44.0,22.0,479.0,16.0,566.0,818.0,210.0,28.0,296.0,380.0,474.0,102.0,50.0,1480.0,1433.0
gRNA_CDK12_targ_3889,1079.0,824.0,772.0,374.0,3471.0,330.0,1084.0,1495.0,1569.0,1306.0,425.0,1879.0,1864.0,438.0,1518.0,2618.0
