unique_id,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_CDK19_targ_6616_4550,9081,3,9078,4179,4132,767,26,1,4132,9051,12,8259,780,0.011015642211940955,45.516633619740034,0.2864066975104649,99.7025776602776,0.13218770654329146,90.97818902842036,8.592200925313946
gRNA_CDK19_targ_6616_4551,9081,3,9078,40,6722,2316,26,1844,6722,7208,13,4871,2324,20.31284423881912,74.0471469486671,0.2864066975104649,79.40074906367042,0.14320334875523244,53.6571932143644,25.600352500550784
gRNA_CDK19_targ_6616_4552,9081,3,9078,2332,4787,1959,26,4015,4787,5037,103,2970,1964,44.22780348094294,52.73187926856136,0.2864066975104649,55.4857898215466,1.1346111478299183,32.71645736946464,21.63472130425204
gRNA_CDK19_targ_6617_4553,2875,0,2875,312,2290,273,33,1,2290,2841,0,2567,274,0.034782608695652174,79.65217391304348,1.1478260869565218,98.81739130434782,0.0,89.28695652173914,9.530434782608696
gRNA_CDK19_targ_6617_4554,2875,0,2875,183,2407,285,33,273,2407,2569,0,2283,286,9.495652173913044,83.72173913043478,1.1478260869565218,89.35652173913043,0.0,79.4086956521739,9.947826086956523
gRNA_CDK19_targ_6617_4555,2875,0,2875,184,2302,389,33,2057,2302,785,1,395,389,71.54782608695652,80.0695652173913,1.1478260869565218,27.304347826086957,0.034782608695652174,13.73913043478261,13.530434782608697
gRNA_CDK19_targ_6618_4556,2581,20,2561,65,963,1533,9,3,963,2549,25,990,1534,0.11714174150722373,37.60249902381882,0.35142522452167124,99.53143303397111,0.9761811792268645,38.65677469738383,59.89847715736041
gRNA_CDK19_targ_6618_4557,2581,20,2561,197,2275,89,9,8,2275,2544,2,2452,90,0.31237797735259665,88.83248730964468,0.35142522452167124,99.33619679812573,0.07809449433814916,95.74385005857087,3.5142522452167126
gRNA_CDK19_targ_6618_4558,2581,20,2561,238,2294,29,9,918,2294,1634,26,1579,29,35.84537290121047,89.57438500585708,0.35142522452167124,63.80320187426787,1.015228426395939,61.655603279968766,1.1323701679031628
gRNA_CDK19_targ_6619_4559,5003,0,5003,146,4523,334,132,4105,4523,766,1,430,335,82.05076953827704,90.40575654607235,2.638416949830102,15.310813511892865,0.01998800719568259,8.594843094143515,6.695982410553667
