gRNA_id,Gene,classification,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,base_RPM,base_RAW,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.33605800302852123,0.4895827808440555,-0.5993010441697588,-0.14859208878474153,-0.33605800302852123,843.5968510457653,21590.0,-0.3493116754590059,0.5113900820573932,-0.038341359342398955,0.0412456824186628,-0.038341359342398955,-0.00011994673923293731,0.2181219221620809,-0.8599020156591164,-0.21396668007875616,-0.00011994673923293731,-0.38650936449721307,-0.38650936449721307,-0.38650936449721307,0.40945310610291696,0.9639479743856026,0.4310057464180953,0.9999904821558694,0.4012378659513482,0.979515223396761,0.08289171082891712,0.3454875886457156
gRNA_CDK7_targ_2,CDK7,targeting,0.22369485631459213,0.0002868193766735201,0.03518541049057562,0.08638902872728042,0.03518541049057562,328.1537378931618,7846.0,0.016694839769354514,-0.7555437645378731,-0.5762072105706547,-0.4383520451130578,-0.5762072105706547,-1.3233256384357894,-0.11591378343245361,0.27033982010435326,-0.38963320058796325,-0.11591378343245361,0.7855823943209312,0.7855823943209312,0.7855823943209312,0.47491818693961585,0.8952428376586264,0.3988515356653443,0.9678196313183075,0.4601146962306506,0.9958261627179785,0.49395060493950604,0.9123715503957047
gRNA_CDK7_targ_3,CDK7,targeting,0.4029973292302387,-1.5338088980821096,-0.45830223676227566,-0.5297046018713822,-0.45830223676227566,353.0810419696753,9035.0,0.4272621942529375,0.44386980107909485,-1.420178037180482,-0.18301534728281654,0.4272621942529375,0.7535872579053966,-0.4440942053280171,-0.3840540894169503,-0.02485367894652359,-0.3840540894169503,-0.5842984463949489,-0.5842984463949489,-0.5842984463949489,0.12424453570533005,0.9999517546399953,0.37623105431224935,0.9933564315690905,0.2590989621052207,0.8719344462966662,0.061593840615938394,0.31607365579231544
gRNA_CDK7_targ_4,CDK7,targeting,0.41343665115839445,0.13138679851915383,-0.1486702302703985,0.1320510731357166,0.13138679851915383,542.1270393284684,12962.0,-0.07914104790653774,0.13688753990280958,-0.5019891792058855,-0.14808089573653788,-0.07914104790653774,-0.5326257935565473,-0.27758216042763284,0.09462112118781511,-0.238528944265455,-0.27758216042763284,-0.23322769753778455,-0.23322769753778455,-0.23322769753778455,0.42718254199988903,0.8638580293775533,0.617656782809495,0.9999904821558694,0.5078394619785691,0.9999675946877082,0.08989101089891012,0.3546278320144865
gRNA_CDK7_targ_5,CDK7,targeting,0.7917731406972827,0.5878419053307766,0.6620195333469071,0.6805448597916555,0.6620195333469071,346.2826896042359,9386.0,-0.2508547633892565,-0.4400642369312803,-1.2030843053442535,-0.6313344352215967,-0.4400642369312803,-0.33535071358227636,-0.685266532602473,0.5435816709476935,-0.15901185841235196,-0.33535071358227636,-1.326029183602626,-1.326029183602626,-1.326029183602626,0.04951038205822778,0.3703353179338821,0.28532423061512086,0.9229089449991468,0.3303680857508084,0.9326080614342468,9.999000099990012e-05,0.002083761089539903
gRNA_CDK7_targ_6,CDK7,targeting,-0.1594644945190362,0.5265710708357807,-0.9352368308205724,-0.18937675150127598,-0.1594644945190362,694.3711991252876,17132.0,-0.4358680808886943,0.5544537200534183,-0.8225547515960028,-0.23465637081042626,-0.4358680808886943,0.14713124078310613,-0.36897009388281,-0.7898920498605406,-0.3372436343200815,-0.36897009388281,-1.134403564410018,-1.134403564410018,-1.134403564410018,0.3549571256370941,0.9383783805574066,0.5029786066847584,0.9916230626549833,0.5353149688728063,0.9999675946877082,0.006499350064993501,0.08449155084491551
gRNA_CDK7_targ_7,CDK7,targeting,0.18498997363992417,0.33303226349978526,-0.48897439393376685,0.009682614401980852,0.18498997363992417,763.1268291611816,18246.0,-0.228491928299592,-0.3459730379642555,-0.003522456380967292,-0.19266247421493823,-0.228491928299592,-1.0378701030615698,-0.060095969302773854,0.1864072558190335,-0.3038529388484367,-0.060095969302773854,-0.713745840567989,-0.713745840567989,-0.713745840567989,0.4913885367389651,0.9078243237350383,0.6117469908182429,0.9999904821558694,0.46167943161687963,0.9958261627179785,0.044695530446955276,0.31448143845409254
gRNA_CDK7_targ_8,CDK7,targeting,0.8457885114006567,0.6678687035124097,0.4717307622525565,0.6617959923885409,0.6678687035124097,212.9195446364239,6367.0,0.7881724841536631,-0.07059716550424128,2.587353791083947,1.1016430365777896,0.7881724841536631,-0.6105657140422334,-2.0796945351208156,0.1471150294605864,-0.8477150732341542,-0.6105657140422334,1.2506833730507732,1.2506833730507732,1.2506833730507732,0.05610900656495757,0.38779136182869406,0.008291724706661866,0.18863673707655745,0.2590073753006916,0.9999675946877082,0.3251674832516747,0.8745884032286423
gRNA_CDK7_targ_9,CDK7,targeting,0.6861378858097565,0.047185439811104846,0.8936979919727837,0.5423404391978817,0.6861378858097565,214.0987744424032,6574.0,0.14193123355257864,0.30477698981967255,-0.09776077318677721,0.11631581672849133,0.14193123355257864,-0.25972851131150965,-0.7985504491247608,0.4685844949424531,-0.19656482183127247,-0.25972851131150965,0.4942121053335207,0.4942121053335207,0.4942121053335207,0.09026758612322047,0.48336004110530595,0.4247500017792668,0.9999904821558694,0.38093796360725046,0.9719258323811156,0.3833616638336166,0.8253764528909884
gRNA_CDK7_targ_10,CDK7,targeting,0.221849756850129,0.4776895288683389,-0.44534143726557973,0.08473261615096273,0.221849756850129,125.6821287750384,3005.0,-1.3866394744666575,0.535073724136893,1.7160381760648489,0.28815747524502816,0.535073724136893,-1.1595964994058559,-1.0278814617023861,-2.3199494835913654,-1.5024758148998691,-1.1595964994058559,1.0676419736031266,1.0676419736031266,1.0676419736031266,0.4017055699072637,0.8536048937628694,0.08404626048281931,0.6779189067194564,0.08020452725488547,0.9999675946877082,0.3814618538146186,0.9552816095528162
