gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_DMSO,FDR_DMSO,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.5272276196670256,0.04364747346171447,0.2446544992395411,0.2718431974560937,0.2446544992395411,610.2210857482467,20300.0,0.8564728279414362,-0.09713815402630756,-0.2574594952883112,0.16729172620893915,-0.09713815402630756,0.2637369854115457,-0.3709494674006328,0.22204678543913423,0.038278101150015724,0.22204678543913423,0.08005918982165723,0.08005918982165723,0.08005918982165723,0.3081552794342307,0.9999999498581195,0.30007282035985866,0.9998909333058567,0.40290492114904497,0.9814192039717399,0.17968203179682032,0.4383663510324571
gRNA_CDK7_targ_2,CDK7,targeting,-0.5673131944999293,0.24966210595663377,-0.0802500374694139,-0.13263370867090316,-0.0802500374694139,381.3474014966858,10838.0,-0.6389916342287834,0.6422391775007127,1.6246409449093313,0.5426294960604202,0.6422391775007127,0.5450317067919667,0.6468093340136999,1.7381587275028711,0.9766665894361792,0.6468093340136999,0.5694599062238765,0.5694599062238765,0.5694599062238765,0.46145352590162225,0.8691384019592087,0.0722260107730125,0.9998909333058567,0.04066680572341428,0.9990328786039658,0.4996500349965003,0.708992411604714
gRNA_CDK7_targ_3,CDK7,targeting,0.4078312314430898,-0.7513526942052575,0.0397032993279793,-0.10127272114472947,0.0397032993279793,233.0981913938895,8280.0,1.2065481458079006,0.9669041239738363,-1.3868123001657222,0.26221332320533813,0.9669041239738363,-1.1206188705043114,0.37068890501954244,-0.3185715194940814,-0.35616716165961676,-0.3185715194940814,0.012667366888138621,0.012667366888138621,0.012667366888138621,0.4792306667701284,0.8843915602714554,0.09891644372770764,0.9998909333058567,0.5618446855190975,0.9505245597561484,0.16418358164183583,0.4383663510324571
gRNA_CDK7_targ_4,CDK7,targeting,0.80421212097083,0.06513904196761745,0.7064738984757565,0.5252750204714013,0.7064738984757565,628.4446414163798,22121.0,0.9393835480790982,0.4337330842117026,0.9356747710014135,0.7695971344307381,0.9356747710014135,-0.3896254062389951,1.0028318934095033,0.43904150386449,0.3507493303449994,0.43904150386449,-0.44601750953542285,-0.44601750953542285,-0.44601750953542285,0.09241907506899372,0.9310113466359884,0.054236266843678785,0.9998909333058567,0.20682484195204706,0.9943114425502971,0.0170982901709829,0.11087489825839267
gRNA_CDK7_targ_5,CDK7,targeting,-0.19510830631531287,0.5624619301107886,0.516625141212661,0.2946595883360456,0.516625141212661,250.50185595321216,8729.0,-0.08581061327795751,-0.06512525565888107,1.1151384867282412,0.32140087259713424,-0.06512525565888107,1.4761890006949985,0.8900011163015465,-0.40755295375384254,0.6528790544142341,0.8900011163015465,-0.8604877290100543,-0.8604877290100543,-0.8604877290100543,0.2507875293917165,0.9999999498581195,0.21032329794927185,0.9998909333058567,0.08478571767090712,0.9943114425502971,0.008499150084991502,0.08376418675821949
gRNA_CDK7_targ_6,CDK7,targeting,-0.25246252081728926,0.007458940645852133,0.5748806374918004,0.10995901910678775,0.007458940645852133,718.7859454876569,22251.0,-0.8570628157137659,0.6667649209772266,-0.15955580681061948,-0.11661790051571957,-0.15955580681061948,-1.2883722984197212,-1.1434828397793655,1.109640259003741,-0.44073829306511514,-1.1434828397793655,-1.1841881821608058,-1.1841881821608058,-1.1841881821608058,0.42821607936128825,0.9946424605302051,0.43420504578270447,0.9914709366777759,0.4349799295387643,0.9031234111056866,9.999000099990012e-05,0.004014304451907755
gRNA_CDK7_targ_7,CDK7,targeting,-0.1682192437061328,0.020693228080275263,-0.30500866420019257,-0.15084489327535003,-0.1682192437061328,512.4049879391953,13009.0,0.6151018752459433,1.2033535256027557,-0.016090403271754393,0.6007883325256481,0.6151018752459433,-0.6168546124934673,-0.442380036980671,0.1251806317199518,-0.3113513392513955,-0.442380036980671,-0.14003103741407452,-0.14003103741407452,-0.14003103741407452,0.5018958140644743,0.9013966153682058,0.09885402724603948,0.9998909333058567,0.6009509179466075,0.9621988663136695,0.08989101089891012,0.32720327967203283
gRNA_CDK7_targ_8,CDK7,targeting,-0.5778984939866022,-0.358298552078467,-0.6734906279140742,-0.5365625579930479,-0.5778984939866022,377.943485604637,12975.0,-2.797957858391638,1.0586980714226315,-0.7792807710145957,-0.8395135193278674,-0.7792807710145957,-1.4569313770571835,-1.1931901528334392,-2.5612998606909656,-1.737140463527196,-1.4569313770571835,0.4257689669735805,0.4257689669735805,0.4257689669735805,0.1596351618024566,0.6312015093738693,0.18490260797309105,0.6402031932346905,0.1127630901282757,0.5685915058058643,0.41765823417658254,0.668351101583863
gRNA_CDK7_targ_9,CDK7,targeting,0.12040250380450067,0.957015644090571,0.9225636942308219,0.6666606140419645,0.9225636942308219,226.13346340248296,8844.0,0.4485479275307799,-0.9193153653142914,0.21551466304542738,-0.08508425824602804,0.21551466304542738,1.1388435655857574,-0.4700652553202852,0.7459713108679492,0.4715832070444738,0.7459713108679492,0.41567113726598093,0.41567113726598093,0.41567113726598093,0.03769516233199784,0.7915984089719548,0.4262337673127833,0.9998909333058567,0.15149890381697628,0.9943114425502971,0.4096590340965903,0.6633269057435893
gRNA_CDK7_targ_10,CDK7,targeting,-1.414848992000388,-0.15989693317629955,-0.9696082467710699,-0.8481180573159192,-0.9696082467710699,290.08852373322424,10211.0,-2.0389019685493883,-1.3755852046516421,-1.0550864870079986,-1.489857886736343,-1.3755852046516421,-0.17476454311784634,-2.0745299690113947,-1.1582764699504018,-1.1358569940265477,-1.1582764699504018,-0.13260297239535362,-0.13260297239535362,-0.13260297239535362,0.061674548466105705,0.4703932342277146,0.09345702522810581,0.47565845686276553,0.27202898581678986,0.7585690820018757,0.0971902809719028,0.3419194163057921
gRNA_CDK7_targ_11,CDK7,targeting,-0.13102534257319942,-0.2728274407180192,0.5236498587567666,0.03993235848851601,-0.13102534257319942,479.3755402047731,16043.0,-0.4725021789037602,0.22946065747736044,0.4343545118707899,0.06377099681479671,0.22946065747736044,0.5480775344243646,-1.1676302317251204,-0.2581539128192457,-0.2925688700400005,-0.2581539128192457,-0.10395942218625889,-0.10395942218625889,-0.10395942218625889,0.5119040364173553,0.9697908608642368,0.3931901518303232,0.9998909333058567,0.500272321594905,0.9569282781453016,0.1198880111988801,0.3976844113887517
