gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_TAGTO,FDR_CBE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-0.36157816991555713,-0.6028459678166947,-0.7748921388477479,-0.5797720921933333,-0.6028459678166947,786.8857005189285,2542.0,-1.0927959899971795,-1.4829636246665707,-2.726376717238364,-1.7673787773007046,-1.4829636246665707,0.39238905714873673,-1.4490383510839857,-0.5561697140038492,-0.5376063359796994,-0.5561697140038492,-0.043294382241693,0.09639798517758426,-0.326456140094625,-0.09111751238624456,-0.043294382241693,-1.6725210647749127,-1.3428962757776965,-0.11966831762711697,-1.0450285527265755,-1.3428962757776965,-0.9736865225321252,-1.1547090574769867,0.11265675451039715,-0.671912941832905,-0.9736865225321252,-0.47196969914473696,0.36830838299220997,-0.28525779896839853,-0.1296397050403085,-0.28525779896839853,0.5056139690816152,0.5056139690816152,0.5056139690816152,0.12537766601722833,0.47360277224089126,0.016191727101927688,0.12580895940699682,0.025901640386503284,0.47106829494135094,0.5958731521095948,0.8865549205861807,0.05375332787620057,0.2806364594167569,0.04204122726731206,0.238281613450005,0.5144587443815665,0.9900339790133633,0.4657534246575341,0.6845665344655586
gRNA_CDK2_targ_6974,CDK2,targeting,-0.349936221968427,-0.19468397153394515,-0.8959054791792239,-0.48017522422719866,-0.349936221968427,208.5638226990576,893.0,-0.0074590795923372664,-1.990613697010281,-2.0891351085949332,-1.362402628399184,-1.990613697010281,-0.14041263695740006,-0.26292647867665075,-0.5409198717553391,-0.31475299579646326,-0.26292647867665075,-0.8117638776448554,-0.29643696537967384,-0.6991259047671058,-0.6024422492638783,-0.6991259047671058,-0.685927823908134,-2.236726225671643,-0.6603053600757695,-1.1943198032185156,-0.685927823908134,0.0012231291002799333,-0.911256093929052,0.9784940598249434,0.022820364998723752,0.0012231291002799333,-1.6992369118570303,-0.34776511994030934,0.12123082542074128,-0.6419237354588662,-0.34776511994030934,0.6279262698727714,0.6279262698727714,0.6279262698727714,0.16126565128869644,0.5413684642652994,0.060306983173061234,0.25832515792598304,0.17710956154908622,0.7057239135546142,0.15626586221774016,0.9930964663085772,0.053432537089874894,0.2806364594167569,0.16248339075959886,0.6462363934864356,0.2135592409372093,0.9968101480559353,0.45785421457854236,0.727831920781969
gRNA_CDK2_targ_6975,CDK2,targeting,-0.40241570370920143,-1.5651933832637617,-2.6225784722408485,-1.5300625197379372,-1.5651933832637617,472.45767507187287,1749.0,-1.7286380102551515,-0.1161355622178942,-2.3913517334931207,-1.4120417686553888,-1.7286380102551515,-0.16307432075407183,-1.1230710641791495,-0.5650362998434278,-0.6170605615922163,-0.5650362998434278,-0.5695025608813471,0.813212726439645,-0.8951112411390286,-0.21713369186024356,-0.5695025608813471,-1.3344635154341469,-3.7264109678296036,-0.14759972865720947,-1.7361580706403201,-1.3344635154341469,-2.1521799088698432,-1.634490883636764,-0.4369133714748884,-1.407861387993832,-1.634490883636764,-1.1289390787640226,-0.8026422782475213,-2.2031511298472393,-1.3782441622862611,-1.1289390787640226,0.17885754257157063,0.17885754257157063,0.17885754257157063,0.0016665126484430451,0.03860245740664476,0.045236834273791444,0.22246825749925844,0.027242988121945342,0.47965048235978236,0.2952210203742416,0.7820807343751729,0.008452517264765685,0.09884598671547484,0.0015603200516326376,0.04126322822561325,0.02277398833973365,0.8488669765366333,0.27577242275772423,0.5307015810046902
gRNA_CDK2_targ_6976,CDK2,targeting,-0.6105139715488548,-0.13493285672737174,-0.2904062954551077,-0.3452843745771114,-0.2904062954551077,174.3423876506048,855.0,-1.4007676291885356,-0.750308056193615,-2.8029215245233514,-1.651332403301834,-1.4007676291885356,1.001417118207068,-0.06451117316838846,0.3573379235070525,0.43141462284857734,0.3573379235070525,0.7480629251601955,1.1371369624265601,-0.78522135988854,0.36665950923273855,0.7480629251601955,-1.6390749812298935,-1.5519016938347494,-0.35587770033097066,-1.1822847917985377,-1.5519016938347494,0.38076885209405537,-0.5439692620455573,0.9455609399390198,0.2607868433291726,0.38076885209405537,-0.3552545645626,0.7066349386148826,0.37237233059570907,0.24125090154933057,0.37237233059570907,1.6203237059742142,1.6203237059742142,1.6203237059742142,0.2968760288144133,0.7289760054715935,0.021410896097964552,0.1452255452546366,0.013308166631624804,0.21383510461494223,0.04932549242609183,0.5275639812873892,0.03359092149742046,0.22416522208964057,0.11874680185791464,0.860653525115619,0.2092155131150659,0.9184394541258197,0.04749525047495251,0.8274172582741727
gRNA_CDK2_targ_6977,CDK2,targeting,-0.3174074914846604,-0.7239588224308657,-0.7073815423038101,-0.5829159520731121,-0.7073815423038101,416.9943657841951,2045.0,-0.20820582915885005,-1.5621844971350691,-2.5616325888870906,-1.4440076383936697,-1.5621844971350691,0.08919600323027298,-0.3796933458421901,0.21813939059880139,-0.024119317337705243,0.08919600323027298,0.7973369217202707,-0.7503158855864837,-0.8394014936412699,-0.264126819169161,-0.7503158855864837,-1.2610357717773972,0.3835795060110951,0.07373414753419223,-0.2679073727440366,0.07373414753419223,-0.5320723451261942,-0.6545519061438205,0.3879207257638503,-0.2662345085020548,-0.5320723451261942,-1.0252525545743638,0.9519713564471941,1.161345931481051,0.3626882444512938,0.9519713564471941,0.8032275795382947,0.8032275795382947,0.8032275795382947,0.1221642994591584,0.46371998991951185,0.04516303587617647,0.22246825749925844,0.5161775642593922,0.928387665877969,0.24852096444626431,0.7851218925694853,0.369644466142886,0.6853160109850196,0.16705194034061524,0.46310043762766867,0.06481729268895849,0.7409563066522566,0.33986601339866,0.8379503307337977
gRNA_CDK2_targ_6978,CDK2,targeting,-1.292025170394189,0.2762984175342437,-0.2587768868522314,-0.4248345465707255,-0.2587768868522314,409.69000536129886,1774.0,-0.11364244690954703,-0.8896615945416854,-1.0749828226051248,-0.6927622880187858,-0.8896615945416854,-0.03989844654592388,-0.49320724944002997,0.02298274876478797,-0.17004098240705526,-0.03989844654592388,0.11254120034229448,-0.4859773655242059,0.3121107552482122,-0.020441803311233075,0.11254120034229448,-0.5618926865834618,-1.1144920463094856,0.6458312315521593,-0.3435178337802627,-0.5618926865834618,-0.40498401745259155,-0.8620504078040768,0.5597850879760152,-0.23574977909355102,-0.40498401745259155,-0.3469156908211902,-0.163924286376462,-0.4435791443417527,-0.3181397071798016,-0.3469156908211902,0.7811492688810123,0.7811492688810123,0.7811492688810123,0.1418369575954567,0.5044011434660108,0.24453333886050824,0.5756794819546815,0.3303165527867468,0.8622616638202933,0.42656216590588236,0.8175084135608012,0.28304629343163235,0.6021100457960816,0.19823793556214878,0.5031959867413439,0.5831951381087148,0.9968101480559353,0.3666633336666335,0.8183744467083346
gRNA_CDK2_targ_6979,CDK2,targeting,-0.131955317819483,-0.3739274089473958,-0.5523776143818107,-0.3527534470495632,-0.3739274089473958,331.36691268258073,1778.0,-0.6490637269082691,0.7449381508697377,-1.7148298721210185,-0.5396518160531832,-0.6490637269082691,0.09611326901405047,-0.6174426714190395,-0.14567787885237868,-0.2223357604191226,-0.14567787885237868,-0.7067063292856312,-1.3262535281165648,-1.225406197260562,-1.0861220182209192,-1.225406197260562,-1.2352434453726007,-1.96966767685612,-0.05215632844694598,-1.0856891502252222,-1.2352434453726007,-0.04062489008936764,-0.08593254956116628,0.31565649667707263,0.06303301900884624,-0.04062489008936764,0.05443705688348502,0.2320509545226477,0.8850375133118473,0.3905085082393267,0.2320509545226477,0.9754730804857334,0.9754730804857334,0.9754730804857334,0.28634317497929757,0.7147782120523944,0.2787559398785637,0.6146585970403242,0.2335129364065708,0.771460629654761,0.01705452816083357,0.9999603580349383,0.051830723362924665,0.27850599729104,0.5473898298540512,0.9094489069348775,0.15601212868607334,0.8342149662030868,0.23957604239576033,0.9100991563894948
gRNA_CDK2_targ_6980,CDK2,targeting,-0.266062030743702,-0.7072955006667476,-0.281163631499492,-0.4181737209699805,-0.281163631499492,389.906610385014,1747.0,-0.4794019238340609,-0.5242960736791529,-1.2003028019576727,-0.7346669331569622,-0.5242960736791529,0.7053492341543549,-0.43860263982353415,0.38117126832937426,0.21597262088673166,0.38117126832937426,1.2743121969063709,0.6036636775511118,0.3388788993531452,0.7389515912702093,0.6036636775511118,-0.9486261882840175,0.04817150130842711,-0.6534826764012484,-0.517979121125613,-0.6534826764012484,-0.1239106100431526,-0.2379411054194078,0.4671367273311661,0.03509500395620191,-0.1239106100431526,-0.9323171953269889,0.6635156859952026,-0.9125522492997363,-0.39378458621050755,-0.9125522492997363,0.8948101811339845,0.8948101811339845,0.8948101811339845,0.2141308611973247,0.6283449916339936,0.23711236435066543,0.5670579673922272,0.10767335255422039,0.7071404701477569,0.020996716974585994,0.37365125368752494,0.23330414726484044,0.5438286813004379,0.5394871310179081,0.8495907406781134,0.3493135172172664,0.9952625307688121,0.2770722927707229,0.8923272475138765
gRNA_CDK2_targ_6981,CDK2,targeting,-1.1016368469549889,-1.519751486489868,-1.2213609966407466,-1.2809164433618678,-1.2213609966407466,381.71806980342944,1663.0,-0.6975641463757577,-0.9009683512148821,-3.5015014892138323,-1.7000113289348242,-0.9009683512148821,-0.11633548324616173,-0.572645864655677,-0.6520869065871757,-0.44702275149633813,-0.572645864655677,0.20552897016178312,-0.008569152625004897,0.19640836905601383,0.13112272886426402,0.19640836905601383,-1.8129619071795828,-3.0016165081870647,-0.9775736639691737,-1.9307173597786071,-1.8129619071795828,-0.5114997994259678,-0.5890944758953747,0.0747348035583364,-0.34195315725433534,-0.5114997994259678,-0.603069643313035,0.33055059548657667,0.3587849381709561,0.02875529678149924,0.33055059548657667,0.6848589587817997,0.6848589587817997,0.6848589587817997,0.002733807430330114,0.0512784291373282,0.011483987244460755,0.10685194489916902,0.06405933682659207,0.5956078789214038,0.32497555095097824,0.779584932340802,0.0035967927803850653,0.06012820254078064,0.14726148787009247,0.42885634226630415,0.36811211360950175,0.9699718214813671,0.45785421457854236,0.727831920781969
gRNA_CDK2_targ_6982,CDK2,targeting,0.21734872301873076,-0.09898818440886686,-0.33775767607947055,-0.07313237915653555,-0.09898818440886686,490.3371009387297,2195.0,-0.4710997911394897,-0.13303767464370217,0.03373469693068603,-0.1901342562841686,-0.13303767464370217,0.10362252958852157,0.19138549433169147,0.16238122472475713,0.15246308288165672,0.16238122472475713,0.2494935284925821,0.06353133881561793,-0.6873119959227895,-0.12476237620486315,0.06353133881561793,0.4899146941931534,0.1394866715880469,0.2975053001650052,0.3089688886487352,0.2975053001650052,-0.23857296003214862,0.05412839651496871,0.21690456486804827,0.01082000045028945,0.05412839651496871,-0.9128631005311302,1.211650780040967,2.20741761697875,0.8354017654961955,1.211650780040967,0.6862540512335804,0.6862540512335804,0.6862540512335804,0.5789822124058848,0.9757795942278404,0.5723453468776252,0.8634745205856605,0.38105571227726703,0.9835337850324796,0.5062782983317571,0.8572183727219882,0.36862429585996265,0.9848779623297887,0.6004419847037632,0.861865988451629,0.00030866228387192534,0.08513934663467274,0.45785421457854236,0.727831920781969
