gRNA_id,Gene,classification,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,LFC_avg_ABE_BSJ-4-116,LFC_median_ABE_BSJ-4-116,base_RPM,base_RAW,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,LFC_avg_ABE_CDK12-IN-2,LFC_median_ABE_CDK12-IN-2,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,LFC_avg_ABE_HQ461,LFC_median_ABE_HQ461,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_BSJ-4-116,FDR_ABE_BSJ-4-116,p_ABE_CDK12-IN-2,FDR_ABE_CDK12-IN-2,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_HQ461,FDR_ABE_HQ461,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,-0.092053843921073,0.0294586666904219,-0.784666278281087,-0.2824204851705794,-0.092053843921073,189.73690077591465,4359.0,-0.16795172558581345,-0.08233455422225439,-0.23876806612410534,-0.16301811531072438,-0.16795172558581345,-0.5095553577722299,0.49674829131696707,-0.5329655440863521,-0.18192420351387165,-0.5095553577722299,-0.7799951087002058,-2.2141418906019354,-0.06069508343298076,-1.0182773609117073,-0.7799951087002058,0.7800222173794199,0.7800222173794199,0.7800222173794199,0.462257470293729,0.9999690589514645,0.6032110649214713,0.959800233618795,0.5513635143792632,0.9506218917643231,0.3422256686830211,0.985782820277154,0.4784521547845215,0.8558751809348896
gRNA_CDK12_targ_1741,CDK12,targeting,-0.3073386583346848,0.008688274627298806,-0.08909634483027483,-0.1292489095125536,-0.08909634483027483,80.30846109923436,1845.0,-2.0426366288342632,0.2322346117154482,0.6830134579768337,-0.3757961863806605,0.2322346117154482,-0.6289178336939802,0.7125574477454923,1.0586383970056006,0.3807593370190376,0.7125574477454923,-1.0166512370877805,-0.21614360510020283,1.463494461993798,0.07689987326860488,-0.21614360510020283,1.9484751483040836,1.9484751483040836,1.9484751483040836,0.6053045484044506,0.9999690589514645,0.3963856186395003,0.9012261442226596,0.19598182813362885,0.8810195057266109,0.22884286011741115,0.9331293595429391,0.1151884811518848,0.7188942644197118
gRNA_CDK12_targ_1742,CDK12,targeting,-0.3548175707880342,-0.37782819109651405,-2.788746583060318,-1.1737974483149554,-0.37782819109651405,179.85613076533136,4132.0,-1.1264985687593507,-0.06225759876619783,-2.580099611215284,-1.2562852595802774,-1.1264985687593507,-0.9382886120961397,-0.1492462019883342,-0.6740802431131145,-0.5872050190658628,-0.6740802431131145,-0.7755316321012428,-1.8652964795425129,-1.3252831260026392,-1.322037079215465,-1.3252831260026392,-0.015296447897714541,-0.015296447897714541,-0.015296447897714541,0.038177719923877494,0.8946357769222208,0.1218250550455983,0.9999999210859173,0.2652304919086599,0.9987722999514329,0.25099050821324376,0.994724494564453,0.27847215278472154,0.8205851981173566
gRNA_CDK12_targ_1743,CDK12,targeting,1.9149584871994982,-0.5193748740918834,-0.13132479921896786,0.4214196046295489,-0.13132479921896786,140.50716120776613,3228.0,-0.054597932572657805,-1.3047339652378633,0.22737987567758547,-0.3773173407109785,-0.054597932572657805,-0.3009358349758791,0.4005381701509006,0.2741313042124673,0.12457787979582959,0.2741313042124673,-0.747101847015551,-0.16006049084116347,-1.0385365900227597,-0.6485663092931581,-0.747101847015551,0.02012763288519073,0.02012763288519073,0.02012763288519073,0.1641606950330987,0.9999690589514645,0.48973812565629904,0.9610563752009046,0.4307012407664361,0.9257575723236388,0.5731079314417076,0.9740975969119233,0.2918708129187082,0.8205851981173566
gRNA_CDK12_targ_1744,CDK12,targeting,0.32485138700887467,-0.16678290002286172,0.44603953118821615,0.2013693393914097,0.32485138700887467,144.0328985243179,3309.0,0.506338249935789,-1.3655411691783046,-1.7930186226498628,-0.8840738472974595,-1.3655411691783046,-0.07950410286664336,0.841167671740642,0.2022589181292823,0.32130749566776035,0.2022589181292823,-0.584371630737335,-0.65942811015031,-0.29052774028156647,-0.5114424937230705,-0.584371630737335,1.2119890886193894,1.2119890886193894,1.2119890886193894,0.43529001027406455,0.9999690589514645,0.1900325072478146,0.9832736049316902,0.2918764788346208,0.9074539818829283,0.6444898701341635,0.9728817882110802,0.3019698030196981,0.9735026497350265
gRNA_CDK12_targ_1745,CDK12,targeting,-0.7184044182844334,-0.694866439944826,-0.1797941127381475,-0.5310216569891356,-0.694866439944826,228.70080816141092,4741.0,-3.378484563409635,-0.12012944964765203,-0.20787604670071594,-1.235496686586001,-0.20787604670071594,-0.9979757114549602,-0.8032545365574751,-3.236291999338741,-1.6791740824503922,-0.9979757114549602,-1.8052757571875089,-0.8142495726443947,-0.7597049699602743,-1.1264100999307258,-0.8142495726443947,-0.1358898588588043,-0.1358898588588043,-0.1358898588588043,0.2792398699392086,0.9999690589514645,0.1245858786695749,0.987435286205644,0.003913827121374902,0.6132765339790508,0.32668809356725054,0.9915334230294042,0.24987501249875013,0.814876725205272
gRNA_CDK12_targ_1746,CDK12,targeting,-0.6189182237241067,-0.15268901440386495,-1.071836444885725,-0.6144812276712321,-0.6189182237241067,121.22445283898456,2513.0,-0.3342501791008872,0.33797258009623216,-0.25813905914657503,-0.0848055527170767,-0.25813905914657503,-0.2873837380685628,1.2062209876940395,-0.6082862961237119,0.10351698450058826,-0.2873837380685628,0.4067043636230739,-2.1269017052791095,-0.9155983276227618,-0.8785985564262658,-0.9155983276227618,1.00152808616121,1.00152808616121,1.00152808616121,0.20954564902810122,0.9999690589514645,0.531559786871896,0.9299142526818807,0.3488037044720826,0.9205089866169172,0.38333263941594586,0.9728817882110802,0.3805619438056193,0.9202868186146329
gRNA_CDK12_targ_1747,CDK12,targeting,-0.6635831652416155,0.3620101665040151,-0.638458305562815,-0.3133437681001385,-0.638458305562815,187.89066605962785,3895.0,-0.29620380695800314,-0.6504209114992854,-1.465844791480336,-0.8041565033125414,-0.6504209114992854,-0.19999418623804335,0.7998321312846938,-0.7476734593439418,-0.049278504765763786,-0.19999418623804335,-0.21838797937794802,-1.6289381212373808,-0.640067415202734,-0.8291311719393543,-0.640067415202734,0.07492044397606727,0.07492044397606727,0.07492044397606727,0.3758642525731135,0.9999690589514645,0.281115938272122,0.9999999210859173,0.47642018202886194,0.9354775731507208,0.460753401606974,0.9826632962067905,0.3047695230476953,0.8205851981173566
gRNA_CDK12_targ_1748,CDK12,targeting,-0.3351017317730299,-0.3992909657875043,0.9199909738166514,0.061866092085372415,-0.3351017317730299,246.71172947368103,8531.0,-1.7209432298203695,-0.9808233768035359,0.9361836591359529,-0.5885276491626509,-0.9808233768035359,0.09310038150484394,0.11382872565946887,0.5947311987908748,0.2672201019850625,0.11382872565946887,3.6644295628953336,-0.06876100877532887,1.2087872676390126,1.6014852739196723,1.2087872676390126,-0.1819279348484964,-0.1819279348484964,-0.1819279348484964,0.48589115329606614,0.9999690589514645,0.27833889381944643,0.9533342040717945,0.34021884465638225,0.9205089866169172,0.0016776925798123441,0.19542006748052412,0.23167683231676833,0.8119530739510642
gRNA_CDK12_targ_1749,CDK12,targeting,0.9057654358633942,0.6024760098955744,0.026760293703491932,0.5116672464874868,0.6024760098955744,179.5969730231289,4186.0,-0.5539069865951353,-0.7883290586959169,-0.352545138682709,-0.564927061324587,-0.5539069865951353,0.7576464276802974,0.3011932175145963,0.42058375383573054,0.49314113301020807,0.42058375383573054,-0.5420598370150362,1.0410464249847422,-1.4085452989728457,-0.3031862370010466,-0.5420598370150362,0.6866775987468411,0.6866775987468411,0.6866775987468411,0.24701632165866025,0.9999690589514645,0.4304747117419694,0.9941843581230967,0.20663931337155347,0.884420281049889,0.4101493737873165,0.9728817882110802,0.49125087491250874,0.8498256073468702
