Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_UV_RESPONSE_DN,-0.4130153719083456,-1.579740080305664,0.0,0.016760194537972315,0.14,39/134,9.62%,SERPINE1;VLDLR;MGLL;SMAD7;GRK5;DAB2;EFEMP1;FHL2;MAP1B;ANXA4;DUSP1;COL1A1;RUNX1;BHLHE40;ZMIZ1;SLC22A18;SYNE1;RBPMS;CCN1;TJP1;SFMBT1;FZD2;SCN8A;NOTCH2;SNAI2;PIK3CD;IGF1R;F3;ADD3;DLC1;NFKB1;CAV1;SLC7A1;VAV2;AKT3;PPARG;PRKCE;FYN;SYNJ2
prerank,HALLMARK_ANGIOGENESIS,-0.5407671408647003,-1.5465300617956539,0.021739130434782608,0.02074074074074074,0.19,10/27,8.58%,VCAN;JAG1;FSTL1;PDGFA;THBD;ITGAV;VEGFA;STC1;OLR1;VAV2
prerank,HALLMARK_HEDGEHOG_SIGNALING,-0.5233347815069092,-1.5002932705575,0.0625,0.03342516069788797,0.31,12/29,9.81%,VLDLR;ETS2;NRP2;ADGRG1;L1CAM;TLE3;NKX6-1;PML;VEGFA;SHH;MYH9;DPYSL2
prerank,HALLMARK_MTORC1_SIGNALING,0.3226129933602082,1.4215903198052349,0.0,0.15172413793103448,0.38,59/195,20.46%,IGFBP5;DHCR24;GCLC;NAMPT;CDKN1A;CYB5B;TXNRD1;FDXR;BTG2;GSR;GLA;SCD;SLC6A6;SLC1A4;IFI30;CTSC;SLC2A3;LDLR;SQSTM1;MLLT11;CTH;XBP1;TM7SF2;CD9;TBK1;TFRC;SORD;ATP5MC1;PIK3R3;NFIL3;GLRX;NIBAN1;ME1;RDH11;SQLE;STARD4;EEF1E1;TMEM97;POLR3G;TCEA1;MAP2K3;USO1;G6PD;M6PR;DHCR7;TUBG1;ITGB2;CCNG1;FADS1;SRD5A1;SLC37A4;ACSL3;MTHFD2;PSMA3;PSMD14;PNP;GBE1;SC5D;HMBS
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3276848587415974,1.3871892808752997,0.0,0.1625615763546798,0.47,42/174,8.10%,TNC;AREG;PTGS2;IRS2;DUSP4;CSF1;TSC22D1;NAMPT;DUSP5;CDKN1A;NR4A2;CXCL3;BCL6;EDN1;LITAF;BTG2;CXCL1;B4GALT5;PHLDA1;TRIB1;SLC16A6;GEM;PDE4B;IER3;TNFSF9;FOSL1;YRDC;SNN;CXCL2;SLC2A3;LDLR;ICOSLG;SQSTM1;CCL2;IFNGR2;HBEGF;SOCS3;CEBPD;BTG3;PDLIM5;GFPT2;SAT1
prerank,HALLMARK_NOTCH_SIGNALING,-0.48182696345309717,-1.3561716381072655,0.07407407407407407,0.11470258136924805,0.73,10/30,12.76%,JAG1;TCF7L2;NOTCH2;LFNG;DTX4;MAML2;FZD5;NOTCH1;SAP30;PRKCA
prerank,HALLMARK_P53_PATHWAY,0.2997850834754453,1.3211052143175959,0.0,0.22975369458128078,0.64,56/178,23.15%,TSC22D1;CDKN1A;PROCR;STOM;OSGIN1;TOB1;FDXR;H1-2;BTG2;INHBB;IER3;TNFSF9;IFI30;XPC;POLH;F2R;HBEGF;ISCU;TSPYL2;ZMAT3;SAT1;S100A4;UPP1;TM7SF3;KLF4;PITPNC1;FAS;RAP2B;SESN1;SFN;SERTAD3;TAP1;WWP1;HMOX1;CTSD;PCNA;CTSF;DDB2;PERP;H2AC25;TRIAP1;CCNG1;SDC1;CEBPA;DNTTIP2;RRAD;NINJ1;RAD51C;HSPA4L;APP;PLK2;BLCAP;STEAP3;RALGDS;CD82;GM2A
prerank,HALLMARK_E2F_TARGETS,0.29656715880732043,1.31394494340178,0.023809523809523808,0.19688013136288998,0.65,100/199,40.83%,CDKN1A;UBE2T;CHEK2;DSCC1;BUB1B;ASF1A;PMS2;HMGB2;RPA2;CDC25B;MAD2L1;BIRC5;PHF5A;MLH1;TFRC;CKS1B;SPC25;TRIP13;PSMC3IP;CNOT9;PCNA;SPAG5;GINS4;HMMR;CDKN2C;POLA2;TUBG1;CDK1;CKS2;MTHFD2;NAA38;PRPS1;TIPIN;KIF4A;NME1;DUT;RAD51C;ANP32E;RACGAP1;MXD3;HMGB3;SPC24;DCK;PA2G4;RAD1;UBR7;LYAR;CDCA8;RFC2;AURKA;MYC;CSE1L;CENPM;DLGAP5;DEPDC1;NOLC1;PRDX4;PLK1;RPA1;PSIP1;HMGA1;POLD2;KIF2C;DIAPH3;KIF22;IPO7;ASF1B;USP1;RAD51AP1;DONSON;ATAD2;RFC3;RPA3;STAG1;SUV39H1;CIT;DEK;KIF18B;CBX5;MCM7;CTCF;RNASEH2A;MELK;RAD50;XPO1;SHMT1;MSH2;RAD21;CCNE1;TACC3;BRCA1;EIF2S1;SMC3;H2AX;CENPE;DCLRE1B;TP53;EXOSC8;CDKN3;CDC25A
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.32075782869502695,-1.3081799912684928,0.04838709677419355,0.14576534576534578,0.82,49/179,13.28%,GFRA1;RASGRP1;NAV2;OLFML3;FHL2;ANXA9;TGM2;HR;PODXL;NHERF1;BHLHE40;CCN5;SULT2B1;ABAT;KCNK5;SLC22A5;AFF1;SEMA3B;NCOR2;CLIC3;P2RY2;NPY1R;PDZK1;PRSS23;KDM4B;CISH;IGF1R;B4GALT1;ELF1;ADD3;DLC1;ADCY9;STC2;BCL11B;SEC14L2;RAPGEFL1;FLNB;REEP1;FARP1;SLC7A2;TUBB2B;SLC2A1;KRT8;LAD1;WWC1;ITPK1;RARA;KRT18;MYBL1
prerank,HALLMARK_PANCREAS_BETA_CELLS,-0.48507779818960006,-1.3039017175068754,0.1836734693877551,0.14006734006734006,0.84,6/18,8.72%,HNF1A;VDR;SYT13;NKX6-1;PAX6;AKT3
